title,description,published,link,media
"韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법”",한덕수 대통령 권한 대행 국무총리 미국 한국 비롯하 각국 상대 이른바 상호 관세 발효 대하 보복 관세 강경 대응 나라 이렇 어렵 ㄹ수록 동맹 안보 동맹 경제 동맹 더욱 튼튼하 격상 시키 나가 보다 슬기 해법 라고 주장,"Wed, 09 Apr 2025 11:14:25 +0000",https://www.chosun.com/politics/goverment/2025/04/09/OE6JPGXF5JBJRP6SFVD6FZ7HHI/,조선닷컴
선관위원장 “대선 때 수검표... 사전투표함 보관소 24시간 영상 공개”,노태악 법관 중앙 선거 관리 위원장 63 조기 대선 투개표 관련 수검 사전 투표 보관 장소 CCTV 방범 카메라 24 공개 통하 선거 절차 투명 정확 더욱 담보 다고 밝히 조기 대선 부정 선거 논란 불거지 도록 투개표 시스템 관리 투명 다는 기계 수기 투표지 사람 일일이 검산 수검 사전 투표함 보관소 방범 카메라 영상 공개 선거 부정 방지 차원 작년 총선 도입,"Wed, 09 Apr 2025 08:00:22 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/QS5JJSCU3ZAOTJFPAFH53XMBFA/,조선닷컴
"이완규, ‘국민의힘 당적 논란’에 “정당 가입한 적 없다”",헌법 재판관 후보자 지명 이완규 법제처장 민주당 일각 제기 국민의 당적 보유 논란 대하 국민 비롯하 정당 가입 정치 활동 다고 밝히,"Wed, 09 Apr 2025 03:42:04 +0000",https://www.chosun.com/national/court_law/2025/04/09/AHUNWCECKJA3RNVCFOVQ75NIIQ/,조선닷컴
"민주당 초선들 “韓, 이완규·함상훈 지명 철회 안하면 탄핵 추진""",더불어민주당 초선 의원 모임 더민초 한덕수 대통령 권한 대행 향하 지금 이라도 이완규 함상훈 헌법 재판관 지명 철회 라며 철회 는다면 내란 수괴 아바타 한덕수 총리 탄핵 추진 다고 더민초 최상목 경제 부총리 심우정 검찰 총장 탄핵 어야 ㄴ다고,"Wed, 09 Apr 2025 07:15:17 +0000",https://www.chosun.com/politics/assembly/2025/04/09/NORPAIF3E5BC3OJEVHCIVDFHUI/,조선닷컴
"‘권한대행 헌법재판관 지명 금지’, 민주당 주도 법사위 통과",대통령 권한 대행 대통령 헌법 재판관 지명 도록 헌법 재판소 개정안 더불어민주당 주도 국회 법제 사법 위원회 통과,"Wed, 09 Apr 2025 02:03:47 +0000",https://www.chosun.com/politics/assembly/2025/04/09/F5UIZXAUCVAFJFCBG6ZL7CGHDE/,조선닷컴
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,이철우 경북 지사 경북 구미 박정희 대통령 생가 21 대통령 선거 출마 선언 지사 새롭 시대 박정희 대한민국 일류 국가 만들 다고 이어지 서울 여의도 국회 기자 회견 국민 이인선 정희용 임종득 인요한 이달희 의원,"Wed, 09 Apr 2025 05:54:15 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴
"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매”",북한 김여정 노동당 부부장 담화 대하 사문 개념 라며 시대착오 라고 한미일 촉구 모자라 ㄴ다는 밖에 못하 라고 도널드 트럼프 대통령 취임 이후 김정은 국무 위원장 대화 의사 공개 여러 언급 으나 북한 전제 대화 응하 다는 입장 발신 다는 분석,"Wed, 09 Apr 2025 06:34:05 +0000",https://www.chosun.com/politics/north_korea/2025/04/09/RY6D74ZJ65FU3GV6EBRBXD7NTM/,조선닷컴
"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자”",유정복 인천시장 대선 출마 선언 면서 거짓 위선 선동 국민 힘들 정치 끝내 진실 정의 자유 넘치 새롭 대한민국 만들 다고,"Wed, 09 Apr 2025 05:40:18 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZSLIW2IDKFCOZCFWOHZD3FEMHA/,조선닷컴
"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의”",우원식 국회 의장 대선 개헌 동시 투표 제안 철회 개헌 대하 정당 입장 관련 논의 대선 미루 자는 의장 이날 페이스북 국민 공감대 기초 정당 합의 대선 이후 본격 논의 자면서 상황 대선 동시 투표 개헌 사실 어렵 다고 판단 ㄴ다고 밝히,"Wed, 09 Apr 2025 04:10:21 +0000",https://www.chosun.com/politics/assembly/2025/04/09/P2UGXYJBQ5EL3JCSQ2ONFZ7NQU/,조선닷컴
"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마",21 대통령 선거일 확정 국민 더불어민주당 소속 현직 광역 자치 단체장 줄줄이 대선 경선 출마 선언 나서 당내 경선 공직 물러나 아도 참여 가능 경선 기간 시정 도정 공백 상황 벌어지 다는 우려 나오 ㄴ다,"Wed, 09 Apr 2025 05:32:24 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/TNPNJJOY6ZCUBPGGDNQF5NKQYQ/,조선닷컴
김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언,김문수 고용 노동부 장관 차기 대통령 선거 출마 공식 선언 피고인 이재명 상대 가지 깨끗하 김문수 제격 라고,"Wed, 09 Apr 2025 01:00:33 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/HMGTQTGSXFB3XLWMKBMWCMFW5M/,조선닷컴
국힘 경선 후보등록 14∼15일… 내달 3일 대선후보 선출,국민 대선 경선 선거 관리 위원회 회의 내달 전당 대회 대선 후보 확정,"Wed, 09 Apr 2025 03:02:40 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/63H42W3Z4RHSJOQT2XUTDTI6EI/,조선닷컴
정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표”,정부 지나 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 통화 바탕 미국 한국 수입품 대하 부과 25 추가 관세 낮추 위하 협상 들어가 ㄴ다고 밝히,"Wed, 09 Apr 2025 02:25:41 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/C4557AHXMVA3JJVF4XUAGWHLXA/,조선닷컴
"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순",이재명 더불어민주당 대표 대표직 내려놓 대선 출마 수순 들어가 대표 이제 새롭 시작 다고 대표 어려움 국민 께서 과거 역경 이기 위대하 DNA 발휘 아서 빠르 시일 이기 ㄴ다며 역경 다고,"Wed, 09 Apr 2025 01:17:07 +0000",https://www.chosun.com/politics/assembly/2025/04/09/LXN5NMHIFRAELKRK7ZPA4IQCGM/,조선닷컴
"김부겸 전 총리, 민주당 경선에 참여 안 한다",조기 대선 출마 시사 김부겸 총리 민주당 대통령 선거 후보 경선 출마 결정,"Wed, 09 Apr 2025 00:08:38 +0000",https://www.chosun.com/politics/assembly/2025/04/09/J6THVHMIYBCARETLOALIF7564Q/,조선닷컴
"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 조선 미국 LNG 액화 천연가스 수입 무역 수지 균형 분야 미국 협력 의지 강조 다고 국무총리실 밝히,"Tue, 08 Apr 2025 14:26:40 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/T7CV5F35YZHNFJ4UBD3TXBG4U4/,조선닷컴
