title,description,published,link,media
"韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법”","<img alt=""한덕수 대통령 권한대행 국무총리가 지난 8일 정부서울청사 집무실에서 도널드 트럼프 미국 대통령과 통화하고 있다(왼쪽 사진). 지난 1월 트럼프 대통령 취임 이후 한미 정상 간 직접 소통은 이번이 처음이다. 통화는 28분간 이뤄졌다고 국무총리실은 밝혔다. 오른쪽은 트럼프 대통령이 2018년 11월 트럼프 행정부 1기 때 통화하는 모습. /국무총리실·AP 연합뉴스"" height=""1000"" src=""https://www.chosun.com/resizer/v2/Q7PR7IMD3JESNJPS7X7UXOM7WQ.jpg?width=1600&amp;height=1000&amp;auth=a5830d623e5ed4c3557d36c8d8bac4913cda9c87f4d5c417320babda239e8a02&amp;smart=true"" width=""1600"" /><p>한덕수 대통령 권한대행 국무총리가 9일 미국이 한국을 비롯한 각국을 상대로 이른바 ‘상호 관세’를 발효한 것에 대해 “보복 관세로 강경 대응하는 나라도 있지만, 이렇게 어려울 때일수록 한미 동맹을 안보 동맹이자 경제 동맹으로 더욱 튼튼하게 격상시켜 나가는 것이 보다 슬기로운 해법”이라고 주장했다.</p>","Wed, 09 Apr 2025 11:14:25 +0000",https://www.chosun.com/politics/goverment/2025/04/09/OE6JPGXF5JBJRP6SFVD6FZ7HHI/,조선닷컴
선관위원장 “대선 때 수검표... 사전투표함 보관소 24시간 영상 공개”,"<img alt=""노태악 중앙선거관리위원장이 9일 오전 경기 과천시 중앙선거관리위원회에서 제21대 대통령 선거 관련 대국민 담화를 발표하고 있다. /박성원 기자"" height=""3480"" src=""https://www.chosun.com/resizer/v2/7MXUHHDDW5CXBPW2JALJGDWOFA.jpg?width=5340&amp;height=3480&amp;auth=bcfa46c7c61b016c9f7fbee0419ba22fb03fabe5fa00c3dd763fda3ff42544f1&amp;smart=true"" width=""5340"" /><p>노태악(대법관) 중앙선거관리위원장이 9일 6·3 조기 대선 투·개표와 관련해 “수검표와 사전 투표 보관 장소 CCTV(방범 카메라) 24시간 공개를 통해 선거 절차의 투명성과 정확성을 더욱 담보하겠다”고 밝혔다. 이번 조기 대선 때도 부정선거 논란이 불거지지 않도록 투·개표 시스템 관리를 투명하게 하겠다는 것이다. 기계(계수기)로 센 투표지를 사람 손으로 한 번 더 일일이 검산하는 수검표와 사전 투표함 보관소 방범 카메라 영상 공개는 선거 부정 방지 차원에서 작년 4월 총선 때부터 도입됐다. </p>","Wed, 09 Apr 2025 08:00:22 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/QS5JJSCU3ZAOTJFPAFH53XMBFA/,조선닷컴
"이완규, ‘국민의힘 당적 논란’에 “정당 가입한 적 없다”","<p>헌법재판관 후보자로 지명된 이완규 법제처장은 민주당 일각에서 제기된 ‘국민의힘 당적 보유 논란’에 대해 “저는 국민의힘을 비롯해 어떤 정당에도 가입해 정치활동을 한 적이 없다”고 9일 밝혔다.</p><img alt=""헌법재판관 후보자로 지명된 이완규 법제처장이 9일 오전 서울 여의도 국회에서 열린 제424회 국회(임시회) 법제사법위원회 제1차 전체회의에 참석해 의원들의 질의에 답하고 있다. /남강호 기자"" height=""1918"" src=""https://www.chosun.com/resizer/v2/Z27PHZT6XNECBA4GKCWEEJD6P4.jpg?width=2557&amp;height=1918&amp;auth=177155c87cf4a79b61e1f9a65e5614f1cedafadf17fb2360fa578523696d0666&amp;smart=true"" width=""2557"" />","Wed, 09 Apr 2025 03:42:04 +0000",https://www.chosun.com/national/court_law/2025/04/09/AHUNWCECKJA3RNVCFOVQ75NIIQ/,조선닷컴
"민주당 초선들 “韓, 이완규·함상훈 지명 철회 안하면 탄핵 추진""","<img alt=""더불어민주당 초선의원 모임인 '더민초' 소속 의원들이 9일 오후 서울 여의도 국회 소통관에서 한덕수 대통령 권한대행 탄핵 촉구 기자회견을 하고 있다./뉴스1"" height=""2454"" src=""https://www.chosun.com/resizer/v2/SAGGWCZETJMOTMQTUKLNAJTBXI.JPG?width=5557&amp;height=2454&amp;auth=3ccae2ea447d24af5ad0b075f6069c19586759375130fdace913365f1b9883e9&amp;smart=true"" width=""5557"" /><p>더불어민주당 초선 의원 모임인 ‘더민초’가 9일 한덕수 대통령 권한대행을 향해 “지금이라도 이완규·함상훈 헌법재판관 지명을 철회하라”며 “만일 철회하지 않는다면 우리는 ‘내란수괴 아바타’ 한덕수 총리의 탄핵을 추진하겠다”고 했다. 더민초는 최상목 경제부총리와 심우정 검찰총장도 탄핵돼야 한다고 했다.</p>","Wed, 09 Apr 2025 07:15:17 +0000",https://www.chosun.com/politics/assembly/2025/04/09/NORPAIF3E5BC3OJEVHCIVDFHUI/,조선닷컴
"‘권한대행 헌법재판관 지명 금지’, 민주당 주도 법사위 통과","<p>대통령 권한대행이 대통령 몫의 헌법재판관을 지명할 수 없도록 하는 헌법재판소법 개정안이 9일 더불어민주당 주도로 국회 법제사법위원회를 통과했다.</p><img alt=""정청래 국회 법제사법위원회 위원장이 9일 오전 서울 여의도 국회에서 열린 법사위 전체회의에서 의사봉을 두드리고 있다. /뉴스1"" height=""3780"" src=""https://www.chosun.com/resizer/v2/PW2K6UALXJNCLGBRP6ZPJPTRCM.JPG?width=5670&amp;height=3780&amp;auth=6516e0ce8d4e0c93318a8719c70e02d27ba3701075e59d94c1a326badcf42fdc&amp;smart=true"" width=""5670"" />","Wed, 09 Apr 2025 02:03:47 +0000",https://www.chosun.com/politics/assembly/2025/04/09/F5UIZXAUCVAFJFCBG6ZL7CGHDE/,조선닷컴
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,"<img alt=""이철우 경북도지사가 9일 오후 서울 여의도 국회 소통관에서 열린 기자회견에서 제21대 대통령선거 출마선언을 하고 있다. /남강호 기자"" height=""3832"" src=""https://www.chosun.com/resizer/v2/N2T4EHIBBNEZZJTM6JS4BTOTQA.jpg?width=5000&amp;height=3832&amp;auth=877df7f2e1df31e811c48ef6073b145b1135c71a255cffa16045c7b2ee0de656&amp;smart=true"" width=""5000"" /><p>이철우 경북지사가 9일 경북 구미의 박정희 대통령 생가에서 제21대 대통령 선거 출마 선언을 했다. 이 지사는 “새로운 시대의 박정희가 되어 대한민국을 초일류 국가로 만들겠다”고 했다. 이어진 서울 여의도 국회 기자회견에는 국민의힘 이인선, 정희용, 임종득, 인요한, 이달희 의원 등이 찾았다.</p>","Wed, 09 Apr 2025 05:54:15 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴
"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매”","<p>북한 김여정 노동당 부부장은 9일 담화에서 비핵화에 대해 “사문화된 개념”이라며 “시대착오적”이라고 했다. 한·미·일 3국의 비핵화 촉구를 두고는 “뭐가 모자란다는 말밖에 듣지 못할 것”이라고 했다. 도널드 트럼프 대통령이 취임 이후 김정은 국무위원장과의 대화 의사를 공개적으로 여러 번 언급했으나 북한 비핵화를 전제로 한 대화는 응하지 않겠다는 입장을 발신했다는 분석이다. </p><img alt=""김여정 북한 노동당 부부장./조선중앙TV 화면 캡처"" height=""355"" src=""https://www.chosun.com/resizer/v2/LVU3UWP6CFL5BQACADFWFATUGQ.jpg?width=585&amp;height=355&amp;auth=7a6c2dd75be989ca5cddc3862193ea4fdb9ff8bfd34867424cebd870eb698949&amp;smart=true"" width=""585"" />","Wed, 09 Apr 2025 06:34:05 +0000",https://www.chosun.com/politics/north_korea/2025/04/09/RY6D74ZJ65FU3GV6EBRBXD7NTM/,조선닷컴
"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자”","<p>유정복 인천시장이 9일 대선 출마를 선언하면서 “거짓과 위선, 선동으로 국민을 힘들게 하는 정치를 끝내고 진실과 정의, 자유가 넘쳐 나는 새로운 대한민국을 만들겠다”고 했다.</p><img alt=""유정복 인천시장이 9일 인천 중구 자유공원 맥아더 동상 앞에서 제21대 대통령 선거 출마를 선언하고 있다. /연합뉴스"" height=""3333"" src=""https://www.chosun.com/resizer/v2/MHRK5U3CEQQL647VTMTMYX2IRE.jpg?width=5000&amp;height=3333&amp;auth=c39ff1e3afa2c0ed515cb17204455d9a2273a81585001fec6ad2a446b5bf7202&amp;smart=true"" width=""5000"" />","Wed, 09 Apr 2025 05:40:18 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZSLIW2IDKFCOZCFWOHZD3FEMHA/,조선닷컴
"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의”",<p>우원식 국회의장이 ‘대선·개헌 동시 투표’ 제안을 9일 철회했다. 개헌에 대한 정당별 입장 차가 큰 만큼 관련 논의를 대선 뒤로 미루자는 것이다. </p><p>우 의장은 이날 페이스북 글에서 “국민적 공감대에 기초한 제 정당의 합의로 대선 이후 본격 논의를 이어가자”면서 “현 상황에서는 대선 동시투표 개헌이 사실상 어려워졌다고 판단한다”고 밝혔다.</p>,"Wed, 09 Apr 2025 04:10:21 +0000",https://www.chosun.com/politics/assembly/2025/04/09/P2UGXYJBQ5EL3JCSQ2ONFZ7NQU/,조선닷컴
"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마","<p>21대 대통령 선거일이 6월 3일로 확정되자 국민의힘과 더불어민주당 소속 현직 광역자치단체장들이 줄줄이 대선 경선 출마 선언에 나서고 있다. 당내 경선에는 공직에서 물러나지 않아도 참여가 가능하지만, 경선 기간 동안 시정(市政)·도정(道政) 공백 상황이 벌어질 수 있다는 우려도 나온다.</p><img alt=""유정복 인천시장(왼쪽부터), 오세훈 서울시장, 김동연 경기도지사가 지난 2023년 11월 서울 중구 프레스센터에서 3자 회담을 하고 있는 모습. /뉴스1"" height=""3849"" src=""https://www.chosun.com/resizer/v2/5NP7D4XIIZMBTEFUM7P4O7A3NI.JPG?width=6000&amp;height=3849&amp;auth=34d6c14025984351dfe2c6eda39801819f07843d031ea65b2e590e1015c10657&amp;smart=true"" width=""6000"" />","Wed, 09 Apr 2025 05:32:24 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/TNPNJJOY6ZCUBPGGDNQF5NKQYQ/,조선닷컴
