title,description,published,link,media,text,topic
"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매”",북한 김여정 노동당 부부장 담화 대하 사문 개념 라며 시대착오 라고 한미일 촉구 모자라 ㄴ다는 밖에 못하 라고 도널드 트럼프 대통령 취임 이후 김정은 국무 위원장 대화 의사 공개 여러 언급 으나 북한 전제 대화 응하 다는 입장 발신 다는 분석,"Wed, 09 Apr 2025 06:34:05 +0000",https://www.chosun.com/politics/north_korea/2025/04/09/RY6D74ZJ65FU3GV6EBRBXD7NTM/,조선닷컴,"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매” 북한 김여정 노동당 부부장 담화 대하 사문 개념 라며 시대착오 라고 한미일 촉구 모자라 ㄴ다는 밖에 못하 라고 도널드 트럼프 대통령 취임 이후 김정은 국무 위원장 대화 의사 공개 여러 언급 으나 북한 전제 대화 응하 다는 입장 발신 다는 분석",-1
"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각",북한군 10 오후 동부 전선 무장 지대 DMZ 군사 분계선 MDL 침범 국군 즉각 경고 방송 경고 사격 다고 합동 참모 본부 밝히 지나 윤석열 대통령 파면 국내 정국 조기 대선 전환 가운데 북한 대남 도발 나서 냐는 지적 나오 ㄴ다 북한 병력 전원 무장 상태 알려지,"Tue, 08 Apr 2025 09:16:34 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/NRC2XXSONJD4JK76KG73M6VDRM/,조선닷컴,"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각 북한군 10 오후 동부 전선 무장 지대 DMZ 군사 분계선 MDL 침범 국군 즉각 경고 방송 경고 사격 다고 합동 참모 본부 밝히 지나 윤석열 대통령 파면 국내 정국 조기 대선 전환 가운데 북한 대남 도발 나서 냐는 지적 나오 ㄴ다 북한 병력 전원 무장 상태 알려지",-1
‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻?,안철수 국민 의원 대통령 선거 출마 선언 손가락 글자 적히 장면 포착 온라인 논란,"Tue, 08 Apr 2025 05:57:47 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/P4WOQKVPSJCMLL3HWDISI76H7U/,조선닷컴,‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻? 안철수 국민 의원 대통령 선거 출마 선언 손가락 글자 적히 장면 포착 온라인 논란,-1
김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것”,김민석 더불어민주당 수석 최고 위원 조기 대선 치르 차기 정부 사용 대통령 집무실 관련 정당 집권 느냐 떠나 장기 지속 대통령실 자리 용산 어야 ㄴ다는 대부분 국민 동의 라고,"Tue, 08 Apr 2025 02:03:35 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/SR4XNLZ5SJD7NORBEC6AD4UG4E/,조선닷컴,김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것” 김민석 더불어민주당 수석 최고 위원 조기 대선 치르 차기 정부 사용 대통령 집무실 관련 정당 집권 느냐 떠나 장기 지속 대통령실 자리 용산 어야 ㄴ다는 대부분 국민 동의 라고,-1
이재명 싱크탱크 ‘성장과 통합’ 출범… 유종일·허민 공동대표,대선 이재명 더불어민주당 대표 지원 싱크탱크 역할 성장 통합 출범 ㄴ다 진보 성향 경제학자 알려지 유종일 한국개발연구원 KDI 국제 정책 대학원장 대표 는다,"Mon, 07 Apr 2025 09:47:14 +0000",https://www.chosun.com/politics/assembly/2025/04/07/A4JG5P4T6VBXHGTNQTX7IC4DCI/,조선닷컴,이재명 싱크탱크 ‘성장과 통합’ 출범… 유종일·허민 공동대표 대선 이재명 더불어민주당 대표 지원 싱크탱크 역할 성장 통합 출범 ㄴ다 진보 성향 경제학자 알려지 유종일 한국개발연구원 KDI 국제 정책 대학원장 대표 는다,-1
안철수 “이번 주 광화문서 대선 출마 선언”,안철수 국민 의원 중반 서울 광화문 대통령 선거 출마 선언 방안 검토 다고 밝히,"Sun, 06 Apr 2025 07:56:35 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/06/YV427BY5IRGDJEBDYG2KYUUSYQ/,조선닷컴,안철수 “이번 주 광화문서 대선 출마 선언” 안철수 국민 의원 중반 서울 광화문 대통령 선거 출마 선언 방안 검토 다고 밝히,-1
한동훈 “분열을 넘어 치유와 회복으로” 메시지,한동훈 국민 대표 분열 치유 회복 ㄴ다는 입장 밝히,"Sun, 06 Apr 2025 05:52:56 +0000",https://www.chosun.com/politics/assembly/2025/04/06/MPIETSHDQRANHNGR66HSWWOXQA/,조선닷컴,한동훈 “분열을 넘어 치유와 회복으로” 메시지 한동훈 국민 대표 분열 치유 회복 ㄴ다는 입장 밝히,-1
홍준표 “정치 인생 마지막 사명으로 철저히 준비” 사실상 대선 출마 선언,홍준표 대구시장 30 정치 인생 마지막 사명 생각 철저 준비 다며 절차 차례 국민 다시 다고 밝히 전날 헌법 재판소 윤석열 대통령 탄핵 인용 하루 입장 사실 대선 출마 선언,"Sat, 05 Apr 2025 00:49:28 +0000",https://www.chosun.com/politics/politics_general/2025/04/05/XBZE4FVHIBHMFO3OP22XCCM5EI/,조선닷컴,홍준표 “정치 인생 마지막 사명으로 철저히 준비” 사실상 대선 출마 선언 홍준표 대구시장 30 정치 인생 마지막 사명 생각 철저 준비 다며 절차 차례 국민 다시 다고 밝히 전날 헌법 재판소 윤석열 대통령 탄핵 인용 하루 입장 사실 대선 출마 선언,-1
"정부, ‘독도는 일본땅’ 日외교청서에 “강력 항의… 철회 촉구”",외교부 일본 정부 외교 청서 담기 부당 독도 영유 주장 대하 항의 즉각 철회 요구,"Tue, 08 Apr 2025 01:38:31 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/5ER7EBUEQFGOFPYHKBDJ625H3Y/,조선닷컴,"정부, ‘독도는 일본땅’ 日외교청서에 “강력 항의… 철회 촉구” 외교부 일본 정부 외교 청서 담기 부당 독도 영유 주장 대하 항의 즉각 철회 요구",-1
"이재명, 내일 대선 출마 공식화…현장연설 대신 영상 공개",이재명 더불어민주당 대표 10 차기 대선 출마 공식 ㄴ다 대표 따르 대표 10 오전 10 현장 연설 없이 영상 대선 출마 선언 미래 비전 경선 캠프 인선 다음날 발표 예정 출마 선언 영상 21 대통령 선거 출마 대표 의지 각오 담기 ㄴ다 해당 영상 윤석열 대통령 파면 직후 서울 모처 카페 촬영 다고 ㄴ다 비전 선포식 11 오전 10 국회 소통관 는다 민의 전당 국회 존중 정당 협치 언론 소통 중시 상징 장소 택하 다는 대표 설명 경선 캠프 인선 비전 선포식 발표 ㄴ다 선거 대책 위원장 윤호중 의원 선거 본부장 강훈식 의원 내정 알려지 김병기 조직 김영진 정무윤 후덕 정책한병도 상황 김우영 전략 의원 합류 전하 권혁기 대표 정무 기획실장 통합 능력,"Wed, 09 Apr 2025 17:39:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131381986/1,동아닷컴,"이재명, 내일 대선 출마 공식화…현장연설 대신 영상 공개 이재명 더불어민주당 대표 10 차기 대선 출마 공식 ㄴ다 대표 따르 대표 10 오전 10 현장 연설 없이 영상 대선 출마 선언 미래 비전 경선 캠프 인선 다음날 발표 예정 출마 선언 영상 21 대통령 선거 출마 대표 의지 각오 담기 ㄴ다 해당 영상 윤석열 대통령 파면 직후 서울 모처 카페 촬영 다고 ㄴ다 비전 선포식 11 오전 10 국회 소통관 는다 민의 전당 국회 존중 정당 협치 언론 소통 중시 상징 장소 택하 다는 대표 설명 경선 캠프 인선 비전 선포식 발표 ㄴ다 선거 대책 위원장 윤호중 의원 선거 본부장 강훈식 의원 내정 알려지 김병기 조직 김영진 정무윤 후덕 정책한병도 상황 김우영 전략 의원 합류 전하 권혁기 대표 정무 기획실장 통합 능력",-1
