title,description,published,link,media,text,topic
"韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법”",한덕수 대통령 권한 대행 국무총리 미국 한국 비롯하 각국 상대 이른바 상호 관세 발효 대하 보복 관세 강경 대응 나라 이렇 어렵 ㄹ수록 동맹 안보 동맹 경제 동맹 더욱 튼튼하 격상 시키 나가 보다 슬기 해법 라고 주장,"Wed, 09 Apr 2025 11:14:25 +0000",https://www.chosun.com/politics/goverment/2025/04/09/OE6JPGXF5JBJRP6SFVD6FZ7HHI/,조선닷컴,"韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법” 한덕수 대통령 권한 대행 국무총리 미국 한국 비롯하 각국 상대 이른바 상호 관세 발효 대하 보복 관세 강경 대응 나라 이렇 어렵 ㄹ수록 동맹 안보 동맹 경제 동맹 더욱 튼튼하 격상 시키 나가 보다 슬기 해법 라고 주장",2
정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표”,정부 지나 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 통화 바탕 미국 한국 수입품 대하 부과 25 추가 관세 낮추 위하 협상 들어가 ㄴ다고 밝히,"Wed, 09 Apr 2025 02:25:41 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/C4557AHXMVA3JJVF4XUAGWHLXA/,조선닷컴,정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표” 정부 지나 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 통화 바탕 미국 한국 수입품 대하 부과 25 추가 관세 낮추 위하 협상 들어가 ㄴ다고 밝히,2
"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 조선 미국 LNG 액화 천연가스 수입 무역 수지 균형 분야 미국 협력 의지 강조 다고 국무총리실 밝히,"Tue, 08 Apr 2025 14:26:40 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/T7CV5F35YZHNFJ4UBD3TXBG4U4/,조선닷컴,"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 조선 미국 LNG 액화 천연가스 수입 무역 수지 균형 분야 미국 협력 의지 강조 다고 국무총리실 밝히",2
"韓대행, CNN 인터뷰 “美와 관세 협상할 것...中과 연합 안 한다”",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 행정부 관세 부과 중국 일본 연합 대항 보다 미국 협상 다는 밝히,"Tue, 08 Apr 2025 14:21:12 +0000",https://www.chosun.com/politics/goverment/2025/04/08/2U4IG7KZVBB7ZCSTRIJL5HQ7SA/,조선닷컴,"韓대행, CNN 인터뷰 “美와 관세 협상할 것...中과 연합 안 한다” 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 행정부 관세 부과 중국 일본 연합 대항 보다 미국 협상 다는 밝히",2
"韓대행, 트럼프와 28분간 통화… ‘트럼프 2기’ 첫 정상 외교",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 다고 국무총리실 밝히,"Tue, 08 Apr 2025 12:07:45 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/LO7OMLQGPBHKNLXP746GGP6FCU/,조선닷컴,"韓대행, 트럼프와 28분간 통화… ‘트럼프 2기’ 첫 정상 외교 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 다고 국무총리실 밝히",2
트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사,한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 28 가량 통화 123 비상계엄 미국 트럼프 행정부 출범 이후 정상 통화 처음 트럼프 대통령 통화 대하 무역 적자 문제 관세 조선업 협력 미국 액화 천연가스 LNG 방위비 분담금 문제 거론 대행 한국 미국 윈윈 희망 ㄴ다고 다고 총리실 전하 양측 통화 직후 케빈 해싯 국가경제위원회 NEC 위원장 언론 인터뷰 트럼프 무역 협상 한국일본 동맹 라고 지시 다고 밝히,"Tue, 08 Apr 2025 15:56:50 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZNRLLYPXLJGQ5EJ6S5QI3MEYDQ/,조선닷컴,트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 28 가량 통화 123 비상계엄 미국 트럼프 행정부 출범 이후 정상 통화 처음 트럼프 대통령 통화 대하 무역 적자 문제 관세 조선업 협력 미국 액화 천연가스 LNG 방위비 분담금 문제 거론 대행 한국 미국 윈윈 희망 ㄴ다고 다고 총리실 전하 양측 통화 직후 케빈 해싯 국가경제위원회 NEC 위원장 언론 인터뷰 트럼프 무역 협상 한국일본 동맹 라고 지시 다고 밝히,2
권성동 “세계 관세 전쟁에 특단 조치 필요… 10조 추경 계획 재검토해야”,국민 권성동 원내 대표 글로벌 관세 전쟁 대응 위하 정부 10 규모 추진 추가 경정 예산안 규모 늘리 어야 ㄴ다고 주장,"Tue, 08 Apr 2025 00:36:48 +0000",https://www.chosun.com/politics/assembly/2025/04/08/NRCKKWYRTZGKHJK6A6N24G5M4Q/,조선닷컴,권성동 “세계 관세 전쟁에 특단 조치 필요… 10조 추경 계획 재검토해야” 국민 권성동 원내 대표 글로벌 관세 전쟁 대응 위하 정부 10 규모 추진 추가 경정 예산안 규모 늘리 어야 ㄴ다고 주장,2
"외교부, 트럼프 ‘방위비’ 언급에 “꾸준한 증액 미측에 적극 설명·협의할 것”",외교부 마코 루비오 미국 국무 장관 방한 가능 대하 여건 마련 대로 논의 구체 경우 일정 조율 다는 입장 밝히 외교부 마코 루비오 미국 국무 장관 이르 한국 방문 위하 정부 일정 조율 알려지 대하 정부 행정부 출범 직후 한미 외교 장관 교류 다며 적시 상호 방문 추진 나가 추후 구체 경우 일정 조율 나가 고자 ㄴ다고 밝히 루비오 장관 이르 아시아 순방 일환 한국 방문 가능 대두 피트 헤그세스 국방장관 털시 개버드 국가 정보국 DNI 국장 아시아 순방 일본 방문 달리 한국 배제 루비오 장관 방한 도널드 트럼프 행정부 출범 고위급 인사 루비오 장관 일정 여의하 경우 밀도 의견 교환 위하 회담 위하 조태열 외교부 장관 가능 외교부,"Wed, 09 Apr 2025 18:23:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131382375/1,동아닷컴,"외교부, 트럼프 ‘방위비’ 언급에 “꾸준한 증액 미측에 적극 설명·협의할 것” 외교부 마코 루비오 미국 국무 장관 방한 가능 대하 여건 마련 대로 논의 구체 경우 일정 조율 다는 입장 밝히 외교부 마코 루비오 미국 국무 장관 이르 한국 방문 위하 정부 일정 조율 알려지 대하 정부 행정부 출범 직후 한미 외교 장관 교류 다며 적시 상호 방문 추진 나가 추후 구체 경우 일정 조율 나가 고자 ㄴ다고 밝히 루비오 장관 이르 아시아 순방 일환 한국 방문 가능 대두 피트 헤그세스 국방장관 털시 개버드 국가 정보국 DNI 국장 아시아 순방 일본 방문 달리 한국 배제 루비오 장관 방한 도널드 트럼프 행정부 출범 고위급 인사 루비오 장관 일정 여의하 경우 밀도 의견 교환 위하 회담 위하 조태열 외교부 장관 가능 외교부",2
정부 “10조 추경안 빠른 시일 내 국회 제출…정치권과 적극 협력”,정부 추가 경정 예산 추경안 편성 속도 다고 밝히 방기선 국무 조정 실장 이날 정부서울청사 기자 만나 민생 안정 산불 피해 복구 위하 10 규모 추경안 만들 다며 빠르 시일 정부안 만들 국회 제출 도록 다고 밝히 골든타임 놓치 위하 재원 마련 정치 적극 대화 협력 나가 다고 밝히 정부 고위 관계자 더불어민주당 민생 해결 추경 협의 위하 제안 정당 정책 협의회 대하 필요 협의 다고 밝히 한덕수 대통령 권한 대행 국무총리 문형배이미선 헌법 재판관 후임자 지명 추경 논의 영향 미치 라는 우려 관계자 정치 민생 별개 을까 추경 정치 지속 논의 라고 서울뉴시스,"Wed, 09 Apr 2025 14:33:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131379248/1,동아닷컴,정부 “10조 추경안 빠른 시일 내 국회 제출…정치권과 적극 협력” 정부 추가 경정 예산 추경안 편성 속도 다고 밝히 방기선 국무 조정 실장 이날 정부서울청사 기자 만나 민생 안정 산불 피해 복구 위하 10 규모 추경안 만들 다며 빠르 시일 정부안 만들 국회 제출 도록 다고 밝히 골든타임 놓치 위하 재원 마련 정치 적극 대화 협력 나가 다고 밝히 정부 고위 관계자 더불어민주당 민생 해결 추경 협의 위하 제안 정당 정책 협의회 대하 필요 협의 다고 밝히 한덕수 대통령 권한 대행 국무총리 문형배이미선 헌법 재판관 후임자 지명 추경 논의 영향 미치 라는 우려 관계자 정치 민생 별개 을까 추경 정치 지속 논의 라고 서울뉴시스,2
동맹 챙긴다지만…합의 6개월 만에 방위비 협상 깨는 트럼프,도널드 트럼프 미국 대통령 상호 관세 경제 현안 주한 미군 방위비 분담금 인상 문제 연계 나가 다는 입장 밝히 트럼프 출범 따르 우려 안보 리스크 이제 현실 양상 이다트럼프 대통령 소셜 미디어 트루스 소셜 한덕수 대통령 권한 대행 국무총리 통화 내용 전하 한국 제공 막대하 군사 보호 대하 지불 얘기 라고 트럼프 대통령 한국 임기 수십억 달러 군사 비용 지불 시작 슬리피 바이든전 대통령 이유 계약 종료 라고 주장 트럼프 대통령 집권 2019 한국 11 방위비 분담금 특별 협정 SMA 협상 진행 방위비 분담금 가량 인상 요구 장기 협상 트럼프 대통령 임기 종료 바이든 행정부 넘어가 한미 트럼프 배제 협상 방식 다시 정상 한미 지난해,"Wed, 09 Apr 2025 11:51:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131378335/1,동아닷컴,동맹 챙긴다지만…합의 6개월 만에 방위비 협상 깨는 트럼프 도널드 트럼프 미국 대통령 상호 관세 경제 현안 주한 미군 방위비 분담금 인상 문제 연계 나가 다는 입장 밝히 트럼프 출범 따르 우려 안보 리스크 이제 현실 양상 이다트럼프 대통령 소셜 미디어 트루스 소셜 한덕수 대통령 권한 대행 국무총리 통화 내용 전하 한국 제공 막대하 군사 보호 대하 지불 얘기 라고 트럼프 대통령 한국 임기 수십억 달러 군사 비용 지불 시작 슬리피 바이든전 대통령 이유 계약 종료 라고 주장 트럼프 대통령 집권 2019 한국 11 방위비 분담금 특별 협정 SMA 협상 진행 방위비 분담금 가량 인상 요구 장기 협상 트럼프 대통령 임기 종료 바이든 행정부 넘어가 한미 트럼프 배제 협상 방식 다시 정상 한미 지난해,2
