title,description,published,link,media,text,topic
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,이철우 경북 지사 경북 구미 박정희 대통령 생가 21 대통령 선거 출마 선언 지사 새롭 시대 박정희 대한민국 일류 국가 만들 다고 이어지 서울 여의도 국회 기자 회견 국민 이인선 정희용 임종득 인요한 이달희 의원,"Wed, 09 Apr 2025 05:54:15 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴,“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언 이철우 경북 지사 경북 구미 박정희 대통령 생가 21 대통령 선거 출마 선언 지사 새롭 시대 박정희 대한민국 일류 국가 만들 다고 이어지 서울 여의도 국회 기자 회견 국민 이인선 정희용 임종득 인요한 이달희 의원,3
"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자”",유정복 인천시장 대선 출마 선언 면서 거짓 위선 선동 국민 힘들 정치 끝내 진실 정의 자유 넘치 새롭 대한민국 만들 다고,"Wed, 09 Apr 2025 05:40:18 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZSLIW2IDKFCOZCFWOHZD3FEMHA/,조선닷컴,"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자” 유정복 인천시장 대선 출마 선언 면서 거짓 위선 선동 국민 힘들 정치 끝내 진실 정의 자유 넘치 새롭 대한민국 만들 다고",3
김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언,김문수 고용 노동부 장관 차기 대통령 선거 출마 공식 선언 피고인 이재명 상대 가지 깨끗하 김문수 제격 라고,"Wed, 09 Apr 2025 01:00:33 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/HMGTQTGSXFB3XLWMKBMWCMFW5M/,조선닷컴,김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언 김문수 고용 노동부 장관 차기 대통령 선거 출마 공식 선언 피고인 이재명 상대 가지 깨끗하 김문수 제격 라고,3
"이정현 “6공화국 마지막 대선, 개헌 대통령 되겠다”",이정현 새누리당 국민 전신 대표 공화국 마지막 대통령 선거 만들 위하 대선 출마 ㄴ다고 밝히,"Tue, 08 Apr 2025 01:44:29 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/JBQWGLCPX5D3NNZYMZBE37XWZY/,조선닷컴,"이정현 “6공화국 마지막 대선, 개헌 대통령 되겠다” 이정현 새누리당 국민 전신 대표 공화국 마지막 대통령 선거 만들 위하 대선 출마 ㄴ다고 밝히",3
"안철수, 대선 출마 선언 “시대교체, 국민통합 시대로”",국민 안철수 의원 서울 광화문광장 이순신 동상 기자 회견 국민 통합 시대교체 정직 사람 시대 나아가 다며 21 대통령 선거 출마 선언 도전 이재명 더불어민주당 대표 승리 유일 후보 라며 이기 대한민국 혁신 시키 정치 회복 다고 외치,"Tue, 08 Apr 2025 02:02:49 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/SKTS4LIJWFDAPMFTWNBLTHMQOE/,조선닷컴,"안철수, 대선 출마 선언 “시대교체, 국민통합 시대로” 국민 안철수 의원 서울 광화문광장 이순신 동상 기자 회견 국민 통합 시대교체 정직 사람 시대 나아가 다며 21 대통령 선거 출마 선언 도전 이재명 더불어민주당 대표 승리 유일 후보 라며 이기 대한민국 혁신 시키 정치 회복 다고 외치",3
"김문수, 오늘 장관직 사퇴… 대선 출마 전망",김문수 고용 노동부 장관 조기 대선 출마 선언 위하 장관 사퇴 ㄴ다 장관 여론 조사 보수 대선 후보군 지지 기록,"Tue, 08 Apr 2025 00:47:14 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/X7VLKAH5VRCYRAK2BW6KXQUYFI/,조선닷컴,"김문수, 오늘 장관직 사퇴… 대선 출마 전망 김문수 고용 노동부 장관 조기 대선 출마 선언 위하 장관 사퇴 ㄴ다 장관 여론 조사 보수 대선 후보군 지지 기록",3
"김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어”",김문수 고용 노동부 장관 대선 출마 대하 결심 내리 다며 여러 가지 깊이 고심 다고 밝히,"Mon, 07 Apr 2025 09:17:54 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/OJWCJVYGWRCALAIIITOSWH2VYQ/,조선닷컴,"김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어” 김문수 고용 노동부 장관 대선 출마 대하 결심 내리 다며 여러 가지 깊이 고심 다고 밝히",3
"이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언",이철우 경북 도지사 오후 국회 대통령 선거 출마 선언 ㄴ다 지사 본지 통화 오전 경북 구미 박정희 대통령 생가 방문 대선 출마 보고 오후 국회 출마 선언 다며 출마 당일 국회 기자 회견 통하 밝히 예정 라고,"Mon, 07 Apr 2025 06:20:25 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/INC45B6OF5FUBGK4JHA3232WWE/,조선닷컴,"이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언 이철우 경북 도지사 오후 국회 대통령 선거 출마 선언 ㄴ다 지사 본지 통화 오전 경북 구미 박정희 대통령 생가 방문 대선 출마 보고 오후 국회 출마 선언 다며 출마 당일 국회 기자 회견 통하 밝히 예정 라고",3
"前국회의원 125명 “김문수, 대선 출마 의지 밝혀야”",전직 국회의원 125 김문수 고용 노동부 장관 국민 대선 출마 의지 조속히 밝히 어야 ㄴ다고 촉구,"Mon, 07 Apr 2025 05:56:45 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/QQPE2CFET5GU7PQJJKV45PYD6M/,조선닷컴,"前국회의원 125명 “김문수, 대선 출마 의지 밝혀야” 전직 국회의원 125 김문수 고용 노동부 장관 국민 대선 출마 의지 조속히 밝히 어야 ㄴ다고 촉구",3
"김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서”",보수 진영 대선 주자 꼽히 김문수 고용 노동부 장관 치르 전망 조기 대선 출마 대하 아무런 욕심 다면서 나라 이렇 아서 느냐는 입장 밝히,"Sat, 05 Apr 2025 10:04:43 +0000",https://www.chosun.com/politics/politics_general/2025/04/05/P4C37WRI3NBNTLSCQ724ELIWVI/,조선닷컴,"김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서” 보수 진영 대선 주자 꼽히 김문수 고용 노동부 장관 치르 전망 조기 대선 출마 대하 아무런 욕심 다면서 나라 이렇 아서 느냐는 입장 밝히",3
