title,description,published,link,media,text,topic
"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의”",우원식 국회 의장 대선 개헌 동시 투표 제안 철회 개헌 대하 정당 입장 관련 논의 대선 미루 자는 의장 이날 페이스북 국민 공감대 기초 정당 합의 대선 이후 본격 논의 자면서 상황 대선 동시 투표 개헌 사실 어렵 다고 판단 ㄴ다고 밝히,"Wed, 09 Apr 2025 04:10:21 +0000",https://www.chosun.com/politics/assembly/2025/04/09/P2UGXYJBQ5EL3JCSQ2ONFZ7NQU/,조선닷컴,"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의” 우원식 국회 의장 대선 개헌 동시 투표 제안 철회 개헌 대하 정당 입장 관련 논의 대선 미루 자는 의장 이날 페이스북 국민 공감대 기초 정당 합의 대선 이후 본격 논의 자면서 상황 대선 동시 투표 개헌 사실 어렵 다고 판단 ㄴ다고 밝히",4
"우원식 “민주·국힘, 개헌투표 동의... 국민투표법 개정하자""",우원식 국회 의장 국민 더불어민주당 대선 동시 개헌 투표 진행 동의 다며 국민 투표법 개정 서두르 자는 입장 밝히,"Mon, 07 Apr 2025 04:19:34 +0000",https://www.chosun.com/politics/assembly/2025/04/07/6RK67RTYZBFJJBFR4QSUJI6MQ4/,조선닷컴,"우원식 “민주·국힘, 개헌투표 동의... 국민투표법 개정하자"" 우원식 국회 의장 국민 더불어민주당 대선 동시 개헌 투표 진행 동의 다며 국민 투표법 개정 서두르 자는 입장 밝히",4
우원식 공격하는 친명계 “개헌? 국회의장 놀이 중단하라”,우원식 국회 의장 대선 개헌 국민 투표 동시 실시 제안 더불어민주당 인사 지금 개헌 사람 꿍꿍이 다며 공격 나서 이재명 대표 대선 개헌 동시 투표 사실 반대 입장 밝히 면서 의장 개헌 찬성론자 향하 수박 비명 비하 부르 몰이 거세,"Mon, 07 Apr 2025 11:03:37 +0000",https://www.chosun.com/politics/assembly/2025/04/07/HH4S574SDVF63AJP4ZOFXM4U2Y/,조선닷컴,우원식 공격하는 친명계 “개헌? 국회의장 놀이 중단하라” 우원식 국회 의장 대선 개헌 국민 투표 동시 실시 제안 더불어민주당 인사 지금 개헌 사람 꿍꿍이 다며 공격 나서 이재명 대표 대선 개헌 동시 투표 사실 반대 입장 밝히 면서 의장 개헌 찬성론자 향하 수박 비명 비하 부르 몰이 거세,4
이재명 “개헌 필요하지만…지금은 내란종식이 먼저”,이재명 더불어민주당 대표 정치 나오 헌법 개정 요구 관련 개헌 필요 지금 내란 종식 먼저 라고,"Mon, 07 Apr 2025 01:49:07 +0000",https://www.chosun.com/politics/assembly/2025/04/07/N6H7TNCPLVBHHPRAFFYLNBDGUE/,조선닷컴,이재명 “개헌 필요하지만…지금은 내란종식이 먼저” 이재명 더불어민주당 대표 정치 나오 헌법 개정 요구 관련 개헌 필요 지금 내란 종식 먼저 라고,4
권영세 “개헌안 마련해 대선 때 국민투표 부치는 방안 추진”,국민 권영세 비상 대책 위원장 국민 제대로 반영 개헌안 마련 대통령 선거일 국민 투표 부치 방안 추진 다고 밝히,"Mon, 07 Apr 2025 00:39:25 +0000",https://www.chosun.com/politics/2025/04/07/QMXLSAES5RFJ5AP5WHJNBWGQZE/,조선닷컴,권영세 “개헌안 마련해 대선 때 국민투표 부치는 방안 추진” 국민 권영세 비상 대책 위원장 국민 제대로 반영 개헌안 마련 대통령 선거일 국민 투표 부치 방안 추진 다고 밝히,4
‘대선·개헌 동시 투표론’ 급부상,우원식 국회 의장 대통령 선거일 개헌 국민 투표 동시 시행 제안 ㄴ다고 밝히 의장 이날 국회 발표 특별 담화 개헌 지나 개월 극심하 갈등 혼란 국민 고초 대한민국 전환 기회 바꾸 자는 시대 요구 라며,"Sun, 06 Apr 2025 15:55:37 +0000",https://www.chosun.com/politics/assembly/2025/04/07/C5QH2UWH2JBCJKDP7E7NJRWVGE/,조선닷컴,‘대선·개헌 동시 투표론’ 급부상 우원식 국회 의장 대통령 선거일 개헌 국민 투표 동시 시행 제안 ㄴ다고 밝히 의장 이날 국회 발표 특별 담화 개헌 지나 개월 극심하 갈등 혼란 국민 고초 대한민국 전환 기회 바꾸 자는 시대 요구 라며,4
친명계 “최우선 과제는 내란 완전 종식”,우원식 국회 의장 대통령 선거일 개헌 국민 투표 동시 시행 자고 제안 이재명 더불어민주당 대표 따로 입장 대표 과거 여러 차례 개헌 필요 2022 대선 대통령 중임 포함 개헌 주요 공약 이후 국회 교섭 단체 대표 연설 이듬해 신년 기자 회견 개헌 제안 정치 차기 대통령 지지도 조사 대표 선택 개헌 성사 가르 대표 대표 고심 입장 라고 대표 제외 민주당 의장 특별 담화 직후 개헌 반대 입장 잇따르 나오 개헌 필요 공감 과제 내란 종식 라는,"Sun, 06 Apr 2025 15:54:14 +0000",https://www.chosun.com/politics/assembly/2025/04/07/ERDZFDEHRVCNNBFWPMR3P3O2TU/,조선닷컴,친명계 “최우선 과제는 내란 완전 종식” 우원식 국회 의장 대통령 선거일 개헌 국민 투표 동시 시행 자고 제안 이재명 더불어민주당 대표 따로 입장 대표 과거 여러 차례 개헌 필요 2022 대선 대통령 중임 포함 개헌 주요 공약 이후 국회 교섭 단체 대표 연설 이듬해 신년 기자 회견 개헌 제안 정치 차기 대통령 지지도 조사 대표 선택 개헌 성사 가르 대표 대표 고심 입장 라고 대표 제외 민주당 의장 특별 담화 직후 개헌 반대 입장 잇따르 나오 개헌 필요 공감 과제 내란 종식 라는,4
"이재명, 개헌론에 “내란 종식이 우선”",이재명 더불어민주당 대표 우원식 국회 의장 전날 공식 제안 대선 개헌 국민 투표 동시 실시 대하 지금 내란 종식 라며 사실 반대 입장 밝히 대표 이날 최고 위원 회의 민주주의 발전 시키 중요 지금 민주주의 파괴 긴급 중요 다며 개헌 대하 사항 대선 후보 국민 약속 대선 끝나 최대한 신속 공약 대로 라고 의장 제안 거절 면서 선집 개헌 공식 해석 ㄴ다,"Mon, 07 Apr 2025 15:55:00 +0000",https://www.chosun.com/politics/assembly/2025/04/08/ZCRUWSAFDNG5VKMKR2AVEWXSUE/,조선닷컴,"이재명, 개헌론에 “내란 종식이 우선” 이재명 더불어민주당 대표 우원식 국회 의장 전날 공식 제안 대선 개헌 국민 투표 동시 실시 대하 지금 내란 종식 라며 사실 반대 입장 밝히 대표 이날 최고 위원 회의 민주주의 발전 시키 중요 지금 민주주의 파괴 긴급 중요 다며 개헌 대하 사항 대선 후보 국민 약속 대선 끝나 최대한 신속 공약 대로 라고 의장 제안 거절 면서 선집 개헌 공식 해석 ㄴ다",4
"수차례 개헌 제안한 이재명, 집권 가능성 커지자 “다음에”",이재명 더불어민주당 대표 대선 권력 분산 개헌 국민 투표 동시 자는 우원식 국회 의장 제안 관련 개헌 필요 지금 내란 종식 먼저 라며 사실 반대 ㄴ다는 밝히 대표 지나 2022 대선 대통령 중임 골자 개헌 공약 았었 윤석열 정부 출범 기자 회견 통하 개헌 필요 언급 조기 대선 정국 접어들 집권 가능 커지 개헌 대하 소극 태도 보이 다는 지적 나오 ㄴ다,"Mon, 07 Apr 2025 15:55:00 +0000",https://www.chosun.com/politics/assembly/2025/04/08/DOWCDHLNSZCTLOSFZUBSFUQCXI/,조선닷컴,"수차례 개헌 제안한 이재명, 집권 가능성 커지자 “다음에” 이재명 더불어민주당 대표 대선 권력 분산 개헌 국민 투표 동시 자는 우원식 국회 의장 제안 관련 개헌 필요 지금 내란 종식 먼저 라며 사실 반대 ㄴ다는 밝히 대표 지나 2022 대선 대통령 중임 골자 개헌 공약 았었 윤석열 정부 출범 기자 회견 통하 개헌 필요 언급 조기 대선 정국 접어들 집권 가능 커지 개헌 대하 소극 태도 보이 다는 지적 나오 ㄴ다",4
"국회의장 개헌안, 국민의힘은 ‘동의’",국민 대통령 국회 권한 축소 개헌안 마련 조기 대통령 선거일 국민 투표 부치 자고 제안 우원식 국회 의장 전날 조기 대선일 개헌 국민 투표 실시 자고 제안 관련 권력 분산 개헌 방향 제시 화답 이재명 더불어민주당 대표 대선 개헌 동시 투표 미온 상황 권력 분산 대통령 임기 단축 개헌 고리 반명 대선 연대 구축 나서 다는 담기 다는 해석 나오 ㄴ다,"Mon, 07 Apr 2025 15:55:00 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/HX4Y6RBJCRGRDM2JDC75UX46LY/,조선닷컴,"국회의장 개헌안, 국민의힘은 ‘동의’ 국민 대통령 국회 권한 축소 개헌안 마련 조기 대통령 선거일 국민 투표 부치 자고 제안 우원식 국회 의장 전날 조기 대선일 개헌 국민 투표 실시 자고 제안 관련 권력 분산 개헌 방향 제시 화답 이재명 더불어민주당 대표 대선 개헌 동시 투표 미온 상황 권력 분산 대통령 임기 단축 개헌 고리 반명 대선 연대 구축 나서 다는 담기 다는 해석 나오 ㄴ다",4
