title,description,published,link,media,text,topic
"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순",이재명 더불어민주당 대표 대표직 내려놓 대선 출마 수순 들어가 대표 이제 새롭 시작 다고 대표 어려움 국민 께서 과거 역경 이기 위대하 DNA 발휘 아서 빠르 시일 이기 ㄴ다며 역경 다고,"Wed, 09 Apr 2025 01:17:07 +0000",https://www.chosun.com/politics/assembly/2025/04/09/LXN5NMHIFRAELKRK7ZPA4IQCGM/,조선닷컴,"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순 이재명 더불어민주당 대표 대표직 내려놓 대선 출마 수순 들어가 대표 이제 새롭 시작 다고 대표 어려움 국민 께서 과거 역경 이기 위대하 DNA 발휘 아서 빠르 시일 이기 ㄴ다며 역경 다고",5
이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워,조기 대선 일정 확정 면서 더불어민주당 대선 주자 출마 선언 잇따르 이재명 대표 대표 내려놓 본격 대선 준비 나서 예정 가운데 당내 경선 도전 비명 주자 발걸음 바쁘 비명 대표 주자 김동연 경기 도지사 김경수 경남 도지사 저녁 서울 모처 만나 경선 출마 대하 논의 알려지,"Tue, 08 Apr 2025 13:12:02 +0000",https://www.chosun.com/politics/assembly/2025/04/08/YC2S2P3A5ZE7ZMZYS3D2UMXS7U/,조선닷컴,이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워 조기 대선 일정 확정 면서 더불어민주당 대선 주자 출마 선언 잇따르 이재명 대표 대표 내려놓 본격 대선 준비 나서 예정 가운데 당내 경선 도전 비명 주자 발걸음 바쁘 비명 대표 주자 김동연 경기 도지사 김경수 경남 도지사 저녁 서울 모처 만나 경선 출마 대하 논의 알려지,5
이재명 내일 유튜브로 출마 선언…“실용주의 협상가 강조”,위대하 대한민국 향하 새롭 더불어민주당 이재명 대표 지난해 취임 대표 개월 내려놓 으면서 밝히 대표 10 성장 회복 주요 키워드 내걸 영상 통하 공식 대선 출마 선언 예정 민주당 이날 대선 후보 선출 위하 중앙당 선거 관리 위원회 특별 당규 준비 위원회 구성 본격 대선 체제 돌입 대표 이날 마지막 최고 위원 회의 주재 면서 당원 강조 문화 많이 바뀌 다며 민주 민주당 라는 비난 과거 는데 요즘 많이 사라지 당원 중심 진정하 민주 정당 민주당 다고 평가 그러 면서 민주당 당원 께서 지키 지키 다고 경선 기존 대로 권리 당원 투표 50 여론 조사 50 방식 진행 가능 가운데 당원 강조 풀이,"Wed, 09 Apr 2025 19:22:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131381626/1,동아닷컴,이재명 내일 유튜브로 출마 선언…“실용주의 협상가 강조” 위대하 대한민국 향하 새롭 더불어민주당 이재명 대표 지난해 취임 대표 개월 내려놓 으면서 밝히 대표 10 성장 회복 주요 키워드 내걸 영상 통하 공식 대선 출마 선언 예정 민주당 이날 대선 후보 선출 위하 중앙당 선거 관리 위원회 특별 당규 준비 위원회 구성 본격 대선 체제 돌입 대표 이날 마지막 최고 위원 회의 주재 면서 당원 강조 문화 많이 바뀌 다며 민주 민주당 라는 비난 과거 는데 요즘 많이 사라지 당원 중심 진정하 민주 정당 민주당 다고 평가 그러 면서 민주당 당원 께서 지키 지키 다고 경선 기존 대로 권리 당원 투표 50 여론 조사 50 방식 진행 가능 가운데 당원 강조 풀이,5
이재명 8년만에 책 펴내…“내가 꿈꾸는 미래 담았다”,이재명 더불어민주당 대표 차기 대선 앞두 출간 ㄴ다 정치 따르 출판사 오마이북 이날 온라인 사이트 통하 대표 국민 ㅂ니다 예약 판매 시작 정식 출간일 15 대표 머리말 정치 인생 정치 철학 꿈꾸 우리나라 미래 다고 매일 아침 질문 ㄴ다 정치 ㄴ가 이재명 정치 어야 는가 라며 질문 정치 걸어오 이재명 대한민국 주인 국민 바치 희망 노래 라고 다책 지난해 발생 123 비상계엄 선포 계엄령 해제 윤석열 대통령 탄핵 소추 의결 이달 헌법 재판소 탄핵 심판 선고 관련 대표 생각 실리 전하 대표 유년 시절 정치 역정 대표직 대하 소회 정치 철학 담기 다고 ㄴ다 대표 이날 대표직,"Wed, 09 Apr 2025 17:09:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131381453/2,동아닷컴,이재명 8년만에 책 펴내…“내가 꿈꾸는 미래 담았다” 이재명 더불어민주당 대표 차기 대선 앞두 출간 ㄴ다 정치 따르 출판사 오마이북 이날 온라인 사이트 통하 대표 국민 ㅂ니다 예약 판매 시작 정식 출간일 15 대표 머리말 정치 인생 정치 철학 꿈꾸 우리나라 미래 다고 매일 아침 질문 ㄴ다 정치 ㄴ가 이재명 정치 어야 는가 라며 질문 정치 걸어오 이재명 대한민국 주인 국민 바치 희망 노래 라고 다책 지난해 발생 123 비상계엄 선포 계엄령 해제 윤석열 대통령 탄핵 소추 의결 이달 헌법 재판소 탄핵 심판 선고 관련 대표 생각 실리 전하 대표 유년 시절 정치 역정 대표직 대하 소회 정치 철학 담기 다고 ㄴ다 대표 이날 대표직,5
"이재명 이미지 전략, 이번엔 ‘실용주의 협상가’로 가닥",더불어민주당 이재명 대표 대표직 사퇴 본격 대선 레이스 돌입 면서 유력 대선 후보 로서 PIPresident Identity 대통령 전략 고심 대표 지나 대선 당시 이재명 ㅂ니다 위하 이재명 슬로건 대표 공격 불안 이미지 부각 득표력 확장 도움 다는 판단 아래 이미지 구축 나서 다이 대표 핵심 관계자 이날 통화 민생 경제 살리 유능 실용주의 지도자 이미지 내세우 라며 내란 극복 위하 포용 통합 이미지 구체 방안 고심 라고 도널드 트럼프 미국 대통령 한국 25 상호 관세 부과 차기 정부 과제 미국 통상 위기 대응 꼽히 상황 실용주의 협상가 면모 보이 다는 구상 대표 시련 이기 지도자 라는 강조 면서 김대중 대통령 DJ 연상 시키 전략 고심,"Wed, 09 Apr 2025 15:53:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131380118/1,동아닷컴,"이재명 이미지 전략, 이번엔 ‘실용주의 협상가’로 가닥 더불어민주당 이재명 대표 대표직 사퇴 본격 대선 레이스 돌입 면서 유력 대선 후보 로서 PIPresident Identity 대통령 전략 고심 대표 지나 대선 당시 이재명 ㅂ니다 위하 이재명 슬로건 대표 공격 불안 이미지 부각 득표력 확장 도움 다는 판단 아래 이미지 구축 나서 다이 대표 핵심 관계자 이날 통화 민생 경제 살리 유능 실용주의 지도자 이미지 내세우 라며 내란 극복 위하 포용 통합 이미지 구체 방안 고심 라고 도널드 트럼프 미국 대통령 한국 25 상호 관세 부과 차기 정부 과제 미국 통상 위기 대응 꼽히 상황 실용주의 협상가 면모 보이 다는 구상 대표 시련 이기 지도자 라는 강조 면서 김대중 대통령 DJ 연상 시키 전략 고심",5
"이재명, 당 대표 사퇴…“새로운 일 시작” 대선 출마 수순",더불어민주당 이재명 대표 대표직 사퇴 대선 출마 공식 대표 이날 오전 국회 열리 최고 위원 회의 대표 로서 나름 성과 재임 감사 드리 ㄴ다며 대표 사퇴 밝히 이제 새롭 시작 라며 조기 대선 출마 공식 대표 대표 재임 지나 대하 소회 밝히 아쉽 거나 홀가분하 거나 그런 느낌 사실 다고 그러 면서 출발 험하 는데 그러 어도 퇴임 상황 출발 보다 상황 덕분 라고 사생활 제외 나머지 대부분 민주당 이다 민주당 당원 지키 지키 다고 대표 성과 문화 많이 바뀌 다며 민주 민주당 라는 비난 과거 는데 요즘 많이 사라지 당원 중심 진정하 민주,"Wed, 09 Apr 2025 11:09:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131377934/1,동아닷컴,"이재명, 당 대표 사퇴…“새로운 일 시작” 대선 출마 수순 더불어민주당 이재명 대표 대표직 사퇴 대선 출마 공식 대표 이날 오전 국회 열리 최고 위원 회의 대표 로서 나름 성과 재임 감사 드리 ㄴ다며 대표 사퇴 밝히 이제 새롭 시작 라며 조기 대선 출마 공식 대표 대표 재임 지나 대하 소회 밝히 아쉽 거나 홀가분하 거나 그런 느낌 사실 다고 그러 면서 출발 험하 는데 그러 어도 퇴임 상황 출발 보다 상황 덕분 라고 사생활 제외 나머지 대부분 민주당 이다 민주당 당원 지키 지키 다고 대표 성과 문화 많이 바뀌 다며 민주 민주당 라는 비난 과거 는데 요즘 많이 사라지 당원 중심 진정하 민주",5
이재명 “위대한 국민과 함께할 것” 당 대표직 사퇴…대선 출마 수순,더불어민주당 이재명 대표 대표직 물러나 대표 이르 10 21 대통령 선거 출마 선언 보이 ㄴ다 이날 국회 열리 최고 위원회 이제 새롭 시작 라며 역경 이기 위대하 국민 다고 밝히 대표 대표 재임 기간 대하 지나 생각 소설 엄청나 한편 순간 처럼 느끼 ㄴ다며 출발 험하 는데 퇴임 상황 출발 보다 상황 다고 문화 많이 바뀌 민주 민주당 라는 비판 았었 는데 당원 중심 진정하 민주 민주당 다며 한편 비상계엄 위기 는데 위대하 국민 국민 주인 민주 공화국 되돌아가 다고 자평 다이 대표 이날 공직 중요 강조 는데 퇴임사 할애 공직 라고 자면 자면 표시,"Wed, 09 Apr 2025 10:40:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131377465/1,동아닷컴,이재명 “위대한 국민과 함께할 것” 당 대표직 사퇴…대선 출마 수순 더불어민주당 이재명 대표 대표직 물러나 대표 이르 10 21 대통령 선거 출마 선언 보이 ㄴ다 이날 국회 열리 최고 위원회 이제 새롭 시작 라며 역경 이기 위대하 국민 다고 밝히 대표 대표 재임 기간 대하 지나 생각 소설 엄청나 한편 순간 처럼 느끼 ㄴ다며 출발 험하 는데 퇴임 상황 출발 보다 상황 다고 문화 많이 바뀌 민주 민주당 라는 비판 았었 는데 당원 중심 진정하 민주 민주당 다며 한편 비상계엄 위기 는데 위대하 국민 국민 주인 민주 공화국 되돌아가 다고 자평 다이 대표 이날 공직 중요 강조 는데 퇴임사 할애 공직 라고 자면 자면 표시,5
"이재명, 당 대표 사퇴 “새로운 일 시작”…대선출마 공식화",더불어민주당 이재명 대표 대표직 물러나 대표 이르 10 21 대통령 선거 출마 선언 보이 ㄴ다 이날 국회 열리 최고 위원회 이제 새롭 시작 라며 역경 이기 위대하 국민 다고 밝히 대표 대표 재임 기간 대하 지나 생각 소설 엄청나 한편 순간 처럼 느끼 ㄴ다며 출발 험하 는데 퇴임 상황 출발 보다 상황 다고 문화 많이 바뀌 민주 민주당 라는 비판 았었 는데 당원 중심 진정하 민주 민주당 다며 한편 비상계엄 위기 는데 위대하 국민 국민 주인 민주 공화국 되돌아가 다고 자평 다이 대표 이날 공직 중요 강조 는데 퇴임사 할애 공직 라고 자면 자면 표시,"Wed, 09 Apr 2025 10:22:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131377585/1,동아닷컴,"이재명, 당 대표 사퇴 “새로운 일 시작”…대선출마 공식화 더불어민주당 이재명 대표 대표직 물러나 대표 이르 10 21 대통령 선거 출마 선언 보이 ㄴ다 이날 국회 열리 최고 위원회 이제 새롭 시작 라며 역경 이기 위대하 국민 다고 밝히 대표 대표 재임 기간 대하 지나 생각 소설 엄청나 한편 순간 처럼 느끼 ㄴ다며 출발 험하 는데 퇴임 상황 출발 보다 상황 다고 문화 많이 바뀌 민주 민주당 라는 비판 았었 는데 당원 중심 진정하 민주 민주당 다며 한편 비상계엄 위기 는데 위대하 국민 국민 주인 민주 공화국 되돌아가 다고 자평 다이 대표 이날 공직 중요 강조 는데 퇴임사 할애 공직 라고 자면 자면 표시",5
"‘어대명’ 기류 속 김부겸의 불출마… 민주, 경선 흥행 고심 [6·3 장미대선 레이스]",더불어민주당 이재명 의원 대표 사퇴 대선 출마 공식 민주당 본격 대선 경선 체제 돌입 민주당 안팎 대권 주자 분류 잠룡 출마 속속 정리 경선 구도 점차 윤곽 드러내 대표 서울 여의도 국회 열리 최고 위원 회의 대표직 사퇴 선언 대권 도전 수순 들어가,"Wed,9 Apr 2025 18:40:00 +0900",https://www.segye.com/newsView/20250409517281,세계일보,"‘어대명’ 기류 속 김부겸의 불출마… 민주, 경선 흥행 고심 [6·3 장미대선 레이스] 더불어민주당 이재명 의원 대표 사퇴 대선 출마 공식 민주당 본격 대선 경선 체제 돌입 민주당 안팎 대권 주자 분류 잠룡 출마 속속 정리 경선 구도 점차 윤곽 드러내 대표 서울 여의도 국회 열리 최고 위원 회의 대표직 사퇴 선언 대권 도전 수순 들어가",5
이재명 당대표 사퇴… 대권 행보 본격화 [6·3 장미대선 레이스],더불어민주당 이재명 의원 대표 사퇴 대선 도전 본격 국민 대선 잠룡 김문수 고용 노동부 장관 장관 물러나 하루 대선 출마 선언 진보 진영 대표 보수 진영 유력 주자 장관 나란히 대선 행보 시동 면서 63 조기 대선 레이스 오르 대표 국회,"Wed,9 Apr 2025 18:03:32 +0900",https://www.segye.com/newsView/20250409517249,세계일보,이재명 당대표 사퇴… 대권 행보 본격화 [6·3 장미대선 레이스] 더불어민주당 이재명 의원 대표 사퇴 대선 도전 본격 국민 대선 잠룡 김문수 고용 노동부 장관 장관 물러나 하루 대선 출마 선언 진보 진영 대표 보수 진영 유력 주자 장관 나란히 대선 행보 시동 면서 63 조기 대선 레이스 오르 대표 국회,5
