title,description,published,link,media,text,topic
"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마",21 대통령 선거일 확정 국민 더불어민주당 소속 현직 광역 자치 단체장 줄줄이 대선 경선 출마 선언 나서 당내 경선 공직 물러나 아도 참여 가능 경선 기간 시정 도정 공백 상황 벌어지 다는 우려 나오 ㄴ다,"Wed, 09 Apr 2025 05:32:24 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/TNPNJJOY6ZCUBPGGDNQF5NKQYQ/,조선닷컴,"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마 21 대통령 선거일 확정 국민 더불어민주당 소속 현직 광역 자치 단체장 줄줄이 대선 경선 출마 선언 나서 당내 경선 공직 물러나 아도 참여 가능 경선 기간 시정 도정 공백 상황 벌어지 다는 우려 나오 ㄴ다",6
"김부겸 전 총리, 민주당 경선에 참여 안 한다",조기 대선 출마 시사 김부겸 총리 민주당 대통령 선거 후보 경선 출마 결정,"Wed, 09 Apr 2025 00:08:38 +0000",https://www.chosun.com/politics/assembly/2025/04/09/J6THVHMIYBCARETLOALIF7564Q/,조선닷컴,"김부겸 전 총리, 민주당 경선에 참여 안 한다 조기 대선 출마 시사 김부겸 총리 민주당 대통령 선거 후보 경선 출마 결정",6
김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언,더불어민주당 소속 김동연 경기 지사 21 대통령 선거 출마 ㄴ다고 선언 지사 이날 인천국제공항 미국 출국 앞두 기자 회견 이대로 ㄴ다는 절박감 출마 ㄴ다며 대선 대한민국 과거 돌아가 미래 나아가 결정 선거 라고,"Wed, 09 Apr 2025 00:02:09 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/KRG4N7GOLRDWRMROCD3P7IOYVM/,조선닷컴,김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언 더불어민주당 소속 김동연 경기 지사 21 대통령 선거 출마 ㄴ다고 선언 지사 이날 인천국제공항 미국 출국 앞두 기자 회견 이대로 ㄴ다는 절박감 출마 ㄴ다며 대선 대한민국 과거 돌아가 미래 나아가 결정 선거 라고,6
"김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여",김동연 경기 도지사 대선 출마 공식 선언 ㄴ다,"Tue, 08 Apr 2025 04:28:10 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/7LBMSSJ57JB7JKGIQ4G7BU4LCI/,조선닷컴,"김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여 김동연 경기 도지사 대선 출마 공식 선언 ㄴ다",6
김두관 대선 출마 “개헌 대통령되겠다…임기 단축 2년도 받아들여”,김두관 더불어민주당 의원 대통령 선거 출마 다고 선언 의원 개헌 대통령 라는 이름 출마 결심 공화국 위하 임기 단축 ㄴ다면 기쁘 받아들이 다며 대한민국 전환 국가 개혁 위하 분권 중임 개헌 ㄴ다 라고,"Mon, 07 Apr 2025 02:21:03 +0000",https://www.chosun.com/politics/assembly/2025/04/07/P33PPKMHWNCQFHKQIWSSNLST2M/,조선닷컴,김두관 대선 출마 “개헌 대통령되겠다…임기 단축 2년도 받아들여” 김두관 더불어민주당 의원 대통령 선거 출마 다고 선언 의원 개헌 대통령 라는 이름 출마 결심 공화국 위하 임기 단축 ㄴ다면 기쁘 받아들이 다며 대한민국 전환 국가 개혁 위하 분권 중임 개헌 ㄴ다 라고,6
"김두관, 7일 대선 출마 선언...진보 진영 첫 공식화",김두관 더불어민주당 의원 조기 대선 출마 공식 선언 ㄴ다 헌법 재판소 윤석열 대통령 탄핵 인용 선고 이후 진보 진영 대선 출마 공식 의원 처음,"Sat, 05 Apr 2025 07:13:57 +0000",https://www.chosun.com/politics/politics_general/2025/04/05/JRRU4HY4O5BFTGLO7FGOYNBOSQ/,조선닷컴,"김두관, 7일 대선 출마 선언...진보 진영 첫 공식화 김두관 더불어민주당 의원 조기 대선 출마 공식 선언 ㄴ다 헌법 재판소 윤석열 대통령 탄핵 인용 선고 이후 진보 진영 대선 출마 공식 의원 처음",6
"김동연, 해외 49개국 100여명에 서한…“탄핵으로 새 길 열려”",경기도 지나 헌법 재판소 윤석열 대통령 탄핵 인용 선고 직후 세계 각국 정상 100 김동연 지사 명의 서한 보내 다고 밝히,"Sun, 06 Apr 2025 04:15:48 +0000",https://www.chosun.com/politics/politics_general/2025/04/06/QROB6EEAYZEODE6ARUZMDERHJY/,조선닷컴,"김동연, 해외 49개국 100여명에 서한…“탄핵으로 새 길 열려” 경기도 지나 헌법 재판소 윤석열 대통령 탄핵 인용 선고 직후 세계 각국 정상 100 김동연 지사 명의 서한 보내 다고 밝히",6
"김부겸, 대선 불출마 선언…“정권교체 위해 함께 할 것”",김부겸 국무총리 더불어민주당 대선 경선 참여 결정 다고 밝히 총리 이날 페이스북 대통령 선거 민주당 내란 완전히 종식 새롭 대한민국 나아가 헌법 개정 제도 개혁 전환점 어야 ㄴ다고 주장 다며 총리 헌법 재판소 윤석열 대통령 파면 선고 위대하 국민 승리 민주 헌정 질서 회복 출발점 라며 정권 교체 위하 국민 통합 새롭 대한민국 전진 위하 국민 다고 서울뉴스,"Wed, 09 Apr 2025 14:15:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131379092/1,동아닷컴,"김부겸, 대선 불출마 선언…“정권교체 위해 함께 할 것” 김부겸 국무총리 더불어민주당 대선 경선 참여 결정 다고 밝히 총리 이날 페이스북 대통령 선거 민주당 내란 완전히 종식 새롭 대한민국 나아가 헌법 개정 제도 개혁 전환점 어야 ㄴ다고 주장 다며 총리 헌법 재판소 윤석열 대통령 파면 선고 위대하 국민 승리 민주 헌정 질서 회복 출발점 라며 정권 교체 위하 국민 통합 새롭 대한민국 전진 위하 국민 다고 서울뉴스",6
"김동연, 대선 출마 선언 “정권교체 이상의 교체 필요”",김동연 경기 도지사 정권 교체 ㄴ다 정권 교체 교체 필요 나라 선진국 다며 대선 출마 선언 진보 빈영 더불어민주당 김두관 의원 대선 출마 공식 지사 도지사 유지 면서 당내 경선 참여 전망 지사 이날 오전 인천국제공항 터미널 출국장 대통령 선거 대한민국 과거 돌아가 미래 나아가 결정 선거 라며 이대로 ㄴ다는 절박감 출마 ㄴ다며 내란 종식 내란 정치 종식 시키 어야 ㄴ다 내란 종식 평등 종식 이야말로 진정하 시대 과제 라고 강조 지사 이명박 정부 당시 청와대 경제 금융 비서관 국정 과제 비서관 뛰어나 업무 추진력 2008 글로벌 금융 위기 극복 기여 다는 평가 문재인 정부 초대 경제 부총리,"Wed, 09 Apr 2025 08:52:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131376856/2,동아닷컴,"김동연, 대선 출마 선언 “정권교체 이상의 교체 필요” 김동연 경기 도지사 정권 교체 ㄴ다 정권 교체 교체 필요 나라 선진국 다며 대선 출마 선언 진보 빈영 더불어민주당 김두관 의원 대선 출마 공식 지사 도지사 유지 면서 당내 경선 참여 전망 지사 이날 오전 인천국제공항 터미널 출국장 대통령 선거 대한민국 과거 돌아가 미래 나아가 결정 선거 라며 이대로 ㄴ다는 절박감 출마 ㄴ다며 내란 종식 내란 정치 종식 시키 어야 ㄴ다 내란 종식 평등 종식 이야말로 진정하 시대 과제 라고 강조 지사 이명박 정부 당시 청와대 경제 금융 비서관 국정 과제 비서관 뛰어나 업무 추진력 2008 글로벌 금융 위기 극복 기여 다는 평가 문재인 정부 초대 경제 부총리",6
"[속보] 김부겸, 대선 경선 불참…“정권교체 함께하겠다”",김부겸 국무총리 더불어민주당 대선 경선 참여 결정 다고 밝히 총리 이날 페이스북 대통령 선거 민주당 내란 완전히 종식하,"Wed, 09 Apr 2025 14:08:32 +09:00",https://www.mk.co.kr/news/politics/11286828,매일경제,"[속보] 김부겸, 대선 경선 불참…“정권교체 함께하겠다” 김부겸 국무총리 더불어민주당 대선 경선 참여 결정 다고 밝히 총리 이날 페이스북 대통령 선거 민주당 내란 완전히 종식하",6
