title,description,published,link,media,text,topic
무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각,개인 화기 무장 북한군 10 강원도 군사 분계선 MDL 침범 다가 국군 경고 사격 돌아가 당국 북한군 전방 단절 조치 연관 우발 침범 한국 정치 혼란 고의 도발 가능 다고 분석,"Tue, 08 Apr 2025 16:11:15 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/VSS52UZMAJH5JPU7S773OJDG2Q/,조선닷컴,무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각 개인 화기 무장 북한군 10 강원도 군사 분계선 MDL 침범 다가 국군 경고 사격 돌아가 당국 북한군 전방 단절 조치 연관 우발 침범 한국 정치 혼란 고의 도발 가능 다고 분석,7
"“러 파병·무기 지원 北, 28조 경제 효과… 6년치 식량 맞먹어”",북한 우크라이나 전쟁 러시아 규모 파병 탄도 미사일 탄약 무기 지원 대가 경제 이득 최대 28 7000 다는 분석 나오 북한 주민 식량 금액,"Tue, 08 Apr 2025 16:09:19 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/M4UOBYILCVFOTEJYHJRO2N6PRU/,조선닷컴,"“러 파병·무기 지원 北, 28조 경제 효과… 6년치 식량 맞먹어” 북한 우크라이나 전쟁 러시아 규모 파병 탄도 미사일 탄약 무기 지원 대가 경제 이득 최대 28 7000 다는 분석 나오 북한 주민 식량 금액",7
"북한 산불, 비무장지대까지 번졌다… 봄비에 자연 진화",북한 발생 무장 지대 DMZ 번지 파악 철원 지역 내리 현재 자연 진화 상태,"Sat, 05 Apr 2025 03:09:26 +0000",https://www.chosun.com/politics/north_korea/2025/04/05/4R73B7CYWNBN5B35X5EGJCKJ5E/,조선닷컴,"북한 산불, 비무장지대까지 번졌다… 봄비에 자연 진화 북한 발생 무장 지대 DMZ 번지 파악 철원 지역 내리 현재 자연 진화 상태",7
"육군 “무인기·헬기 충돌사고, 돌풍 등 외부요인에 의해 발생”",지난달 17 경기 양주 소재 부대 항공 대대 발생 군용 무인기 헤론 수리온 헬기 충돌 사고 원인 돌풍 외부 요인 의하 확인 육군 사고 결과 발표 통하 과실 결함 장비 정비 체계 기강 해이 문제점 식별 다며 무인기 비상 자동 착륙 과정 돌풍 의하 비행체 급상승 활주로 착륙 직전 돌풍 측풍 외부 요인 의하 발생 확인 다고 밝히 앞서 지나 17 오후 경기 양주 비행장 군용 무인기 헤론 착륙 지상 계류 수리온 부딪치 화재 발생 화재 20 진화 기종 전소 추가 헬기 경미하 외부 긁히 발생 정비 이날 사고 헤론 300 달하 수리온 전소 면서 수백억 재산 피해 발생 운용 헤론 운용 가능 헤론 고도 10 상공,"Wed, 09 Apr 2025 17:13:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131381471/1,동아닷컴,"육군 “무인기·헬기 충돌사고, 돌풍 등 외부요인에 의해 발생” 지난달 17 경기 양주 소재 부대 항공 대대 발생 군용 무인기 헤론 수리온 헬기 충돌 사고 원인 돌풍 외부 요인 의하 확인 육군 사고 결과 발표 통하 과실 결함 장비 정비 체계 기강 해이 문제점 식별 다며 무인기 비상 자동 착륙 과정 돌풍 의하 비행체 급상승 활주로 착륙 직전 돌풍 측풍 외부 요인 의하 발생 확인 다고 밝히 앞서 지나 17 오후 경기 양주 비행장 군용 무인기 헤론 착륙 지상 계류 수리온 부딪치 화재 발생 화재 20 진화 기종 전소 추가 헬기 경미하 외부 긁히 발생 정비 이날 사고 헤론 300 달하 수리온 전소 면서 수백억 재산 피해 발생 운용 헤론 운용 가능 헤론 고도 10 상공",7
美싱크탱크 “北 남포서 길이 140m 최대규모 군함 건조 중”,북한 서해안 남포 해군조선소 최대 길이 140 달하 신형 유도탄 호위함 FFG 건조 정황 포착 북한 보유 해군 전함 최대 규모 보이 ㄴ다 미국 싱크탱크 전략 국제문제연구소 CSIS 운영 북한 전문 사이트 분단 Beyond Parallel 현지 촬영 인공위성 영상 북한 신형 유도탄 호위 추정 함정 모습 담기 다고 공개 보고서 밝히 유도탄 호위함 유도탄 탑재 공대 함대 잠수함 작전 다목적 임무 수행 함정 ㄴ다 해당 유도탄 호위함 길이 120 부유식 드라이 독선박 건조 수리 건식독 계류 의장 필요 기계 설치 작업 이뤄지 통상 군함 진수 내부 구조물 공사 장비 설치 보급품 적재 진행 의장 작업 거치 인도 ㄴ다 부유식 드라이 최근 보수 의장 작업 부두 인근 설치,"Wed, 09 Apr 2025 15:54:00 +0900",https://www.donga.com/news/Inter/article/all/20250409/131379502/1,동아닷컴,美싱크탱크 “北 남포서 길이 140m 최대규모 군함 건조 중” 북한 서해안 남포 해군조선소 최대 길이 140 달하 신형 유도탄 호위함 FFG 건조 정황 포착 북한 보유 해군 전함 최대 규모 보이 ㄴ다 미국 싱크탱크 전략 국제문제연구소 CSIS 운영 북한 전문 사이트 분단 Beyond Parallel 현지 촬영 인공위성 영상 북한 신형 유도탄 호위 추정 함정 모습 담기 다고 공개 보고서 밝히 유도탄 호위함 유도탄 탑재 공대 함대 잠수함 작전 다목적 임무 수행 함정 ㄴ다 해당 유도탄 호위함 길이 120 부유식 드라이 독선박 건조 수리 건식독 계류 의장 필요 기계 설치 작업 이뤄지 통상 군함 진수 내부 구조물 공사 장비 설치 보급품 적재 진행 의장 작업 거치 인도 ㄴ다 부유식 드라이 최근 보수 의장 작업 부두 인근 설치,7
"美싱크탱크 “길이 140m 北 최대 신형 군함, 남포서 포착”",북한 길이 140 달하 유도 탄호위함 FFG 새로 건조 정황 포착 북한 현재 건조 군함 최대 규모 라는 관측 나오 현지 전략국제문제연구소 CSIS 운영 북한 전문 매체 분단 Beyond Parallel 남포 신형 유도 탄호위함 의장 제목 보고서 공개 해당 보고서 CSIS 조지프 버뮤데즈 선임 연구원 제니퍼 연구원 작성 FFG 공대 함대잠 작전 수행 유도 미사일 병기 탑재 다목적 임무 수행 해군 함정 보고서 지나 북한 서해안 남포 해군 조선소 위성 사진 공개 구체 건조 정황 설명 고서 북한 FFG 120 부유식 선거 드라이 독선박 건조 수리 건식독 건조 다고 전하 위성 사진 포착 해당 부유식 선거 타워 크레인 자재 부품 배치 함정,"Wed, 09 Apr 2025 14:18:00 +0900",https://www.donga.com/news/Politics/article/all/20250409/131379158/2,동아닷컴,"美싱크탱크 “길이 140m 北 최대 신형 군함, 남포서 포착” 북한 길이 140 달하 유도 탄호위함 FFG 새로 건조 정황 포착 북한 현재 건조 군함 최대 규모 라는 관측 나오 현지 전략국제문제연구소 CSIS 운영 북한 전문 매체 분단 Beyond Parallel 남포 신형 유도 탄호위함 의장 제목 보고서 공개 해당 보고서 CSIS 조지프 버뮤데즈 선임 연구원 제니퍼 연구원 작성 FFG 공대 함대잠 작전 수행 유도 미사일 병기 탑재 다목적 임무 수행 해군 함정 보고서 지나 북한 서해안 남포 해군 조선소 위성 사진 공개 구체 건조 정황 설명 고서 북한 FFG 120 부유식 선거 드라이 독선박 건조 수리 건식독 건조 다고 전하 위성 사진 포착 해당 부유식 선거 타워 크레인 자재 부품 배치 함정",7
"하나재단, 탈북민 고용 모범사업주 모집… 최대 3000만원 지원 혜택",통일부 남북하나재단 2025 북한 이탈 주민 고용 모범 사업주 모집 시작 ㄴ다고 밝히 북한 이탈 주민 고용 모범 사업주 연평균 전체 근로자 북한 이탈 주민 고용 기업 심의 통하 지정 지정 기업 생산 물품 국가 지방 자치 단체 공공 기관 구매 도록 지원 제도 모범 사업,"Wed,9 Apr 2025 20:04:24 +0900",https://www.segye.com/newsView/20250409519339,세계일보,"하나재단, 탈북민 고용 모범사업주 모집… 최대 3000만원 지원 혜택 통일부 남북하나재단 2025 북한 이탈 주민 고용 모범 사업주 모집 시작 ㄴ다고 밝히 북한 이탈 주민 고용 모범 사업주 연평균 전체 근로자 북한 이탈 주민 고용 기업 심의 통하 지정 지정 기업 생산 물품 국가 지방 자치 단체 공공 기관 구매 도록 지원 제도 모범 사업",7
"국힘 유용원, 산불 공중진화 체계 개선 방안 모색",10 국가 산불 재난 대응 체계 혁신 위하 긴급 세미나 대형 산불 국방 역량 포함 총력 대응 체계 AI 위성 무인기 기반 정보 역량 획기적 강화 필요 기후 위기 시대 산불,"Wed, 09 Apr 2025 15:17:50 +09:00",https://www.mk.co.kr/news/politics/11286973,매일경제,"국힘 유용원, 산불 공중진화 체계 개선 방안 모색 10 국가 산불 재난 대응 체계 혁신 위하 긴급 세미나 대형 산불 국방 역량 포함 총력 대응 체계 AI 위성 무인기 기반 정보 역량 획기적 강화 필요 기후 위기 시대 산불",7
민주당 을지로위원회 중재로 ‘일회용컵 보증금제’ 철회 피해업체 구제,황명선 이용우 의원 중재 주도 배상금 지급 사례 나오 윤석열 정부 일회용 보증금 철회 피해 특수 라벨지 납품업체 더불어민주당 중재 통하 손해 배상금,"Tue, 08 Apr 2025 16:57:11 +09:00",https://www.mk.co.kr/news/politics/11285950,매일경제,민주당 을지로위원회 중재로 ‘일회용컵 보증금제’ 철회 피해업체 구제 황명선 이용우 의원 중재 주도 배상금 지급 사례 나오 윤석열 정부 일회용 보증금 철회 피해 특수 라벨지 납품업체 더불어민주당 중재 통하 손해 배상금,7
"법원 “정부, 447억 청구액 근거 명확히”…3분 만에 끝난 북한 상대 첫 손배소 재판",공동 연락 사무소 폭파 관련 피고 빈자리 상태 진행 대응 으면 길어지 남북 공동연락사무소 폭파 북한 정부 책임 다며 한국 정부 제기 손해 배상 소송 본격 시작 서울중앙지법 민사 합의 46 재판장 김형철 대한민국 정부 북한 정부 상대 손해 배상 소송 변론 기일,2025-04-09T20:53:02+09:00,https://www.khan.co.kr/article/202504092053025/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"법원 “정부, 447억 청구액 근거 명확히”…3분 만에 끝난 북한 상대 첫 손배소 재판 공동 연락 사무소 폭파 관련 피고 빈자리 상태 진행 대응 으면 길어지 남북 공동연락사무소 폭파 북한 정부 책임 다며 한국 정부 제기 손해 배상 소송 본격 시작 서울중앙지법 민사 합의 46 재판장 김형철 대한민국 정부 북한 정부 상대 손해 배상 소송 변론 기일",7
