title,description,published,link,media,desc_tokens,text,topic
"민주당, ‘탄핵 기각’ 박성재에 “면죄부 아냐...특검 해야”",더불어민주당은 헌법재판소가 박성재 법무부 장관의 탄핵안을 전원일치 의견으로 기각한 데 대해 유감이라면서도 박 장관은 면죄부를 받은 것이 아님을 명심하라고 10일 밝혔다 또 탄핵이 기각된 것은 수사 미진 탓이라면서 내란 특검을 도입해야 한다고도 했다,2025-04-10 06:08:00,https://www.chosun.com/politics/assembly/2025/04/10/ZZZFHYWHQVC5HDHWVXGJE2K2AM/,조선닷컴,"['더불어민주당', '헌법', '재판소', '박성재', '법무부', '장관', '탄핵안', '전원일치', '의견', '기각', '대하', '유감', '라면서', '장관', '면죄부', '명심', '라고', '10', '밝히', '탄핵', '기각', '수사', '미지', '라면서', '내란', '특검', '도입', 'ㄴ다고']","민주당, ‘탄핵 기각’ 박성재에 “면죄부 아냐...특검 해야” 더불어민주당은 헌법재판소가 박성재 법무부 장관의 탄핵안을 전원일치 의견으로 기각한 데 대해 유감이라면서도 박 장관은 면죄부를 받은 것이 아님을 명심하라고 10일 밝혔다 또 탄핵이 기각된 것은 수사 미진 탓이라면서 내란 특검을 도입해야 한다고도 했다",-1
"나경원, 11일 대선 출마 선언… “국민·나라 지킬 것”",나경원 국민의힘 의원이 11일 국회 본청 앞 계단에서 대선 출마를 선언한다,2025-04-10 06:13:00,https://www.chosun.com/politics/politics_general/2025/04/10/4MQQXGOMSJGXPEB4KWDNG5SCXE/,조선닷컴,"['나경원', '국민', '의원', '11', '국회', '본청', '계단', '대선', '출마', '선언', 'ㄴ다']","나경원, 11일 대선 출마 선언… “국민·나라 지킬 것” 나경원 국민의힘 의원이 11일 국회 본청 앞 계단에서 대선 출마를 선언한다",-1
"미국 방문한 김동연, 현지 업체와 간담회 “트럼프 관세 전쟁은 자해 행위”",더불어민주당 소속 김동연 경기지사가 10일 미국 미시간주 디트로이트에 도착해 자동차 부품업체와의 간담회를 시작으로 방미 일정을 시작했다 김 지사는 지난 9일 인천국제공항에서 대통령 선거 출마를 선언한 뒤 2박 4일 일정으로 출국했다,2025-04-10 01:48:00,https://www.chosun.com/politics/politics_general/2025/04/10/XM2UKFMHTBHZVKAKOZHFOH3WLE/,조선닷컴,"['더불어민주당', '소속', '김동연', '경기', '지사', '10', '미국', '미시간주', '디트로이트', '도착', '자동차', '부품업체', '간담회', '시작', '방미', '일정', '시작', '지사', '지나', '인천국제공항', '대통령', '선거', '출마', '선언', '일정', '출국']","미국 방문한 김동연, 현지 업체와 간담회 “트럼프 관세 전쟁은 자해 행위” 더불어민주당 소속 김동연 경기지사가 10일 미국 미시간주 디트로이트에 도착해 자동차 부품업체와의 간담회를 시작으로 방미 일정을 시작했다 김 지사는 지난 9일 인천국제공항에서 대통령 선거 출마를 선언한 뒤 2박 4일 일정으로 출국했다",-1
권영세 “이재명 한 마디에 서열 2위 국회의장 짓밟혀”,권영세 국민의힘 비상대책위원장은 10일 이재명 전 대표의 말 한마디에 민주당 국회의원들과 개딸들이 총동원돼 국가서열 2위인 국회의장마저 무자비하게 짓밟고 있다고 했다,2025-04-10 00:50:00,https://www.chosun.com/politics/assembly/2025/04/10/CMX73EG6HZFA3O7KKIE34QRPZE/,조선닷컴,"['권영세', '국민', '비상', '대책', '위원장', '10', '이재명', '대표', '민주당', '국회의원', '총동원', '국가', '서열', '국회', '의장', '자비', '짓밟', '다고']",권영세 “이재명 한 마디에 서열 2위 국회의장 짓밟혀” 권영세 국민의힘 비상대책위원장은 10일 이재명 전 대표의 말 한마디에 민주당 국회의원들과 개딸들이 총동원돼 국가서열 2위인 국회의장마저 무자비하게 짓밟고 있다고 했다,-1
‘유권자 18%’ 무당층 표심은 달랐다… 승부의 변수 되나,이재명 전 더불어민주당 대표가 최근 일부 여론조사에서 무당층부동층 표심에선 국민의힘 주요 대선 주자들에게 뒤진다는 결과가 나왔다 이 조사에서 이 전 대표는 국민의힘 주요 주자들과 가상 양자 대결에선 50가 넘는 지지도를 기록하며 앞섰다 다만 전체 응답자의 18에 이르는 무당층에선 오히려 상당수 국민의힘 주자들이 이 전 대표에게 앞선 것으로 나타났다 정치 전문가들은 63 조기 대선이 민주당국민의힘 후보의 양자 대결 구도로 전개될 가능성이 크다고 보고 있다 이 때문에 무당층부동층 표심을 어느 쪽이 잡느냐가 승부의 변수가 될 수 있다는 분석이 나온다,2025-04-09 16:12:00,https://www.chosun.com/politics/politics_general/2025/04/10/YZHZOCGJ5NCITCW262W6QNMCTI/,조선닷컴,"['이재명', '더불어민주당', '대표', '최근', '일부', '여론', '조사', '부동', '표심', '국민', '주요', '대선', '주자', '뒤지', 'ㄴ다는', '결과', '나오', '조사', '대표', '국민', '주요', '주자', '가상', '대결', '50', '지지도', '기록', '앞서', '전체', '응답자', '18', '이르', '무당', '상당수', '국민의힘', '주자', '대표', '앞서', '나타나', '정치', '전문가', '63', '조기', '대선', '민주당', '국민', '후보', '대결', '구도', '전개', '가능', '다고', '때문', '무당', '부동', '표심', '느냐', '승부', '변수', '다는', '분석', '나오', 'ㄴ다']",‘유권자 18%’ 무당층 표심은 달랐다… 승부의 변수 되나 이재명 전 더불어민주당 대표가 최근 일부 여론조사에서 무당층부동층 표심에선 국민의힘 주요 대선 주자들에게 뒤진다는 결과가 나왔다 이 조사에서 이 전 대표는 국민의힘 주요 주자들과 가상 양자 대결에선 50가 넘는 지지도를 기록하며 앞섰다 다만 전체 응답자의 18에 이르는 무당층에선 오히려 상당수 국민의힘 주자들이 이 전 대표에게 앞선 것으로 나타났다 정치 전문가들은 63 조기 대선이 민주당국민의힘 후보의 양자 대결 구도로 전개될 가능성이 크다고 보고 있다 이 때문에 무당층부동층 표심을 어느 쪽이 잡느냐가 승부의 변수가 될 수 있다는 분석이 나온다,-1
김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언,더불어민주당 소속 김동연 경기지사는 9일 21대 대통령 선거에 출마한다고 선언했다 김 지사는 이날 인천국제공항에서 미국 출국을 앞두고 기자회견을 열어 이대로는 안 된다는 절박감으로 출마한다며 이번 대선은 대한민국이 과거로 돌아갈 것이냐 미래로 나아갈 것이냐를 결정하는 선거가 될 것이라고 했다,2025-04-09 00:02:00,https://www.chosun.com/politics/politics_general/2025/04/09/KRG4N7GOLRDWRMROCD3P7IOYVM/,조선닷컴,"['더불어민주당', '소속', '김동연', '경기', '지사', '21', '대통령', '선거', '출마', 'ㄴ다고', '선언', '지사', '이날', '인천국제공항', '미국', '출국', '앞두', '기자', '회견', '이대로', 'ㄴ다는', '절박감', '출마', 'ㄴ다며', '대선', '대한민국', '과거', '돌아가', '미래', '나아가', '결정', '선거', '라고']",김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언 더불어민주당 소속 김동연 경기지사는 9일 21대 대통령 선거에 출마한다고 선언했다 김 지사는 이날 인천국제공항에서 미국 출국을 앞두고 기자회견을 열어 이대로는 안 된다는 절박감으로 출마한다며 이번 대선은 대한민국이 과거로 돌아갈 것이냐 미래로 나아갈 것이냐를 결정하는 선거가 될 것이라고 했다,-1
이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워,오는 6월 3일 조기 대선 일정이 확정되면서 더불어민주당 대선 주자들의 출마 선언이 잇따르고 있다 이재명 대표가 9일 당대표직을 내려놓고 본격적인 대선 준비에 나설 예정인 가운데 당내 경선에 도전하는 비명계 주자들의 발걸음도 바빠지고 있다 비명계 대표 주자인 김동연 경기도지사와 김경수 전 경남도지사는 8일 저녁 서울 모처에서 만나 경선 출마 여부에 대해 논의한 것으로 알려졌다,2025-04-08 13:12:00,https://www.chosun.com/politics/assembly/2025/04/08/YC2S2P3A5ZE7ZMZYS3D2UMXS7U/,조선닷컴,"['조기', '대선', '일정', '확정', '면서', '더불어민주당', '대선', '주자', '출마', '선언', '잇따르', '이재명', '대표', '대표', '내려놓', '본격', '대선', '준비', '나서', '예정', '가운데', '당내', '경선', '도전', '비명', '주자', '발걸음', '바쁘', '비명', '대표', '주자', '김동연', '경기', '도지사', '김경수', '경남', '도지사', '저녁', '서울', '모처', '만나', '경선', '출마', '대하', '논의', '알려지']",이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워 오는 6월 3일 조기 대선 일정이 확정되면서 더불어민주당 대선 주자들의 출마 선언이 잇따르고 있다 이재명 대표가 9일 당대표직을 내려놓고 본격적인 대선 준비에 나설 예정인 가운데 당내 경선에 도전하는 비명계 주자들의 발걸음도 바빠지고 있다 비명계 대표 주자인 김동연 경기도지사와 김경수 전 경남도지사는 8일 저녁 서울 모처에서 만나 경선 출마 여부에 대해 논의한 것으로 알려졌다,-1
"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각",북한군 10여 명이 8일 오후 5시쯤 동부전선 비무장지대DMZ에서 군사분계선MDL을 침범해 국군이 즉각 경고 방송 및 경고 사격을 했다고 합동참모본부가 밝혔다 지난 4일 윤석열 대통령 파면으로 국내 정국이 조기 대선으로 전환된 가운데 북한이 대남 도발에 나선 것 아니냐는 지적이 나온다 북한 병력들은 전원 무장 상태였던 것으로 알려졌다,2025-04-08 09:16:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/08/NRC2XXSONJD4JK76KG73M6VDRM/,조선닷컴,"['북한군', '10', '오후', '동부', '전선', '무장', '지대', 'DMZ', '군사', '분계선', 'MDL', '침범', '국군', '즉각', '경고', '방송', '경고', '사격', '다고', '합동', '참모', '본부', '밝히', '지나', '윤석열', '대통령', '파면', '국내', '정국', '조기', '대선', '전환', '가운데', '북한', '대남', '도발', '나서', '냐는', '지적', '나오', 'ㄴ다', '북한', '병력', '전원', '무장', '상태', '알려지']","북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각 북한군 10여 명이 8일 오후 5시쯤 동부전선 비무장지대DMZ에서 군사분계선MDL을 침범해 국군이 즉각 경고 방송 및 경고 사격을 했다고 합동참모본부가 밝혔다 지난 4일 윤석열 대통령 파면으로 국내 정국이 조기 대선으로 전환된 가운데 북한이 대남 도발에 나선 것 아니냐는 지적이 나온다 북한 병력들은 전원 무장 상태였던 것으로 알려졌다",-1
‘6·3 대선’ 확정… 김문수·안철수 출사표,윤석열 대통령 파면으로 치러지는 21대 대통령 선거일이 6월 3일 화요일로 확정되자 국민의힘 등 범보수 진영의 대선 주자급 인사들이 줄줄이 출마 선언에 나섰다,2025-04-08 15:56:00,https://www.chosun.com/politics/2025/04/09/NX7ZY456BNCN3EIBMOKHEJWIRM/,조선닷컴,"['윤석열', '대통령', '파면', '치르', '21', '대통령', '선거일', '화요일', '확정', '국민의힘', '보수', '진영', '대선', '주자급', '인사', '줄줄이', '출마', '선언', '나서']",‘6·3 대선’ 확정… 김문수·안철수 출사표 윤석열 대통령 파면으로 치러지는 21대 대통령 선거일이 6월 3일 화요일로 확정되자 국민의힘 등 범보수 진영의 대선 주자급 인사들이 줄줄이 출마 선언에 나섰다,-1
"김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여",김동연 경기도지사가 오는 9일 대선 출마를 공식 선언한다,2025-04-08 04:28:00,https://www.chosun.com/politics/politics_general/2025/04/08/7LBMSSJ57JB7JKGIQ4G7BU4LCI/,조선닷컴,"['김동연', '경기', '도지사', '대선', '출마', '공식', '선언', 'ㄴ다']","김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여 김동연 경기도지사가 오는 9일 대선 출마를 공식 선언한다",-1
