title,description,published,link,media,desc_tokens,text,topic
"한덕수, 주미대사·통상본부장과 화상 회의… “美 정부와 적극 소통하라”",한덕수 대통령 권한대행 국무총리가 10일 조현동 주미대사 방미 중인 정인교 산업통상자원부 통상교섭본부장과 화상 회의를 하고 미국과의 통상 협상 방안을 논의했다고 국무총리실이 밝혔다,2025-04-10 03:35:00,https://www.chosun.com/politics/goverment/2025/04/10/P7JX322GMBAQ5DY2GQHHGAFXNU/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '10', '조현동', '주미', '대사', '방미', '정인교', '산업', '통상', '자원부', '통상', '교섭', '본부장', '화상', '회의', '미국', '통상', '협상', '방안', '논의', '다고', '국무총리실', '밝히']","한덕수, 주미대사·통상본부장과 화상 회의… “美 정부와 적극 소통하라” 한덕수 대통령 권한대행 국무총리가 10일 조현동 주미대사 방미 중인 정인교 산업통상자원부 통상교섭본부장과 화상 회의를 하고 미국과의 통상 협상 방안을 논의했다고 국무총리실이 밝혔다",0
"한덕수 “미국이 지적한 비관세 장벽, 개선하면 우리 국민들에도 도움될 수 있어”",한덕수 대통령 권한대행 국무총리는 10일 미국이 한국에 비관세 장벽이라고 지적한 한국 내 규제들과 관련해 개선되면 우리나라 국민께도 도움이 되는 부분이 굉장히 많다고 했다 한 대행은 우리 규제가 완화되면 외국 기업뿐 아니라 우리나라 기업에도 도움이 되는 부분이 많다며 장관들에게 비관세 장벽 철폐 규제 완화의 국내적인 영향을 면밀하게 검토하되 우리나라가 교역에 의존해 고용을 창출하고 성장도 하고 장기적인 발전도 하고 있다는 것을 염두에 두라고 지시했다,2025-04-10 03:05:00,https://www.chosun.com/politics/goverment/2025/04/10/LAZC2DSZTNC3XANK6S52H2UN7E/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '10', '미국', '한국', '관세', '장벽', '라고', '지적', '한국', '규제', '관련', '개선', '우리나라', '국민', '도움', '부분', '굉장히', '다고', '대행', '규제', '완화', '외국', '기업', '우리나라', '기업', '도움', '부분', '다며', '장관', '관세', '장벽', '철폐', '규제', '완화', '국내', '영향', '면밀하', '검토', '우리나라', '교역', '의존', '고용', '창출', '성장', '장기', '발전', '다는', '염두', '라고', '지시']","한덕수 “미국이 지적한 비관세 장벽, 개선하면 우리 국민들에도 도움될 수 있어” 한덕수 대통령 권한대행 국무총리는 10일 미국이 한국에 비관세 장벽이라고 지적한 한국 내 규제들과 관련해 개선되면 우리나라 국민께도 도움이 되는 부분이 굉장히 많다고 했다 한 대행은 우리 규제가 완화되면 외국 기업뿐 아니라 우리나라 기업에도 도움이 되는 부분이 많다며 장관들에게 비관세 장벽 철폐 규제 완화의 국내적인 영향을 면밀하게 검토하되 우리나라가 교역에 의존해 고용을 창출하고 성장도 하고 장기적인 발전도 하고 있다는 것을 염두에 두라고 지시했다",0
여명학교 탈북 청소년들 “1000원이라도 기부”...경북 산불 피해 돕기 바자회 개최,티끌 모아 태산이라는 말처럼 작은 정성을 다 모으면 큰 힘이 될거야 1000원이라도 기부해야겠다,2025-04-10 05:50:00,https://www.chosun.com/politics/north_korea/2025/04/10/HBXW2DZPSJDZTPMHOS4WCP25AE/,조선닷컴,"['티끌', '모으', '태산', '라는', '처럼', '정성', '모으', '1000', '이라도', '기부']",여명학교 탈북 청소년들 “1000원이라도 기부”...경북 산불 피해 돕기 바자회 개최 티끌 모아 태산이라는 말처럼 작은 정성을 다 모으면 큰 힘이 될거야 1000원이라도 기부해야겠다,0
"“방위비 전액 내는 대신, FTA는 지키는 전략으로 관세 대응해야”",도널드 트럼프 미 대통령은 8일 한덕수 대통령 권한대행과의 통화에서 원스톱 쇼핑은 아름답고 효율적이라며 양국 간 무역 관세와 주한 미군 방위비 분담금 등을 한꺼번에 묶어 처리하겠다는 방침을 밝혔다 이에 따라 우리 정부가 지난해 바이든 미 행정부와 합의한 방위비분담특별협정SMA은 6개월도 안 돼 재협상이 불가피하게 됐다 한미 자유무역협정FTA이 트럼프의 일방적인 25 관세 부과로 사실상 무용지물이 된 것처럼 현행 SMA도 폐기 수순에 들어간 것이다,2025-04-09 16:05:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/10/GKG3IZ22QVC4VFEDOFRLKJFE3Q/,조선닷컴,"['도널드', '트럼프', '대통령', '한덕수', '대통령', '권한', '대행', '통화', '원스톱', '쇼핑', '아름답', '효율', '라며', '양국', '무역', '관세', '주한', '미군', '방위비', '분담금', '한꺼번에', '처리', '다는', '방침', '밝히', '따르', '정부', '지난해', '바이든', '행정부', '합의', '방위비', '분담', '특별', '협정', 'SMA', '개월', '협상', '불가피하', '한미', '자유', '무역', '협정', 'FTA', '트럼프', '일방', '25', '관세', '부과', '사실', '무용지물', '처럼', '현행', 'SMA', '폐기', '수순', '들어가']","“방위비 전액 내는 대신, FTA는 지키는 전략으로 관세 대응해야” 도널드 트럼프 미 대통령은 8일 한덕수 대통령 권한대행과의 통화에서 원스톱 쇼핑은 아름답고 효율적이라며 양국 간 무역 관세와 주한 미군 방위비 분담금 등을 한꺼번에 묶어 처리하겠다는 방침을 밝혔다 이에 따라 우리 정부가 지난해 바이든 미 행정부와 합의한 방위비분담특별협정SMA은 6개월도 안 돼 재협상이 불가피하게 됐다 한미 자유무역협정FTA이 트럼프의 일방적인 25 관세 부과로 사실상 무용지물이 된 것처럼 현행 SMA도 폐기 수순에 들어간 것이다",0
美서 먼저 전화… “韓대행 2개월이 한미관계 좌우할 수도”,한덕수 대통령 권한대행과 도널드 트럼프 미 대통령의 8일 밤 통화는 미국 측 요청으로 성사됐다고 한다 이 통화에서 트럼프 대통령이 관세와 방위비 분담금 등을 망라한 패키지 딜 가능성을 시사하면서 우리 정부도 한 대행의 지휘 아래 본격 대응에 나섰다 전문가들은 조기 대선까지 남은 두 달 동안 한덕수호가 마련할 대미 통상 전략이 트럼프 임기 4년간 한미 관계를 사실상 좌우할 수도 있다고 말한다,2025-04-09 16:01:00,https://www.chosun.com/politics/politics_general/2025/04/10/YK7BX4N365HBVL2ISNAYPLURZM/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '도널드', '트럼프', '대통령', '통화', '미국', '요청', '성사', '다고', 'ㄴ다', '통화', '트럼프', '대통령', '관세', '방위비', '분담금', '망라', '패키지', '가능', '시사', '면서', '정부', '대행', '지휘', '아래', '본격', '대응', '나서', '전문가', '조기', '대선', '한덕수호', '마련', '대미', '통상', '전략', '트럼프', '임기', '관계', '사실', '좌우', '다고', 'ㄴ다']",美서 먼저 전화… “韓대행 2개월이 한미관계 좌우할 수도” 한덕수 대통령 권한대행과 도널드 트럼프 미 대통령의 8일 밤 통화는 미국 측 요청으로 성사됐다고 한다 이 통화에서 트럼프 대통령이 관세와 방위비 분담금 등을 망라한 패키지 딜 가능성을 시사하면서 우리 정부도 한 대행의 지휘 아래 본격 대응에 나섰다 전문가들은 조기 대선까지 남은 두 달 동안 한덕수호가 마련할 대미 통상 전략이 트럼프 임기 4년간 한미 관계를 사실상 좌우할 수도 있다고 말한다,0
트럼프 “무역협상 때 韓·日 같은 동맹을 우선하라”,한미 간 통상 협상이 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 계기로 사실상 개시됐다 양 정상은 통화에서 조선 협력과 한국의 미국산 액화천연가스LNG 구매 미국의 한국에 대한 무역 적자 방위비 분담금 문제 등을 거론했다 한 대행은 통상장관정인교 통상교섭본부장을 미국에 보냈다고 말했고 트럼프 대통령은 통화를 마치자마자 케빈 헤싯 국가경제위원회NEC 위원장에게 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다 미국의 관세 정책에 보복 관세로 맞서는 중국에 비해 반발이 덜한 한일 등 우방부터 협상을 벌여 성과를 내겠다는 의도로 풀이된다 정 본부장은 9일 미국 워싱턴 DC에 도착해 제이미슨 그리어 미 무역대표부USTR 대표와 협의에 들어갔다 정 본부장은 현지에서 기자들과 만나 알래스카 LNG 건도 중요한 부분이고 이미 양국 간 협의가 진행되고 있는 조선도 미국 측이 가장 관심을 갖는 영역이라고 했다 이와 관련 정부 고위 관계자는 이날 브리핑에서 미국이 한국에 대해 부과한 25 관세를 조정하는 것이 최우선 목표라고 했다 이 관계자는 관세와 무역 수지 문제 방위비 분담금을 연동해 협상하자는 미국 측의 원스톱 쇼핑 제안에 대해 지금은 입장을 말하기 어렵다면서도 가능성을 배제하지 않았다 양국 정부는 여러 장관급 채널을 가동해 관련 협상을 진행할 것으로 전망된다,2025-04-09 15:55:00,https://www.chosun.com/politics/politics_general/2025/04/10/XUE4LC72GRFKDD4Q33VN3R7GKA/,조선닷컴,"['한미', '통상', '협상', '지나', '한덕수', '대통령', '권한', '대행', '국무총리', '도널드', '트럼프', '미국', '대통령', '통화', '계기', '사실', '개시', '정상', '통화', '조선', '협력', '한국', '미국', '액화', '천연가스', 'LNG', '구매', '미국', '한국', '대하', '무역', '적자', '방위비', '분담금', '문제', '거론', '대행', '통상', '장관정인교', '통상', '교섭', '본부장', '미국', '보내', '다고', '트럼프', '대통령', '통화', '케빈', '헤싯', '국가경제위원회NEC', '위원장', '무역', '협상', '한국일본', '동맹', '라고', '지시', '미국', '관세', '정책', '보복', '관세', '맞서', '중국', '비하', '반발', '한일', '우방', '협상', '벌이', '성과', '다는', '의도', '풀이', 'ㄴ다', '본부장', '미국', '워싱턴', 'DC', '도착', '제이미슨', '그리어', '무역', '대표부', 'USTR', '대표', '협의', '들어가', '본부장', '현지', '기자', '만나', '알래스카', 'LNG', '중요', '부분', '이미', '양국', '협의', '진행', '조선', '미국', '가장', '관심', '영역', '라고', '관련', '정부', '고위', '관계자', '이날', '브리핑', '미국', '한국', '대하', '부과', '25', '관세', '조정', '목표', '라고', '관계자', '관세', '무역', '수지', '문제', '방위비', '분담금', '연동', '협상', '자는', '미국', '원스톱', '쇼핑', '제안', '대하', '지금', '입장', '어렵', '다면서', '가능', '배제', '양국', '정부', '여러', '장관급', '채널', '가동', '관련', '협상', '진행', '전망', 'ㄴ다']",트럼프 “무역협상 때 韓·日 같은 동맹을 우선하라” 한미 간 통상 협상이 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 계기로 사실상 개시됐다 양 정상은 통화에서 조선 협력과 한국의 미국산 액화천연가스LNG 구매 미국의 한국에 대한 무역 적자 방위비 분담금 문제 등을 거론했다 한 대행은 통상장관정인교 통상교섭본부장을 미국에 보냈다고 말했고 트럼프 대통령은 통화를 마치자마자 케빈 헤싯 국가경제위원회NEC 위원장에게 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다 미국의 관세 정책에 보복 관세로 맞서는 중국에 비해 반발이 덜한 한일 등 우방부터 협상을 벌여 성과를 내겠다는 의도로 풀이된다 정 본부장은 9일 미국 워싱턴 DC에 도착해 제이미슨 그리어 미 무역대표부USTR 대표와 협의에 들어갔다 정 본부장은 현지에서 기자들과 만나 알래스카 LNG 건도 중요한 부분이고 이미 양국 간 협의가 진행되고 있는 조선도 미국 측이 가장 관심을 갖는 영역이라고 했다 이와 관련 정부 고위 관계자는 이날 브리핑에서 미국이 한국에 대해 부과한 25 관세를 조정하는 것이 최우선 목표라고 했다 이 관계자는 관세와 무역 수지 문제 방위비 분담금을 연동해 협상하자는 미국 측의 원스톱 쇼핑 제안에 대해 지금은 입장을 말하기 어렵다면서도 가능성을 배제하지 않았다 양국 정부는 여러 장관급 채널을 가동해 관련 협상을 진행할 것으로 전망된다,0
"韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법”",한덕수 대통령 권한대행 국무총리가 9일 미국이 한국을 비롯한 각국을 상대로 이른바 상호 관세를 발효한 것에 대해 보복 관세로 강경 대응하는 나라도 있지만 이렇게 어려울 때일수록 한미 동맹을 안보 동맹이자 경제 동맹으로 더욱 튼튼하게 격상시켜 나가는 것이 보다 슬기로운 해법이라고 주장했다,2025-04-09 11:14:00,https://www.chosun.com/politics/goverment/2025/04/09/OE6JPGXF5JBJRP6SFVD6FZ7HHI/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '미국', '한국', '비롯하', '각국', '상대', '이른바', '상호', '관세', '발효', '대하', '보복', '관세', '강경', '대응', '나라', '이렇', '어렵', 'ㄹ수록', '동맹', '안보', '동맹', '경제', '동맹', '더욱', '튼튼하', '격상', '시키', '나가', '보다', '슬기', '해법', '라고', '주장']","韓대행 “美 관세, 보복이 아니라 소통과 한미 동맹 격상이 해법” 한덕수 대통령 권한대행 국무총리가 9일 미국이 한국을 비롯한 각국을 상대로 이른바 상호 관세를 발효한 것에 대해 보복 관세로 강경 대응하는 나라도 있지만 이렇게 어려울 때일수록 한미 동맹을 안보 동맹이자 경제 동맹으로 더욱 튼튼하게 격상시켜 나가는 것이 보다 슬기로운 해법이라고 주장했다",0
"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매”",북한 김여정 노동당 부부장은 9일 담화에서 비핵화에 대해 사문화된 개념이라며 시대착오적이라고 했다 한미일 3국의 비핵화 촉구를 두고는 뭐가 모자란다는 말밖에 듣지 못할 것이라고 했다 도널드 트럼프 대통령이 취임 이후 김정은 국무위원장과의 대화 의사를 공개적으로 여러 번 언급했으나 북한 비핵화를 전제로 한 대화는 응하지 않겠다는 입장을 발신했다는 분석이다,2025-04-09 06:34:00,https://www.chosun.com/politics/north_korea/2025/04/09/RY6D74ZJ65FU3GV6EBRBXD7NTM/,조선닷컴,"['북한', '김여정', '노동당', '부부장', '담화', '대하', '사문', '개념', '라며', '시대착오', '라고', '한미일', '촉구', '모자라', 'ㄴ다는', '밖에', '못하', '라고', '도널드', '트럼프', '대통령', '취임', '이후', '김정은', '국무', '위원장', '대화', '의사', '공개', '여러', '언급', '으나', '북한', '전제', '대화', '응하', '다는', '입장', '발신', '다는', '분석']","김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매” 북한 김여정 노동당 부부장은 9일 담화에서 비핵화에 대해 사문화된 개념이라며 시대착오적이라고 했다 한미일 3국의 비핵화 촉구를 두고는 뭐가 모자란다는 말밖에 듣지 못할 것이라고 했다 도널드 트럼프 대통령이 취임 이후 김정은 국무위원장과의 대화 의사를 공개적으로 여러 번 언급했으나 북한 비핵화를 전제로 한 대화는 응하지 않겠다는 입장을 발신했다는 분석이다",0
정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표”,정부가 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 바탕으로 미국이 9일부터 한국산 수입품에 대해 부과한 25 추가 관세를 낮추기 위한 협상에 들어간다고 밝혔다,2025-04-09 02:25:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/09/C4557AHXMVA3JJVF4XUAGWHLXA/,조선닷컴,"['정부', '지나', '한덕수', '대통령', '권한', '대행', '국무총리', '도널드', '트럼프', '미국', '대통령', '통화', '바탕', '미국', '한국', '수입품', '대하', '부과', '25', '추가', '관세', '낮추', '위하', '협상', '들어가', 'ㄴ다고', '밝히']",정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표” 정부가 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 바탕으로 미국이 9일부터 한국산 수입품에 대해 부과한 25 추가 관세를 낮추기 위한 협상에 들어간다고 밝혔다,0
"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조",한덕수 대통령 권한대행 국무총리가 8일 도널드 트럼프 미국 대통령과의 전화 통화에서 조선과 미국 LNG액화천연가스 수입 무역수지 균형 분야에서 미국과 협력할 의지를 강조했다고 국무총리실이 밝혔다,2025-04-08 14:26:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/08/T7CV5F35YZHNFJ4UBD3TXBG4U4/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '도널드', '트럼프', '미국', '대통령', '전화', '통화', '조선', '미국', 'LNG', '액화', '천연가스', '수입', '무역', '수지', '균형', '분야', '미국', '협력', '의지', '강조', '다고', '국무총리실', '밝히']","韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조 한덕수 대통령 권한대행 국무총리가 8일 도널드 트럼프 미국 대통령과의 전화 통화에서 조선과 미국 LNG액화천연가스 수입 무역수지 균형 분야에서 미국과 협력할 의지를 강조했다고 국무총리실이 밝혔다",0
