title,description,published,link,media,desc_tokens,text,topic
이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS],차기 대통령 적합도 조사에서 이재명 전 더불어민주당 대표가 32를 기록했고 김문수 전 고용노동부 장관이 12로 뒤를 이었다는 여론조사 결과가 10일 나왔다,2025-04-10 03:17:00,https://www.chosun.com/politics/politics_general/2025/04/10/C4W6WE4PZZHQNAEHGKUJ22RPWY/,조선닷컴,"['차기', '대통령', '적합', '조사', '이재명', '더불어민주당', '대표', '32', '기록', '김문수', '고용', '노동부', '장관', '12', '다는', '여론', '조사', '결과', '10', '나오']",이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS] 차기 대통령 적합도 조사에서 이재명 전 더불어민주당 대표가 32를 기록했고 김문수 전 고용노동부 장관이 12로 뒤를 이었다는 여론조사 결과가 10일 나왔다,11
김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것”,김민석 더불어민주당 수석 최고위원은 8일 조기 대선이 치러진 뒤 차기 정부가 사용할 대통령 집무실과 관련 어느 정당이 집권하느냐를 떠나 장기적이고 지속적인 대통령실 자리가 용산이어야 한다는 것에 대부분 국민이 동의하지 않을 것이라고 했다,2025-04-08 02:03:00,https://www.chosun.com/politics/politics_general/2025/04/08/SR4XNLZ5SJD7NORBEC6AD4UG4E/,조선닷컴,"['김민석', '더불어민주당', '수석', '최고', '위원', '조기', '대선', '치르', '차기', '정부', '사용', '대통령', '집무실', '관련', '정당', '집권', '느냐', '떠나', '장기', '지속', '대통령실', '자리', '용산', '어야', 'ㄴ다는', '대부분', '국민', '동의', '라고']",김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것” 김민석 더불어민주당 수석 최고위원은 8일 조기 대선이 치러진 뒤 차기 정부가 사용할 대통령 집무실과 관련 어느 정당이 집권하느냐를 떠나 장기적이고 지속적인 대통령실 자리가 용산이어야 한다는 것에 대부분 국민이 동의하지 않을 것이라고 했다,11
정권 교체 48%·정권 재창출 37%…이재명 32%·김문수 12%[NBS],63대선에서 정권을 교체해야 한다는 응답이 48 정권을 재창출해야 한다는 응답이 37라는 여론조사 결과가 10일 나왔다 정당 지지도는 민주당이 34 국민의힘이 33로 오차범위 내였다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 이달 7일부터 3일간 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사휴대전화 가상번호를 이용한 전화면접 100 방식으로 실시 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조에선 이 같은 결과가 나왔다 스스로 중도층이라고 밝힌 사람 중에선 정권 교체 응답55이 정권 재창출 응답26보다 2배 이상으로 높았다차기 대통령 적합도는 더불어민주당 이재명 전 대표가 32로 가장 높았다 김문수 전 고용노동부 장관12 홍준표 대구시장7 오세훈 서울시장과 국민의힘 한동훈 전 대표는 각각 5였다 대선 후보들의 호감도 조사에서도 이 전 대표에게 호감이 간다고,2025-04-10 16:23:00,https://www.donga.com/news/Politics/article/all/20250410/131388930/1,동아닷컴,"['63', '대선', '정권', '교체', 'ㄴ다는', '응답', '48', '정권', '창출', 'ㄴ다는', '응답', '37', '라는', '여론', '조사', '결과', '10', '나오', '정당', '지지도', '민주당', '34', '국민', '33', '오차', '범위', '엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치', '이달', '전국', '18', '남녀', '1001', '대상', '실시', '정례', '전국', '지표', '조사', '휴대', '전화', '가상번호', '이용', '전화', '면접', '100', '방식', '실시', '자세하', '사항', '중앙', '선거', '여론', '조사', '심의', '위원회', '홈페이지', '참조', '결과', '나오', '스스로', '중도', '라고', '밝히', '사람', '정권', '교체', '응답', '55', '정권', '창출', '응답', '26', '보다', '차기', '대통령', '적합', '더불어민주당', '이재명', '대표', '32', '가장', '김문수', '고용', '노동부', '장관', '12', '홍준표', '대구시장', '오세훈', '서울시장', '국민의힘', '한동훈', '대표', '대선', '후보', '호감', '조사', '대표', '호감', 'ㄴ다고']",정권 교체 48%·정권 재창출 37%…이재명 32%·김문수 12%[NBS] 63대선에서 정권을 교체해야 한다는 응답이 48 정권을 재창출해야 한다는 응답이 37라는 여론조사 결과가 10일 나왔다 정당 지지도는 민주당이 34 국민의힘이 33로 오차범위 내였다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 이달 7일부터 3일간 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사휴대전화 가상번호를 이용한 전화면접 100 방식으로 실시 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조에선 이 같은 결과가 나왔다 스스로 중도층이라고 밝힌 사람 중에선 정권 교체 응답55이 정권 재창출 응답26보다 2배 이상으로 높았다차기 대통령 적합도는 더불어민주당 이재명 전 대표가 32로 가장 높았다 김문수 전 고용노동부 장관12 홍준표 대구시장7 오세훈 서울시장과 국민의힘 한동훈 전 대표는 각각 5였다 대선 후보들의 호감도 조사에서도 이 전 대표에게 호감이 간다고,11
이재명 32%·김문수 12%…정권 교체 48%·정권 재창출 37%[NBS],6월 3일 조기 대선이 열리는 가운데 차기 대통령감으로 가장 적합한 인물로 이재명 전 더불어민주당 대표가 32를 얻어 가장 앞섰다는 여론조사 결과가 10일 나왔다 김문수 전 고용노동부 장관은 12로 보수 진영에서 선두를 달렸다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치는 79일 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사NBS에서 이 같은 결과가 나왔다고 이날 밝혔다 이번 여론조사는 이달 4일 윤석열 전 대통령의 탄핵으로 조기 대선이 확정된 이후 처음으로 실시됐다홍준표 대구시장은 7를 기록하며 3위에 올랐다 오세훈 서울시장과 한동훈 전 국민의힘 대표는 각각 5였다 민주당 지지층에서는 이 전 대표 지지율이 73로 가장 높았고 국민의힘 지지층에서는 김 전 장관 29 홍 시장 16 오 시장 11 한 전 대표 11 순이었다대선후보 호감도도 이 전 대표가 35로 가장 높았다 김 전 장관이 23로 뒤를 이었으며,2025-04-10 11:31:00,https://www.donga.com/news/Politics/article/all/20250410/131387079/2,동아닷컴,"['조기', '대선', '열리', '가운데', '차기', '대통령감', '가장', '적합', '인물', '이재명', '더불어민주당', '대표', '32', '가장', '앞서', '다는', '여론', '조사', '결과', '10', '나오', '김문수', '고용', '노동부', '장관', '12', '보수', '진영', '선두', '달리', '엠브레인퍼블릭케이스탯리서치코리아리서치', '한국리서치', '79', '전국', '18', '남녀', '1001', '대상', '실시', '정례', '전국', '지표', '조사', 'NBS', '결과', '나오', '다고', '이날', '밝히', '여론', '조사', '이달', '윤석열', '대통령', '탄핵', '조기', '대선', '확정', '이후', '처음', '실시', '홍준표', '대구시장', '기록', '오르', '오세훈', '서울시장', '한동훈', '국민의힘', '대표', '민주당', '지지', '대표', '지지', '73', '가장', '국민', '지지', '장관', '29', '시장', '16', '시장', '11', '대표', '11', '대선', '후보', '호감', '대표', '35', '가장', '장관', '23', '으며']",이재명 32%·김문수 12%…정권 교체 48%·정권 재창출 37%[NBS] 6월 3일 조기 대선이 열리는 가운데 차기 대통령감으로 가장 적합한 인물로 이재명 전 더불어민주당 대표가 32를 얻어 가장 앞섰다는 여론조사 결과가 10일 나왔다 김문수 전 고용노동부 장관은 12로 보수 진영에서 선두를 달렸다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치는 79일 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사NBS에서 이 같은 결과가 나왔다고 이날 밝혔다 이번 여론조사는 이달 4일 윤석열 전 대통령의 탄핵으로 조기 대선이 확정된 이후 처음으로 실시됐다홍준표 대구시장은 7를 기록하며 3위에 올랐다 오세훈 서울시장과 한동훈 전 국민의힘 대표는 각각 5였다 민주당 지지층에서는 이 전 대표 지지율이 73로 가장 높았고 국민의힘 지지층에서는 김 전 장관 29 홍 시장 16 오 시장 11 한 전 대표 11 순이었다대선후보 호감도도 이 전 대표가 35로 가장 높았다 김 전 장관이 23로 뒤를 이었으며,11
이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS],이재명 전 더불어민주당 대표가 차기 대통령 적합도 조사에서 32로 1위라는 여론조사 결과가 10일 나왔다 엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 지난 79일 만,2025-04-10 11:11:00,https://www.mk.co.kr/news/politics/11287871,매일경제,"['이재명', '더불어민주당', '대표', '차기', '대통령', '적합', '조사', '32', '라는', '여론', '조사', '결과', '10', '나오', '엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치', '지나', '79']",이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS] 이재명 전 더불어민주당 대표가 차기 대통령 적합도 조사에서 32로 1위라는 여론조사 결과가 10일 나왔다 엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 지난 79일 만,11
"이재명, 차기 대통령 적합 30%·부적합 37%…모두 1위[엠브레인퍼블릭]",이재명 전 더불어민주당 대표가 차기 대통령 적합도 여론조사에서 적합 부적합 모두 1위에 올랐다는 결과가 나왔다 여론조사 기관 엠브레인퍼블릭이 MBC 손석희의 질문들의 의뢰로,2025-04-09 14:48:00,https://www.mk.co.kr/news/politics/11286909,매일경제,"['이재명', '더불어민주당', '대표', '차기', '대통령', '적합', '여론', '조사', '적합', '적합', '오르', '다는', '결과', '나오', '여론', '조사', '기관', '엠브레인퍼블릭', 'MBC', '손석희', '질문', '의뢰']","이재명, 차기 대통령 적합 30%·부적합 37%…모두 1위[엠브레인퍼블릭] 이재명 전 더불어민주당 대표가 차기 대통령 적합도 여론조사에서 적합 부적합 모두 1위에 올랐다는 결과가 나왔다 여론조사 기관 엠브레인퍼블릭이 MBC 손석희의 질문들의 의뢰로",11
[NBS]이재명 32%·김문수 12%···‘국힘이 윤 지지해야’ 중도 7%만 동의,전국지표조사NBS National Barometer Survey 제공 이재명 전 더불어민주당 대표가 차기 대통령 적합도 조사에서 32로 1위를 기록했다는 여론조사 결과가 10일 나왔다 이어 구 여권 주자인 김문수 전 고용노동부 장관 12 홍준표 대구시장 7 오세훈 서울시장 5 한동훈 전 국민의힘 대표 5 등의 순으로 나타났다 엠브,2025-04-10 11:27:00,https://www.khan.co.kr/article/202504101127001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['전국', '지표', '조사', 'NBS', 'National', 'Barometer', 'Survey', '제공', '이재명', '더불어민주당', '대표', '차기', '대통령', '적합', '조사', '32', '기록', '다는', '여론', '조사', '결과', '10', '나오', '여권', '주자', '김문수', '고용', '노동부', '장관', '12', '홍준표', '대구시장', '오세훈', '서울시장', '한동훈', '국민의힘', '대표', '나타나', '엠브']",[NBS]이재명 32%·김문수 12%···‘국힘이 윤 지지해야’ 중도 7%만 동의 전국지표조사NBS National Barometer Survey 제공 이재명 전 더불어민주당 대표가 차기 대통령 적합도 조사에서 32로 1위를 기록했다는 여론조사 결과가 10일 나왔다 이어 구 여권 주자인 김문수 전 고용노동부 장관 12 홍준표 대구시장 7 오세훈 서울시장 5 한동훈 전 국민의힘 대표 5 등의 순으로 나타났다 엠브,11
"""尹 출당시켜야"" 50%…호감도 이재명 35%·김문수 12% [NBS]",,2025-04-10 13:35:00,https://www.hankyung.com/article/2025041028407,한국경제,,"""尹 출당시켜야"" 50%…호감도 이재명 35%·김문수 12% [NBS] ",11
정권교체 56.9%.연장 37%…국힘 35.7%·민주 44.8% [리얼미터],뉴스데일리차기 대통령 선거에서 정권을 교체해야 한다는 여론이 569로 6주째 오차범위 밖에서 정권 연장론을 앞질렀다 국민의힘과 더불어민주당의 정당 지지율은 동반 하락했다리얼미터가 에너지경제신문 의뢰로 지난 24일 전국 만 18세 이상 유권자 1516명을 대상으로 실시해 7일 공개한 여론조사에 따르면 야권에 의한 정권 교체 의견은 전주 대비 02포인트p 하락한 569였다집권당의 정권 연장은 08p 하락한 37였다2월 4주차 이후 6주째 오차범위 밖에서 정권 교체론이 정권 연장론을 앞지른,2025-04-07 10:36:00,http://www.newsdaily.kr/news/articleView.html?idxno=245611,뉴스데일리,"['뉴스데일리차기', '대통령', '선거', '정권', '교체', 'ㄴ다는', '여론', '569', '오차', '범위', '정권', '연장', '앞지르', '국민', '더불어민주당', '정당', '지지', '동반', '하락', '리얼미터', '에너지경제신문', '의뢰', '지나', '24', '전국', '18', '유권자', '1516', '대상', '실시', '공개', '여론', '조사', '따르', '의하', '정권', '교체', '의견', '전주', '대비', '02', '포인트', '하락', '569였', '집권당', '정권', '연장', '08', '하락', '37', '이후', '오차', '범위', '정권', '교체', '정권', '연장', '앞지르']",정권교체 56.9%.연장 37%…국힘 35.7%·민주 44.8% [리얼미터] 뉴스데일리차기 대통령 선거에서 정권을 교체해야 한다는 여론이 569로 6주째 오차범위 밖에서 정권 연장론을 앞질렀다 국민의힘과 더불어민주당의 정당 지지율은 동반 하락했다리얼미터가 에너지경제신문 의뢰로 지난 24일 전국 만 18세 이상 유권자 1516명을 대상으로 실시해 7일 공개한 여론조사에 따르면 야권에 의한 정권 교체 의견은 전주 대비 02포인트p 하락한 569였다집권당의 정권 연장은 08p 하락한 37였다2월 4주차 이후 6주째 오차범위 밖에서 정권 교체론이 정권 연장론을 앞지른,11
국민의힘 36.1.민주당 47.3%..정권 교체 57%.연장 38%[리얼미터],뉴스데일리31일 여론조사 전문기관 리얼미터가 에너지경제신문 의뢰로 실시한 3월 4주 차 주간 여론조사 결과에 따르면 야권에 의한 정권 교체 응답은 571로 전주 대비 32포인트 상승했다 반면 여당의 정권 연장 응답은 378로 26포인트 하락했다 양측 간 격차는 193포인트로 지난 1월 이후 가장 크게 벌어졌다이 같은 경향은 중도층에서 특히 두드러졌다 중도층의 정권 교체 응답률은 67로 정권 연장 응답률289의 두 배를 넘는 수준이었다정당 지지율 역시 비슷한 흐름을 보였다 더불어민,2025-03-31 09:05:00,http://www.newsdaily.kr/news/articleView.html?idxno=245441,뉴스데일리,"['31', '여론', '조사', '전문', '기관', '리얼미터', '에너지경제신문', '의뢰', '실시', '주간', '여론', '조사', '결과', '따르', '의하', '정권', '교체', '응답', '571', '전주', '대비', '32', '포인트', '상승', '반면', '여당', '정권', '연장', '응답', '378', '26', '포인트', '하락', '양측', '격차', '193', '포인트', '지나', '이후', '가장', '벌어지', '경향', '중도', '특히', '두드러지', '중도', '정권', '교체', '응답', '67', '정권', '연장', '응답', '289', '수준', '정당', '지지', '역시', '비슷하', '흐름', '보이', '더불']",국민의힘 36.1.민주당 47.3%..정권 교체 57%.연장 38%[리얼미터] 뉴스데일리31일 여론조사 전문기관 리얼미터가 에너지경제신문 의뢰로 실시한 3월 4주 차 주간 여론조사 결과에 따르면 야권에 의한 정권 교체 응답은 571로 전주 대비 32포인트 상승했다 반면 여당의 정권 연장 응답은 378로 26포인트 하락했다 양측 간 격차는 193포인트로 지난 1월 이후 가장 크게 벌어졌다이 같은 경향은 중도층에서 특히 두드러졌다 중도층의 정권 교체 응답률은 67로 정권 연장 응답률289의 두 배를 넘는 수준이었다정당 지지율 역시 비슷한 흐름을 보였다 더불어민,11
