title,description,published,link,media,desc_tokens,text,topic
선관위원장 “대선 때 수검표... 사전투표함 보관소 24시간 영상 공개”,노태악대법관 중앙선거관리위원장이 9일 63 조기 대선 투개표와 관련해 수검표와 사전 투표 보관 장소 CCTV방범 카메라 24시간 공개를 통해 선거 절차의 투명성과 정확성을 더욱 담보하겠다고 밝혔다 이번 조기 대선 때도 부정선거 논란이 불거지지 않도록 투개표 시스템 관리를 투명하게 하겠다는 것이다 기계계수기로 센 투표지를 사람 손으로 한 번 더 일일이 검산하는 수검표와 사전 투표함 보관소 방범 카메라 영상 공개는 선거 부정 방지 차원에서 작년 4월 총선 때부터 도입됐다,2025-04-09 08:00:00,https://www.chosun.com/politics/politics_general/2025/04/09/QS5JJSCU3ZAOTJFPAFH53XMBFA/,조선닷컴,"['노태악', '법관', '중앙', '선거', '관리', '위원장', '63', '조기', '대선', '투개표', '관련', '수검', '사전', '투표', '보관', '장소', 'CCTV', '방범', '카메라', '24', '공개', '통하', '선거', '절차', '투명', '정확', '더욱', '담보', '다고', '밝히', '조기', '대선', '부정', '선거', '논란', '불거지', '도록', '투개표', '시스템', '관리', '투명', '다는', '기계', '수기', '투표지', '사람', '일일이', '검산', '수검', '사전', '투표함', '보관소', '방범', '카메라', '영상', '공개', '선거', '부정', '방지', '차원', '작년', '총선', '도입']",선관위원장 “대선 때 수검표... 사전투표함 보관소 24시간 영상 공개” 노태악대법관 중앙선거관리위원장이 9일 63 조기 대선 투개표와 관련해 수검표와 사전 투표 보관 장소 CCTV방범 카메라 24시간 공개를 통해 선거 절차의 투명성과 정확성을 더욱 담보하겠다고 밝혔다 이번 조기 대선 때도 부정선거 논란이 불거지지 않도록 투개표 시스템 관리를 투명하게 하겠다는 것이다 기계계수기로 센 투표지를 사람 손으로 한 번 더 일일이 검산하는 수검표와 사전 투표함 보관소 방범 카메라 영상 공개는 선거 부정 방지 차원에서 작년 4월 총선 때부터 도입됐다,13
"선관위, 대선 투·개표 절차 시연…“더 이상 소모적 논쟁 없기를”",중앙선거관리위원회가 10일 제21대 대통령 선거와 관련해 언론에 투개표 절차를 시연하고 배추 잎일장기 투표지 등 부정선거 의혹에 대한 오해 불식에 나섰다선관위는 이날 오후 경기 과천 중앙선관위에서 대선 투개표 절차 시연회를 열었다이번 시연회는 투개표 과정의 세부 절차뿐 아니라 부정선거 의혹을 해소하기 위해 마련된 자리다선관위는 대선에서 실제 사용하는 선거 장비를 활용해 사전투표용지 발급부터 선거일 투표 개표까지의 전 과정을 공개했다 또 개표 보고 시스템을 통해 결과가 공개되는 절차에 대해서도 설명했다부정선거의 증거로 쓰인 소위 배추 잎 투표지 일장기 투표지 등에 대한 해명도 있었다 해당 투표지는 지난 21대 국회의원선거 선거무효소송 재검표 과정에서 부정선거를 주장하는 측이 근거로 제시했으나 대법원에서 정상 투표지라고 판단한 바 있다선관위 관계자는 국민들께 정확하고 객관적인 정보가 전달돼 더 이상 소모적인 논쟁이 없기를 바란다며 위원회,2025-04-10 18:07:00,https://www.donga.com/news/Politics/article/all/20250410/131391506/1,동아닷컴,"['중앙', '선거', '관리', '위원회', '10', '21', '대통령', '선거', '관련', '언론', '개표', '절차', '시연', '배추', '일장기', '투표지', '부정', '선거', '의혹', '대하', '오해', '불식', '나서', '선관위', '이날', '오후', '경기', '과천', '중앙', '선관위', '대선', '투개표', '절차', '시연회', '시연회', '개표', '과정', '세부', '절차', '부정', '선거', '의혹', '해소', '위하', '마련', '자리다', '선관위', '대선', '실제', '사용', '선거', '장비', '활용', '사전', '투표', '용지', '발급', '선거일', '투표', '개표', '과정', '공개', '개표', '보고', '시스템', '통하', '결과', '공개', '절차', '대하', '아서', '설명', '부정', '선거', '증거', '쓰이', '소위', '배추', '투표지', '일장기', '투표지', '대하', '해명', '해당', '투표지', '지나', '21', '국회의원', '선거', '선거', '무효', '소송', '검표', '과정', '부정', '선거', '주장', '근거', '제시', '으나', '법원', '정상', '투표지', '라고', '판단', '선관위', '관계자', '국민', '정확', '객관', '정보', '전달', '소모', '논쟁', '바라', 'ㄴ다며', '위원회']","선관위, 대선 투·개표 절차 시연…“더 이상 소모적 논쟁 없기를” 중앙선거관리위원회가 10일 제21대 대통령 선거와 관련해 언론에 투개표 절차를 시연하고 배추 잎일장기 투표지 등 부정선거 의혹에 대한 오해 불식에 나섰다선관위는 이날 오후 경기 과천 중앙선관위에서 대선 투개표 절차 시연회를 열었다이번 시연회는 투개표 과정의 세부 절차뿐 아니라 부정선거 의혹을 해소하기 위해 마련된 자리다선관위는 대선에서 실제 사용하는 선거 장비를 활용해 사전투표용지 발급부터 선거일 투표 개표까지의 전 과정을 공개했다 또 개표 보고 시스템을 통해 결과가 공개되는 절차에 대해서도 설명했다부정선거의 증거로 쓰인 소위 배추 잎 투표지 일장기 투표지 등에 대한 해명도 있었다 해당 투표지는 지난 21대 국회의원선거 선거무효소송 재검표 과정에서 부정선거를 주장하는 측이 근거로 제시했으나 대법원에서 정상 투표지라고 판단한 바 있다선관위 관계자는 국민들께 정확하고 객관적인 정보가 전달돼 더 이상 소모적인 논쟁이 없기를 바란다며 위원회",13
"“부정선거 의혹 해소” 선관위, 대선 투·개표 절차 시연회 개최",중앙선거관리위원회가 10일 제21대 대통령선거 투개표 절차 시연회를 개최했다 중앙선관위는 이날 오후 과천 중앙선관위 청사 회의실에서 취재진을 상대로 시연회를 열고 투개표과정 절차 및 관리보안체계 사전투표용지 발급기 투표지분류기 등을 공개했다 이날 시연회는 주요 선거 장비 구성제원 및 작동원리를 투명하게 공개 부정선거 의혹을 해소하기 위한,2025-04-10 18:19:00,https://www.segye.com/newsView/20250410518670,세계일보,"['중앙', '선거', '관리', '위원회', '10', '21', '대통령', '선거', '개표', '절차', '시연회', '개최', '중앙', '선관위', '이날', '오후', '과천', '중앙', '선관위', '청사', '회의실', '취재진', '상대', '시연회', '개표', '과정', '절차', '관리', '보안', '체계', '사전', '투표', '용지', '발급기', '투표지', '분류기', '공개', '이날', '시연회', '주요', '선거', '장비', '구성', '제원', '작동', '원리', '투명', '공개', '부정', '선거', '의혹', '해소', '위하']","“부정선거 의혹 해소” 선관위, 대선 투·개표 절차 시연회 개최 중앙선거관리위원회가 10일 제21대 대통령선거 투개표 절차 시연회를 개최했다 중앙선관위는 이날 오후 과천 중앙선관위 청사 회의실에서 취재진을 상대로 시연회를 열고 투개표과정 절차 및 관리보안체계 사전투표용지 발급기 투표지분류기 등을 공개했다 이날 시연회는 주요 선거 장비 구성제원 및 작동원리를 투명하게 공개 부정선거 의혹을 해소하기 위한",13
"선관위, 조기대선 앞두고 ‘부정선거 의혹 해소’ 공개 시연회",비잔류 봉인지 의혹에 별도 잠금장치 설치돼 투표용지 추가투입 불가중앙선거관리위원회가 6월 3일 조기대선을 앞두고 대통령선거 투개표 절차 시연회를 10일 진행했다 선관위는 ,2025-04-10 19:36:00,https://www.mk.co.kr/news/politics/11288542,매일경제,"['잔류', '봉인지', '의혹', '별도', '잠금', '장치', '설치', '투표', '용지', '추가', '투입', '불가중앙', '선거', '관리', '위원회', '조기', '대선', '앞두', '대통령', '선거', '개표', '절차', '시연회', '10', '진행', '선관위']","선관위, 조기대선 앞두고 ‘부정선거 의혹 해소’ 공개 시연회 비잔류 봉인지 의혹에 별도 잠금장치 설치돼 투표용지 추가투입 불가중앙선거관리위원회가 6월 3일 조기대선을 앞두고 대통령선거 투개표 절차 시연회를 10일 진행했다 선관위는 ",13
"장예찬, ‘허위 학력·여론조사 왜곡’ 혐의 1심서 벌금 150만원",지난해 410 총선 당시 부산 수영구에 무소속으로 출마했다가 낙선한 장예찬 후보가 허위 학력 기재 여론조사 왜곡 혐의로 법원에서 벌금형을 선고받은 사실이 뒤늦게 알려졌다 9일,2025-04-09 16:12:00,https://www.mk.co.kr/news/politics/11287058,매일경제,"['지난해', '410', '총선', '당시', '부산', '수영구', '소속', '출마', '다가', '낙선', '장예찬', '후보', '허위', '학력', '기재', '여론', '조사', '왜곡', '혐의', '법원', '벌금형', '선고', '사실', '뒤늦', '알려지']","장예찬, ‘허위 학력·여론조사 왜곡’ 혐의 1심서 벌금 150만원 지난해 410 총선 당시 부산 수영구에 무소속으로 출마했다가 낙선한 장예찬 후보가 허위 학력 기재 여론조사 왜곡 혐의로 법원에서 벌금형을 선고받은 사실이 뒤늦게 알려졌다 9일",13
"선관위 “21대 대선, 표 보관장소 24시간 CCTV 공개”",선거관리위원회가 제21대 대통령선거를 더욱 투명하게 진행하겠다고 9일 밝혔다 노태악 중앙선관위원장은 이날 제21대 대통령선거 국민께 드리는 말씀을 통해 어려운 정치환경에서 ,2025-04-09 15:29:00,https://www.mk.co.kr/news/politics/11286986,매일경제,"['선거', '관리', '위원회', '21', '대통령', '선거', '더욱', '투명', '진행', '다고', '밝히', '노태악', '중앙', '선관', '위원장', '이날', '21', '대통령', '선거', '국민', '드리', '말씀', '통하', '어렵', '정치', '환경']","선관위 “21대 대선, 표 보관장소 24시간 CCTV 공개” 선거관리위원회가 제21대 대통령선거를 더욱 투명하게 진행하겠다고 9일 밝혔다 노태악 중앙선관위원장은 이날 제21대 대통령선거 국민께 드리는 말씀을 통해 어려운 정치환경에서 ",13
"투·개표 시연장 나타난 부정선거론자들 “CCTV 어떻게 믿나""···선관위 “007 영화 아냐”",언론 대상 행사에 김민전 의원변호사 2인 참석 질문 공세 10일 경기 과천시 중앙선거관리위원회에서 열린 21대 대선 투개표 절차 시연회에서 김용빈 중앙선거관리위원회 사무총장왼쪽이 부정선거 소송을 진행했던 변호사의 주장에 반박하고 있다 권도현 기자 중앙선거관리위원회가 10일 연 제21대 대통령선거 투개표 절차 시연회에 부정선거론자들이,2025-04-10 20:27:00,https://www.khan.co.kr/article/202504102027015/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['언론', '대상', '행사', '김민전', '의원', '변호사', '참석', '질문', '공세', '10', '경기', '과천시', '중앙', '선거', '관리', '위원회', '열리', '21', '대선', '개표', '절차', '시연회', '김용빈', '중앙', '선거', '관리', '위원회', '사무총장', '왼쪽', '부정', '선거', '소송', '진행', '변호사', '주장', '반박', '권도현', '기자', '중앙', '선거', '관리', '위원회', '10', '21', '대통령', '선거', '개표', '절차', '시연회', '부정', '선거론자']","투·개표 시연장 나타난 부정선거론자들 “CCTV 어떻게 믿나""···선관위 “007 영화 아냐” 언론 대상 행사에 김민전 의원변호사 2인 참석 질문 공세 10일 경기 과천시 중앙선거관리위원회에서 열린 21대 대선 투개표 절차 시연회에서 김용빈 중앙선거관리위원회 사무총장왼쪽이 부정선거 소송을 진행했던 변호사의 주장에 반박하고 있다 권도현 기자 중앙선거관리위원회가 10일 연 제21대 대통령선거 투개표 절차 시연회에 부정선거론자들이",13
선관위 시연장에 나타난 부정선거론자들…“CCTV를 어떻게 믿냐” “지문인식도 뚫려”,중앙선거관리위원회가 10일 경기 과천시 과천청사에서 개최한 제21대 대통령 선거 투개표 절차 시연회에서 선관위 관계자와 부정선거론 변호사가 논쟁하고 있다 허진무 기자 중앙선거관리위원회가 10일 연 제21대 대통령선거 투개표 절차 시연회에 부정선거론자들이 참석해 폐쇄회로CCTV 조작 만능키를 동원한 침입 가능성 등을 주장했다 선관위 측은,2025-04-10 17:50:00,https://www.khan.co.kr/article/202504101750001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['중앙', '선거', '관리', '위원회', '10', '경기', '과천시', '과천청사', '개최', '21', '대통령', '선거', '개표', '절차', '시연회', '선관위', '관계자', '부정', '선거', '변호사', '논쟁', '허진무', '기자', '중앙', '선거', '관리', '위원회', '10', '21', '대통령', '선거', '개표', '절차', '시연회', '부정', '선거론자', '참석', '폐쇄', '회로', 'CCTV', '조작', '만능', '동원', '침입', '가능', '주장', '선관위']",선관위 시연장에 나타난 부정선거론자들…“CCTV를 어떻게 믿냐” “지문인식도 뚫려” 중앙선거관리위원회가 10일 경기 과천시 과천청사에서 개최한 제21대 대통령 선거 투개표 절차 시연회에서 선관위 관계자와 부정선거론 변호사가 논쟁하고 있다 허진무 기자 중앙선거관리위원회가 10일 연 제21대 대통령선거 투개표 절차 시연회에 부정선거론자들이 참석해 폐쇄회로CCTV 조작 만능키를 동원한 침입 가능성 등을 주장했다 선관위 측은,13
"[포토] 중앙선관위, 21대 대선 투·개표 공개시연회",,2025-04-10 16:33:00,https://www.hankyung.com/article/202504103760i,한국경제,,"[포토] 중앙선관위, 21대 대선 투·개표 공개시연회 ",13
"투·개표 절차 공개…""가짜 투표용지"" 주장에는",대선을 앞두고 중앙선거관리위원회가 부정선거 의혹을 없애겠다며 투표와 개표 절차를 자세히 공개했습니다 부정선거 의혹을 주장하는 사람들도 이 장면을 지켜봤는데 이들은 선관위 직원들과 언쟁을 벌이기도 했습니다이 소식은 박예린 기자가 취재했습니다,2025-04-10 20:27:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058259&plink=RSSLINK&cooper=RSSREADER,SBS,"['대선', '앞두', '중앙', '선거', '관리', '위원회', '부정', '선거', '의혹', '없애', '다며', '투표', '개표', '절차', '자세히', '공개', '부정', '선거', '의혹', '주장', '사람', '장면', '지켜보', '는데', '선관위', '직원', '언쟁', '벌이', '소식', '박예린', '기자', '취재']","투·개표 절차 공개…""가짜 투표용지"" 주장에는 대선을 앞두고 중앙선거관리위원회가 부정선거 의혹을 없애겠다며 투표와 개표 절차를 자세히 공개했습니다 부정선거 의혹을 주장하는 사람들도 이 장면을 지켜봤는데 이들은 선관위 직원들과 언쟁을 벌이기도 했습니다이 소식은 박예린 기자가 취재했습니다",13
"""보이시죠?"" 대선 투개표 공개 시연회…""얼마든지 해킹 되잖아!"" 고성 나오자 [바로이뉴스]",중앙선거관리위원회가 다가오는 6월 3일 21대 대통령 선거를 앞두고 오늘 오후 투개표 절차 공개 시연회를 개최했습니다 일각에서 제기되는 부정선거 의혹에 대응하기 위한 차원입니다,2025-04-10 15:35:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008057851&plink=RSSLINK&cooper=RSSREADER,SBS,"['중앙', '선거', '관리', '위원회', '다가오', '21', '대통령', '선거', '앞두', '오늘', '오후', '개표', '절차', '공개', '시연회', '개최', '일각', '제기', '부정', '선거', '의혹', '대응', '위하', '차원', 'ㅂ니다']","""보이시죠?"" 대선 투개표 공개 시연회…""얼마든지 해킹 되잖아!"" 고성 나오자 [바로이뉴스] 중앙선거관리위원회가 다가오는 6월 3일 21대 대통령 선거를 앞두고 오늘 오후 투개표 절차 공개 시연회를 개최했습니다 일각에서 제기되는 부정선거 의혹에 대응하기 위한 차원입니다",13
