title,description,published,link,media,desc_tokens,text,topic
"정부, 北철광석 5020t 불법선적한 홍콩 선박 잡았다... 독자 제재 조치",정부가 북한의 금수품 거래에 관여한 홍콩 소재 선사와 운영자 등을 독자 제재한다,2025-04-10 08:21:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/10/RVOGGQHS5BGVLB55K44IQEERCU/,조선닷컴,"['정부', '북한', '금수품', '거래', '관여', '홍콩', '소재', '선사', '운영자', '독자', '제재', 'ㄴ다']","정부, 北철광석 5020t 불법선적한 홍콩 선박 잡았다... 독자 제재 조치 정부가 북한의 금수품 거래에 관여한 홍콩 소재 선사와 운영자 등을 독자 제재한다",14
무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각,개인 화기로 무장한 북한군 10여 명이 8일 강원도의 군사분계선MDL을 침범했다가 국군의 경고사격을 받고 돌아갔다 군 당국은 북한군의 최전방 단절 조치와 연관된 우발적 침범 한국의 정치적 혼란을 틈탄 고의 도발 가능성이 모두 있다고 보고 분석 중이다,2025-04-08 16:11:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/09/VSS52UZMAJH5JPU7S773OJDG2Q/,조선닷컴,"['개인', '화기', '무장', '북한군', '10', '강원도', '군사', '분계선', 'MDL', '침범', '다가', '국군', '경고', '사격', '돌아가', '당국', '북한군', '전방', '단절', '조치', '연관', '우발', '침범', '한국', '정치', '혼란', '고의', '도발', '가능', '다고', '분석']",무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각 개인 화기로 무장한 북한군 10여 명이 8일 강원도의 군사분계선MDL을 침범했다가 국군의 경고사격을 받고 돌아갔다 군 당국은 북한군의 최전방 단절 조치와 연관된 우발적 침범 한국의 정치적 혼란을 틈탄 고의 도발 가능성이 모두 있다고 보고 분석 중이다,14
‘北 철광석 불법 적재’ 홍콩 선사·선박 등 제재,북한산 철광석을 불법으로 거래하는 데 관여한 홍콩 소재 선사와 운영자 등을 정부가 독자 제재한다 외교부는 10일 유엔 안전보장이사회안보리 대북제재 결의를 위반한 단체 2곳 개인 2명 선박 1척을 독자 제재 대상으로 지정한다고 밝혔다 제재 대상은 홍콩 소재 선박회사인 샹루이와 운영자인 쑨정저쑨펑 이 회사소속 무국적 선박인 선라이즈S,2025-04-10 18:58:00,https://www.segye.com/newsView/20250410517465,세계일보,"['북한산', '철광석', '불법', '거래', '관여', '홍콩', '소재', '선사', '운영자', '정부', '독자', '제재', 'ㄴ다', '외교부', '10', '유엔', '안전', '보장', '이사회', '안보리', '대북', '제재', '결의', '위반', '단체', '개인', '선박', '독자', '제재', '대상', '지정', 'ㄴ다고', '밝히', '제재', '대상', '홍콩', '소재', '선박', '회사', '샹루이', '운영자', '쑨정', '저쑨펑', '회사', '소속', '국적', '선박', '선라이즈']",‘北 철광석 불법 적재’ 홍콩 선사·선박 등 제재 북한산 철광석을 불법으로 거래하는 데 관여한 홍콩 소재 선사와 운영자 등을 정부가 독자 제재한다 외교부는 10일 유엔 안전보장이사회안보리 대북제재 결의를 위반한 단체 2곳 개인 2명 선박 1척을 독자 제재 대상으로 지정한다고 밝혔다 제재 대상은 홍콩 소재 선박회사인 샹루이와 운영자인 쑨정저쑨펑 이 회사소속 무국적 선박인 선라이즈S,14
"정부, 홍콩 선사·중국인 2명 독자제재…“北철광석 이전”",홍콩 소재 선사 샹루이 운영자는 중국 국적 철광석 5000톤 적재 선박 목적지는 장쑤성 징장항 화주는 러시아 소재 회사정부가 북한 금수품 거래에 관여한 홍콩 소재 선사와 중국 ,2025-04-10 18:40:00,https://www.mk.co.kr/news/politics/11288516,매일경제,"['홍콩', '소재', '선사', '샹루이', '운영자', '중국', '국적', '철광석', '5000', '적재', '선박', '목적지', '장쑤성', '징장항', '화주', '러시아', '소재', '회사', '정부', '북한', '금수품', '거래', '관여', '홍콩', '소재', '선사', '중국']","정부, 홍콩 선사·중국인 2명 독자제재…“北철광석 이전” 홍콩 소재 선사 샹루이 운영자는 중국 국적 철광석 5000톤 적재 선박 목적지는 장쑤성 징장항 화주는 러시아 소재 회사정부가 북한 금수품 거래에 관여한 홍콩 소재 선사와 중국 ",14
민주 허성무 “중국산 후판 반덤핑관세에 철강-조선업계 충돌...해결책 필요”,후판에 이달말 최대 38 잠정관세 허성무 관세 둘러싸고 업계간 충돌 정부가 나서서 조율 상생 도모해야중국산 후판에 최대 38 반덤핑 관세가 예고된 가운데 철강업계와 ,2025-04-09 16:30:00,https://www.mk.co.kr/news/politics/11287085,매일경제,"['후판', '이달', '최대', '38', '잠정', '관세', '허성무', '관세', '둘러싸', '업계', '충돌', '정부', '나서', '어서', '조율', '상생', '도모', '중국', '후판', '최대', '38', '덤핑', '관세', '예고', '가운데', '철강업']",민주 허성무 “중국산 후판 반덤핑관세에 철강-조선업계 충돌...해결책 필요” 후판에 이달말 최대 38 잠정관세 허성무 관세 둘러싸고 업계간 충돌 정부가 나서서 조율 상생 도모해야중국산 후판에 최대 38 반덤핑 관세가 예고된 가운데 철강업계와 ,14
중국의 서해 무단 구조물 설치 맞서…해수부 “양식장 설치”,양국 공동 수역 빼앗길 가능성 지적에강도형 장관 예산 편성 착수 강도형 해양수산부 장관은 10일 중국이 서해에 무단으로 구조물을 설치한 데 대해 우리도 대응 조치로 양식시설을 설치하기 위한 예산 편성 작업에 착수하겠다고 밝혔다 강 장관은 10일 국회 농림축산식품해양수산위원회 전체회의에 출석해 중국의 양식시설 설치에 대한 예산을 편,2025-04-10 20:50:00,https://www.khan.co.kr/article/202504102050015/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['양국', '공동', '수역', '빼앗기', '가능', '지적', '강도형', '장관', '예산', '편성', '착수', '강도형', '해양', '수산부', '장관', '10', '중국', '서해', '무단', '구조물', '설치', '대하', '대응', '조치', '양식', '시설', '설치', '위하', '예산', '편성', '작업', '착수', '다고', '밝히', '장관', '10', '국회', '농림', '축산', '식품', '해양', '수산', '위원회', '전체', '회의', '출석', '중국', '양식', '시설', '설치', '대하', '예산']",중국의 서해 무단 구조물 설치 맞서…해수부 “양식장 설치” 양국 공동 수역 빼앗길 가능성 지적에강도형 장관 예산 편성 착수 강도형 해양수산부 장관은 10일 중국이 서해에 무단으로 구조물을 설치한 데 대해 우리도 대응 조치로 양식시설을 설치하기 위한 예산 편성 작업에 착수하겠다고 밝혔다 강 장관은 10일 국회 농림축산식품해양수산위원회 전체회의에 출석해 중국의 양식시설 설치에 대한 예산을 편,14
"강도형 해수부 장관, 중국 서해 무단 구조물에 “대응 조치로 양식시설 설치 예산 편성 착수”",강도형 해양수산부 장관이 지난 2일 서울 종로구 정부서울청사에서 열린 경제관계장관회의에서 발언하고 있다 연합뉴스 강도형 해양수산부 장관은 10일 중국이 서해에 무단으로 구조물을 설치한 데 대해 대응 조치로 양식 시설을 설치하기 위한 예산 편성 작업에 착수하겠다고 밝혔다 강 장관은 10일 국회 농림축산식품해양수산위원회 전체회의에 출석해 중국의 양,2025-04-10 17:19:00,https://www.khan.co.kr/article/202504101719001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['강도형', '해양', '수산부', '장관', '지나', '서울', '종로구', '정부서울청사', '열리', '경제', '관계', '장관', '회의', '발언', '연합', '뉴스', '강도형', '해양', '수산부', '장관', '10', '중국', '서해', '무단', '구조물', '설치', '대하', '대응', '조치', '양식', '시설', '설치', '위하', '예산', '편성', '작업', '착수', '다고', '밝히', '장관', '10', '국회', '농림', '축산', '식품', '해양', '수산', '위원회', '전체', '회의', '출석', '중국']","강도형 해수부 장관, 중국 서해 무단 구조물에 “대응 조치로 양식시설 설치 예산 편성 착수” 강도형 해양수산부 장관이 지난 2일 서울 종로구 정부서울청사에서 열린 경제관계장관회의에서 발언하고 있다 연합뉴스 강도형 해양수산부 장관은 10일 중국이 서해에 무단으로 구조물을 설치한 데 대해 대응 조치로 양식 시설을 설치하기 위한 예산 편성 작업에 착수하겠다고 밝혔다 강 장관은 10일 국회 농림축산식품해양수산위원회 전체회의에 출석해 중국의 양",14
"정부, '북한 철광석 무역' 중국인·러시아 기업 독자 제재",,2025-04-10 16:31:00,https://www.hankyung.com/article/202504103628i,한국경제,,"정부, '북한 철광석 무역' 중국인·러시아 기업 독자 제재 ",14
"외교부, 일본 왜곡 교과서 검정 통과에 '강력 항의' 성명 발표",뉴스데일리외교부는 25일 일본 정부가 독도에 대한 부당한 주장을 담은 고등학교 교과서를 검정 통과시킨 데 대해 우리 정부 명의로 깊은 유감을 표명하고 시정을 촉구하는 대변인 성명을 발표했다외교부는 성명을 통해 역사적지리적국제법적으로 명백한 우리 고유의 영토인 독도에 대한 부당한 주장이 담긴 교과서를 일본 정부가 또 다시 검정 통과시킨 데 대해 강력히 항의한다며 독도에 대한 일본의 어떠한 주장도 수용할 수 없음을 분명히 밝한다고 강조했다정부는 일본 정부가 25일 자국 중심의 역사관에 따라 과거의 역사적 사실을 왜곡하,2025-03-25 20:28:00,http://www.newsdaily.kr/news/articleView.html?idxno=245313,뉴스데일리,"['외교부', '25', '일본', '정부', '독도', '대하', '부당', '주장', '고등학교', '교과서', '검정', '통과', '시키', '대하', '정부', '명의', '유감', '표명', '시정', '촉구', '대변인', '성명', '발표', '외교부', '성명', '통하', '역사', '지리', '국제법', '명백하', '고유', '영토', '독도', '대하', '부당', '주장', '담기', '교과서', '일본', '정부', '다시', '검정', '통과', '시키', '대하', '강력히', '항의', 'ㄴ다며', '독도', '대하', '일본', '어떠하', '주장', '수용', '분명히', 'ㄴ다고', '강조', '정부', '일본', '정부', '25', '자국', '중심', '역사관', '따르', '과거', '역사', '사실', '왜곡']","외교부, 일본 왜곡 교과서 검정 통과에 '강력 항의' 성명 발표 뉴스데일리외교부는 25일 일본 정부가 독도에 대한 부당한 주장을 담은 고등학교 교과서를 검정 통과시킨 데 대해 우리 정부 명의로 깊은 유감을 표명하고 시정을 촉구하는 대변인 성명을 발표했다외교부는 성명을 통해 역사적지리적국제법적으로 명백한 우리 고유의 영토인 독도에 대한 부당한 주장이 담긴 교과서를 일본 정부가 또 다시 검정 통과시킨 데 대해 강력히 항의한다며 독도에 대한 일본의 어떠한 주장도 수용할 수 없음을 분명히 밝한다고 강조했다정부는 일본 정부가 25일 자국 중심의 역사관에 따라 과거의 역사적 사실을 왜곡하",14
북한 불법 선적 관여 홍콩 소재 선박·개인 등 독자 제재,정부가 북한의 불법 선적에 관여하면서 국제법을 위반한 홍콩 소재 선사와 운영자 등을 상대로 독자 제재에 나섭니다 외교부는 오늘10일 유엔 안전보장이사회 대북제재 결의를 위반한 단체 2곳 개인 2명 선박 1척을 독자 제재 대상으로 지정한다고 밝혔습니다 이번 제재 대상 선박은 홍콩 소재 선박회사인 샹루이와 운영자인 쑨정저쑨펑 이 회사 소속 무국적 선박 선라이즈 1호 등입니다 선라이즈 1호는 지난해 6월 북한 청진항에 입,2025-04-10 20:03:00,https://www.yonhapnewstv.co.kr/news/MYH20250410200319113,연합뉴스tv,"['정부', '북한', '불법', '선적', '관여', '면서', '국제법', '위반', '홍콩', '소재', '선사', '운영자', '상대', '독자', '제재', '나서', 'ㅂ니다', '외교부', '오늘', '10', '유엔', '안전', '보장', '이사회', '대북', '제재', '결의', '위반', '단체', '개인', '선박', '독자', '제재', '대상', '지정', 'ㄴ다고', '밝히', '제재', '대상', '선박', '홍콩', '소재', '선박', '회사', '샹루이', '운영자', '쑨정', '저쑨펑', '회사', '소속', '국적', '선박', '선라이즈', 'ㅂ니다', '선라이즈', '지난해', '북한', '청진항']",북한 불법 선적 관여 홍콩 소재 선박·개인 등 독자 제재 정부가 북한의 불법 선적에 관여하면서 국제법을 위반한 홍콩 소재 선사와 운영자 등을 상대로 독자 제재에 나섭니다 외교부는 오늘10일 유엔 안전보장이사회 대북제재 결의를 위반한 단체 2곳 개인 2명 선박 1척을 독자 제재 대상으로 지정한다고 밝혔습니다 이번 제재 대상 선박은 홍콩 소재 선박회사인 샹루이와 운영자인 쑨정저쑨펑 이 회사 소속 무국적 선박 선라이즈 1호 등입니다 선라이즈 1호는 지난해 6월 북한 청진항에 입,14
