title,description,published,link,media,desc_tokens,text,topic
"민주당 “홍준표, 명태균 연루 정황 또 나와…정계은퇴 약속 지키라”",더불어민주당 명태균게이트 진상조사단은 조기 대선 출마를 공식화한 홍준표 대구시장이 정치 브로커 명태균 씨 의혹에 연루된 정황이 계속 드러나고 있다며 집중 공세를 폈다진상조사단은 10일 김용만 대변인 명의 성명을 통해 명 박사 잘 지내냐 차가 낡았다니까 새 차로 바꿔줘야 되겠네라고 홍 시장이 말했다는 보도를 거론하며 두 사람의 사적 친분이 일면식 수준이 아니었음이 명확히 드러난 것이라고 비판했다 이어 명태균 국정농단에 홍준표 시장 역시 깊숙이 관여했다는 의혹을 결코 부정할 수 없다며 탄핵당한 당은 대선 포기하라던 그가 이제는 스스로 대권을 운운하는 이 모순된 행태 도대체 국민 앞에서 얼마나 더 기만을 이어가시겠는가라고 덧붙였다김 대변인은 그동안 홍 시장은 명태균과의 관계를 전면 부인해 왔지만 관련 의혹과 정황은 이제 차고 넘친다고 주장했다그러면서 대통령 부부와의 비공식 회동을 명태균이 직접 주선 총선지선 등 선거 여론조사 개입 및 측근 대납,2025-04-10 11:03:00,https://www.donga.com/news/Politics/article/all/20250410/131386813/2,동아닷컴,"['더불어민주당', '명태균', '게이트', '진상', '조사단', '조기', '대선', '출마', '공식', '홍준표', '대구시장', '정치', '브로커', '명태균', '의혹', '연루', '정황', '계속', '드러나', '다며', '집중', '공세', '진상', '조사단', '10', '김용만', '대변인', '명의', '성명', '통하', '박사', '지내', '다니까', '바꾸', '어야', '라고', '시장', '다는', '보도', '거론', '사람', '친분', '일면식', '수준', '명확히', '드러나', '라고', '비판', '명태균', '국정', '농단', '홍준표', '시장', '역시', '깊숙이', '관여', '다는', '의혹', '결코', '부정', '다며', '탄핵', '당하', '대선', '포기', '라던', '이제', '스스로', '대권', '모순', '행태', '도대체', '국민', '기만', '는가', '라고', '덧붙이', '대변인', '그동안', '시장', '명태균', '관계', '전면', '부인', '관련', '의혹', '정황', '이제', '넘치', 'ㄴ다고', '주장', '그러', '면서', '대통령', '부부', '공식', '회동', '명태균', '직접', '주선', '총선', '지선', '선거', '여론', '조사', '개입', '측근', '대납']","민주당 “홍준표, 명태균 연루 정황 또 나와…정계은퇴 약속 지키라” 더불어민주당 명태균게이트 진상조사단은 조기 대선 출마를 공식화한 홍준표 대구시장이 정치 브로커 명태균 씨 의혹에 연루된 정황이 계속 드러나고 있다며 집중 공세를 폈다진상조사단은 10일 김용만 대변인 명의 성명을 통해 명 박사 잘 지내냐 차가 낡았다니까 새 차로 바꿔줘야 되겠네라고 홍 시장이 말했다는 보도를 거론하며 두 사람의 사적 친분이 일면식 수준이 아니었음이 명확히 드러난 것이라고 비판했다 이어 명태균 국정농단에 홍준표 시장 역시 깊숙이 관여했다는 의혹을 결코 부정할 수 없다며 탄핵당한 당은 대선 포기하라던 그가 이제는 스스로 대권을 운운하는 이 모순된 행태 도대체 국민 앞에서 얼마나 더 기만을 이어가시겠는가라고 덧붙였다김 대변인은 그동안 홍 시장은 명태균과의 관계를 전면 부인해 왔지만 관련 의혹과 정황은 이제 차고 넘친다고 주장했다그러면서 대통령 부부와의 비공식 회동을 명태균이 직접 주선 총선지선 등 선거 여론조사 개입 및 측근 대납",15
"홍준표, 대구시민에 “임기 못마쳐 죄송···대선 승리해 금의환향할 것”",홍준표 대구시장은 10일 민선 8기 대구시장의 임기를 마치지 못하고 중간에 떠나게 된 데 대해 진심으로 죄송하게 생각한다면서 이번 대선에서 승리하고 금의환향하는 날 다시 뵙겠,2025-04-10 17:16:00,https://www.mk.co.kr/news/politics/11288359,매일경제,"['홍준표', '대구시장', '10', '민선', '대구시장', '임기', '못하', '중간', '떠나', '대하', '진심', '죄송하', '생각', 'ㄴ다면서', '대선', '승리', '금의환향', '다시']","홍준표, 대구시민에 “임기 못마쳐 죄송···대선 승리해 금의환향할 것” 홍준표 대구시장은 10일 민선 8기 대구시장의 임기를 마치지 못하고 중간에 떠나게 된 데 대해 진심으로 죄송하게 생각한다면서 이번 대선에서 승리하고 금의환향하는 날 다시 뵙겠",15
홍준표 “국가수사국 만들고 공수처 폐지” 연일 대선 정책 내놔,홍준표 대구시장이 지난달 19일 서울 관악구 서울대학교에서 한국 정치의 미래를 묻다를 주제로 강연하고 있다 연합뉴스 63 대선 출마 의사를 밝힌 홍준표 대구시장이 10일 국가 수사국을 만들어서 모든 수사를 총괄하게 하고 검찰은 공소유지를 위한 보완수사권만 주고 공수처는 폐지해야 한다고 밝혔다 홍 시장은 이날 페이스북에 문재인 정권 때 ,2025-04-10 08:27:00,https://www.khan.co.kr/article/202504100827001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['홍준표', '대구시장', '지난달', '19', '서울', '관악구', '서울대학교', '한국', '정치', '미래', '주제', '강연', '연합', '뉴스', '63', '대선', '출마', '의사', '밝히', '홍준표', '대구시장', '10', '국가', '수사국', '만들', '어서', '모든', '수사', '총괄', '검찰', '공소', '유지', '위하', '보완', '수사', '공수처', '폐지', 'ㄴ다고', '밝히', '시장', '이날', '페이스북', '문재인', '정권']",홍준표 “국가수사국 만들고 공수처 폐지” 연일 대선 정책 내놔 홍준표 대구시장이 지난달 19일 서울 관악구 서울대학교에서 한국 정치의 미래를 묻다를 주제로 강연하고 있다 연합뉴스 63 대선 출마 의사를 밝힌 홍준표 대구시장이 10일 국가 수사국을 만들어서 모든 수사를 총괄하게 하고 검찰은 공소유지를 위한 보완수사권만 주고 공수처는 폐지해야 한다고 밝혔다 홍 시장은 이날 페이스북에 문재인 정권 때 ,15
"한국쉘석유, KBO와 공동 마케팅 협약 체결",한국쉘석유주식회사가 한국야구위원회와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다 세계 윤활유 판매 1위인 로얄더취쉘그룹의 국내 법인인 한국쉘석유주식회사 이하 lsquo한국쉘rsquo는 한국야구위원회 이하 lsquoKBOrsquo와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다이번 공동 마케팅은 KBO 리그에서 뛰어난 활약을 펼친 선수를 한국쉘이 lsquo힐릭스 플레이어rsquo로 선정하여 시상함으로써 KBO 리그의 발전과 선수들의 기량 향상을 지원,2017-06-05 14:10:00,http://dev1.ndsoftnews.com/news/articleView.html?idxno=9,뉴스포스트,"['한국쉘석유주식회사', '한국야구위원회', '21', '2016', 'KBO', '리그', '공동', '마케팅', '업무', '협약', '체결', '세계', '윤활유', '판매', '로얄더취쉘그룹', '국내', '법인', '한국쉘석유주식회사', '이하', 'lsquo', '한국쉘rsquo', '한국야구위원회', '이하', 'lsquoKBOrsquo', '21', '2016', 'KBO', '리그', '공동', '마케팅', '업무', '협약', '체결', '공동', '마케팅', 'KBO', '리그', '뛰어나', '활약', '펼치', '선수', '한국쉘', 'lsquo', '힐릭스', '플레이어', 'rsquo', '선정', '시상', 'KBO', '리그', '발전', '선수', '기량', '향상', '지원']","한국쉘석유, KBO와 공동 마케팅 협약 체결 한국쉘석유주식회사가 한국야구위원회와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다 세계 윤활유 판매 1위인 로얄더취쉘그룹의 국내 법인인 한국쉘석유주식회사 이하 lsquo한국쉘rsquo는 한국야구위원회 이하 lsquoKBOrsquo와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다이번 공동 마케팅은 KBO 리그에서 뛰어난 활약을 펼친 선수를 한국쉘이 lsquo힐릭스 플레이어rsquo로 선정하여 시상함으로써 KBO 리그의 발전과 선수들의 기량 향상을 지원",15
"한국쉘석유, KBO와 공동 마케팅 협약 체결",한국쉘석유주식회사가 한국야구위원회와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다 세계 윤활유 판매 1위인 로얄더취쉘그룹의 국내 법인인 한국쉘석유주식회사 이하 lsquo한국쉘rsquo는 한국야구위원회 이하 lsquoKBOrsquo와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다이번 공동 마케팅은 KBO 리그에서 뛰어난 활약을 펼친 선수를 한국쉘이 lsquo힐릭스 플레이어rsquo로 선정하여 시상함으로써 KBO 리그의 발전과 선수들의 기량 향상을 지원,2017-06-05 14:10:00,http://dev1.ndsoftnews.com/news/articleView.html?idxno=9,중부매일,"['한국쉘석유주식회사', '한국야구위원회', '21', '2016', 'KBO', '리그', '공동', '마케팅', '업무', '협약', '체결', '세계', '윤활유', '판매', '로얄더취쉘그룹', '국내', '법인', '한국쉘석유주식회사', '이하', 'lsquo', '한국쉘rsquo', '한국야구위원회', '이하', 'lsquoKBOrsquo', '21', '2016', 'KBO', '리그', '공동', '마케팅', '업무', '협약', '체결', '공동', '마케팅', 'KBO', '리그', '뛰어나', '활약', '펼치', '선수', '한국쉘', 'lsquo', '힐릭스', '플레이어', 'rsquo', '선정', '시상', 'KBO', '리그', '발전', '선수', '기량', '향상', '지원']","한국쉘석유, KBO와 공동 마케팅 협약 체결 한국쉘석유주식회사가 한국야구위원회와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다 세계 윤활유 판매 1위인 로얄더취쉘그룹의 국내 법인인 한국쉘석유주식회사 이하 lsquo한국쉘rsquo는 한국야구위원회 이하 lsquoKBOrsquo와 3월 21일에 2016년 KBO 리그 공동 마케팅 업무 협약을 체결하였다이번 공동 마케팅은 KBO 리그에서 뛰어난 활약을 펼친 선수를 한국쉘이 lsquo힐릭스 플레이어rsquo로 선정하여 시상함으로써 KBO 리그의 발전과 선수들의 기량 향상을 지원",15
"대선 출마 홍준표 대구시장, 내일 퇴임식…취임 2년 10개월만",9650 홍준표 대구시장이 10일 대구시의회에서 퇴임 인사를 한 후 시의원들의 박수를 받으며 이동하고 있다홍준표 대구시장이 대선에 출마하,2025-04-10 17:09:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058161&plink=RSSLINK&cooper=RSSREADER,SBS,"['9650', '홍준표', '대구시장', '10', '대구시의회', '퇴임', '인사', '의원', '박수', '으며', '이동', '홍준표', '대구시장', '대선', '출마']","대선 출마 홍준표 대구시장, 내일 퇴임식…취임 2년 10개월만 9650 홍준표 대구시장이 10일 대구시의회에서 퇴임 인사를 한 후 시의원들의 박수를 받으며 이동하고 있다홍준표 대구시장이 대선에 출마하",15
"[여담야담] 국힘, 대선 '경선룰' 확정…민주, 선관위 출범",SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원,2025-04-10 15:48:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008057741&plink=RSSLINK&cooper=RSSREADER,SBS,"['SBS', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', '9632', '홍석준', '국민', '국회의원']","[여담야담] 국힘, 대선 '경선룰' 확정…민주, 선관위 출범 SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원",15
"[여담야담] 이재명 ""진짜 대한민국 만들 것""…한동훈 ""정치·세대·시대 교체""",SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원,2025-04-10 15:46:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008057738&plink=RSSLINK&cooper=RSSREADER,SBS,"['SBS', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', '9632', '홍석준', '국민', '국회의원']","[여담야담] 이재명 ""진짜 대한민국 만들 것""…한동훈 ""정치·세대·시대 교체"" SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원",15
"대선 출마 홍준표 대구시장, 내일 퇴임식…취임 2년 10개월만",9650 홍준표 대구시장이 10일 대구시의회에서 퇴임 인사를 한 후 시의원들의 박수를 받으며 이동하고 있다홍준표 대구시장이 대선에 출마하,2025-04-10 17:09:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058161&plink=RSSLINK&cooper=RSSREADER,SBS,"['9650', '홍준표', '대구시장', '10', '대구시의회', '퇴임', '인사', '의원', '박수', '으며', '이동', '홍준표', '대구시장', '대선', '출마']","대선 출마 홍준표 대구시장, 내일 퇴임식…취임 2년 10개월만 9650 홍준표 대구시장이 10일 대구시의회에서 퇴임 인사를 한 후 시의원들의 박수를 받으며 이동하고 있다홍준표 대구시장이 대선에 출마하",15
"[여담야담] 국힘, 대선 '경선룰' 확정…민주, 선관위 출범",SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원,2025-04-10 15:48:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008057741&plink=RSSLINK&cooper=RSSREADER,SBS,"['SBS', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', 'lt', '편상욱', '뉴스', '브리핑', 'gt', '9632', '9632', '홍석준', '국민', '국회의원']","[여담야담] 국힘, 대선 '경선룰' 확정…민주, 선관위 출범 SBS lt편상욱의 뉴스브리핑gt 9632 lt편상욱의 뉴스브리핑gt 9632 9632 홍석준 전 국민의힘 국회의원",15
