title,description,published,link,media,desc_tokens,text,topic
"전한길 만난 尹 “나야 감옥가고 죽어도 상관없지만, 우리 국민들 어떡하나”",한국사 강사 전한길씨가 서울 한남동 관저에서 윤석열 전 대통령을 만났다고 10일 밝혔다 이철우 경북지사도 전날 대선 출마 선언 직후 관저에서 윤 전 대통령을 만났다,2025-04-10 08:27:00,https://www.chosun.com/politics/politics_general/2025/04/10/WJ3L7NMNPNFNREWDMDNQZ2QBVQ/,조선닷컴,"['한국사', '강사', '전한길', '서울', '한남동', '관저', '윤석열', '대통령', '만나', '다고', '10', '밝히', '이철우', '경북', '지사', '전날', '대선', '출마', '선언', '직후', '관저', '대통령', '만나']","전한길 만난 尹 “나야 감옥가고 죽어도 상관없지만, 우리 국민들 어떡하나” 한국사 강사 전한길씨가 서울 한남동 관저에서 윤석열 전 대통령을 만났다고 10일 밝혔다 이철우 경북지사도 전날 대선 출마 선언 직후 관저에서 윤 전 대통령을 만났다",1
"대선 출마 이철우 “尹 전 대통령, ‘사람 쓸 때 충성심이 가장 중요’ 당부”",대선 출마를 선언한 이철우 경북지사는 10일 페이스북을 통해 윤석열 전 대통령을 어제 저녁 한남동 관저에서 만났다며 윤 전 대통령이 이번 선거에서 우리 당이 승리해서 자유민주주의를 지켜야 한다며 최선을 다하겠다면서 저에게도 힘껏 노력해서 대통령에 당선되기를 바란다는 덕담을 했다고 전했다,2025-04-10 06:36:00,https://www.chosun.com/politics/politics_general/2025/04/10/XZRQJ7XHH5GXVA2MYVSQ3IISNE/,조선닷컴,"['대선', '출마', '선언', '이철우', '경북', '지사', '10', '페이스북', '통하', '윤석열', '대통령', '어제', '저녁', '한남동', '관저', '만나', '다며', '대통령', '선거', '승리', '아서', '자유', '민주주의', '지키', '어야', 'ㄴ다며', '최선', '다면서', '힘껏', '노력', '아서', '대통령', '당선', '바라', 'ㄴ다는', '덕담', '다고', '전하']","대선 출마 이철우 “尹 전 대통령, ‘사람 쓸 때 충성심이 가장 중요’ 당부” 대선 출마를 선언한 이철우 경북지사는 10일 페이스북을 통해 윤석열 전 대통령을 어제 저녁 한남동 관저에서 만났다며 윤 전 대통령이 이번 선거에서 우리 당이 승리해서 자유민주주의를 지켜야 한다며 최선을 다하겠다면서 저에게도 힘껏 노력해서 대통령에 당선되기를 바란다는 덕담을 했다고 전했다",1
계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영,윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,2025-04-09 16:08:00,https://www.chosun.com/politics/assembly/2025/04/10/23FSXXSRPRBN3P6MUNQU4PPPQA/,조선닷컴,"['윤석열', '대통령', '헌법', '재판소', '결정', '파면', '이후', '더불어민주당', '노조', '좌파', '진영', '중심', '국민', '비롯하', '보수', '진영', '내란', '세력', '규정', '공세', '거세']",계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영 윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,1
대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치”,더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,2025-04-08 16:09:00,https://www.chosun.com/politics/assembly/2025/04/09/WNB2Y6XODFFSNHVQDKDBFF7XWE/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '남기', '기록물', '대통령', '기록물', '지정', '못하', '도록', '법안', '발의', '대통령', '국민', '겨냥', '공세', '민주당', '지나', '헌법', '재판소', '탄핵', '인용', '결정', '대통령', '대하', '추가', '수사', '구속', '촉구', '국민', '관련', '의혹', '규명', 'ㄴ다며', '연일', '맹공', '퍼붓', '국민', '향하', '아서', '대통령', '후보', '어서', 'ㄴ다고', '국민', '확정', '조기', '대선', '유리', '국면', '이끌', '위하', '민주당', '보수', '진영', '향하', '공포', '캠페인', '벌이', '다고']",대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치” 더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,1
당내서 尹 출당론 나오자... 윤상현 “시간 드리면 알아서 하실 것”,국민의힘 윤상현 의원은 7일 국민의힘 일각에서 윤석열 전 대통령의 당적 정리가 필요하다고 주장하는 것과 관련해 이 문제를 스스로 해결할 수 있게끔 시간을 드리면 다 알아서 할 것이라고 했다 윤 의원은 이날 기자들의 관련 질문에 그분윤 전 대통령이 당에 부담되는 것을 원하겠나 아니다라며 이같이 밝혔다 차기 대선 승리를 위해 필요하다면 윤 전 대통령이 스스로 적절한 시기에 당적을 정리할 수 있다는 뜻으로 해석됐다,2025-04-07 11:04:00,https://www.chosun.com/politics/politics_general/2025/04/07/RXIFKHHHINGR3AIGSSPJGILU2Q/,조선닷컴,"['국민', '윤상현', '의원', '국민', '일각', '윤석열', '대통령', '당적', '정리', '필요', '다고', '주장', '관련', '문제', '스스로', '해결', '게끔', '드리', '아서', '라고', '의원', '이날', '기자', '관련', '질문', '그분윤', '대통령', '부담', '다라며', '밝히', '차기', '대선', '승리', '위하', '필요', '다면', '대통령', '스스로', '적절하', '시기', '당적', '정리', '다는', '해석']",당내서 尹 출당론 나오자... 윤상현 “시간 드리면 알아서 하실 것” 국민의힘 윤상현 의원은 7일 국민의힘 일각에서 윤석열 전 대통령의 당적 정리가 필요하다고 주장하는 것과 관련해 이 문제를 스스로 해결할 수 있게끔 시간을 드리면 다 알아서 할 것이라고 했다 윤 의원은 이날 기자들의 관련 질문에 그분윤 전 대통령이 당에 부담되는 것을 원하겠나 아니다라며 이같이 밝혔다 차기 대선 승리를 위해 필요하다면 윤 전 대통령이 스스로 적절한 시기에 당적을 정리할 수 있다는 뜻으로 해석됐다,1
전한길 “마음 안들어도 판결 존중… 동맹과 종북 중 뭘 택할지 계속 묻고 싸울 것”,지난 4일 문형배 헌법재판소장 권한대행이 피청구인 대통령 윤석열을 파면한다는 주문을 읽자 한국사 강사 전한길55씨는 자신의 유튜브 방송에서 두 손으로 얼굴을 감싸고 한동안 움직이지 못했다 이윽고 전씨는 저와 같은 뜻이었던 분들께 승복하기를 부탁드린다 그것이 바로 우리가 추구한 자유민주주의와 법치주의라고 했다 전씨는 6일 본지 인터뷰에서도 2030 세대에게 함부로 유혈 사태 운운해선 안 된다 그런 짓은 절대로 용서할 수 없다면서 지금은 헌법 테두리 안에서 보수 가치를 지켜나가는 저항에 나서야 할 때라고 했다,2025-04-06 16:11:00,https://www.chosun.com/politics/politics_general/2025/04/07/BDLNIPTJFBC5LPZ6JYN2NTEC2I/,조선닷컴,"['지나', '문형배', '헌법', '재판소장', '권한', '대행', '청구', '대통령', '윤석열', '파면', 'ㄴ다는', '주문', '한국사', '강사', '전한길55', '유튜브', '방송', '얼굴', '감싸', '한동안', '움직이', '못하', '이윽고', '승복', '부탁', '드리', 'ㄴ다', '그것', '추구', '자유', '민주주의', '법치주의', '라고', '본지', '인터뷰', '2030', '세대', '함부로', '유혈', '사태', '아서', 'ㄴ다', '그런', '절대로', '용서', '다면서', '지금', '헌법', '테두리', '보수', '가치', '지키', '나가', '저항', '나서', '어야', '라고']",전한길 “마음 안들어도 판결 존중… 동맹과 종북 중 뭘 택할지 계속 묻고 싸울 것” 지난 4일 문형배 헌법재판소장 권한대행이 피청구인 대통령 윤석열을 파면한다는 주문을 읽자 한국사 강사 전한길55씨는 자신의 유튜브 방송에서 두 손으로 얼굴을 감싸고 한동안 움직이지 못했다 이윽고 전씨는 저와 같은 뜻이었던 분들께 승복하기를 부탁드린다 그것이 바로 우리가 추구한 자유민주주의와 법치주의라고 했다 전씨는 6일 본지 인터뷰에서도 2030 세대에게 함부로 유혈 사태 운운해선 안 된다 그런 짓은 절대로 용서할 수 없다면서 지금은 헌법 테두리 안에서 보수 가치를 지켜나가는 저항에 나서야 할 때라고 했다,1
안간힘 쓰는 국민의힘… ‘대선 단합’ 강조,국민의힘 등 범보수 진영의 대선 주자급 인사들이 윤석열 대통령 파면 이후 조기 대선 출마 의사를 속속 밝히고 있다 윤 대통령 탄핵에 반대했던 일부 주자는 조기 대선이 60일 만에 치러져 지체할 시간이 없다면서 대선 출마 의사를 적극적으로 밝혔다 탄핵에 찬성했던 일부 주자는 이번 주 초중반쯤 출마하겠다는 뜻을 드러낼 것으로 보인다,2025-04-06 16:03:00,https://www.chosun.com/politics/2025/04/07/YXJXMQK5TVFI5L46RE4RZ34OUQ/,조선닷컴,"['국민의힘', '보수', '진영', '대선', '주자급', '인사', '윤석열', '대통령', '파면', '이후', '조기', '대선', '출마', '의사', '속속', '밝히', '대통령', '탄핵', '반대', '일부', '주자', '조기', '대선', '60', '치르', '지체', '다면서', '대선', '출마', '의사', '적극', '밝히', '탄핵', '찬성', '일부', '주자', '중반', '출마', '다는', '드러내', '보이', 'ㄴ다']",안간힘 쓰는 국민의힘… ‘대선 단합’ 강조 국민의힘 등 범보수 진영의 대선 주자급 인사들이 윤석열 대통령 파면 이후 조기 대선 출마 의사를 속속 밝히고 있다 윤 대통령 탄핵에 반대했던 일부 주자는 조기 대선이 60일 만에 치러져 지체할 시간이 없다면서 대선 출마 의사를 적극적으로 밝혔다 탄핵에 찬성했던 일부 주자는 이번 주 초중반쯤 출마하겠다는 뜻을 드러낼 것으로 보인다,1
"끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라”",더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다,2025-04-06 16:03:00,https://www.chosun.com/politics/assembly/2025/04/07/HRFICHXEZVD2DOS62QWHNJLCAI/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '대하', '헌법', '재판소', '탄핵', '인용', '선고', '이후', '공세', '수위', '끌어올리', '국민', '해산', '윤석열', '구속', '주장', '는가', '내란', '특검법', '명태균', '특검법', '거부', '행사', '법안', '대하', '의결', '추진', '박근혜', '대통령', '탄핵', '국면', '적폐', '청산', '외치', '민주당', '내란', '척결', '명분', '윤석열', '정부', '관계자', '내란', '공범', '수사', 'ㄴ다고', '조기', '대선', '국면', '대통령', '국민', '향하', '민주당', '강공', '모드', '당분간', '이어지', '전망', '나오', 'ㄴ다']","끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라” 더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다",1
"尹, 관저에서 나경원과 차담…“나라 참 걱정...어려운 시기 역할 고맙다”",윤석열 전 대통령이 헌법재판소의 탄핵 인용 선고 이튿날인 5일 서울 한남동 관저를 찾은 나경원 국민의힘 의원을 만났다,2025-04-05 08:48:00,https://www.chosun.com/politics/politics_general/2025/04/05/HET4SIQUONHXROD733XDTJR37A/,조선닷컴,"['윤석열', '대통령', '헌법', '재판소', '탄핵', '인용', '선고', '이튿날', '서울', '한남동', '관저', '나경원', '국민', '의원', '만나']","尹, 관저에서 나경원과 차담…“나라 참 걱정...어려운 시기 역할 고맙다” 윤석열 전 대통령이 헌법재판소의 탄핵 인용 선고 이튿날인 5일 서울 한남동 관저를 찾은 나경원 국민의힘 의원을 만났다",1
"내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수",윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다,2025-04-06 15:53:00,https://www.chosun.com/politics/politics_general/2025/04/07/SUE72WAQEJDDNBDJIMPHQ5EUUU/,조선닷컴,"['윤석열', '대통령', '파면', '여당', '지위', '국민', '주말', '중진', '의원', '간담회', '의원', '총회', '잇달', '정국', '수습', '방안', '논의', '조기', '대선', '60', '상황', '탄핵', '찬반', '둘러싸', '책임', '공방', '이어지', '대통령', '탄핵', '여파', '이어지', '탄핵', '반대', '전통', '지지', '이탈', '대통령', '정치', '영향력', '행사', '가능', '대선', '국면', '변수', '다는', '분석', '나오', 'ㄴ다', '국민', '관계자', '국민', '마주', '파도', '못하', '조기', '대선', '국면', '좌초', '가능', '다면서', '지도부', '주요', '대선', '주자', '대통령', '어떻', '행동', '느냐', '보수', '진영', '미래', '달리', '다고', '국민', '경선', '선거', '관리', '위원회', '발족', '조기', '대선', '체제', '들어가', 'ㄴ다']","내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수 윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다",1
