title,description,published,link,media,desc_tokens,text,topic
민주당도 대선 레이스 막올라… 이재명 “새로운 일 시작” 김동연 “개헌 완수”,이재명 전 더불어민주당 대표가 9일 63 조기 대선 출마를 위해 당대표에서 사퇴하면서 민주당의 대선 경선 레이스가 본격 시작됐다 비명계의 김두관 전 의원이 지난 7일 경선 출마를 선언한 데 이어 이날은 김동연 경기지사가 해외 출국길에 출마를 선언했다 대선 출마 가능성이 거론되던 김부겸 전 총리는 민주당 대선 경선에 참여하지 않을 것이라고 밝혔다,2025-04-09 16:11:00,https://www.chosun.com/politics/assembly/2025/04/10/Z2YMAN27ZVE6DBTMIFSGSD7CYY/,조선닷컴,"['이재명', '더불어민주당', '대표', '63', '조기', '대선', '출마', '위하', '대표', '사퇴', '면서', '민주당', '대선', '경선', '레이스', '본격', '시작', '비명', '김두관', '의원', '지나', '경선', '출마', '선언', '이날', '김동연', '경기', '지사', '해외', '출국', '출마', '선언', '대선', '출마', '가능', '거론', '김부겸', '총리', '민주당', '대선', '경선', '참여', '라고', '밝히']",민주당도 대선 레이스 막올라… 이재명 “새로운 일 시작” 김동연 “개헌 완수” 이재명 전 더불어민주당 대표가 9일 63 조기 대선 출마를 위해 당대표에서 사퇴하면서 민주당의 대선 경선 레이스가 본격 시작됐다 비명계의 김두관 전 의원이 지난 7일 경선 출마를 선언한 데 이어 이날은 김동연 경기지사가 해외 출국길에 출마를 선언했다 대선 출마 가능성이 거론되던 김부겸 전 총리는 민주당 대선 경선에 참여하지 않을 것이라고 밝혔다,9
김문수 “깨끗한 내가 李 상대”… 오세훈 13일 출마 선언,김문수 전 고용노동부 장관이 9일 차기 대통령 선거에 출마하겠다고 밝혔다 63 조기 대선일이 확정된 지 하루 만이다 전날 장관직을 사퇴한 그는 이날 국민의힘에 입당도 신청했다 김 전 장관은 계엄탄핵 국면에서 실시된 각종 여론조사에서 범보수 진영 인사 중 지지도 1위를 기록했다 그런 김 전 장관이 출사표를 던지면서 국민의힘의 대선 레이스가 본격 시작됐다,2025-04-09 16:10:00,https://www.chosun.com/politics/politics_general/2025/04/10/GYTGIVMB6BA5BBIKAGKCYJZQFU/,조선닷컴,"['김문수', '고용', '노동부', '장관', '차기', '대통령', '선거', '출마', '다고', '밝히', '63', '조기', '대선일', '확정', '하루', '전날', '장관직', '사퇴', '이날', '국민', '입당', '신청', '장관', '계엄', '탄핵', '국면', '실시', '여론', '조사', '보수', '진영', '인사', '지지도', '기록', '그런', '장관', '출사표', '던지', '면서', '국민', '대선', '레이스', '본격', '시작']",김문수 “깨끗한 내가 李 상대”… 오세훈 13일 출마 선언 김문수 전 고용노동부 장관이 9일 차기 대통령 선거에 출마하겠다고 밝혔다 63 조기 대선일이 확정된 지 하루 만이다 전날 장관직을 사퇴한 그는 이날 국민의힘에 입당도 신청했다 김 전 장관은 계엄탄핵 국면에서 실시된 각종 여론조사에서 범보수 진영 인사 중 지지도 1위를 기록했다 그런 김 전 장관이 출사표를 던지면서 국민의힘의 대선 레이스가 본격 시작됐다,9
이재명 오늘 출마 선언… 김문수·오세훈·김동연도 출사표,이재명 전 더불어민주당 대표가 9일 당대표직에서 물러나면서 대선 출마를 공식화했다 범보수 진영에선 김문수 전 고용노동부 장관 유정복 인천시장 이철우 경북지사 등이 이날 일제히 대선 출마를 공식 선언했다 각 당의 주요 대선 주자급 인사도 속속 대선 출정식 날짜를 잡아 63 대선 레이스가 본격화하고 있다,2025-04-09 15:55:00,https://www.chosun.com/politics/assembly/2025/04/10/W5POLM36EVAGVBFYDSB7PIBB6Y/,조선닷컴,"['이재명', '더불어민주당', '대표', '대표', '물러나', '면서', '대선', '출마', '공식', '보수', '진영', '김문수', '고용', '노동부', '장관', '유정복', '인천시장', '이철우', '경북', '지사', '일제히', '대선', '출마', '공식', '선언', '주요', '대선', '주자급', '인사', '속속', '대선', '출정식', '날짜', '63', '대선', '레이스', '본격']",이재명 오늘 출마 선언… 김문수·오세훈·김동연도 출사표 이재명 전 더불어민주당 대표가 9일 당대표직에서 물러나면서 대선 출마를 공식화했다 범보수 진영에선 김문수 전 고용노동부 장관 유정복 인천시장 이철우 경북지사 등이 이날 일제히 대선 출마를 공식 선언했다 각 당의 주요 대선 주자급 인사도 속속 대선 출정식 날짜를 잡아 63 대선 레이스가 본격화하고 있다,9
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,이철우 경북지사가 9일 경북 구미의 박정희 대통령 생가에서 제21대 대통령 선거 출마 선언을 했다 이 지사는 새로운 시대의 박정희가 되어 대한민국을 초일류 국가로 만들겠다고 했다 이어진 서울 여의도 국회 기자회견에는 국민의힘 이인선 정희용 임종득 인요한 이달희 의원 등이 찾았다,2025-04-09 05:54:00,https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴,"['이철우', '경북', '지사', '경북', '구미', '박정희', '대통령', '생가', '21', '대통령', '선거', '출마', '선언', '지사', '새롭', '시대', '박정희', '대한민국', '일류', '국가', '만들', '다고', '이어지', '서울', '여의도', '국회', '기자', '회견', '국민', '이인선', '정희용', '임종득', '인요한', '이달희', '의원']",“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언 이철우 경북지사가 9일 경북 구미의 박정희 대통령 생가에서 제21대 대통령 선거 출마 선언을 했다 이 지사는 새로운 시대의 박정희가 되어 대한민국을 초일류 국가로 만들겠다고 했다 이어진 서울 여의도 국회 기자회견에는 국민의힘 이인선 정희용 임종득 인요한 이달희 의원 등이 찾았다,9
김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언,김문수 전 고용노동부 장관이 9일 차기 대통령 선거 출마를 공식 선언하며 피고인 이재명을 상대하기에는 가진 것 없는 깨끗한 손 김문수가 제격이라고 말했다,2025-04-09 01:00:00,https://www.chosun.com/politics/politics_general/2025/04/09/HMGTQTGSXFB3XLWMKBMWCMFW5M/,조선닷컴,"['김문수', '고용', '노동부', '장관', '차기', '대통령', '선거', '출마', '공식', '선언', '피고인', '이재명', '상대', '가지', '깨끗하', '김문수', '제격', '라고']",김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언 김문수 전 고용노동부 장관이 9일 차기 대통령 선거 출마를 공식 선언하며 피고인 이재명을 상대하기에는 가진 것 없는 깨끗한 손 김문수가 제격이라고 말했다,9
"김문수, 오늘 장관직 사퇴… 대선 출마 전망",김문수 고용노동부 장관이 8일 조기 대선 출마를 선언하기 위해 장관직에서 사퇴한다 김 장관은 각종 여론조사에서 범보수권 대선 후보군 중 지지율 1위를 기록하고 있다,2025-04-08 00:47:00,https://www.chosun.com/politics/politics_general/2025/04/08/X7VLKAH5VRCYRAK2BW6KXQUYFI/,조선닷컴,"['김문수', '고용', '노동부', '장관', '조기', '대선', '출마', '선언', '위하', '장관', '사퇴', 'ㄴ다', '장관', '여론', '조사', '보수', '대선', '후보군', '지지', '기록']","김문수, 오늘 장관직 사퇴… 대선 출마 전망 김문수 고용노동부 장관이 8일 조기 대선 출마를 선언하기 위해 장관직에서 사퇴한다 김 장관은 각종 여론조사에서 범보수권 대선 후보군 중 지지율 1위를 기록하고 있다",9
"김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어”",김문수 고용노동부 장관은 7일 대선 출마 여부에 대해 어떤 결심을 내린 것도 없다며 여러 가지 깊이 고심하고 있다고 밝혔다,2025-04-07 09:17:00,https://www.chosun.com/politics/politics_general/2025/04/07/OJWCJVYGWRCALAIIITOSWH2VYQ/,조선닷컴,"['김문수', '고용', '노동부', '장관', '대선', '출마', '대하', '결심', '내리', '다며', '여러', '가지', '깊이', '고심', '다고', '밝히']","김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어” 김문수 고용노동부 장관은 7일 대선 출마 여부에 대해 어떤 결심을 내린 것도 없다며 여러 가지 깊이 고심하고 있다고 밝혔다",9
"이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언",이철우 경북도지사가 오는 9일 오후 2시 국회에서 대통령 선거 출마 선언을 한다 이 지사는 7일 본지 통화에서 9일 오전 9시에 경북 구미의 박정희 대통령 생가를 방문해 대선 출마 보고를 한 뒤 오후 2시에 국회에서 출마 선언을 하겠다며 출마의 변 등은 당일 국회 기자회견을 통해 밝힐 예정이라고 했다,2025-04-07 06:20:00,https://www.chosun.com/politics/politics_general/2025/04/07/INC45B6OF5FUBGK4JHA3232WWE/,조선닷컴,"['이철우', '경북', '도지사', '오후', '국회', '대통령', '선거', '출마', '선언', 'ㄴ다', '지사', '본지', '통화', '오전', '경북', '구미', '박정희', '대통령', '생가', '방문', '대선', '출마', '보고', '오후', '국회', '출마', '선언', '다며', '출마', '당일', '국회', '기자', '회견', '통하', '밝히', '예정', '라고']","이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언 이철우 경북도지사가 오는 9일 오후 2시 국회에서 대통령 선거 출마 선언을 한다 이 지사는 7일 본지 통화에서 9일 오전 9시에 경북 구미의 박정희 대통령 생가를 방문해 대선 출마 보고를 한 뒤 오후 2시에 국회에서 출마 선언을 하겠다며 출마의 변 등은 당일 국회 기자회견을 통해 밝힐 예정이라고 했다",9
"前국회의원 125명 “김문수, 대선 출마 의지 밝혀야”",전직 국회의원 125명이 7일 김문수 고용노동부 장관이 국민 앞에 대선 출마 의지를 조속히 밝혀야 한다고 촉구했다,2025-04-07 05:56:00,https://www.chosun.com/politics/politics_general/2025/04/07/QQPE2CFET5GU7PQJJKV45PYD6M/,조선닷컴,"['전직', '국회의원', '125', '김문수', '고용', '노동부', '장관', '국민', '대선', '출마', '의지', '조속히', '밝히', '어야', 'ㄴ다고', '촉구']","前국회의원 125명 “김문수, 대선 출마 의지 밝혀야” 전직 국회의원 125명이 7일 김문수 고용노동부 장관이 국민 앞에 대선 출마 의지를 조속히 밝혀야 한다고 촉구했다",9
"김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서”",보수 진영 대선 주자로 꼽히는 김문수 고용노동부 장관이 6월 치러질 것으로 전망되는 조기 대선 출마에 대해 아무런 욕심은 없다면서도 다만 이 나라가 이렇게 가서는 안 되지 않느냐는 입장을 밝혔다,2025-04-05 10:04:00,https://www.chosun.com/politics/politics_general/2025/04/05/P4C37WRI3NBNTLSCQ724ELIWVI/,조선닷컴,"['보수', '진영', '대선', '주자', '꼽히', '김문수', '고용', '노동부', '장관', '치르', '전망', '조기', '대선', '출마', '대하', '아무런', '욕심', '다면서', '나라', '이렇', '아서', '느냐는', '입장', '밝히']","김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서” 보수 진영 대선 주자로 꼽히는 김문수 고용노동부 장관이 6월 치러질 것으로 전망되는 조기 대선 출마에 대해 아무런 욕심은 없다면서도 다만 이 나라가 이렇게 가서는 안 되지 않느냐는 입장을 밝혔다",9
