title,description,published,link,media,desc_tokens,text,topic
"국힘, 경선 1차서 4인 뽑고 2차서 2인 선출",국민의힘이 오는 6월 3일 열리는 대선 후보 선출 방식을 10일 확정했다 1차 경선에서 국민 여론조사 100로 후보를 4인으로 압축하고 2차 경선에서 2인으로 압축한 뒤 3차 경선에서 최종 후보를 선출하는 방안이다 모든 경선 여론조사에 역선택 방지 조항도 넣기로 했다,2025-04-10 01:36:00,https://www.chosun.com/politics/politics_general/2025/04/10/G72RNQ6MKNB2NPPGRQY2JYQU6U/,조선닷컴,"['국민', '열리', '대선', '후보', '선출', '방식', '10', '확정', '경선', '국민', '여론', '조사', '100', '후보', '압축', '경선', '압축', '경선', '최종', '후보', '선출', '방안', '모든', '경선', '여론', '조사', '역선택', '방지', '조항']","국힘, 경선 1차서 4인 뽑고 2차서 2인 선출 국민의힘이 오는 6월 3일 열리는 대선 후보 선출 방식을 10일 확정했다 1차 경선에서 국민 여론조사 100로 후보를 4인으로 압축하고 2차 경선에서 2인으로 압축한 뒤 3차 경선에서 최종 후보를 선출하는 방안이다 모든 경선 여론조사에 역선택 방지 조항도 넣기로 했다",1
국힘 경선 후보등록 14∼15일… 내달 3일 대선후보 선출,국민의힘 대선 경선 선거관리위원회는 9일 첫 회의를 열고 내달 3일 전당대회를 열어 대선 후보를 확정하기로 했다,2025-04-09 03:02:00,https://www.chosun.com/politics/politics_general/2025/04/09/63H42W3Z4RHSJOQT2XUTDTI6EI/,조선닷컴,"['국민', '대선', '경선', '선거', '관리', '위원회', '회의', '내달', '전당', '대회', '대선', '후보', '확정']",국힘 경선 후보등록 14∼15일… 내달 3일 대선후보 선출 국민의힘 대선 경선 선거관리위원회는 9일 첫 회의를 열고 내달 3일 전당대회를 열어 대선 후보를 확정하기로 했다,1
"정부, 6월 3일 대선일 확정… 임시공휴일로 지정",윤석열 전 대통령 파면으로 치러지는 21대 대통령 선거일이 오는 6월 3일 화요일로 확정됐다,2025-04-08 01:36:00,https://www.chosun.com/politics/politics_general/2025/04/08/3Z2EO3SZT5BB7HYUO2YYKUYUE4/,조선닷컴,"['윤석열', '대통령', '파면', '치르', '21', '대통령', '선거일', '화요일', '확정']","정부, 6월 3일 대선일 확정… 임시공휴일로 지정 윤석열 전 대통령 파면으로 치러지는 21대 대통령 선거일이 오는 6월 3일 화요일로 확정됐다",1
국민의힘 대선 경선 선관위원장에 황우여,국민의힘 대선 경선을 위한 선거관리위원장에 황우여 전 비상대책위원장이 임명됐다,2025-04-07 01:22:00,https://www.chosun.com/politics/2025/04/07/YCXRLJFGYFD45FNEM7K6NDHGEU/,조선닷컴,"['국민', '대선', '경선', '위하', '선거', '관리', '위원장', '황우여', '비상', '대책', '위원장', '임명']",국민의힘 대선 경선 선관위원장에 황우여 국민의힘 대선 경선을 위한 선거관리위원장에 황우여 전 비상대책위원장이 임명됐다,1
조기 대선 6월 3일로 잠정 결정…오늘 국무회의서 확정,윤석열 대통령 파면으로 치러지는 조기 대선일이 오는 6월 3일 화요일로 결정된 것으로 7일 확인됐다,2025-04-07 00:32:00,https://www.chosun.com/politics/2025/04/07/HABUWFMLSFCSNHAXVNP2ABHSUM/,조선닷컴,"['윤석열', '대통령', '파면', '치르', '조기', '대선일', '화요일', '결정', '확인']",조기 대선 6월 3일로 잠정 결정…오늘 국무회의서 확정 윤석열 대통령 파면으로 치러지는 조기 대선일이 오는 6월 3일 화요일로 결정된 것으로 7일 확인됐다,1
"국힘 경선룰 ‘1차에서 4명 압축, 최종 2명 결선’ 확정",국민의힘은 10일 63 대선 후보 경선에서 1차 경선컷오프에서 4명으로 후보를 압축한 뒤 2차 컷오프에서 과반 득표자가 없을 경우 2명으로 좁혀 최종 결선을 치르는 컷오프 방식을 확정했다 지난 대선에서 1차 컷오프에서 8명 2차 컷오프에서 4명으로 압축한 뒤 대선 후보를 선출한 방식에서 변화를 준 것이다국민의힘은 이날 비상대책위원회를 열고 1차 경선은 국민여론조사 100 방식으로 2차 경선은 국민여론조사 50 당원투표 50 방식으로 진행하기로 했다 2차 경선에서 과반 득표자가 나오면 최종 경선 없이 대선 후보를 확정한다 과반 득표자가 없으면 2차 경선과 같은 방식으로 2명의 후보가 결선을 치른다 이양수 선거관리위원회 부위원장은 이날 회의 후 기자들과 만나 4인 경선과 2인 경선 투표 방식은 당심과 민심을 고루 반영하겠다는 의지라며 특히 국민적 관심을 제고한다는 차원에서 2인 경선이 반드시 필요하다는 의견이 많았다고 설명했다대부분 후보들은 2인,2025-04-10 20:17:00,https://www.donga.com/news/Politics/article/all/20250410/131390647/1,동아닷컴,"['국민', '10', '63', '대선', '후보', '경선', '경선', '컷오프', '후보', '압축', '컷오프', '과반', '득표자', '경우', '좁히', '최종', '결선', '치르', '컷오프', '방식', '확정', '지나', '대선', '컷오프', '컷오프', '압축', '대선', '후보', '선출', '방식', '변화', '국민', '이날', '비상', '대책', '위원회', '경선', '국민', '여론', '조사', '100', '방식', '경선', '국민', '여론', '조사', '50', '당원', '투표', '50', '방식', '진행', '경선', '과반', '득표자', '나오', '최종', '경선', '없이', '대선', '후보', '확정', 'ㄴ다', '과반', '득표자', '으면', '경선', '방식', '후보', '결선', '치르', 'ㄴ다', '이양수', '선거', '관리', '위원회', '부위원장', '이날', '회의', '기자', '만나', '경선', '경선', '투표', '방식', '당심', '민심', '고루', '반영', '다는', '의지', '라며', '특히', '국민', '관심', '제고', 'ㄴ다는', '차원', '경선', '필요', '다는', '의견', '다고', '설명', '부분', '후보']","국힘 경선룰 ‘1차에서 4명 압축, 최종 2명 결선’ 확정 국민의힘은 10일 63 대선 후보 경선에서 1차 경선컷오프에서 4명으로 후보를 압축한 뒤 2차 컷오프에서 과반 득표자가 없을 경우 2명으로 좁혀 최종 결선을 치르는 컷오프 방식을 확정했다 지난 대선에서 1차 컷오프에서 8명 2차 컷오프에서 4명으로 압축한 뒤 대선 후보를 선출한 방식에서 변화를 준 것이다국민의힘은 이날 비상대책위원회를 열고 1차 경선은 국민여론조사 100 방식으로 2차 경선은 국민여론조사 50 당원투표 50 방식으로 진행하기로 했다 2차 경선에서 과반 득표자가 나오면 최종 경선 없이 대선 후보를 확정한다 과반 득표자가 없으면 2차 경선과 같은 방식으로 2명의 후보가 결선을 치른다 이양수 선거관리위원회 부위원장은 이날 회의 후 기자들과 만나 4인 경선과 2인 경선 투표 방식은 당심과 민심을 고루 반영하겠다는 의지라며 특히 국민적 관심을 제고한다는 차원에서 2인 경선이 반드시 필요하다는 의견이 많았다고 설명했다대부분 후보들은 2인",1
민주 “오픈 프라이머리 안할 것”…비명계 경선룰 요구 일축,더불어민주당 박범계 선거관리위원장이 10일 오픈 프라이머리완전국민참여경선를 받아들일 수 없다고 밝혔다 당내 비명비이재명계 대권 주자들과 조국혁신당이 외연을 확장해야 한다며 주장해 온 오픈 프라이머리 요구를 일축한 것이다 민주당은 지난 대선 때와 같이 권리당원과 일반 국민 선거인단 투표를 각각 50씩 반영하는 기존 경선 방식을 채택할 전망이다박 위원장은 이날 오픈 프라이머리가 매우 유용한 후보 선출 방법이란 점에 대해선 이론의 여지가 없다면서도 오픈 프라이머리를 완전하게 받아들일 수 없는 것이 저희 당의 당원 주권주의와 다소 거리가 있다고 했다 민주당에 가입하고 당비를 내 온 권리당원들의 의사가 후보 선출에 적극 반영해야 한다는 취지다 친명친이재명계 지도부도 공통된 입장이다 김윤덕 사무총장은 우리 당이 당원 주권 시대를 강조해왔는데 권리당원들에게 투표권을 주지 않는 것은 상당히 부정적으로 보고 있다고 했다 이와 관련해 민,2025-04-10 16:54:00,https://www.donga.com/news/Politics/article/all/20250410/131389693/1,동아닷컴,"['더불어민주당', '박범계', '선거', '관리', '위원장', '10', '오픈', '프라이머리', '완전', '국민', '참여', '경선', '받아들이', '다고', '밝히', '당내', '비명비', '이재명', '대권', '주자', '조국혁신', '외연', '확장', 'ㄴ다며', '주장', '오픈', '프라이머리', '요구', '일축', '민주당', '지나', '대선', '권리', '당원', '일반', '국민', '선거인단', '투표', '50', '반영', '기존', '경선', '방식', '채택', '전망', '위원장', '이날', '오픈', '프라이머리', '매우', '유용', '후보', '선출', '방법', '대하', '아서', '이론', '여지', '다면서', '오픈', '프라이머리', '완전', '받아들이', '당원', '주권주의', '거리', '다고', '민주당', '가입', '당비', '권리', '당원', '의사', '후보', '선출', '적극', '반영', 'ㄴ다는', '취지', '이재명', '지도부', '공통', '입장', '김윤덕', '사무총장', '당원', '주권', '시대', '강조', '는데', '권리', '당원', '투표', '상당히', '부정', '다고', '관련']",민주 “오픈 프라이머리 안할 것”…비명계 경선룰 요구 일축 더불어민주당 박범계 선거관리위원장이 10일 오픈 프라이머리완전국민참여경선를 받아들일 수 없다고 밝혔다 당내 비명비이재명계 대권 주자들과 조국혁신당이 외연을 확장해야 한다며 주장해 온 오픈 프라이머리 요구를 일축한 것이다 민주당은 지난 대선 때와 같이 권리당원과 일반 국민 선거인단 투표를 각각 50씩 반영하는 기존 경선 방식을 채택할 전망이다박 위원장은 이날 오픈 프라이머리가 매우 유용한 후보 선출 방법이란 점에 대해선 이론의 여지가 없다면서도 오픈 프라이머리를 완전하게 받아들일 수 없는 것이 저희 당의 당원 주권주의와 다소 거리가 있다고 했다 민주당에 가입하고 당비를 내 온 권리당원들의 의사가 후보 선출에 적극 반영해야 한다는 취지다 친명친이재명계 지도부도 공통된 입장이다 김윤덕 사무총장은 우리 당이 당원 주권 시대를 강조해왔는데 권리당원들에게 투표권을 주지 않는 것은 상당히 부정적으로 보고 있다고 했다 이와 관련해 민,1
"오세훈, 국힘 경선룰 확정에 “흥행 성공 위한 논의·보완 필요”",제21대 대선 출마를 선언한 오세훈 서울시장은 국민의힘이 경선 룰을 확정한 10일 결정된 경선 룰을 통해 어떻게 하면 흥행에 성공할수있는지를 계속 논의하고 수정보완하는 것이 필요하다고 말했다오 시장은 이날 서울 마포구 서울시복지재단에서 디딤돌 소득가구와 간담회를 마친 뒤 기자들과 만나 경선에 참여하는 플레이어로서 관심사이기는 하지만 이렇게 해달라 저렇게 해달라 주문할 사항은 아니라 생각한다면서도 이같이 말했다국민의힘은 이날 제21대 대선 후보를 선출하기 위한 경선 절차를 발표했다 오는 1415일 후보 등록 신청을 받고 16일 1차 경선 진출자를 확정할 예정이다 1차 경선은 일반국민 여론조사 100를 반영하며 2차 경선은 당원투표 50와 일반국민 여론조사 50를 반영하는 방식으로 진행한다 만약 2차 경선에서 과반 득표자가 없다면 당원 투표 50와 일반국민 여론조사 50 결과값으로 2순위 득표자까지 추려 다시 최종 경선을 치를 예정이다오 시장은 소득보장,2025-04-10 15:34:00,https://www.donga.com/news/Politics/article/all/20250410/131389183/1,동아닷컴,"['21', '대선', '출마', '선언', '오세훈', '서울시장', '국민', '경선', '확정', '10', '결정', '경선', '통하', '어떻', '흥행', '성공', '는지', '계속', '논의', '수정', '보완', '필요', '다고', '시장', '이날', '서울', '마포구', '서울시복지재단', '디딤돌', '소득', '가구', '간담회', '기자', '만나', '경선', '참여', '플레이어', '로서', '관심사', '이렇', '저렇', '주문', '사항', '생각', 'ㄴ다면서', '국민의힘', '이날', '21', '대선', '후보', '선출', '위하', '경선', '절차', '발표', '1415', '후보', '등록', '신청', '16', '경선', '진출자', '확정', '예정', '경선', '일반', '국민', '여론', '조사', '100', '반영', '경선', '당원', '투표', '50', '일반', '국민', '여론', '조사', '50', '반영', '방식', '진행', 'ㄴ다', '경선', '과반', '득표자', '다면', '당원', '투표', '50', '일반', '국민', '여론', '조사', '50', '결과', '순위', '득표자', '추리', '다시', '최종', '경선', '치르', '예정', '시장', '소득', '보장']","오세훈, 국힘 경선룰 확정에 “흥행 성공 위한 논의·보완 필요” 제21대 대선 출마를 선언한 오세훈 서울시장은 국민의힘이 경선 룰을 확정한 10일 결정된 경선 룰을 통해 어떻게 하면 흥행에 성공할수있는지를 계속 논의하고 수정보완하는 것이 필요하다고 말했다오 시장은 이날 서울 마포구 서울시복지재단에서 디딤돌 소득가구와 간담회를 마친 뒤 기자들과 만나 경선에 참여하는 플레이어로서 관심사이기는 하지만 이렇게 해달라 저렇게 해달라 주문할 사항은 아니라 생각한다면서도 이같이 말했다국민의힘은 이날 제21대 대선 후보를 선출하기 위한 경선 절차를 발표했다 오는 1415일 후보 등록 신청을 받고 16일 1차 경선 진출자를 확정할 예정이다 1차 경선은 일반국민 여론조사 100를 반영하며 2차 경선은 당원투표 50와 일반국민 여론조사 50를 반영하는 방식으로 진행한다 만약 2차 경선에서 과반 득표자가 없다면 당원 투표 50와 일반국민 여론조사 50 결과값으로 2순위 득표자까지 추려 다시 최종 경선을 치를 예정이다오 시장은 소득보장",1
유승민 “당심 50%·역선택 방지 민심 50%? 사실상 당심 100%”,유승민 전 국민의힘 의원은 10일 조기 대선과 관련한 국민의힘 경선룰과 관련 당심 50 역선택 방지 민심 50라는 아주 이상한 제도를 도입했다고 말했다유 전 의원은 이날 오전 KBS라디오와 인터뷰에서 그렇게 하면 사실 당심 100하고 거의 비슷한 제도다라면서 이같이 밝혔다 역선택 방지는 여론조사를 할 때 지지정당을 물어 국민의힘 지지자나 무당층에게만 응답기회를 주고 민주당 등 다른 당 지지자는 배제하는 방식이다 유 전 의원은 당심이 민심하고 굉장히 이렇게 분리되고 다를 때가 있다 지금이 특히 그럴 때라며 민심이 우리 당심이나 윤심하고 같다고 생각을 할 수 있겠냐 국민들 손에 맡기는 게 그게 우리 본선 경쟁력을 가장 높이는 길이라고 주장했다이에 사회자가 현재 당 선관위의 역선택 방지 조항에 문제가 있고 본경선도 당심 50민심 50 부분을 완전 국민 경선으로 하는 게 낫다는 의견이냐고 되묻자 유 전 의원은 그렇다고 답했다유 전 의원은,2025-04-10 15:12:00,https://www.donga.com/news/Politics/article/all/20250410/131388838/1,동아닷컴,"['유승민', '국민', '의원', '10', '조기', '대선', '관련', '국민', '경선', '관련', '당심', '50', '역선택', '방지', '민심', '50', '라는', '아주', '제도', '도입', '다고', '의원', '이날', '오전', 'KBS', '라디오', '인터뷰', '그렇', '사실', '당심', '100', '하고', '비슷하', '제도', '라면서', '밝히', '역선택', '방지', '여론', '조사', '지지', '정당', '국민', '지지자', '무당', '응답', '기회', '민주당', '지지자', '배제', '방식', '의원', '당심', '민심', '굉장히', '이렇', '분리', '다르', '지금', '특히', '그렇', '라며', '민심', '당심', '이나', '윤심', '다고', '생각', '국민', '맡기', '그거', '본선', '경쟁력', '가장', '높이', '라고', '주장', '다이', '사회자', '현재', '선관위', '역선택', '방지', '조항', '문제', '본경선', '당심', '50', '민심', '50', '부분', '완전', '국민', '경선', '다는', '의견', '냐고', '되묻', '의원', '그렇', '다고', '다유', '의원']",유승민 “당심 50%·역선택 방지 민심 50%? 사실상 당심 100%” 유승민 전 국민의힘 의원은 10일 조기 대선과 관련한 국민의힘 경선룰과 관련 당심 50 역선택 방지 민심 50라는 아주 이상한 제도를 도입했다고 말했다유 전 의원은 이날 오전 KBS라디오와 인터뷰에서 그렇게 하면 사실 당심 100하고 거의 비슷한 제도다라면서 이같이 밝혔다 역선택 방지는 여론조사를 할 때 지지정당을 물어 국민의힘 지지자나 무당층에게만 응답기회를 주고 민주당 등 다른 당 지지자는 배제하는 방식이다 유 전 의원은 당심이 민심하고 굉장히 이렇게 분리되고 다를 때가 있다 지금이 특히 그럴 때라며 민심이 우리 당심이나 윤심하고 같다고 생각을 할 수 있겠냐 국민들 손에 맡기는 게 그게 우리 본선 경쟁력을 가장 높이는 길이라고 주장했다이에 사회자가 현재 당 선관위의 역선택 방지 조항에 문제가 있고 본경선도 당심 50민심 50 부분을 완전 국민 경선으로 하는 게 낫다는 의견이냐고 되묻자 유 전 의원은 그렇다고 답했다유 전 의원은,1
김두관 측 “경선 룰미팅서 ‘완전개방 오픈프라이머리’ 논의하자”,더불어민주당이 당내 대선 경선 규칙을 정하기 위한 대선특별당규준비위원회를 가동한 가운데 김두관 전 의원 측이 완전개방형 오픈프라이머리완전국민경선 도입을 재차 주장했다 김 전 의원은 지난 7일 민주당 주자들 중 가장 먼저 대선 출마를 공식화 했다김 전 의원 캠프 소속 백왕순 대변인은 10일 입장문을 통해 오늘 4시부터 민주당 제21대 대통령 후보 경선 룰 미팅이 시작된다며 저희 캠프는 민주당 후보 선출 방식으로 완전개방 오픈프라이머리대의원권리당원일반당원 등 포함를 제안한다고 했다 그는 완전개방 오픈프라이머리 경선에 대해 18세 이상 국민이면 누구나 주민등록증을 갖고 현장에 참여해 투표하는 방식이라며 비용이 많이 든다고 하지만 국민이 참여하는 후보 선출과 압도적인 대선 승리를 위해 당비를 사용하면 충분하다고 생각한다고 설명했다 백 대변인은 그동안 국민 전체가 참여하는 완전개방형 오픈프라이머리를 주장했으나 사실상 좌초됐다 최소한 당 내부,2025-04-10 14:39:00,https://www.donga.com/news/Politics/article/all/20250410/131388329/1,동아닷컴,"['더불어민주당', '당내', '대선', '경선', '규칙', '정하', '위하', '대선특별', '당규', '준비', '위원회', '가동', '가운데', '김두관', '의원', '완전', '개방', '오픈프라이머리', '완전', '국민', '경선', '도입', '재차', '주장', '의원', '지나', '민주당', '주자', '가장', '먼저', '대선', '출마', '공식', '의원', '캠프', '소속', '백왕순', '대변인', '10', '입장', '통하', '민주당', '21', '대통령', '후보', '경선', '미팅', '시작', 'ㄴ다며', '캠프', '민주당', '후보', '선출', '방식', '완전', '개방', '오픈프라이머리대의원권리당원일반당원', '포함', '제안', 'ㄴ다고', '완전', '개방', '오픈프라이머리', '경선', '대하', '18', '국민', '주민', '등록증', '현장', '참여', '투표', '방식', '라며', '비용', '많이', 'ㄴ다고', '국민', '참여', '후보', '선출', '압도', '대선', '승리', '위하', '당비', '사용', '충분하', '다고', '생각', 'ㄴ다고', '설명', '대변인', '그동안', '국민', '전체', '참여', '완전', '개방', '오픈프라이머리', '주장', '으나', '사실', '좌초', '최소한', '내부']",김두관 측 “경선 룰미팅서 ‘완전개방 오픈프라이머리’ 논의하자” 더불어민주당이 당내 대선 경선 규칙을 정하기 위한 대선특별당규준비위원회를 가동한 가운데 김두관 전 의원 측이 완전개방형 오픈프라이머리완전국민경선 도입을 재차 주장했다 김 전 의원은 지난 7일 민주당 주자들 중 가장 먼저 대선 출마를 공식화 했다김 전 의원 캠프 소속 백왕순 대변인은 10일 입장문을 통해 오늘 4시부터 민주당 제21대 대통령 후보 경선 룰 미팅이 시작된다며 저희 캠프는 민주당 후보 선출 방식으로 완전개방 오픈프라이머리대의원권리당원일반당원 등 포함를 제안한다고 했다 그는 완전개방 오픈프라이머리 경선에 대해 18세 이상 국민이면 누구나 주민등록증을 갖고 현장에 참여해 투표하는 방식이라며 비용이 많이 든다고 하지만 국민이 참여하는 후보 선출과 압도적인 대선 승리를 위해 당비를 사용하면 충분하다고 생각한다고 설명했다 백 대변인은 그동안 국민 전체가 참여하는 완전개방형 오픈프라이머리를 주장했으나 사실상 좌초됐다 최소한 당 내부,1
