title,description,published,link,media,desc_tokens,text,topic
"한동훈, 대선 출마 “성장하는 ‘중산층의 시대’ 열겠다”",한동훈 전 국민의힘 대표는 10일 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다며 국민 소득 4만 달러중산층 70 시대 구상을 밝혔다,2025-04-10 05:16:00,https://www.chosun.com/politics/politics_general/2025/04/10/L2RY3FIDVBCS5MBFZRHOE43M2Y/,조선닷컴,"['한동훈', '국민', '대표', '10', '국민', '먼저', '나라', '성장', '중산', '나라', '실용', '이념', '이기', '나라', '만들', '다며', '국민', '소득', '달러', '중산', '70', '시대', '구상', '밝히']","한동훈, 대선 출마 “성장하는 ‘중산층의 시대’ 열겠다” 한동훈 전 국민의힘 대표는 10일 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다며 국민 소득 4만 달러중산층 70 시대 구상을 밝혔다",8
"“괴물 정권 탄생 막아야”…한동훈, 국회 광장서 대선 출사표[청계천 옆 사진관]",한동훈 전 국민의힘 대표가 돌아왔다10일 서울 여의도 국회 광장 분수대 앞에서 한동훈 전 국민의힘 대표가 대통령 선거도전을 공식 선언했다 한 전 대표는 이날 연설에서 국민이 먼저인 나라 중산층을 위한 나라 실용의 정치로 시대를 바꿔야 한다며 정치 교체 세대 교체시대 교체를 강조했다 총연설 시간은 45분 정치경제남북관계IT등 많은 내용을 담았다 한 전 대표는 기존의 80년대 운동권 세력의 퇴보를 주장하면서 4년 중임제 개헌 양원제 도입 비례대표제 폐지 선관위개혁 등을 포함한 제도 개혁 구상을 밝혔다 그는 같은날 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표를 겨냥해 괴물정권이 탄생해 나라를 망치는 것은 막아야 한다고강조했다한 전 대표는 문화 대통령으로 불리는 서태지와 아이들을 거론해 눈길을 끌었다 록커가 랩과댄스를 하는 것에 배신감을 느낀 사람들이 많았지만 얼마 지나지 않아 그는 시대를 바꾸는 문화 대통령이 됐다며 시,2025-04-10 16:48:00,https://www.donga.com/news/Politics/article/all/20250410/131389724/1,동아닷컴,"['한동훈', '국민의힘', '대표', '돌아오', '10', '서울', '여의도', '국회', '광장', '분수대', '한동훈', '국민의힘', '대표', '대통령', '선거', '도전', '공식', '선언', '대표', '이날', '연설', '국민', '먼저', '나라', '중산', '위하', '나라', '실용', '정치', '시대', '바꾸', '어야', 'ㄴ다며', '정치', '교체', '세대', '교체', '시대', '교체', '강조', '연설', '45', '정치', '경제', '남북', '관계', 'IT', '내용', '대표', '기존', '80', '년대', '운동', '세력', '퇴보', '주장', '면서', '중임', '개헌', '양원', '도입', '비례', '대표', '폐지', '선관위', '개혁', '포함', '제도', '개혁', '구상', '밝히', '대선', '출마', '공식', '선언', '이재명', '더불어민주당', '대표', '겨냥', '괴물', '정권', '탄생', '나라', '망치', 'ㄴ다고', '강조', '대표', '문화', '대통령', '불리', '서태지', '거론', '눈길', '록커', '댄스', '배신감', '느끼', '사람', '지나', '시대', '바꾸', '문화', '대통령', '다며']","“괴물 정권 탄생 막아야”…한동훈, 국회 광장서 대선 출사표[청계천 옆 사진관] 한동훈 전 국민의힘 대표가 돌아왔다10일 서울 여의도 국회 광장 분수대 앞에서 한동훈 전 국민의힘 대표가 대통령 선거도전을 공식 선언했다 한 전 대표는 이날 연설에서 국민이 먼저인 나라 중산층을 위한 나라 실용의 정치로 시대를 바꿔야 한다며 정치 교체 세대 교체시대 교체를 강조했다 총연설 시간은 45분 정치경제남북관계IT등 많은 내용을 담았다 한 전 대표는 기존의 80년대 운동권 세력의 퇴보를 주장하면서 4년 중임제 개헌 양원제 도입 비례대표제 폐지 선관위개혁 등을 포함한 제도 개혁 구상을 밝혔다 그는 같은날 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표를 겨냥해 괴물정권이 탄생해 나라를 망치는 것은 막아야 한다고강조했다한 전 대표는 문화 대통령으로 불리는 서태지와 아이들을 거론해 눈길을 끌었다 록커가 랩과댄스를 하는 것에 배신감을 느낀 사람들이 많았지만 얼마 지나지 않아 그는 시대를 바꾸는 문화 대통령이 됐다며 시",8
"양향자, 개혁신당 떠나 국힘 입당…“과학기술 힘으로 뉴보수”",삼성전자 최초 고졸 출신 임원을 지낸 양향자 전 개혁신당 의원은 10일 국민의힘에 입당했다양 전 의원은 이날 오후 국회에서 권영세 국민의힘 비상대책위원장과 만나 입당 원서를 제출했다권 위원장은 대한민국 미래를 위해 큰 결단을 내려주셔서 감사하다며 양 전 의원은 반도체 업계에서 입지전적인 경력을 쌓았고 독보적 전문성으로 국회에서 활약하셨다고 했다그러면서 전 세계는 기술 주도권을 위한 총성 없는 전쟁을 벌이고 있다며 산업에 조예가 깊은 분이 정치에서 큰 역할을 하실 수 있을 것이라고 밝혔다권 위원장은 국가가 위기에 처했을 때 이를 극복할 수 있는 유능함을 보수 세력이 가지고 있어야 한다며 역사적으로도 보수정당이 나라가 어려울 때 능력을 발휘해서 국가 역량을 올려놨다고 말했다권 위원장은 핵심산업으로 나라가 부강해질 때 국민이 윤택해질 수 있다며 양 전 의원이 새로운 국가 비전을 제시해 주시기를 바란다고 격려했다양 전 의원은 보수정당을 경제 첨단산,2025-04-10 15:41:00,https://www.donga.com/news/Politics/article/all/20250410/131389318/1,동아닷컴,"['삼성전자', '최초', '고졸', '출신', '임원', '지내', '양향자', '개혁신', '의원', '10', '국민의힘', '입당', '의원', '이날', '오후', '국회', '권영세', '국민', '비상', '대책', '위원장', '만나', '입당', '원서', '제출', '위원장', '대한민국', '미래', '위하', '결단', '내리', '어서', '감사', '다며', '의원', '반도체', '업계', '입지전', '경력', '독보', '전문', '국회', '활약', '다고', '그러', '면서', '세계', '기술', '주도', '위하', '총성', '전쟁', '벌이', '다며', '산업', '조예', '정치', '역할', '라고', '밝히', '위원장', '국가', '위기', '처하', '극복', '유능', '보수', '세력', '가지', '어야', 'ㄴ다며', '역사', '보수', '정당', '나라', '어렵', '능력', '발휘', '아서', '국가', '역량', '올려놓', '다고', '위원장', '핵심', '산업', '나라', '부강', '국민', '윤택', '다며', '의원', '새롭', '국가', '비전', '제시', '바라', 'ㄴ다고', '격려', '의원', '보수', '정당', '경제', '첨단산']","양향자, 개혁신당 떠나 국힘 입당…“과학기술 힘으로 뉴보수” 삼성전자 최초 고졸 출신 임원을 지낸 양향자 전 개혁신당 의원은 10일 국민의힘에 입당했다양 전 의원은 이날 오후 국회에서 권영세 국민의힘 비상대책위원장과 만나 입당 원서를 제출했다권 위원장은 대한민국 미래를 위해 큰 결단을 내려주셔서 감사하다며 양 전 의원은 반도체 업계에서 입지전적인 경력을 쌓았고 독보적 전문성으로 국회에서 활약하셨다고 했다그러면서 전 세계는 기술 주도권을 위한 총성 없는 전쟁을 벌이고 있다며 산업에 조예가 깊은 분이 정치에서 큰 역할을 하실 수 있을 것이라고 밝혔다권 위원장은 국가가 위기에 처했을 때 이를 극복할 수 있는 유능함을 보수 세력이 가지고 있어야 한다며 역사적으로도 보수정당이 나라가 어려울 때 능력을 발휘해서 국가 역량을 올려놨다고 말했다권 위원장은 핵심산업으로 나라가 부강해질 때 국민이 윤택해질 수 있다며 양 전 의원이 새로운 국가 비전을 제시해 주시기를 바란다고 격려했다양 전 의원은 보수정당을 경제 첨단산",8
"한동훈, ‘한덕수 차출론’에 “위기상황 정부 잘 이끌고 계셔”",한동훈 전 국민의힘 대표는 10일 당내 경선룰 논란과 관련해 이미 정해진 것이라며 우선은 통합하고 우리가 이기는 선택을 해서 결국 6월 3일 대선에서 이기는 결과가 나올 거라 확신한다고 밝혔다 한 전 대표는 이날 오후 서울 여의도 국회 본관 앞 분수대에서 대선 출정식을 연 뒤 기자들과 만나 이같이 말했다 그는 앞서 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다며 대선 출마를 공식 선언했다 출정식 장소로 국회를 택한 이유에 대해선 대한민국은 성장하고 미래를 지향하고 실용적인 나라 중산층의 나라로 만들고 싶다며 대한민국 민주주의의 시작이자 끝인 국회 그 상징성이 있는 이곳을 선택했다고 설명했다 보수 진영 다른 후보와의 연대 가능성에 대해서는 지금 위험한 정권이 들어서고 나라가 어지러워지는 걸 막기 위해 누구라도 뭉쳐야 할 때라며 대권을 선언한 우리 당의 많은 후보들이 있는데 모든 분들과 연대하고 통합하는 것이라,2025-04-10 15:37:00,https://www.donga.com/news/Politics/article/all/20250410/131389231/1,동아닷컴,"['한동훈', '국민의힘', '대표', '10', '당내', '경선', '논란', '관련', '이미', '정하', '라며', '통합', '이기', '선택', '아서', '대선', '이기', '결과', '나오', '확신', 'ㄴ다고', '밝히', '대표', '오후', '서울', '여의도', '국회', '본관', '분수대', '대선', '출정식', '기자', '만나', '앞서', '국민', '먼저', '나라', '성장', '중산', '나라', '실용', '이념', '이기', '나라', '만들', '다며', '대선', '출마', '공식', '선언', '출정식', '장소', '국회', '택하', '이유', '대하', '아서', '대한민국', '성장', '미래', '지향', '실용', '나라', '중산', '나라', '만들', '다며', '대한민국', '민주주의', '시작', '국회', '상징', '선택', '다고', '설명', '보수', '진영', '후보', '연대', '가능', '대하', '아서', '지금', '위험', '정권', '들어서', '나라', '어지럽', '위하', '라도', '뭉치', '어야', '라며', '대권', '선언', '후보', '는데', '모든', '연대', '통합']","한동훈, ‘한덕수 차출론’에 “위기상황 정부 잘 이끌고 계셔” 한동훈 전 국민의힘 대표는 10일 당내 경선룰 논란과 관련해 이미 정해진 것이라며 우선은 통합하고 우리가 이기는 선택을 해서 결국 6월 3일 대선에서 이기는 결과가 나올 거라 확신한다고 밝혔다 한 전 대표는 이날 오후 서울 여의도 국회 본관 앞 분수대에서 대선 출정식을 연 뒤 기자들과 만나 이같이 말했다 그는 앞서 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다며 대선 출마를 공식 선언했다 출정식 장소로 국회를 택한 이유에 대해선 대한민국은 성장하고 미래를 지향하고 실용적인 나라 중산층의 나라로 만들고 싶다며 대한민국 민주주의의 시작이자 끝인 국회 그 상징성이 있는 이곳을 선택했다고 설명했다 보수 진영 다른 후보와의 연대 가능성에 대해서는 지금 위험한 정권이 들어서고 나라가 어지러워지는 걸 막기 위해 누구라도 뭉쳐야 할 때라며 대권을 선언한 우리 당의 많은 후보들이 있는데 모든 분들과 연대하고 통합하는 것이라",8
한동훈 출마 선언…“4년 중임제-비례대표 폐지 개헌 약속”,국민의힘 한동훈 전 대표가 10일 대선 출마 선언을 했다 그는 시대교체를 전면에 내세우며 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다고 말했다 한 전 대표는 이날 국회에서 시대를 바꾼 문화 대통령 가수 서태지처럼 시대교체는 어느 한 순간 폭발하듯이 일어난다며 정치교체 세대교체 시대교체를 이루겠다고 강조했다 그는 이날 대선 출마 선언의 전반부를 사과로 시작했다 한 전 대표는 새로운 시대로 나아가기 위해 저는 먼저 이 나라의 정치인의 한사람으로서 국정의 한 축인 여당을 이끌었던 사람으로서 국민께 진심으로 사과드린다고 했다 이어 오직 서로를 물어뜯고 상대를 쓰러뜨리려는 정치가 온 국민을 갈등과 분열로 몰아넣는 과정에서 벌어진 비상계엄과 30번의 탄핵은 헌정 질서를 무너뜨려 우리 나라가 이런 나라였나 할 정도로 국민의 자존심에 크나큰 상처를 냈다고 했다 그리고 더불어민주당 이재명 전 대표를 향해,2025-04-10 14:05:00,https://www.donga.com/news/Politics/article/all/20250410/131387589/1,동아닷컴,"['국민', '한동훈', '대표', '10', '대선', '출마', '선언', '시대교체', '전면', '내세우', '국민', '먼저', '나라', '성장', '중산', '나라', '실용', '이념', '이기', '나라', '만들', '다고', '대표', '이날', '국회', '시대', '바꾸', '문화', '대통령', '가수', '서태지', '처럼', '시대교체', '순간', '폭발', '듯이', '일어나', 'ㄴ다며', '정치교체', '세대교체', '시대교체', '이루', '다고', '강조', '이날', '대선', '출마', '선언', '전반부', '사과', '시작', '대표', '새롭', '시대', '나아가', '위하', '먼저', '나라', '정치인', '사람', '국정', '여당', '이끌', '사람', '국민', '진심', '사과', '드리', 'ㄴ다고', '서로', '물어뜯', '상대', '쓰러뜨리', '려는', '정치', '국민', '갈등', '분열', '몰아넣', '과정', '벌어지', '비상계엄', '30', '탄핵', '헌정', '질서', '무너뜨리', '나라', '나라', '정도', '국민', '자존심', '크나크', '상처', '다고', '더불어민주당', '이재명', '대표', '향하']",한동훈 출마 선언…“4년 중임제-비례대표 폐지 개헌 약속” 국민의힘 한동훈 전 대표가 10일 대선 출마 선언을 했다 그는 시대교체를 전면에 내세우며 국민이 먼저인 나라 성장하는 중산층의 나라 실용이 이념을 이기는 나라를 만들겠다고 말했다 한 전 대표는 이날 국회에서 시대를 바꾼 문화 대통령 가수 서태지처럼 시대교체는 어느 한 순간 폭발하듯이 일어난다며 정치교체 세대교체 시대교체를 이루겠다고 강조했다 그는 이날 대선 출마 선언의 전반부를 사과로 시작했다 한 전 대표는 새로운 시대로 나아가기 위해 저는 먼저 이 나라의 정치인의 한사람으로서 국정의 한 축인 여당을 이끌었던 사람으로서 국민께 진심으로 사과드린다고 했다 이어 오직 서로를 물어뜯고 상대를 쓰러뜨리려는 정치가 온 국민을 갈등과 분열로 몰아넣는 과정에서 벌어진 비상계엄과 30번의 탄핵은 헌정 질서를 무너뜨려 우리 나라가 이런 나라였나 할 정도로 국민의 자존심에 크나큰 상처를 냈다고 했다 그리고 더불어민주당 이재명 전 대표를 향해,8
"새민주, 李 때리며 ‘이낙연 등판’ 시사 [6·3 장미대선 레이스]",새미래민주당 전병헌 대표는 10일 갈등 치유 국민 통합 개헌을 통해 위기의 대한민국을 정상국가로 만들 수 있는 유능하고 도덕적이며 국민께 헌신할 후보를 보유하고 있다며 당 상임고문인 이낙연 전 국무총리가 63 조기대선에 출마할 가능성을 시사했다 전 대표는 서울 여의도 당사에서 가진 특별기자회견에서 이 전 총리를 사회적 갈등과 불평등 그리고 기,2025-04-10 18:25:00,https://www.segye.com/newsView/20250410517495,세계일보,"['새미래민주당', '전병헌', '대표', '10', '갈등', '치유', '국민', '통합', '개헌', '통하', '위기', '대한민국', '정상', '국가', '만들', '유능', '도덕', '국민', '헌신', '후보', '보유', '다며', '상임', '고문', '이낙연', '국무총리', '63', '조기', '대선', '출마', '가능', '시사', '대표', '서울', '여의도', '당사', '가지', '특별', '기자', '회견', '총리', '사회', '갈등', '평등']","새민주, 李 때리며 ‘이낙연 등판’ 시사 [6·3 장미대선 레이스] 새미래민주당 전병헌 대표는 10일 갈등 치유 국민 통합 개헌을 통해 위기의 대한민국을 정상국가로 만들 수 있는 유능하고 도덕적이며 국민께 헌신할 후보를 보유하고 있다며 당 상임고문인 이낙연 전 국무총리가 63 조기대선에 출마할 가능성을 시사했다 전 대표는 서울 여의도 당사에서 가진 특별기자회견에서 이 전 총리를 사회적 갈등과 불평등 그리고 기",8
한동훈 “서태지처럼 시대 교체”…이재명엔 “괴물정권 막아야”,한동훈 전 국민의힘 대표 출마선언한동훈 전 국민의힘 대표는 10일 서태지처럼 시대 교체를 하겠다며 대권 도전을 공식화했다 이날 대선 출마를 공식 선언한 이재명 전 더불어민주,2025-04-10 15:19:00,https://www.mk.co.kr/news/politics/11288162,매일경제,"['한동훈', '국민', '대표', '출마', '선언', '동훈', '국민', '대표', '10', '서태지', '처럼', '시대', '교체', '다며', '대권', '도전', '공식', '이날', '대선', '출마', '공식', '선언', '이재명', '더불어민주']",한동훈 “서태지처럼 시대 교체”…이재명엔 “괴물정권 막아야” 한동훈 전 국민의힘 대표 출마선언한동훈 전 국민의힘 대표는 10일 서태지처럼 시대 교체를 하겠다며 대권 도전을 공식화했다 이날 대선 출마를 공식 선언한 이재명 전 더불어민주,8
"한동훈 “헌재, 사실상 이재명도 탄핵”…‘시대교체’ 화두 출사표",윤석열 직접 비판은 자제외교원전정책 등은 계승 국힘 김기현김태흠원희룡박형준 등은 불출마 선언 서태지박정희처럼 한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대선 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어,2025-04-10 20:27:00,https://www.khan.co.kr/article/202504102027005/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['윤석열', '직접', '비판', '자제', '외교', '원전', '정책', '계승', '김기현', '김태흠', '원희룡', '박형준', '출마', '선언', '서태지', '박정희', '처럼', '한동훈', '국민의힘', '대표', '10', '국회', '분수대', '21', '대선', '출마', '선언', '한수빈', '기자', '한동훈', '국민', '대표', '10', '63', '대선', '출마', '선언', '비상계엄', '사태', '자유', '이재명', '더불']","한동훈 “헌재, 사실상 이재명도 탄핵”…‘시대교체’ 화두 출사표 윤석열 직접 비판은 자제외교원전정책 등은 계승 국힘 김기현김태흠원희룡박형준 등은 불출마 선언 서태지박정희처럼 한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대선 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어",8
"한동훈, 대선 출마선언 “이재명도 사실상 탄핵…서태지처럼 내가 시대교체”",한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대통령선거 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어민주당 대표를 이길 수 있는 주자라고 말했다 탄핵 찬성파였지만 윤석열 전 대통령 직접 비판을 자제하며 윤석열 정부 정책 일부를 계승,2025-04-10 14:03:00,https://www.khan.co.kr/article/202504101403001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['한동훈', '국민의힘', '대표', '10', '국회', '분수대', '21', '대통령', '선거', '출마', '선언', '한수빈', '기자', '한동훈', '국민의힘', '대표', '10', '63', '대선', '출마', '선언', '비상계엄', '사태', '자유', '이재명', '더불어민주당', '대표', '이기', '주자', '라고', '탄핵', '찬성', '윤석열', '대통령', '직접', '비판', '자제', '윤석열', '정부', '정책', '일부', '계승']","한동훈, 대선 출마선언 “이재명도 사실상 탄핵…서태지처럼 내가 시대교체” 한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대통령선거 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어민주당 대표를 이길 수 있는 주자라고 말했다 탄핵 찬성파였지만 윤석열 전 대통령 직접 비판을 자제하며 윤석열 정부 정책 일부를 계승",8
“한동훈 대통령 만들 거면 결선투표제 얘기 안해”···국힘 대변인 발언에 친한계 반발,한동훈 국민의힘 전 대표가 3월17일 서울 종로구 조계사에서 조계종 총무원장 진우 스님을 예방한 후 브리핑을 하고 있다 한수빈 기자 박민영 국민의힘 대변인이 당 대선 후보 경선 룰과 관련해 한동훈 전 대표를 대통령 만들 작정이었으면 당이 결선 투표제를 얘기하지도 않았다라고 발언한 것을 두고 친한동훈친한계가 징계를 요구했다 친한계 박상수,2025-04-10 10:31:00,https://www.khan.co.kr/article/202504101031001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['한동훈', '국민', '대표', '17', '서울', '종로구', '조계사', '조계종', '총무원장', '진우', '스님', '예방', '브리핑', '한수빈', '기자', '박민영', '국민', '대변인', '대선', '후보', '경선', '관련', '한동훈', '대표', '대통령', '만들', '작정', '으면', '결선', '투표', '얘기', '라고', '발언', '친하', '동훈친', '한계', '징계', '요구', '한계', '박상수']",“한동훈 대통령 만들 거면 결선투표제 얘기 안해”···국힘 대변인 발언에 친한계 반발 한동훈 국민의힘 전 대표가 3월17일 서울 종로구 조계사에서 조계종 총무원장 진우 스님을 예방한 후 브리핑을 하고 있다 한수빈 기자 박민영 국민의힘 대변인이 당 대선 후보 경선 룰과 관련해 한동훈 전 대표를 대통령 만들 작정이었으면 당이 결선 투표제를 얘기하지도 않았다라고 발언한 것을 두고 친한동훈친한계가 징계를 요구했다 친한계 박상수,8
