title,description,published,link,media,desc_tokens,text,topic
"한덕수 차출론까지… 국민의힘, 있는 카드 다 꺼낸다",조기 대선이 6월 3일로 잠정 확정되면서 국민의힘의 주요 대선 주자들이 대선 경선 출마 의사를 속속 밝히고 있다 이런 가운데 국민의힘 안팎에서 한덕수 대통령 권한대행이 경선에 나서야 한다는 주장이 나왔다 한 대행은 경제부총리를 거쳐 국무총리를 두 차례 지내고 주미국 대사도 역임했다 그런 만큼 최근 불거진 글로벌 통상 전쟁과 국내 민생 경제 위기에 대응할 역량을 갖춘 대선 후보감이란 것이다 한 대행은 정치 참여를 생각하지 않는 것으로 알려졌다 그러나 국민의힘에선 이재명 정권의 등장을 저지하려면 누구든 나서 총력전으로 임해야 한다며 한덕수 차출론을 거론하는 사람이 늘고 있다,2025-04-07 15:55:00,https://www.chosun.com/politics/assembly/2025/04/08/BTWLP7POKNCNXOJDA3Z7YSUULU/,조선닷컴,"['조기', '대선', '잠정', '확정', '면서', '국민', '주요', '대선', '주자', '대선', '경선', '출마', '의사', '속속', '밝히', '가운데', '국민', '안팎', '한덕수', '대통령', '권한', '대행', '경선', '나서', '어야', 'ㄴ다는', '주장', '나오', '대행', '경제', '부총리', '거치', '국무총리', '차례', '지내', '미국', '대사', '역임', '그런', '최근', '불거지', '글로벌', '통상', '전쟁', '국내', '민생', '경제', '위기', '대응', '역량', '갖추', '대선', '후보감', '대행', '정치', '참여', '생각', '알려지', '국민', '이재명', '정권', '등장', '저지', '려면', '나서', '총력전', '임하', 'ㄴ다며', '한덕수', '차출', '거론', '사람']","한덕수 차출론까지… 국민의힘, 있는 카드 다 꺼낸다 조기 대선이 6월 3일로 잠정 확정되면서 국민의힘의 주요 대선 주자들이 대선 경선 출마 의사를 속속 밝히고 있다 이런 가운데 국민의힘 안팎에서 한덕수 대통령 권한대행이 경선에 나서야 한다는 주장이 나왔다 한 대행은 경제부총리를 거쳐 국무총리를 두 차례 지내고 주미국 대사도 역임했다 그런 만큼 최근 불거진 글로벌 통상 전쟁과 국내 민생 경제 위기에 대응할 역량을 갖춘 대선 후보감이란 것이다 한 대행은 정치 참여를 생각하지 않는 것으로 알려졌다 그러나 국민의힘에선 이재명 정권의 등장을 저지하려면 누구든 나서 총력전으로 임해야 한다며 한덕수 차출론을 거론하는 사람이 늘고 있다",10
"한덕수, 출마 가능성 묻자 “그런 일 있으면 알려드리겠다”",친윤친윤석열계 인사들이 줄줄이 대선 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 대선 출마 여부에 관심이 쏠리고 있다 한 권한대행은 10일 출마 가능성을 묻는 동아일보 질문에 그런 일이 있으면 알려드리겠다고 밝혔다 출마 가능성을 배제하지 않은 것으로 풀이된다 한 권한대행은 이날 오전 국정현안관계장관회의에서 출마 여부를 일절 언급하지 않았다 한 권한대행 측은 당장 출마나 불출마 여부를 밝힐 계획은 없다는 입장이다 한 정부 관계자는 정치인도 아닌 현직 총리이자 권한대행이 불출마를 선언하는 것도 이상하지 않으냐고 말했다 이에 2017년 대선 당시 황교안 대통령 권한대행 국무총리가 국무회의에서 조기 대선 일정을 확정한 후 곧바로 불출마 선언을 한 것과 대비된다는 이야기도 나온다 당시 자유한국당현 국민의힘 지도부는 황 권한대행의 대선출마를 위해 예비 경선 없이 본 경선에 참여시키는 특례까지 도입했었다국민의힘에선 친윤계 윤상현 의원이 한 권한대행을,2025-04-10 20:43:00,https://www.donga.com/news/Politics/article/all/20250410/131389631/1,동아닷컴,"['윤친', '윤석', '인사', '줄줄이', '대선', '출마', '선언', '면서', '한덕수', '대통령', '권한', '대행', '국무총리', '대선', '출마', '관심', '쏠리', '권한', '대행', '10', '출마', '가능', '동아일보', '질문', '그런', '으면', '알리', '드리', '다고', '밝히', '출마', '가능', '배제', '풀이', 'ㄴ다', '권한', '대행', '이날', '오전', '국정', '현안', '관계', '장관', '회의', '출마', '일절', '언급', '권한', '대행', '출마', '출마', '밝히', '계획', '다는', '입장', '정부', '관계자', '정치인', '현직', '총리', '권한', '대행', '출마', '선언', '으냐고', '2017', '대선', '당시', '황교안', '대통령', '권한', '대행', '국무총리', '국무', '회의', '조기', '대선', '일정', '확정', '곧바로', '출마', '선언', '대비', 'ㄴ다는', '이야기', '나오', 'ㄴ다', '당시', '자유한국당현', '국민', '지도부', '권한', '대행', '대선', '출마', '위하', '예비', '경선', '없이', '경선', '참여', '시키', '특례', '도입', '았었', '국민', '윤상현', '의원', '권한', '대행']","한덕수, 출마 가능성 묻자 “그런 일 있으면 알려드리겠다” 친윤친윤석열계 인사들이 줄줄이 대선 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 대선 출마 여부에 관심이 쏠리고 있다 한 권한대행은 10일 출마 가능성을 묻는 동아일보 질문에 그런 일이 있으면 알려드리겠다고 밝혔다 출마 가능성을 배제하지 않은 것으로 풀이된다 한 권한대행은 이날 오전 국정현안관계장관회의에서 출마 여부를 일절 언급하지 않았다 한 권한대행 측은 당장 출마나 불출마 여부를 밝힐 계획은 없다는 입장이다 한 정부 관계자는 정치인도 아닌 현직 총리이자 권한대행이 불출마를 선언하는 것도 이상하지 않으냐고 말했다 이에 2017년 대선 당시 황교안 대통령 권한대행 국무총리가 국무회의에서 조기 대선 일정을 확정한 후 곧바로 불출마 선언을 한 것과 대비된다는 이야기도 나온다 당시 자유한국당현 국민의힘 지도부는 황 권한대행의 대선출마를 위해 예비 경선 없이 본 경선에 참여시키는 특례까지 도입했었다국민의힘에선 친윤계 윤상현 의원이 한 권한대행을",10
국힘 한덕수 차출론 시끌…“통합 적임자” vs “또 외부주자냐”,국민의힘 친윤친윤석열계 대선 주자들이 줄줄이 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 출마 여부에 눈이 쏠리고 있다 국민의힘 내에서는 의원들 몇 십 명이 한 권한대행의 출마를 촉구하려고 모였다는 이야기도 나온다 당 선거관리위원회 관계자는 한 권한대행을 향해 이번 주 중까지는 결정을 하셔야 한다라고 말했다 한 대선 후보 캠프 관계자는 한 권한대행을 차출하자는 의원들이 물에 물 탄듯한 스타일의 한 권한대행을 휘어잡고 뜻대로 끌고 갈 수 있다고 생각하는 거 아니냐고 말했다10일 국민의힘에서 충청 중진인 4선 박덕흠 의원 3선 성일종 의원 등을 필두로 한 권한대행의 출마를 요청하기 위한 논의가 계속되고 있다 당 지도부 내에서도 한 권한대행의 출마 필요성에 공감하는 인사가 있는 것으로 전해졌다 성 의원은 이날 오후 국민의힘 호남 지역 당협위원장들이 한 권한대행의 출마를 촉구하는 기자회견을 주선하며 한 권한대행 차출론을 이어갔다국민의힘 내부에선 한 권,2025-04-10 14:27:00,https://www.donga.com/news/Politics/article/all/20250410/131388074/1,동아닷컴,"['국민', '윤친', '윤석열', '대선', '주자', '줄줄이', '출마', '선언', '면서', '한덕수', '대통령', '권한', '대행', '국무총리', '출마', '쏠리', '국민', '의원', '권한', '대행', '출마', '촉구', '려고', '모이', '다는', '이야기', '나오', 'ㄴ다', '선거', '관리', '위원회', '관계자', '권한', '대행', '향하', '결정', '어야', 'ㄴ다', '라고', '대선', '후보', '캠프', '관계자', '권한', '대행', '차출', '자는', '의원', '스타일', '권한', '대행', '휘어잡', '뜻대로', '다고', '생각', '냐고', '10', '국민', '충청', '중진', '박덕흠', '의원', '성일종', '의원', '필두', '권한', '대행', '출마', '요청', '위하', '논의', '계속', '지도부', '권한', '대행', '출마', '필요', '공감', '인사', '전하', '의원', '이날', '오후', '국민', '호남', '지역', '당협', '위원장', '권한', '대행', '출마', '촉구', '기자', '회견', '주선', '권한', '대행', '차출', '국민', '내부']",국힘 한덕수 차출론 시끌…“통합 적임자” vs “또 외부주자냐” 국민의힘 친윤친윤석열계 대선 주자들이 줄줄이 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 출마 여부에 눈이 쏠리고 있다 국민의힘 내에서는 의원들 몇 십 명이 한 권한대행의 출마를 촉구하려고 모였다는 이야기도 나온다 당 선거관리위원회 관계자는 한 권한대행을 향해 이번 주 중까지는 결정을 하셔야 한다라고 말했다 한 대선 후보 캠프 관계자는 한 권한대행을 차출하자는 의원들이 물에 물 탄듯한 스타일의 한 권한대행을 휘어잡고 뜻대로 끌고 갈 수 있다고 생각하는 거 아니냐고 말했다10일 국민의힘에서 충청 중진인 4선 박덕흠 의원 3선 성일종 의원 등을 필두로 한 권한대행의 출마를 요청하기 위한 논의가 계속되고 있다 당 지도부 내에서도 한 권한대행의 출마 필요성에 공감하는 인사가 있는 것으로 전해졌다 성 의원은 이날 오후 국민의힘 호남 지역 당협위원장들이 한 권한대행의 출마를 촉구하는 기자회견을 주선하며 한 권한대행 차출론을 이어갔다국민의힘 내부에선 한 권,10
"개혁신당 “한덕수, 헛된 정치 꿈 빠져 더 큰 혼란 안돼”",개혁신당은 10일 최근 국민의힘 일각에서 나오는 한덕수 대망론에 대해 그런 얘기를 하고 있을 때가 아니다라며 한덕수 대통령 권한대행 국무총리가 마지막에 헛된 정치 꿈에 빠져 대한민국을 더 큰 혼란으로 끌고 가는 것은 아니기를 바란다고 밝혔다천하람 대표 권한대행 겸 원내대표는 이날 서울 여의도 국회에서 연 최고위원회의에서 도널드 트럼프 미국 대통령이 관세를 90일간 일단 유예하겠다고 발표했다며 이같이 밝혔다천 원내대표는 이런 상황에 상대적으로 풍부한 대미 네트워크를 갖고 있고 통상 정책 경제 사령탑 역할을 할 한 권한대행이 엄중한 무역 상황에 대처하는 데 전력을 기울이는 게 아니라 대선 출마를 저울질하는 자체가 말이 안 된다고 지적했다그는 한 권한대행이 대선 출마 의지가 없다면 보다 명확하게 출마하지 않겠다고 밝히는 게 국민에 대한 도리라며 국민의힘도 엄중한 무역 상황에 한 권한대행을 차출하겠다고 이야기하는 건 국민에게 다시 한번 큰 잘못을 저지르는 것,2025-04-10 11:33:00,https://www.donga.com/news/Politics/article/all/20250410/131387072/1,동아닷컴,"['개혁신', '10', '최근', '국민', '일각', '나오', '한덕수', '대망', '대하', '그런', '얘기', '다라며', '한덕수', '대통령', '권한', '대행', '국무총리', '마지막', '헛되', '정치', '빠지', '대한민국', '혼란', '바라', 'ㄴ다고', '밝히', '천하람', '대표', '권한', '대행', '원내', '대표', '이날', '서울', '여의도', '국회', '최고', '위원', '회의', '도널드', '트럼프', '미국', '대통령', '관세', '90', '유예', '다고', '발표', '다며', '밝히', '원내', '대표', '상황', '상대', '풍부하', '대미', '네트워크', '통상', '정책', '경제', '사령탑', '역할', '권한', '대행', '엄중', '무역', '상황', '대처', '전력', '기울이', '대선', '출마', '저울', '자체', 'ㄴ다고', '지적', '권한', '대행', '대선', '출마', '의지', '다면', '보다', '명확하', '출마', '다고', '밝히', '국민', '대하', '도리', '라며', '국민', '엄중', '무역', '상황', '권한', '대행', '차출', '다고', '이야기', '국민', '다시', '잘못', '저지르']","개혁신당 “한덕수, 헛된 정치 꿈 빠져 더 큰 혼란 안돼” 개혁신당은 10일 최근 국민의힘 일각에서 나오는 한덕수 대망론에 대해 그런 얘기를 하고 있을 때가 아니다라며 한덕수 대통령 권한대행 국무총리가 마지막에 헛된 정치 꿈에 빠져 대한민국을 더 큰 혼란으로 끌고 가는 것은 아니기를 바란다고 밝혔다천하람 대표 권한대행 겸 원내대표는 이날 서울 여의도 국회에서 연 최고위원회의에서 도널드 트럼프 미국 대통령이 관세를 90일간 일단 유예하겠다고 발표했다며 이같이 밝혔다천 원내대표는 이런 상황에 상대적으로 풍부한 대미 네트워크를 갖고 있고 통상 정책 경제 사령탑 역할을 할 한 권한대행이 엄중한 무역 상황에 대처하는 데 전력을 기울이는 게 아니라 대선 출마를 저울질하는 자체가 말이 안 된다고 지적했다그는 한 권한대행이 대선 출마 의지가 없다면 보다 명확하게 출마하지 않겠다고 밝히는 게 국민에 대한 도리라며 국민의힘도 엄중한 무역 상황에 한 권한대행을 차출하겠다고 이야기하는 건 국민에게 다시 한번 큰 잘못을 저지르는 것",10
국민의힘 “한 대행 출마 가정한 경선 특례 검토 안 해”,국민의힘 대선후보 경선 선거관리위원회는 10일 한덕수 대통령 권한대행 국무총리 등판을 가정한 특례규정 신설에 대해 검토하지 않았다고 밝혔다 이양수 국민의힘 사무총장은 이날 오전 비상대책위원회의를 마치고 비대위에서 의결된 대선 경선 규칙 및 일정을 발표했다 이 사무총장은 한 대행 대망론으로 선관위가 특례규정을 만들 여지가 있느냐는 물음에 검토해 본 건 없다며 특레규정을 만들면 기존 경선에 참여한 분들께서 가만 있지 않으실 것이라고 답했다 그는 기본적으로 경선 일정에 참여해야 당의 후보가 되는 것이라면서도 경선이 모두 끝나고 당 후보가 그때 다른 당이나 무소속 후보와의 단일화를 통해 시너지를 발휘해야 집권이 용이하겠다 생각하면 그렇게 할 수 있으리라 본다고 말했다 한편 이 사무총장은 경선 과정에서 각 후보가 얻은 여론조사 득표율을 공개할 가능성도 내비쳤다 지난 대선 경선 당시엔 후보자별 득표 순위만 공개했다 이 사무총장은 선관위에서 의결하진 않았지,2025-04-10 11:30:00,https://www.donga.com/news/Politics/article/all/20250410/131387059/1,동아닷컴,"['국민', '대선', '후보', '경선', '선거', '관리', '위원회', '10', '한덕수', '대통령', '권한', '대행', '국무총리', '등판', '가정', '특례', '규정', '신설', '대하', '검토', '다고', '밝히', '이양수', '국민', '사무총장', '이날', '오전', '비상', '대책', '위원', '회의', '비대위', '의결', '대선', '경선', '규칙', '일정', '발표', '사무총장', '대행', '대망', '선관위', '특례', '규정', '만들', '여지', '느냐는', '물음', '검토', '다며', '특레', '규정', '만들', '기존', '경선', '참여', '께서', '가만', '으시', '라고', '기본', '경선', '일정', '참여', '후보', '라면서', '경선', '끝나', '후보', '이나', '소속', '후보', '단일', '통하', '시너지', '발휘', '집권', '용이하', '생각', '그렇', '으리라', 'ㄴ다고', '사무총장', '경선', '과정', '후보', '여론', '조사', '득표', '공개', '가능', '내비치', '지나', '대선', '경선', '당시', '후보자', '득표', '순위', '공개', '사무총장', '선관위', '의결']",국민의힘 “한 대행 출마 가정한 경선 특례 검토 안 해” 국민의힘 대선후보 경선 선거관리위원회는 10일 한덕수 대통령 권한대행 국무총리 등판을 가정한 특례규정 신설에 대해 검토하지 않았다고 밝혔다 이양수 국민의힘 사무총장은 이날 오전 비상대책위원회의를 마치고 비대위에서 의결된 대선 경선 규칙 및 일정을 발표했다 이 사무총장은 한 대행 대망론으로 선관위가 특례규정을 만들 여지가 있느냐는 물음에 검토해 본 건 없다며 특레규정을 만들면 기존 경선에 참여한 분들께서 가만 있지 않으실 것이라고 답했다 그는 기본적으로 경선 일정에 참여해야 당의 후보가 되는 것이라면서도 경선이 모두 끝나고 당 후보가 그때 다른 당이나 무소속 후보와의 단일화를 통해 시너지를 발휘해야 집권이 용이하겠다 생각하면 그렇게 할 수 있으리라 본다고 말했다 한편 이 사무총장은 경선 과정에서 각 후보가 얻은 여론조사 득표율을 공개할 가능성도 내비쳤다 지난 대선 경선 당시엔 후보자별 득표 순위만 공개했다 이 사무총장은 선관위에서 의결하진 않았지,10
"황우여, ‘한덕수 차출론’에 “꽃가마 없다…韓 이번주 중 결정해야”",황우여 국민의힘 선거관리위원장은 10일 당내 한덕수 차출론과 관련해 한덕수 꽃가마는 없다고 선을 그었다 국민의힘 대선후보가 되기 위해선 오는 1415일 후보 등록을 해야 한다고 강조했다황 위원장은 이날 CBS 라디오 김현정의 뉴스쇼에 출연해 한덕수 대통령 권한대행국무총리이 1415일 후보 등록을 하지 않더라도 특례입학처럼 다른 길을 제공할 수 있는가라는 질문에 전혀 고려하지 않고 있다고 말했다황 위원장은 최종적으로 비상대책위원회에서 결정할 문제라면서도 다른 후보들에게 영향을 미치기 때문에 지금은 전혀 고려하지 않고 있다고 강조했다황 위원장은 한 권한대행을 두고 꽃가마 추대론과 같은 얘기가 나온다는 사회자의 거듭된 질문에 선관위에서 전혀 생각하지 않고 있다며 공정한 절차 안에 만약 뜻이 계시면 속히 들어오시는 게 맞다고 했다이어 본인이 심사숙고하면서 결정해야 할 것이라면서도 아마 주중에는 결정해야 한다 다음,2025-04-10 09:57:00,https://www.donga.com/news/Politics/article/all/20250410/131386174/1,동아닷컴,"['황우여', '국민', '선거', '관리', '위원장', '10', '당내', '한덕수', '차출', '관련', '한덕수', '꽃가마', '다고', '국민', '대선', '후보', '위하', '아서', '1415', '후보', '등록', 'ㄴ다고', '강조', '위원장', '이날', 'CBS', '라디오', '김현정', '뉴스쇼', '출연', '한덕수', '대통령', '권한', '대행', '국무총리', '1415', '후보', '등록', '특례', '입학', '처럼', '제공', '는가', '라는', '질문', '전혀', '고려', '다고', '위원장', '최종', '비상', '대책', '위원회', '결정', '문제', '라면서', '후보', '영향', '미치', '때문', '지금', '전혀', '고려', '다고', '강조', '위원장', '권한', '대행', '꽃가마', '추대', '얘기', '나오', 'ㄴ다는', '사회자', '거듭', '질문', '선관위', '전혀', '생각', '다며', '공정', '절차', '계시', '속히', '들어오', '다고', '본인', '심사숙고', '면서', '결정', '라면서', '아마', '결정', 'ㄴ다']","황우여, ‘한덕수 차출론’에 “꽃가마 없다…韓 이번주 중 결정해야” 황우여 국민의힘 선거관리위원장은 10일 당내 한덕수 차출론과 관련해 한덕수 꽃가마는 없다고 선을 그었다 국민의힘 대선후보가 되기 위해선 오는 1415일 후보 등록을 해야 한다고 강조했다황 위원장은 이날 CBS 라디오 김현정의 뉴스쇼에 출연해 한덕수 대통령 권한대행국무총리이 1415일 후보 등록을 하지 않더라도 특례입학처럼 다른 길을 제공할 수 있는가라는 질문에 전혀 고려하지 않고 있다고 말했다황 위원장은 최종적으로 비상대책위원회에서 결정할 문제라면서도 다른 후보들에게 영향을 미치기 때문에 지금은 전혀 고려하지 않고 있다고 강조했다황 위원장은 한 권한대행을 두고 꽃가마 추대론과 같은 얘기가 나온다는 사회자의 거듭된 질문에 선관위에서 전혀 생각하지 않고 있다며 공정한 절차 안에 만약 뜻이 계시면 속히 들어오시는 게 맞다고 했다이어 본인이 심사숙고하면서 결정해야 할 것이라면서도 아마 주중에는 결정해야 한다 다음",10
한덕수 손사래에도 커지는 대망론… 56% “잘할 것” 37% “잘 못할 것” [6·3 장미대선 레이스],대통령 권한대행 한덕수 국무총리의 대망론이 정치권 안팎에서 제기되고 있다 도널드 트럼프 미국 대통령이 한 권한대행에게 대선 출마 여부를 물은 것으로 알려지면서 이러한 관측에 더욱 힘이 실리고 있다 한 권한대행은 손사래를 치고 있지만 최종 출마 여부는 여론 흐름에 달렸다는 분석도 나온다 10일 정부 고위 관계자는 트럼프 미국 대통령이 지난 8일,2025-04-10 18:23:00,https://www.segye.com/newsView/20250410517515,세계일보,"['대통령', '권한', '대행', '한덕수', '국무총리', '대망', '정치', '안팎', '제기', '도널드', '트럼프', '미국', '대통령', '권한', '대행', '대선', '출마', '알려지', '면서', '이러하', '관측', '더욱', '실리', '권한', '대행', '손사래', '최종', '출마', '여론', '흐름', '달리', '다는', '분석', '나오', 'ㄴ다', '10', '정부', '고위', '관계자', '트럼프', '미국', '대통령', '지나']",한덕수 손사래에도 커지는 대망론… 56% “잘할 것” 37% “잘 못할 것” [6·3 장미대선 레이스] 대통령 권한대행 한덕수 국무총리의 대망론이 정치권 안팎에서 제기되고 있다 도널드 트럼프 미국 대통령이 한 권한대행에게 대선 출마 여부를 물은 것으로 알려지면서 이러한 관측에 더욱 힘이 실리고 있다 한 권한대행은 손사래를 치고 있지만 최종 출마 여부는 여론 흐름에 달렸다는 분석도 나온다 10일 정부 고위 관계자는 트럼프 미국 대통령이 지난 8일,10
국민의힘 안팎서 ‘한덕수 대망론’…민주당은 “헛된 꿈 깨라”,보수 진영서 관리형 대통령 기대감 민주당 헌법파괴자 뽑을 거란 착각정계 인사들이 앞다퉈 제21대 대통령 선거 출사표를 던지는 가운데 한덕수 대통령 권한대행 국무총리의 출마 ,2025-04-10 12:57:00,https://www.mk.co.kr/news/politics/11287921,매일경제,"['보수', '진영서', '관리', '대통령', '기대감', '민주당', '헌법', '파괴자', '착각', '정계', '인사', '앞다투', '21', '대통령', '선거', '출사표', '던지', '가운데', '한덕수', '대통령', '권한', '대행', '국무총리', '출마']",국민의힘 안팎서 ‘한덕수 대망론’…민주당은 “헛된 꿈 깨라” 보수 진영서 관리형 대통령 기대감 민주당 헌법파괴자 뽑을 거란 착각정계 인사들이 앞다퉈 제21대 대통령 선거 출사표를 던지는 가운데 한덕수 대통령 권한대행 국무총리의 출마 ,10
"국민의힘 내 한덕수 대선 출마론 확산, 민주당 “헛된 꿈 깨시라”",한덕수 대통령 권한대행 겸 국무총리가 10일 서울 종로구 정부서울청사에서 열린 국정현안관계장관회의에서 모두발언을 하고 있다 대통령실사진기자단 국민의힘에서 한덕수 대통령 권한대행 겸 국무총리의 대선 출마론이 확산되고 있다 당 안팎에서 한 권한대행의 출마 자격과 성공 가능성을 두고 비판이 나왔다 10일 국민의힘에서는 한 권한대행이 대선 경선에 나서야 ,2025-04-10 18:06:00,https://www.khan.co.kr/article/202504101806001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '10', '서울', '종로구', '정부서울청사', '열리', '국정', '현안', '관계', '장관', '회의', '발언', '대통령실', '사진', '기자단', '국민', '한덕수', '대통령', '권한', '대행', '국무총리', '대선', '출마', '확산', '안팎', '권한', '대행', '출마', '자격', '성공', '가능', '비판', '나오', '10', '국민', '권한', '대행', '대선', '경선', '나서', '어야']","국민의힘 내 한덕수 대선 출마론 확산, 민주당 “헛된 꿈 깨시라” 한덕수 대통령 권한대행 겸 국무총리가 10일 서울 종로구 정부서울청사에서 열린 국정현안관계장관회의에서 모두발언을 하고 있다 대통령실사진기자단 국민의힘에서 한덕수 대통령 권한대행 겸 국무총리의 대선 출마론이 확산되고 있다 당 안팎에서 한 권한대행의 출마 자격과 성공 가능성을 두고 비판이 나왔다 10일 국민의힘에서는 한 권한대행이 대선 경선에 나서야 ",10
선 넘은 김에 대선까지? 한덕수 대망론 불 지피는 친윤계,탄핵되면 출마 가능이재명 대항마 없다는 위기감 표출 국민의힘 일각에서 한덕수 대통령 권한대행 겸 국무총리가 조기 대선에 출마해야 한다는 주장이 나온다 구 여권 대선 주자들이 구 야권 유력 주자인 이재명 전 더불어민주당 대표와 대등한 경쟁 구도를 형성하지 못한 데 대한 당내 위기감을 보여준다는 분석이 나온다 권성동 원내대표는 9일 국회에서,2025-04-09 20:42:00,https://www.khan.co.kr/article/202504092042015/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['탄핵', '출마', '가능', '이재명', '항마', '다는', '위기감', '표출', '국민', '일각', '한덕수', '대통령', '권한', '대행', '국무총리', '조기', '대선', '출마', 'ㄴ다는', '주장', '나오', 'ㄴ다', '여권', '대선', '주자', '유력', '주자', '이재명', '더불어민주당', '대표', '대등', '경쟁', '구도', '형성', '못하', '대하', '당내', '위기감', '보이', 'ㄴ다는', '분석', '나오', 'ㄴ다', '권성동', '원내', '대표', '국회']",선 넘은 김에 대선까지? 한덕수 대망론 불 지피는 친윤계 탄핵되면 출마 가능이재명 대항마 없다는 위기감 표출 국민의힘 일각에서 한덕수 대통령 권한대행 겸 국무총리가 조기 대선에 출마해야 한다는 주장이 나온다 구 여권 대선 주자들이 구 야권 유력 주자인 이재명 전 더불어민주당 대표와 대등한 경쟁 구도를 형성하지 못한 데 대한 당내 위기감을 보여준다는 분석이 나온다 권성동 원내대표는 9일 국회에서,10
