title,description,published,link,media,desc_tokens,text,topic
김문수 “깨끗한 내가 李 상대”… 오세훈 13일 출마 선언,김문수 전 고용노동부 장관이 9일 차기 대통령 선거에 출마하겠다고 밝혔다 63 조기 대선일이 확정된 지 하루 만이다 전날 장관직을 사퇴한 그는 이날 국민의힘에 입당도 신청했다 김 전 장관은 계엄탄핵 국면에서 실시된 각종 여론조사에서 범보수 진영 인사 중 지지도 1위를 기록했다 그런 김 전 장관이 출사표를 던지면서 국민의힘의 대선 레이스가 본격 시작됐다,2025-04-09 16:10:00,https://www.chosun.com/politics/politics_general/2025/04/10/GYTGIVMB6BA5BBIKAGKCYJZQFU/,조선닷컴,"['김문수', '고용', '노동부', '장관', '차기', '대통령', '선거', '출마', '다고', '밝히', '63', '조기', '대선일', '확정', '하루', '전날', '장관직', '사퇴', '이날', '국민', '입당', '신청', '장관', '계엄', '탄핵', '국면', '실시', '여론', '조사', '보수', '진영', '인사', '지지도', '기록', '그런', '장관', '출사표', '던지', '면서', '국민', '대선', '레이스', '본격', '시작']",김문수 “깨끗한 내가 李 상대”… 오세훈 13일 출마 선언 김문수 전 고용노동부 장관이 9일 차기 대통령 선거에 출마하겠다고 밝혔다 63 조기 대선일이 확정된 지 하루 만이다 전날 장관직을 사퇴한 그는 이날 국민의힘에 입당도 신청했다 김 전 장관은 계엄탄핵 국면에서 실시된 각종 여론조사에서 범보수 진영 인사 중 지지도 1위를 기록했다 그런 김 전 장관이 출사표를 던지면서 국민의힘의 대선 레이스가 본격 시작됐다,11
김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언,김문수 전 고용노동부 장관이 9일 차기 대통령 선거 출마를 공식 선언하며 피고인 이재명을 상대하기에는 가진 것 없는 깨끗한 손 김문수가 제격이라고 말했다,2025-04-09 01:00:00,https://www.chosun.com/politics/politics_general/2025/04/09/HMGTQTGSXFB3XLWMKBMWCMFW5M/,조선닷컴,"['김문수', '고용', '노동부', '장관', '차기', '대통령', '선거', '출마', '공식', '선언', '피고인', '이재명', '상대', '가지', '깨끗하', '김문수', '제격', '라고']",김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언 김문수 전 고용노동부 장관이 9일 차기 대통령 선거 출마를 공식 선언하며 피고인 이재명을 상대하기에는 가진 것 없는 깨끗한 손 김문수가 제격이라고 말했다,11
"김문수, 오늘 장관직 사퇴… 대선 출마 전망",김문수 고용노동부 장관이 8일 조기 대선 출마를 선언하기 위해 장관직에서 사퇴한다 김 장관은 각종 여론조사에서 범보수권 대선 후보군 중 지지율 1위를 기록하고 있다,2025-04-08 00:47:00,https://www.chosun.com/politics/politics_general/2025/04/08/X7VLKAH5VRCYRAK2BW6KXQUYFI/,조선닷컴,"['김문수', '고용', '노동부', '장관', '조기', '대선', '출마', '선언', '위하', '장관', '사퇴', 'ㄴ다', '장관', '여론', '조사', '보수', '대선', '후보군', '지지', '기록']","김문수, 오늘 장관직 사퇴… 대선 출마 전망 김문수 고용노동부 장관이 8일 조기 대선 출마를 선언하기 위해 장관직에서 사퇴한다 김 장관은 각종 여론조사에서 범보수권 대선 후보군 중 지지율 1위를 기록하고 있다",11
"김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어”",김문수 고용노동부 장관은 7일 대선 출마 여부에 대해 어떤 결심을 내린 것도 없다며 여러 가지 깊이 고심하고 있다고 밝혔다,2025-04-07 09:17:00,https://www.chosun.com/politics/politics_general/2025/04/07/OJWCJVYGWRCALAIIITOSWH2VYQ/,조선닷컴,"['김문수', '고용', '노동부', '장관', '대선', '출마', '대하', '결심', '내리', '다며', '여러', '가지', '깊이', '고심', '다고', '밝히']","김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어” 김문수 고용노동부 장관은 7일 대선 출마 여부에 대해 어떤 결심을 내린 것도 없다며 여러 가지 깊이 고심하고 있다고 밝혔다",11
"이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언",이철우 경북도지사가 오는 9일 오후 2시 국회에서 대통령 선거 출마 선언을 한다 이 지사는 7일 본지 통화에서 9일 오전 9시에 경북 구미의 박정희 대통령 생가를 방문해 대선 출마 보고를 한 뒤 오후 2시에 국회에서 출마 선언을 하겠다며 출마의 변 등은 당일 국회 기자회견을 통해 밝힐 예정이라고 했다,2025-04-07 06:20:00,https://www.chosun.com/politics/politics_general/2025/04/07/INC45B6OF5FUBGK4JHA3232WWE/,조선닷컴,"['이철우', '경북', '도지사', '오후', '국회', '대통령', '선거', '출마', '선언', 'ㄴ다', '지사', '본지', '통화', '오전', '경북', '구미', '박정희', '대통령', '생가', '방문', '대선', '출마', '보고', '오후', '국회', '출마', '선언', '다며', '출마', '당일', '국회', '기자', '회견', '통하', '밝히', '예정', '라고']","이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언 이철우 경북도지사가 오는 9일 오후 2시 국회에서 대통령 선거 출마 선언을 한다 이 지사는 7일 본지 통화에서 9일 오전 9시에 경북 구미의 박정희 대통령 생가를 방문해 대선 출마 보고를 한 뒤 오후 2시에 국회에서 출마 선언을 하겠다며 출마의 변 등은 당일 국회 기자회견을 통해 밝힐 예정이라고 했다",11
"前국회의원 125명 “김문수, 대선 출마 의지 밝혀야”",전직 국회의원 125명이 7일 김문수 고용노동부 장관이 국민 앞에 대선 출마 의지를 조속히 밝혀야 한다고 촉구했다,2025-04-07 05:56:00,https://www.chosun.com/politics/politics_general/2025/04/07/QQPE2CFET5GU7PQJJKV45PYD6M/,조선닷컴,"['전직', '국회의원', '125', '김문수', '고용', '노동부', '장관', '국민', '대선', '출마', '의지', '조속히', '밝히', '어야', 'ㄴ다고', '촉구']","前국회의원 125명 “김문수, 대선 출마 의지 밝혀야” 전직 국회의원 125명이 7일 김문수 고용노동부 장관이 국민 앞에 대선 출마 의지를 조속히 밝혀야 한다고 촉구했다",11
"김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서”",보수 진영 대선 주자로 꼽히는 김문수 고용노동부 장관이 6월 치러질 것으로 전망되는 조기 대선 출마에 대해 아무런 욕심은 없다면서도 다만 이 나라가 이렇게 가서는 안 되지 않느냐는 입장을 밝혔다,2025-04-05 10:04:00,https://www.chosun.com/politics/politics_general/2025/04/05/P4C37WRI3NBNTLSCQ724ELIWVI/,조선닷컴,"['보수', '진영', '대선', '주자', '꼽히', '김문수', '고용', '노동부', '장관', '치르', '전망', '조기', '대선', '출마', '대하', '아무런', '욕심', '다면서', '나라', '이렇', '아서', '느냐는', '입장', '밝히']","김문수, 시민단체 출마 촉구에 “나라 이렇게 가선 안돼”...입당은 “봐서” 보수 진영 대선 주자로 꼽히는 김문수 고용노동부 장관이 6월 치러질 것으로 전망되는 조기 대선 출마에 대해 아무런 욕심은 없다면서도 다만 이 나라가 이렇게 가서는 안 되지 않느냐는 입장을 밝혔다",11
"김문수 “대기업 노조, 전태일 정신과 완전히 반대”",63 대통령선거 국민의힘 경선 출마를 선언한 김문수 전 고용노동부 장관이 10일 대기업 노동조합이 임금투쟁을 계속하는 것은 전태일 정신과 완전히 반대라고 말했다 김 전 장관은 이날 서울 종로구 전태일기념관을 방문한 자리에서 현대차와 같은 우리나라 노동조합은 평균 임금이 1억원 넘는다 현대 기아 다 1억원이 넘는다며 이같이 밝혔다 그는 대기업 노조는 하청 공장에 대해서는 하나도 돌보지 않는다며 전태일 정신은 자신의 임금을 올려달라는 것이 아닌 더 어려운 사람을 돕는 기독교 정신이라고 주장했다또한 전태일은 자본주의 자체를 부정하는 혁명가가 아니다라고 덧붙였다이어 제가 노동운동을 시작하게 된 직접적인 계기가 전태일이라며 1970년에 전태일 열사가 분신을 했는데 대학 1학년 시절 상당히 충격을 받았다고 했다그는 남을 위해서 희생하는 정신이 전태일 정신이라며 마석 모란공원 공동묘지에 가보면 비석에 기독 청년 전태일의 묘라고 쓰여 있다,2025-04-10 15:08:00,https://www.donga.com/news/Politics/article/all/20250410/131388753/1,동아닷컴,"['63', '대통령', '선거', '국민', '경선', '출마', '선언', '김문수', '고용', '노동부', '장관', '10', '기업', '노동조합', '임금', '투쟁', '계속', '전태일', '정신과', '완전히', '반대', '라고', '장관', '이날', '서울', '종로구', '전태일기념관', '방문', '자리', '현대차', '우리나라', '노동조합', '평균', '임금', '는다', '현대', '기아', '는다며', '밝히', '기업', '노조', '하청', '공장', '대하', '아서', '돌보', '는다며', '전태일', '정신', '임금', '올리', '라는', '어렵', '사람', '기독교', '정신', '라고', '주장', '전태일', '자본주의', '자체', '부정', '혁명가', '라고', '덧붙이', '이어', '노동', '운동', '시작', '직접', '계기', '전태일', '라며', '1970', '전태일', '열사', '분신', '는데', '대학', '학년', '시절', '상당히', '충격', '다고', '위하', '아서', '희생', '정신', '전태일', '정신', '라며', '마석', '모란공원', '공동묘지', '비석', '기독', '청년', '전태일', '라고', '쓰이']","김문수 “대기업 노조, 전태일 정신과 완전히 반대” 63 대통령선거 국민의힘 경선 출마를 선언한 김문수 전 고용노동부 장관이 10일 대기업 노동조합이 임금투쟁을 계속하는 것은 전태일 정신과 완전히 반대라고 말했다 김 전 장관은 이날 서울 종로구 전태일기념관을 방문한 자리에서 현대차와 같은 우리나라 노동조합은 평균 임금이 1억원 넘는다 현대 기아 다 1억원이 넘는다며 이같이 밝혔다 그는 대기업 노조는 하청 공장에 대해서는 하나도 돌보지 않는다며 전태일 정신은 자신의 임금을 올려달라는 것이 아닌 더 어려운 사람을 돕는 기독교 정신이라고 주장했다또한 전태일은 자본주의 자체를 부정하는 혁명가가 아니다라고 덧붙였다이어 제가 노동운동을 시작하게 된 직접적인 계기가 전태일이라며 1970년에 전태일 열사가 분신을 했는데 대학 1학년 시절 상당히 충격을 받았다고 했다그는 남을 위해서 희생하는 정신이 전태일 정신이라며 마석 모란공원 공동묘지에 가보면 비석에 기독 청년 전태일의 묘라고 쓰여 있다",11
"윤석열, ‘대선주자’ 김문수와 통화…“잘 해보라, 고생 많았다” 격려",김문수 전 고용노동부 장관이 9일 국회 소통관에서 21대 대선 출마 선언을 하고 있다 한수빈 기자 국민의힘 유력 대선 주자인 김문수 전 고용노동부 장관이 윤석열 전 대통령과 통화하며 잘 해보라 그동안 고생 많았다는 격려를 받았다고 9일 밝혔다 김 전 장관은 이날 오후 TV조선 뉴스9에 출연해 이번에 장관직을 그만두면서 저를 임명해주신 윤석열,2025-04-09 22:34:00,https://www.khan.co.kr/article/202504092234001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['김문수', '고용', '노동부', '장관', '국회', '소통관', '21', '대선', '출마', '선언', '한수빈', '기자', '국민', '유력', '대선', '주자', '김문수', '고용', '노동부', '장관', '윤석열', '대통령', '통화', '그동안', '고생', '다는', '격려', '다고', '밝히', '장관', '이날', '오후', 'TV조선', '뉴스', '출연', '장관직', '그만두', '면서', '임명', '윤석열']","윤석열, ‘대선주자’ 김문수와 통화…“잘 해보라, 고생 많았다” 격려 김문수 전 고용노동부 장관이 9일 국회 소통관에서 21대 대선 출마 선언을 하고 있다 한수빈 기자 국민의힘 유력 대선 주자인 김문수 전 고용노동부 장관이 윤석열 전 대통령과 통화하며 잘 해보라 그동안 고생 많았다는 격려를 받았다고 9일 밝혔다 김 전 장관은 이날 오후 TV조선 뉴스9에 출연해 이번에 장관직을 그만두면서 저를 임명해주신 윤석열",11
김문수 “대통합이든 대연정이든 해야”…‘중도층 구애’ 출사표,탄핵 반대 입장서 물러나 윤 징계 언급 적절치 않다 유정복 인천시장이철우 경북지사도 잇단 출마 선언 국회에서박정희 생가에서맥아더 동상 앞에서 김문수 전 고용노동부 장관이 9일 국회 소통관에서 제21대 대통령 선거 출마를 선언하고 있다 이날 이철우 경북도지사가 경북 구미시 박정희 전 대통령 생가에서 유정복 인천시장이 인천 중구 자유공,2025-04-09 20:42:00,https://www.khan.co.kr/article/202504092042025/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['탄핵', '반대', '입장', '물러나', '징계', '언급', '적절하', '유정복', '인천시장이철우', '경북', '지사', '잇달', '출마', '선언', '국회', '박정희', '생가', '맥아더', '동상', '김문수', '고용', '노동부', '장관', '국회', '소통관', '21', '대통령', '선거', '출마', '선언', '이날', '이철우', '경북', '도지사', '경북', '구미시', '박정희', '대통령', '생가', '유정복', '인천시장', '인천', '중구', '자유공']",김문수 “대통합이든 대연정이든 해야”…‘중도층 구애’ 출사표 탄핵 반대 입장서 물러나 윤 징계 언급 적절치 않다 유정복 인천시장이철우 경북지사도 잇단 출마 선언 국회에서박정희 생가에서맥아더 동상 앞에서 김문수 전 고용노동부 장관이 9일 국회 소통관에서 제21대 대통령 선거 출마를 선언하고 있다 이날 이철우 경북도지사가 경북 구미시 박정희 전 대통령 생가에서 유정복 인천시장이 인천 중구 자유공,11
