title,description,published,link,media,desc_tokens,text,topic
"민주당, ‘탄핵 기각’ 박성재에 “면죄부 아냐...특검 해야”",더불어민주당은 헌법재판소가 박성재 법무부 장관의 탄핵안을 전원일치 의견으로 기각한 데 대해 유감이라면서도 박 장관은 면죄부를 받은 것이 아님을 명심하라고 10일 밝혔다 또 탄핵이 기각된 것은 수사 미진 탓이라면서 내란 특검을 도입해야 한다고도 했다,2025-04-10 06:08:00,https://www.chosun.com/politics/assembly/2025/04/10/ZZZFHYWHQVC5HDHWVXGJE2K2AM/,조선닷컴,"['더불어민주당', '헌법', '재판소', '박성재', '법무부', '장관', '탄핵안', '전원일치', '의견', '기각', '대하', '유감', '라면서', '장관', '면죄부', '명심', '라고', '10', '밝히', '탄핵', '기각', '수사', '미지', '라면서', '내란', '특검', '도입', 'ㄴ다고']","민주당, ‘탄핵 기각’ 박성재에 “면죄부 아냐...특검 해야” 더불어민주당은 헌법재판소가 박성재 법무부 장관의 탄핵안을 전원일치 의견으로 기각한 데 대해 유감이라면서도 박 장관은 면죄부를 받은 것이 아님을 명심하라고 10일 밝혔다 또 탄핵이 기각된 것은 수사 미진 탓이라면서 내란 특검을 도입해야 한다고도 했다",12
"민주, 법무장관 탄핵기각에 “내란 특검 필요성 커졌다”",더불어민주당은 10일 헌법재판소의 박성재 법무부 장관 탄핵소추안 기각 결정을 두고 내란 특검의 필요성이 더욱 커졌다고 비판했다조승래 민주당 수석대변인은 이날 서면 브리핑을 통해 내란 공모 혐의자에 대한 단죄가 미뤄져 유감스럽다며 이같이 밝혔다조 대변인은 오늘의 헌재 결정은 결코 면죄부가 아니다며 피의자들의 비협조와 미진한 수사로 구체적 물증을 확보하지 못해서 파면하지 못했을 뿐이라고 주장했다이어 특검을 조속히 도입해 철저한 수사로 베일에 싸인 안가 회동과 불법 계엄의 전모를 밝혀야 한다며 그때 알 바 아니라는 오만한 태도로 일관한 피의자들에 대한 심판이 재개될 것이라고 강조했다그러면서 민주당은 내란의 진실을 밝히고 내란 세력을 단죄하는 날까지 온 힘을 다하겠다고 덧붙였다앞서 헌재는 이날 오후 박 장관의 탄핵 심판 사건 선고기일을 열고 평의에 참여한 재판관8인 전원일치 의견으로 기각 결정했다서울뉴스1,2025-04-10 17:26:00,https://www.donga.com/news/Politics/article/all/20250410/131390915/1,동아닷컴,"['더불어민주당', '10', '헌법', '재판소', '박성재', '법무부', '장관', '탄핵', '소추', '기각', '결정', '내란', '특검', '필요', '더욱', '커지', '다고', '비판', '조승래', '민주당', '수석', '대변인', '이날', '서면', '브리핑', '통하', '내란', '공모', '혐의자', '대하', '단죄', '미루', '유감', '스럽', '다며', '밝히', '대변인', '오늘', '헌재', '결정', '결코', '면죄부', '다며', '피의자', '협조', '미진하', '수사', '구체', '물증', '확보', '못하', '아서', '파면', '못하', '라고', '주장', '특검', '조속히', '도입', '철저', '수사', '베일', '싸이', '안가', '회동', '불법', '계엄', '전모', '밝히', '어야', 'ㄴ다며', '라는', '오만', '태도', '일관', '피의자', '대하', '심판', '재개', '라고', '강조', '그러', '면서', '민주당', '내란', '진실', '밝히', '내란', '세력', '단죄', '다고', '덧붙이', '앞서', '헌재', '이날', '오후', '장관', '탄핵', '심판', '사건', '선고', '기일', '평의', '참여', '재판관', '전원일치', '의견', '기각', '결정', '서울뉴스1']","민주, 법무장관 탄핵기각에 “내란 특검 필요성 커졌다” 더불어민주당은 10일 헌법재판소의 박성재 법무부 장관 탄핵소추안 기각 결정을 두고 내란 특검의 필요성이 더욱 커졌다고 비판했다조승래 민주당 수석대변인은 이날 서면 브리핑을 통해 내란 공모 혐의자에 대한 단죄가 미뤄져 유감스럽다며 이같이 밝혔다조 대변인은 오늘의 헌재 결정은 결코 면죄부가 아니다며 피의자들의 비협조와 미진한 수사로 구체적 물증을 확보하지 못해서 파면하지 못했을 뿐이라고 주장했다이어 특검을 조속히 도입해 철저한 수사로 베일에 싸인 안가 회동과 불법 계엄의 전모를 밝혀야 한다며 그때 알 바 아니라는 오만한 태도로 일관한 피의자들에 대한 심판이 재개될 것이라고 강조했다그러면서 민주당은 내란의 진실을 밝히고 내란 세력을 단죄하는 날까지 온 힘을 다하겠다고 덧붙였다앞서 헌재는 이날 오후 박 장관의 탄핵 심판 사건 선고기일을 열고 평의에 참여한 재판관8인 전원일치 의견으로 기각 결정했다서울뉴스1",12
권성동 “박성재 탄핵은 이재명 노려봤다는 괘씸죄…기각 당연”,헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각한 데 대해 국민의힘이 이재명 세력 줄탄핵 시리즈의 10번째 줄기각이라고 밝혔다국민의힘 권성동 원내대표는 이날 헌재의 박 장관에 대한 탄핵심판 선고 직후 페이스북을 통해 탄핵소추 96일 만에 열린 단 한 번의 2시간짜리 변론으로 끝난 졸속탄핵이었던 만큼 재판관 8명 전원일치 기각은 지극히 당연하고 상식적인 결과라며 이같이 말했다권 원내대표는 박 장관 탄핵은 더불어민주당의 아버지를 노려봤다는 괘씸죄를 물은 사건으로 이재명표 절대독재를 상징하는 악성탄핵이었다고 주장했다앞서 국회는 박 장관이 국회 본회의장에서 김건희 특검법 재의요구 이유를 설명한 뒤 자리로 돌아가다가 이 전 대표를 노려봤다는 점을 탄핵소추 사유로 명시했는데 헌재는 이날 이는 박 장관이 국회 본회의 중 퇴장한 행위의 정황에 대한 서술이므로 별도로 판단하지 않는다고 밝혔다권 원내대표는 괘씸죄 법무장관을 무려 119일이나 직,2025-04-10 15:11:00,https://www.donga.com/news/Politics/article/all/20250410/131388823/2,동아닷컴,"['헌법', '재판소', '10', '박성재', '법무부', '장관', '대하', '국회', '탄핵', '소추', '기각', '대하', '국민', '이재명', '세력', '탄핵', '시리즈', '10', '줄기각', '라고', '밝히', '국민', '권성동', '원내', '대표', '이날', '헌재', '장관', '대하', '탄핵', '심판', '선고', '직후', '페이스북', '통하', '탄핵', '소추', '96', '열리', '짜리', '변론', '끝나', '졸속', '탄핵', '재판관', '전원일치', '기각', '지극히', '당연', '상식', '결과', '라며', '원내', '대표', '장관', '탄핵', '더불어민주당', '아버지', '노려보', '다는', '괘씸죄', '사건', '이재명', '절대', '독재', '상징', '악성', '탄핵', '다고', '주장', '앞서', '국회', '장관', '국회', '본회의장', '김건희', '특검법', '재의', '요구', '이유', '설명', '자리', '돌아가', '다가', '대표', '노려보', '다는', '탄핵', '소추', '사유', '명시', '는데', '헌재', '이날', '장관', '국회', '본회의', '퇴장', '행위', '정황', '대하', '서술', '므로', '별도', '판단', '는다고', '밝히', '원내', '대표', '괘씸죄', '법무', '장관', '무려', '119', '이나']",권성동 “박성재 탄핵은 이재명 노려봤다는 괘씸죄…기각 당연” 헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각한 데 대해 국민의힘이 이재명 세력 줄탄핵 시리즈의 10번째 줄기각이라고 밝혔다국민의힘 권성동 원내대표는 이날 헌재의 박 장관에 대한 탄핵심판 선고 직후 페이스북을 통해 탄핵소추 96일 만에 열린 단 한 번의 2시간짜리 변론으로 끝난 졸속탄핵이었던 만큼 재판관 8명 전원일치 기각은 지극히 당연하고 상식적인 결과라며 이같이 말했다권 원내대표는 박 장관 탄핵은 더불어민주당의 아버지를 노려봤다는 괘씸죄를 물은 사건으로 이재명표 절대독재를 상징하는 악성탄핵이었다고 주장했다앞서 국회는 박 장관이 국회 본회의장에서 김건희 특검법 재의요구 이유를 설명한 뒤 자리로 돌아가다가 이 전 대표를 노려봤다는 점을 탄핵소추 사유로 명시했는데 헌재는 이날 이는 박 장관이 국회 본회의 중 퇴장한 행위의 정황에 대한 서술이므로 별도로 판단하지 않는다고 밝혔다권 원내대표는 괘씸죄 법무장관을 무려 119일이나 직,12
"헌재, 박성재 법무장관 탄핵 전원일치로 기각…직무 복귀",헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각했다 헌재 결정에 따라 박 장관은 지난해 12월 12일 국회에서 탄핵소추안이 가결된 지 119일 만에 직무에 복귀하게 됐다 헌재는 이날 오후 서울 종로구 대심판정에서 박 장관에 대한 탄핵심판 선고기일을 열고 재판관 8명 전원일치 의견으로 이같이 결정했다앞서 국회 측은 탄핵 사유로 비상계엄 선포 방조로 내란 행위 가담 국회 자료 제출 등 거부로 국회증언감정법 위반 국회 본회의 중도 퇴장으로 법률 위반 등을 제시했다이날 헌재는 박 장관이 묵시적암묵적 동의를 통해 대통령의 비상계엄 선포행위를 도왔다는 사실을 인정할 증거 또는 객관적 자료를 찾을 수 없다고 밝혔다이어 박 장관이 비상계엄 해제 직후 삼청동 안전가옥안가 모임에 참석했다는 논란에 대해서도 비상계엄이 해제된 뒤 대통령 안가에서 회동했다는 사정만으로 피청구인이 내란 행위에 따른 법적인 후속 조치를 논의하고 대응 방안을 모색함으로써 내,2025-04-10 14:12:00,https://www.donga.com/news/Society/article/all/20250410/131387982/1,동아닷컴,"['헌법', '재판소', '10', '박성재', '법무부', '장관', '대하', '국회', '탄핵', '소추', '기각', '헌재', '결정', '따르', '장관', '지난해', '12', '12', '국회', '탄핵', '소추', '가결', '119', '직무', '복귀', '헌재', '이날', '오후', '서울', '종로구', '대심', '판정', '장관', '대하', '탄핵', '심판', '선고', '기일', '재판관', '전원일치', '의견', '결정', '앞서', '국회', '탄핵', '사유', '비상계엄', '선포', '방조', '내란', '행위', '가담', '국회', '자료', '제출', '거부', '국회', '증언', '감정법', '위반', '국회', '본회의', '중도', '퇴장', '법률', '위반', '제시', '이날', '헌재', '장관', '묵시', '암묵', '동의', '통하', '대통령', '비상계엄', '선포', '행위', '다는', '사실', '인정', '증거', '또는', '객관', '자료', '다고', '밝히', '장관', '비상계엄', '해제', '직후', '삼청동', '안전', '가옥안가', '모임', '참석', '다는', '논란', '대하', '아서', '비상계엄', '해제', '대통령', '안가', '회동', '다는', '사정', '청구인', '내란', '행위', '따르', '후속', '조치', '논의', '대응', '방안', '모색']","헌재, 박성재 법무장관 탄핵 전원일치로 기각…직무 복귀 헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각했다 헌재 결정에 따라 박 장관은 지난해 12월 12일 국회에서 탄핵소추안이 가결된 지 119일 만에 직무에 복귀하게 됐다 헌재는 이날 오후 서울 종로구 대심판정에서 박 장관에 대한 탄핵심판 선고기일을 열고 재판관 8명 전원일치 의견으로 이같이 결정했다앞서 국회 측은 탄핵 사유로 비상계엄 선포 방조로 내란 행위 가담 국회 자료 제출 등 거부로 국회증언감정법 위반 국회 본회의 중도 퇴장으로 법률 위반 등을 제시했다이날 헌재는 박 장관이 묵시적암묵적 동의를 통해 대통령의 비상계엄 선포행위를 도왔다는 사실을 인정할 증거 또는 객관적 자료를 찾을 수 없다고 밝혔다이어 박 장관이 비상계엄 해제 직후 삼청동 안전가옥안가 모임에 참석했다는 논란에 대해서도 비상계엄이 해제된 뒤 대통령 안가에서 회동했다는 사정만으로 피청구인이 내란 행위에 따른 법적인 후속 조치를 논의하고 대응 방안을 모색함으로써 내",12
권성동 “민주 최고위 ‘명비어천가’ 넘쳐…경선은 이재명 추대식일뿐”,국민의힘 권성동 원내대표는 10일 대선 출마를 선언한 이재명 전 더불어민주당 대표를 겨냥해 이 전 대표가 참석한 마지막 민주당 최고위원회의는 낯 뜨거운 명비어천가가 넘쳐나 민주당 경선이 이재명 추대식에 불과하다는 것을 예고했다고 비판했다권 원내대표는 이날 서울 영등포구 여의도 국회에서 열린 비상대책위원회의에서 이재명 강점기 3년간 민주당은 이재명 1인 지배 정당으로 전락했고 국회는 이재명 개인의 방탄과 권력 장악 도구로 전락했다며 이같이 말했다그는 이재명 세력의 탄핵 남발 특검법 남발 입법 폭주로 대화와 타협의 정치는 사라졌고 다수당의 횡포와 정쟁만 난무했다며 중요한 민생 경제 입법은 설 자리가 없었다고 지적했다이어 이 전 대표가 의회 권력을 넘어 국가 권력을 모두 장악하면 대한민국은 어찌 되겠나라며 독선과 보복의 칼을 잔인하게 휘두르며 대한민국을 분열과 내전의 구렁텅이로 몰아넣을 것이 불 보듯 뻔하다고 했다권 원내대표는 우원식 국회의장이,2025-04-10 10:34:00,https://www.donga.com/news/Politics/article/all/20250410/131386456/2,동아닷컴,"['국민', '권성동', '원내', '대표', '10', '대선', '출마', '선언', '이재명', '더불어민주당', '대표', '겨냥', '대표', '참석', '마지막', '민주당', '최고', '위원회의', '뜨겁', '명비', '어천', '넘치', '민주당', '경선', '이재명', '추대식', '불과', '다는', '예고', '다고', '비판', '원내', '대표', '이날', '서울', '영등포구', '여의도', '국회', '열리', '비상', '대책', '위원', '회의', '이재명', '강점기', '민주당', '이재명', '지배', '정당', '전락', '국회', '이재명', '개인', '방탄', '권력', '장악', '도구', '전락', '다며', '이재명', '세력', '탄핵', '남발', '특검법', '남발', '입법', '폭주', '대화', '타협', '정치', '사라지', '다수당', '횡포', '정쟁', '난무', '다며', '중요', '민생', '경제', '입법', '자리', '다고', '지적', '대표', '의회', '권력', '국가', '권력', '장악', '대한민국', '나라며', '독선', '보복', '잔인', '휘두르', '대한민국', '분열', '내전', '구렁텅이', '몰아넣', '뻔하', '다고', '다권', '원내', '대표', '우원식', '국회', '의장']",권성동 “민주 최고위 ‘명비어천가’ 넘쳐…경선은 이재명 추대식일뿐” 국민의힘 권성동 원내대표는 10일 대선 출마를 선언한 이재명 전 더불어민주당 대표를 겨냥해 이 전 대표가 참석한 마지막 민주당 최고위원회의는 낯 뜨거운 명비어천가가 넘쳐나 민주당 경선이 이재명 추대식에 불과하다는 것을 예고했다고 비판했다권 원내대표는 이날 서울 영등포구 여의도 국회에서 열린 비상대책위원회의에서 이재명 강점기 3년간 민주당은 이재명 1인 지배 정당으로 전락했고 국회는 이재명 개인의 방탄과 권력 장악 도구로 전락했다며 이같이 말했다그는 이재명 세력의 탄핵 남발 특검법 남발 입법 폭주로 대화와 타협의 정치는 사라졌고 다수당의 횡포와 정쟁만 난무했다며 중요한 민생 경제 입법은 설 자리가 없었다고 지적했다이어 이 전 대표가 의회 권력을 넘어 국가 권력을 모두 장악하면 대한민국은 어찌 되겠나라며 독선과 보복의 칼을 잔인하게 휘두르며 대한민국을 분열과 내전의 구렁텅이로 몰아넣을 것이 불 보듯 뻔하다고 했다권 원내대표는 우원식 국회의장이,12
"권성동 “6월3일, 혼란·파괴의 이재명 시대 반드시 끝낼 것”",권성동 국민의힘 원내대표는 10일 6월 3일 국민의힘은 위대한 국민과 함께 혼란과 파괴의 이재명 시대를 반드시 끝내겠다고 밝혔다 권 원내대표는 이날 서울 여의도 국회에서 열린 비상대책위원회의에서 더불어민주당과 국회를 모두 본인 사익과 권력 추구의 도구로 변질시킨 이재명 전 대표가 의회 권력을 넘어 국가권력을 모두 장악하면 대한민국은 어찌 되겠나며 이같이 말했다 그는 또 이 전 대표는 대표직을 사퇴하면서 오동운 고위공직자범죄수사처장을 향해 윤석열 전 대통령 한덕수 권한대행 이완규 법제처장에 대한 구속을 강요했다며 대놓고 공포정치의 칼잡이가 될 것을 주문한 것이라고 주장했다 이어 이재명 세력은 벌써부터 점령군 행세를 하고 있다고 비판했다 그러면서 말 한마디면 국회의장의 소신을 꺾어버리고 위헌적 악법이 법사위에서 초고속으로 통과하고 수사기관에게 한 권한대행의 구속까지 강요했다며 어제 이 세 가지 장면은 바로 이 전 대표를 정점으로 하는 독재의 피라미드,2025-04-10 09:45:00,https://www.donga.com/news/Politics/article/all/20250410/131386013/1,동아닷컴,"['권성동', '국민', '원내', '대표', '10', '국민', '위대하', '국민', '혼란', '파괴', '이재명', '시대', '끝내', '다고', '밝히', '원내', '대표', '이날', '서울', '여의도', '국회', '열리', '비상', '대책', '위원', '회의', '더불어민주당', '국회', '본인', '사익', '권력', '추구', '도구', '변질', '시키', '이재명', '대표', '의회', '권력', '국가', '권력', '장악', '대한민국', '나며', '대표', '대표', '사퇴', '면서', '오동운', '고위', '공직자', '범죄', '수사처장', '향하', '윤석열', '대통령', '한덕수', '권한', '대행', '이완규', '법제', '처장', '대하', '구속', '강요', '다며', '대놓고', '공포', '정치', '칼잡이', '주문', '라고', '주장', '이재명', '세력', '벌써', '점령군', '행세', '다고', '비판', '그러', '면서', '국회', '의장', '소신', '버리', '위헌', '악법', '법사위', '고속', '통과', '수사', '기관', '권한', '대행', '구속', '강요', '다며', '가지', '장면', '대표', '정점', '독재', '피라미드']","권성동 “6월3일, 혼란·파괴의 이재명 시대 반드시 끝낼 것” 권성동 국민의힘 원내대표는 10일 6월 3일 국민의힘은 위대한 국민과 함께 혼란과 파괴의 이재명 시대를 반드시 끝내겠다고 밝혔다 권 원내대표는 이날 서울 여의도 국회에서 열린 비상대책위원회의에서 더불어민주당과 국회를 모두 본인 사익과 권력 추구의 도구로 변질시킨 이재명 전 대표가 의회 권력을 넘어 국가권력을 모두 장악하면 대한민국은 어찌 되겠나며 이같이 말했다 그는 또 이 전 대표는 대표직을 사퇴하면서 오동운 고위공직자범죄수사처장을 향해 윤석열 전 대통령 한덕수 권한대행 이완규 법제처장에 대한 구속을 강요했다며 대놓고 공포정치의 칼잡이가 될 것을 주문한 것이라고 주장했다 이어 이재명 세력은 벌써부터 점령군 행세를 하고 있다고 비판했다 그러면서 말 한마디면 국회의장의 소신을 꺾어버리고 위헌적 악법이 법사위에서 초고속으로 통과하고 수사기관에게 한 권한대행의 구속까지 강요했다며 어제 이 세 가지 장면은 바로 이 전 대표를 정점으로 하는 독재의 피라미드",12
"‘직무복귀’ 박성재 “탄핵소추 당할 잘못 안해…尹파면, 헌재 존중”",헌법재판소의 탄핵심판 기각 결정으로 직무에 복귀한 박성재 법무부 장관은 10일 정상적인 업무를 수행할 수 있도록 노력하겠다고 밝혔다 박 장관은 이날 헌재 결정 직후 정부과천청,2025-04-10 16:21:00,https://www.mk.co.kr/news/politics/11288250,매일경제,"['헌법', '재판소', '탄핵', '심판', '기각', '결정', '직무', '복귀', '박성재', '법무부', '장관', '10', '정상', '업무', '수행', '도록', '노력', '다고', '밝히', '장관', '이날', '헌재', '결정', '직후', '정부과천청']","‘직무복귀’ 박성재 “탄핵소추 당할 잘못 안해…尹파면, 헌재 존중” 헌법재판소의 탄핵심판 기각 결정으로 직무에 복귀한 박성재 법무부 장관은 10일 정상적인 업무를 수행할 수 있도록 노력하겠다고 밝혔다 박 장관은 이날 헌재 결정 직후 정부과천청",12
"[속보]헌재 “박성재, 비상계엄 관여 인정할 증거 없어”",,2025-04-10 14:13:00,https://www.mk.co.kr/news/politics/11287985,매일경제,,"[속보]헌재 “박성재, 비상계엄 관여 인정할 증거 없어” ",12
권성동 “이재명 대통령 되면 독선과 보복의 칼 휘두를 것”,권성동 국민의힘 원내대표는 이재명 전 더불어민주당 대표를 겨냥해 국가 권력을 완전히 손에 쥔다면 독선과 보복의 칼을 잔인하게 휘두르며 대한민국을 분열과 내전의 구렁텅이로 몰아넣을,2025-04-10 10:13:00,https://www.mk.co.kr/news/politics/11287772,매일경제,"['권성동', '국민', '원내', '대표', '이재명', '더불어민주당', '대표', '겨냥', '국가', '권력', '완전히', 'ㄴ다면', '독선', '보복', '잔인', '휘두르', '대한민국', '분열', '내전', '구렁텅이', '몰아넣']",권성동 “이재명 대통령 되면 독선과 보복의 칼 휘두를 것” 권성동 국민의힘 원내대표는 이재명 전 더불어민주당 대표를 겨냥해 국가 권력을 완전히 손에 쥔다면 독선과 보복의 칼을 잔인하게 휘두르며 대한민국을 분열과 내전의 구렁텅이로 몰아넣을,12
"헌재, 박성재 법무장관 탄핵심판 오늘 선고…“비상계엄 안가 회동”",헌법재판소가 박성재 법무부 장관 탄핵심판을 10일 선고한다 국회에서 탄핵소추안이 가결된 이후 119일 만이다 헌재는 이날 오후 2시 대심판정에서 박 장관 탄핵심판의 결정을 선고,2025-04-10 06:24:00,https://www.mk.co.kr/news/politics/11287552,매일경제,"['헌법', '재판소', '박성재', '법무부', '장관', '탄핵', '심판', '10', '선고', 'ㄴ다', '국회', '탄핵', '소추', '가결', '이후', '119', '헌재', '이날', '오후', '대심', '판정', '장관', '탄핵', '심판', '결정', '선고']","헌재, 박성재 법무장관 탄핵심판 오늘 선고…“비상계엄 안가 회동” 헌법재판소가 박성재 법무부 장관 탄핵심판을 10일 선고한다 국회에서 탄핵소추안이 가결된 이후 119일 만이다 헌재는 이날 오후 2시 대심판정에서 박 장관 탄핵심판의 결정을 선고",12
