title,description,published,link,media,desc_tokens,text,topic
대선 출마 지자체장 사퇴 안해도 되나요,21대 대통령 선거일이 6월 3일로 확정되자 현직 광역자치단체장들이 잇따라 대선 경선 출마를 선언하고 있다 이 중 상당수는 시장도지사직을 사퇴하지 않고 휴가 등을 사용해 정당 경선에 참여할 것으로 알려졌다 경선에서 패하면 다시 시장도지사 직으로 복귀하겠다는 뜻으로 보인다 공직선거법상 선거일 30일 전까지 공직에서 사퇴해야 해 이들이 공직을 유지한 채 정당 경선에 참여하는 데 제한은 없다 하지만 정치권 일각에선 경선 기간에 지방 행정 공백을 우려하는 목소리도 나온다,2025-04-09 16:11:00,https://www.chosun.com/politics/politics_general/2025/04/10/2X6OAQ5MYRGOPGJ6N2PZWZO4U4/,조선닷컴,"['21', '대통령', '선거일', '확정', '현직', '광역', '자치', '단체장', '잇따르', '대선', '경선', '출마', '선언', '상당수', '시장', '도지사', '사퇴', '휴가', '사용', '정당', '경선', '참여', '알려지', '경선', '다시', '시장', '도지사', '복귀', '다는', '보이', 'ㄴ다', '공직', '선거법', '선거일', '30', '공직', '사퇴', '공직', '유지', '정당', '경선', '참여', '제한', '정치', '일각', '경선', '기간', '지방', '행정', '공백', '우려', '목소리', '나오', 'ㄴ다']",대선 출마 지자체장 사퇴 안해도 되나요 21대 대통령 선거일이 6월 3일로 확정되자 현직 광역자치단체장들이 잇따라 대선 경선 출마를 선언하고 있다 이 중 상당수는 시장도지사직을 사퇴하지 않고 휴가 등을 사용해 정당 경선에 참여할 것으로 알려졌다 경선에서 패하면 다시 시장도지사 직으로 복귀하겠다는 뜻으로 보인다 공직선거법상 선거일 30일 전까지 공직에서 사퇴해야 해 이들이 공직을 유지한 채 정당 경선에 참여하는 데 제한은 없다 하지만 정치권 일각에선 경선 기간에 지방 행정 공백을 우려하는 목소리도 나온다,9
"원희룡, 대선 불출마 선언…“당정 분열 막아내지 못했다”",보수 진영 대선 후보였던 원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 9일 밝혔다,2025-04-09 14:00:00,https://www.chosun.com/politics/assembly/2025/04/09/IX7HUJT465EO3HFN3RARSDCYDU/,조선닷컴,"['보수', '진영', '대선', '후보', '원희룡', '국토', '교통부', '장관', '63', '조기', '대선', '출마', '다고', '밝히']","원희룡, 대선 불출마 선언…“당정 분열 막아내지 못했다” 보수 진영 대선 후보였던 원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 9일 밝혔다",9
국민의힘 원희룡·김기현 등 불출마…대선후보 10명 안팎 전망,원희룡 전 국토교통부 장관과 김기현 의원 김태흠 충남도지사 박형준 부산시장 등 잠재적 대선후보로 거론됐던 국민의힘 인사들이 대선 불출마를 선언했다원 전 장관은 지난 9일 자신의 페이스북을 통해 책임을 다하기 위해 대선에 출마하지 않겠다며 보수 진영 주요 대선주자 가운데 가장 먼저 불출마 의사를 밝혔다이어 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석열 정부가 대통령 탄핵을 맞았다며 저에게도 큰 책임이 있다고 적었다그는 지난 전당대회를 통해 당정이 분열하면 모두가 공멸할 것이라고 절박하게 경고했지만 막아내지 못했다 저의 부족함 때문이라며 대선 승리를 위해 당의 단합과 국민의 지지에 필요한 일이라면 어떠한 역할이라도 하겠다고 했다김 의원은 10일 페이스북에서 이번 국민의힘 대선 경선에 참여하지 않는다며 대통령 탄핵을 막아내지 못했다 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다고 했다그러면서 우리 당,2025-04-10 14:48:00,https://www.donga.com/news/Politics/article/all/20250410/131388450/1,동아닷컴,"['원희룡', '국토', '교통부', '장관', '김기현', '의원', '김태흠', '충남', '도지사', '박형준', '부산시장', '잠재', '대선', '후보', '거론', '국민', '인사', '대선', '출마', '선언', '장관', '지나', '페이스북', '통하', '책임', '위하', '대선', '출마', '다며', '보수', '진영', '주요', '대선', '주자', '가운데', '가장', '먼저', '출마', '의사', '밝히', '대선', '선대위', '정책', '본부장', '국토', '교통부', '장관', '참여', '윤석열', '정부', '대통령', '탄핵', '다며', '책임', '다고', '지나', '전당', '대회', '통하', '당정', '분열', '공멸', '라고', '절박하', '경고', '못하', '부족', '때문', '라며', '대선', '승리', '위하', '단합', '국민', '지지', '필요', '라면', '어떠하', '역할', '이라도', '다고', '의원', '10', '페이스북', '국민', '대선', '경선', '참여', '는다며', '대통령', '탄핵', '못하', '먼저', '책임', '통감', '자숙', '성찰', '가지', 'ㄴ다고', '그러', '면서']",국민의힘 원희룡·김기현 등 불출마…대선후보 10명 안팎 전망 원희룡 전 국토교통부 장관과 김기현 의원 김태흠 충남도지사 박형준 부산시장 등 잠재적 대선후보로 거론됐던 국민의힘 인사들이 대선 불출마를 선언했다원 전 장관은 지난 9일 자신의 페이스북을 통해 책임을 다하기 위해 대선에 출마하지 않겠다며 보수 진영 주요 대선주자 가운데 가장 먼저 불출마 의사를 밝혔다이어 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석열 정부가 대통령 탄핵을 맞았다며 저에게도 큰 책임이 있다고 적었다그는 지난 전당대회를 통해 당정이 분열하면 모두가 공멸할 것이라고 절박하게 경고했지만 막아내지 못했다 저의 부족함 때문이라며 대선 승리를 위해 당의 단합과 국민의 지지에 필요한 일이라면 어떠한 역할이라도 하겠다고 했다김 의원은 10일 페이스북에서 이번 국민의힘 대선 경선에 참여하지 않는다며 대통령 탄핵을 막아내지 못했다 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다고 했다그러면서 우리 당,9
김태흠 충남지사 “조기 대선불출마…탄핵 성찰과 자성부터”,김태흠 충남지사는 10일 이번 조기 대선에 출마하지 않고 충남도정에만 충실하겠다고 밝혔다김 지사는 이날 입장문을 내고 대한민국은 극한 진영대립으로 인한 정국 혼란과 글로벌 관세전쟁으로 불확실성이 가중되는 등 시국이 어수선하다며 이러한 상환에서 제게 주어진 소명과 역할에 대해 많이 고민했고 나를 위한 시간이 아니라는 결론을 내렸다며 이같이 말했다이어 대선 출마가 정치적 경력이나 차기 선거 준비를 위한 수단이 돼서는 안 된다는 것이 지론이기도 하고 준비도 부족하다고 덧붙였다그는 당을 향해 쓴소리도 마다하지 않았다김 지사는 촉박한 일정을 이해하지만 단순히 반이재명 정서에 기대어 대선을 치르면 필패한다며 당 소속 대통령의 탄핵에 대한 성찰과 자성이 우선해야 한다고 말했다또 조기 대선에서 보수의 철학과 미래의 비전을 제시하고 환골탈태의 계기로 삼아야 한다며 나는 도정에 충실하면서 할 수 있는 역할을 찾아 최선을 다하겠다고 했다충남뉴스1nbs,2025-04-10 13:45:00,https://www.donga.com/news/Politics/article/all/20250410/131387646/1,동아닷컴,"['김태흠', '충남', '지사', '10', '조기', '대선', '출마', '충남', '도정', '충실', '다고', '밝히', '지사', '이날', '입장', '대한민국', '극한', '진영', '대립', '인하', '정국', '혼란', '글로벌', '관세', '전쟁', '불확실', '가중', '시국', '어수선하', '다며', '이러하', '상환', '주어지', '소명', '역할', '대하', '많이', '고민', '위하', '라는', '결론', '내리', '다며', '대선', '출마', '정치', '경력', '이나', '차기', '선거', '준비', '위하', '수단', '어서', 'ㄴ다는', '지론', '준비', '부족', '다고', '덧붙이', '향하', '쓴소리', '마다하', '지사', '촉박', '일정', '이해', '단순히', '이재명', '정서', '기대', '대선', '치르', '필패', 'ㄴ다며', '소속', '대통령', '탄핵', '대하', '성찰', '자성', 'ㄴ다고', '조기', '대선', '보수', '철학', '미래', '비전', '제시', '환골탈태', '계기', 'ㄴ다며', '도정', '충실', '면서', '역할', '최선', '다고', '충남뉴스', 'nbs']",김태흠 충남지사 “조기 대선불출마…탄핵 성찰과 자성부터” 김태흠 충남지사는 10일 이번 조기 대선에 출마하지 않고 충남도정에만 충실하겠다고 밝혔다김 지사는 이날 입장문을 내고 대한민국은 극한 진영대립으로 인한 정국 혼란과 글로벌 관세전쟁으로 불확실성이 가중되는 등 시국이 어수선하다며 이러한 상환에서 제게 주어진 소명과 역할에 대해 많이 고민했고 나를 위한 시간이 아니라는 결론을 내렸다며 이같이 말했다이어 대선 출마가 정치적 경력이나 차기 선거 준비를 위한 수단이 돼서는 안 된다는 것이 지론이기도 하고 준비도 부족하다고 덧붙였다그는 당을 향해 쓴소리도 마다하지 않았다김 지사는 촉박한 일정을 이해하지만 단순히 반이재명 정서에 기대어 대선을 치르면 필패한다며 당 소속 대통령의 탄핵에 대한 성찰과 자성이 우선해야 한다고 말했다또 조기 대선에서 보수의 철학과 미래의 비전을 제시하고 환골탈태의 계기로 삼아야 한다며 나는 도정에 충실하면서 할 수 있는 역할을 찾아 최선을 다하겠다고 했다충남뉴스1nbs,9
원희룡·김기현·김태흠 불출마… 국힘 ‘10룡’ 안팎 압축 [6·3 장미대선 레이스],국민의힘 대선 경선 일정과 룰이 결정되자 자천타천 후보군으로 거론됐던 주자들의 불출마 선언이 잇따르고 있다 한때 20룡설까지 제기됐던 국민의힘 경선 참여자는 최종적으로 10명 안팎으로 압축될 전망이다 10일 기준 국민의힘에서 대선 불출마 의사를 밝힌 인물은 원희룡 전 국토교통부 장관 김기현 의원 김태흠 충남도지사 박형준 부산시장 등이다,2025-04-10 18:22:00,https://www.segye.com/newsView/20250410517512,세계일보,"['국민', '대선', '경선', '일정', '결정', '자천', '타천', '후보군', '거론', '주자', '출마', '선언', '잇따르', '한때', '20', '제기', '국민', '경선', '참여자', '최종', '10', '안팎', '압축', '전망', '10', '기준', '국민', '대선', '출마', '의사', '밝히', '인물', '원희룡', '국토', '교통부', '장관', '김기현', '의원', '김태흠', '충남', '도지사', '박형준', '부산시장']",원희룡·김기현·김태흠 불출마… 국힘 ‘10룡’ 안팎 압축 [6·3 장미대선 레이스] 국민의힘 대선 경선 일정과 룰이 결정되자 자천타천 후보군으로 거론됐던 주자들의 불출마 선언이 잇따르고 있다 한때 20룡설까지 제기됐던 국민의힘 경선 참여자는 최종적으로 10명 안팎으로 압축될 전망이다 10일 기준 국민의힘에서 대선 불출마 의사를 밝힌 인물은 원희룡 전 국토교통부 장관 김기현 의원 김태흠 충남도지사 박형준 부산시장 등이다,9
“제게도 큰 책임”...국힘 너도나도 출마에 불출마가 더 ‘호감’,원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 밝혔다 국민의힘 경선에 잠룡들이 잇따라 출마를 선언하는 하는 터라 오히려 불출마가 주목 받고 있다 원 전 장관,2025-04-10 14:18:00,https://www.mk.co.kr/news/politics/11288007,매일경제,"['원희룡', '국토', '교통부', '장관', '63', '조기', '대선', '출마', '다고', '밝히', '국민', '경선', '잠룡', '잇따르', '출마', '선언', '출마', '주목', '장관']",“제게도 큰 책임”...국힘 너도나도 출마에 불출마가 더 ‘호감’ 원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 밝혔다 국민의힘 경선에 잠룡들이 잇따라 출마를 선언하는 하는 터라 오히려 불출마가 주목 받고 있다 원 전 장관,9
"“대통령 탄핵 못 막아 자숙의 시간”…김기현, 대선 불출마",김기현 국민의힘 의원은 10일 제21대 대통령 선거에 출마하지 않는다고 밝혔다 김 의원은 이날 페이스북에 결국 대통령 탄핵을 막아내지 못했다며 저부터 먼저 그 책임을 통감하,2025-04-10 09:41:00,https://www.mk.co.kr/news/politics/11287690,매일경제,"['김기현', '국민', '의원', '10', '21', '대통령', '선거', '출마', '는다고', '밝히', '의원', '이날', '페이스북', '대통령', '탄핵', '못하', '다며', '먼저', '책임', '통감']","“대통령 탄핵 못 막아 자숙의 시간”…김기현, 대선 불출마 김기현 국민의힘 의원은 10일 제21대 대통령 선거에 출마하지 않는다고 밝혔다 김 의원은 이날 페이스북에 결국 대통령 탄핵을 막아내지 못했다며 저부터 먼저 그 책임을 통감하",9
"원희룡, 대선 불출마 선언… “尹 탄핵, 제 부족함 때문”",대선 승리 위해 어떤 역할이든 맡겠다원희룡 전 국토교통부 장관이 9일 윤석열 대통령 탄핵에 책임이 있다며 대선 불출마를 선언했다 원 전 장관은 다만 대선 승리를 위해 어떤 ,2025-04-09 22:50:00,https://www.mk.co.kr/news/politics/11287503,매일경제,"['대선', '승리', '위하', '역할', '이든', '원희룡', '국토', '교통부', '장관', '윤석열', '대통령', '탄핵', '책임', '다며', '대선', '출마', '선언', '장관', '대선', '승리', '위하']","원희룡, 대선 불출마 선언… “尹 탄핵, 제 부족함 때문” 대선 승리 위해 어떤 역할이든 맡겠다원희룡 전 국토교통부 장관이 9일 윤석열 대통령 탄핵에 책임이 있다며 대선 불출마를 선언했다 원 전 장관은 다만 대선 승리를 위해 어떤 ",9
"[속보] 김부겸, 대선 경선 불참…“정권교체 함께하겠다”",김부겸 전 국무총리는 9일 더불어민주당 대선 경선에 참여하지 않기로 결정했다고 밝혔다 김 전 총리는 이날 페이스북에 이번 대통령선거가 더 큰 민주당으로 내란을 완전히 종식하,2025-04-09 14:08:00,https://www.mk.co.kr/news/politics/11286828,매일경제,"['김부겸', '국무총리', '더불어민주당', '대선', '경선', '참여', '결정', '다고', '밝히', '총리', '이날', '페이스북', '대통령', '선거', '민주당', '내란', '완전히', '종식하']","[속보] 김부겸, 대선 경선 불참…“정권교체 함께하겠다” 김부겸 전 국무총리는 9일 더불어민주당 대선 경선에 참여하지 않기로 결정했다고 밝혔다 김 전 총리는 이날 페이스북에 이번 대통령선거가 더 큰 민주당으로 내란을 완전히 종식하",9
4위 안에 못 들 바에야···‘친윤’ 잇단 불출마로 국힘 주자 20명&#8594;10명 예상,원희룡김태흠김기현 등 줄줄이 경선 불참 탄핵 책임 명분 앞세워 친윤표 분산 방지 1차 경선 탈락 땐 체면 구길 우려도 작용 대통령윤석열 탄핵심판 선고일인 지난 4일 서울 종로구 헌법재판소에서 김기현 의원 등 국민의힘 의원들이 심판정에 들어서기 앞서 발언하고 있다 사진공동취재단 원희룡 전 국토교통부 장관과 김태흠 충남지사 김기현 국민의힘 ,2025-04-10 17:06:00,https://www.khan.co.kr/article/202504101706001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['원희룡', '김태흠', '김기현', '줄줄이', '경선', '불참', '탄핵', '책임', '명분', '앞세우', '친윤표', '분산', '방지', '경선', '탈락', '체면', '우려', '작용', '대통령', '윤석열', '탄핵', '심판', '선고일', '지나', '서울', '종로구', '헌법', '재판소', '김기현', '의원', '국민의힘', '의원', '심판정', '들어서', '앞서', '발언', '사진', '공동', '취재단', '원희룡', '국토', '교통부', '장관', '김태흠', '충남', '지사', '김기현', '국민의힘']",4위 안에 못 들 바에야···‘친윤’ 잇단 불출마로 국힘 주자 20명&#8594;10명 예상 원희룡김태흠김기현 등 줄줄이 경선 불참 탄핵 책임 명분 앞세워 친윤표 분산 방지 1차 경선 탈락 땐 체면 구길 우려도 작용 대통령윤석열 탄핵심판 선고일인 지난 4일 서울 종로구 헌법재판소에서 김기현 의원 등 국민의힘 의원들이 심판정에 들어서기 앞서 발언하고 있다 사진공동취재단 원희룡 전 국토교통부 장관과 김태흠 충남지사 김기현 국민의힘 ,9
[속보] 김태흠 “대선 불출마···반(&#21453;) 이재명에 기대면 필패”,대선 출마가 차기 선거 준비 수단돼선 안 돼 김태흠 충남도지사 충남도 제공 국민의힘 대권 후보로 거론됐던 김태흠 충남도지사가 대선에 출마하지 않는다는 입장을 밝혔다 김 지사는 10일 입장문을 내고 이번 조기 대선에 출마하지 않고 충남도정에만 충실하겠다고 밝혔다 김 지사는 대한민국은 대내외적으로 엄중한 상황으로 극한 진영대립으로 인한 ,2025-04-10 09:56:00,https://www.khan.co.kr/article/202504100956001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['대선', '출마', '차기', '선거', '준비', '수단', '어서', '김태흠', '충남', '도지사', '충남도', '제공', '국민', '대권', '후보', '거론', '김태흠', '충남', '도지사', '대선', '출마', '는다는', '입장', '밝히', '지사', '10', '입장', '조기', '대선', '출마', '충남', '도정', '충실', '다고', '밝히', '지사', '대한민국', '대내외', '엄중', '상황', '극한', '진영', '대립', '인하']",[속보] 김태흠 “대선 불출마···반(&#21453;) 이재명에 기대면 필패” 대선 출마가 차기 선거 준비 수단돼선 안 돼 김태흠 충남도지사 충남도 제공 국민의힘 대권 후보로 거론됐던 김태흠 충남도지사가 대선에 출마하지 않는다는 입장을 밝혔다 김 지사는 10일 입장문을 내고 이번 조기 대선에 출마하지 않고 충남도정에만 충실하겠다고 밝혔다 김 지사는 대한민국은 대내외적으로 엄중한 상황으로 극한 진영대립으로 인한 ,9
원희룡 “탄핵에 큰 책임” 대선 불출마…‘친윤’ ‘낮은 지지율’이 이유?,원희룡 전 국토부 장관이 지난달 26일 경북 안동시 안동체육관에 마련된 산불 대피시설에서 자원봉사를 하고 있다 연합뉴스 원희룡 전 국토교통부 장관이 이번 대선에 출마하지 않겠다고 밝혔다 원 전 장관은 지난 9일 밤 페이스북에 저는 이번 대선에 출마하지 않는다고 적었다 그는 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석,2025-04-10 07:41:00,https://www.khan.co.kr/article/202504100741011/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['원희룡', '국토부', '장관', '지난달', '26', '경북', '안동시', '안동체육관', '마련', '산불', '대피', '시설', '자원봉사', '연합', '뉴스', '원희룡', '국토', '교통부', '장관', '대선', '출마', '다고', '밝히', '장관', '지나', '페이스북', '대선', '출마', '는다고', '대선', '선대위', '정책', '본부장', '국토', '교통부', '장관', '참여', '윤석']",원희룡 “탄핵에 큰 책임” 대선 불출마…‘친윤’ ‘낮은 지지율’이 이유? 원희룡 전 국토부 장관이 지난달 26일 경북 안동시 안동체육관에 마련된 산불 대피시설에서 자원봉사를 하고 있다 연합뉴스 원희룡 전 국토교통부 장관이 이번 대선에 출마하지 않겠다고 밝혔다 원 전 장관은 지난 9일 밤 페이스북에 저는 이번 대선에 출마하지 않는다고 적었다 그는 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석,9
한동훈 출마 선언…원희룡·김기현 불출마,국민의힘은 대통령 선거 경선에 참여할 주자들의 윤곽이 잡히고 있습니다 한동훈 전 국민의힘 대표가 오늘 국회에서 대선 출마를 선언했고 원희룡 ,2025-04-10 17:12:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058018&plink=RSSLINK&cooper=RSSREADER,SBS,"['국민', '대통령', '선거', '경선', '참여', '주자', '윤곽', '잡히', '한동훈', '국민', '대표', '오늘', '국회', '대선', '출마', '선언', '원희룡']",한동훈 출마 선언…원희룡·김기현 불출마 국민의힘은 대통령 선거 경선에 참여할 주자들의 윤곽이 잡히고 있습니다 한동훈 전 국민의힘 대표가 오늘 국회에서 대선 출마를 선언했고 원희룡 ,9
"'친윤' 김기현 ""대선 불출마…대통령 탄핵 못 막은 책임 통감""",김기현 국민의힘 의원 자료사진연합뉴스5선 중진 김기현 국민의힘 의원이 63 대선에 출마하지 않겠다고 밝혔습니다 친윤계로 분류되는 김 의원은 윤석열 전 대통령 탄핵 반대에 앞장서 왔습니다 김 의원은 오,2025-04-10 10:23:00,https://news.jtbc.co.kr/article/NB12242188,JTBC,"['김기현', '국민', '의원', '자료', '사진', '연합', '뉴스', '중진', '김기현', '국민', '의원', '63', '대선', '출마', '다고', '밝히', '분류', '의원', '윤석열', '대통령', '탄핵', '반대', '앞장서', '의원']","'친윤' 김기현 ""대선 불출마…대통령 탄핵 못 막은 책임 통감"" 김기현 국민의힘 의원 자료사진연합뉴스5선 중진 김기현 국민의힘 의원이 63 대선에 출마하지 않겠다고 밝혔습니다 친윤계로 분류되는 김 의원은 윤석열 전 대통령 탄핵 반대에 앞장서 왔습니다 김 의원은 오",9
"원희룡, 대선 불출마 선언…""대통령 탄핵, 내게도 큰 책임""",원희룡 전 국토교통부 장관 사진연합뉴스원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 밝혔습니다 원 전 장관은 오늘9일 자신의 페이스북에 지난 대선 선대위 정책본부장으로 또 국,2025-04-09 23:56:00,https://news.jtbc.co.kr/article/NB12242152,JTBC,"['원희룡', '국토', '교통부', '장관', '사진', '연합뉴스', '원희룡', '국토', '교통부', '장관', '63', '조기', '대선', '출마', '다고', '밝히', '장관', '오늘', '페이스북', '지나', '대선', '선대위', '정책', '본부장']","원희룡, 대선 불출마 선언…""대통령 탄핵, 내게도 큰 책임"" 원희룡 전 국토교통부 장관 사진연합뉴스원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 밝혔습니다 원 전 장관은 오늘9일 자신의 페이스북에 지난 대선 선대위 정책본부장으로 또 국",9
