title,description,published,link,media,desc_tokens,text,topic
계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영,윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,2025-04-09 16:08:00,https://www.chosun.com/politics/assembly/2025/04/10/23FSXXSRPRBN3P6MUNQU4PPPQA/,조선닷컴,"['윤석열', '대통령', '헌법', '재판소', '결정', '파면', '이후', '더불어민주당', '노조', '좌파', '진영', '중심', '국민', '비롯하', '보수', '진영', '내란', '세력', '규정', '공세', '거세']",계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영 윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,14
대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치”,더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,2025-04-08 16:09:00,https://www.chosun.com/politics/assembly/2025/04/09/WNB2Y6XODFFSNHVQDKDBFF7XWE/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '남기', '기록물', '대통령', '기록물', '지정', '못하', '도록', '법안', '발의', '대통령', '국민', '겨냥', '공세', '민주당', '지나', '헌법', '재판소', '탄핵', '인용', '결정', '대통령', '대하', '추가', '수사', '구속', '촉구', '국민', '관련', '의혹', '규명', 'ㄴ다며', '연일', '맹공', '퍼붓', '국민', '향하', '아서', '대통령', '후보', '어서', 'ㄴ다고', '국민', '확정', '조기', '대선', '유리', '국면', '이끌', '위하', '민주당', '보수', '진영', '향하', '공포', '캠페인', '벌이', '다고']",대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치” 더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,14
당내서 尹 출당론 나오자... 윤상현 “시간 드리면 알아서 하실 것”,국민의힘 윤상현 의원은 7일 국민의힘 일각에서 윤석열 전 대통령의 당적 정리가 필요하다고 주장하는 것과 관련해 이 문제를 스스로 해결할 수 있게끔 시간을 드리면 다 알아서 할 것이라고 했다 윤 의원은 이날 기자들의 관련 질문에 그분윤 전 대통령이 당에 부담되는 것을 원하겠나 아니다라며 이같이 밝혔다 차기 대선 승리를 위해 필요하다면 윤 전 대통령이 스스로 적절한 시기에 당적을 정리할 수 있다는 뜻으로 해석됐다,2025-04-07 11:04:00,https://www.chosun.com/politics/politics_general/2025/04/07/RXIFKHHHINGR3AIGSSPJGILU2Q/,조선닷컴,"['국민', '윤상현', '의원', '국민', '일각', '윤석열', '대통령', '당적', '정리', '필요', '다고', '주장', '관련', '문제', '스스로', '해결', '게끔', '드리', '아서', '라고', '의원', '이날', '기자', '관련', '질문', '그분윤', '대통령', '부담', '다라며', '밝히', '차기', '대선', '승리', '위하', '필요', '다면', '대통령', '스스로', '적절하', '시기', '당적', '정리', '다는', '해석']",당내서 尹 출당론 나오자... 윤상현 “시간 드리면 알아서 하실 것” 국민의힘 윤상현 의원은 7일 국민의힘 일각에서 윤석열 전 대통령의 당적 정리가 필요하다고 주장하는 것과 관련해 이 문제를 스스로 해결할 수 있게끔 시간을 드리면 다 알아서 할 것이라고 했다 윤 의원은 이날 기자들의 관련 질문에 그분윤 전 대통령이 당에 부담되는 것을 원하겠나 아니다라며 이같이 밝혔다 차기 대선 승리를 위해 필요하다면 윤 전 대통령이 스스로 적절한 시기에 당적을 정리할 수 있다는 뜻으로 해석됐다,14
안간힘 쓰는 국민의힘… ‘대선 단합’ 강조,국민의힘 등 범보수 진영의 대선 주자급 인사들이 윤석열 대통령 파면 이후 조기 대선 출마 의사를 속속 밝히고 있다 윤 대통령 탄핵에 반대했던 일부 주자는 조기 대선이 60일 만에 치러져 지체할 시간이 없다면서 대선 출마 의사를 적극적으로 밝혔다 탄핵에 찬성했던 일부 주자는 이번 주 초중반쯤 출마하겠다는 뜻을 드러낼 것으로 보인다,2025-04-06 16:03:00,https://www.chosun.com/politics/2025/04/07/YXJXMQK5TVFI5L46RE4RZ34OUQ/,조선닷컴,"['국민의힘', '보수', '진영', '대선', '주자급', '인사', '윤석열', '대통령', '파면', '이후', '조기', '대선', '출마', '의사', '속속', '밝히', '대통령', '탄핵', '반대', '일부', '주자', '조기', '대선', '60', '치르', '지체', '다면서', '대선', '출마', '의사', '적극', '밝히', '탄핵', '찬성', '일부', '주자', '중반', '출마', '다는', '드러내', '보이', 'ㄴ다']",안간힘 쓰는 국민의힘… ‘대선 단합’ 강조 국민의힘 등 범보수 진영의 대선 주자급 인사들이 윤석열 대통령 파면 이후 조기 대선 출마 의사를 속속 밝히고 있다 윤 대통령 탄핵에 반대했던 일부 주자는 조기 대선이 60일 만에 치러져 지체할 시간이 없다면서 대선 출마 의사를 적극적으로 밝혔다 탄핵에 찬성했던 일부 주자는 이번 주 초중반쯤 출마하겠다는 뜻을 드러낼 것으로 보인다,14
"끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라”",더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다,2025-04-06 16:03:00,https://www.chosun.com/politics/assembly/2025/04/07/HRFICHXEZVD2DOS62QWHNJLCAI/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '대하', '헌법', '재판소', '탄핵', '인용', '선고', '이후', '공세', '수위', '끌어올리', '국민', '해산', '윤석열', '구속', '주장', '는가', '내란', '특검법', '명태균', '특검법', '거부', '행사', '법안', '대하', '의결', '추진', '박근혜', '대통령', '탄핵', '국면', '적폐', '청산', '외치', '민주당', '내란', '척결', '명분', '윤석열', '정부', '관계자', '내란', '공범', '수사', 'ㄴ다고', '조기', '대선', '국면', '대통령', '국민', '향하', '민주당', '강공', '모드', '당분간', '이어지', '전망', '나오', 'ㄴ다']","끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라” 더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다",14
"내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수",윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다,2025-04-06 15:53:00,https://www.chosun.com/politics/politics_general/2025/04/07/SUE72WAQEJDDNBDJIMPHQ5EUUU/,조선닷컴,"['윤석열', '대통령', '파면', '여당', '지위', '국민', '주말', '중진', '의원', '간담회', '의원', '총회', '잇달', '정국', '수습', '방안', '논의', '조기', '대선', '60', '상황', '탄핵', '찬반', '둘러싸', '책임', '공방', '이어지', '대통령', '탄핵', '여파', '이어지', '탄핵', '반대', '전통', '지지', '이탈', '대통령', '정치', '영향력', '행사', '가능', '대선', '국면', '변수', '다는', '분석', '나오', 'ㄴ다', '국민', '관계자', '국민', '마주', '파도', '못하', '조기', '대선', '국면', '좌초', '가능', '다면서', '지도부', '주요', '대선', '주자', '대통령', '어떻', '행동', '느냐', '보수', '진영', '미래', '달리', '다고', '국민', '경선', '선거', '관리', '위원회', '발족', '조기', '대선', '체제', '들어가', 'ㄴ다']","내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수 윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다",14
"尹 재구속, 김건희 특검, 내란 공범 수사… ‘적폐청산 시즌2’ 예고",이재명 더불어민주당 대표가 7일 내란 종식이 최우선 과제임을 천명하면서 민주당이 윤석열 전 대통령 부부와 국민의힘 인사들을 겨냥한 강력한 수사 드라이브를 걸 것으로 보인다 윤 전 대통령과 김건희 여사 등이 수사 기관을 오가는 모습이 생중계되는 상황에서 조기 대선을 치르겠다는 것이다 국민의힘 관계자는 이 대표와 민주당이 내건 내란 종식은 정치 보복과 사정 광풍으로 나라를 뒤집었던 문재인 정권 적폐 청산 시즌 2가 될 것이라고 말했다,2025-04-07 15:55:00,https://www.chosun.com/politics/assembly/2025/04/08/JQBJQILKGRGBFFZJ6YNP7TF4OM/,조선닷컴,"['이재명', '더불어민주당', '대표', '내란', '종식', '과제', '천명', '면서', '민주당', '윤석열', '대통령', '부부', '국민', '인사', '겨냥', '강력', '수사', '드라이브', '보이', 'ㄴ다', '대통령', '김건희', '여사', '수사', '기관', '오가', '모습', '중계', '상황', '조기', '대선', '치르', '다는', '국민', '관계자', '대표', '민주당', '내걸', '내란', '종식', '정치', '보복', '사정', '광풍', '나라', '뒤집', '문재인', '정권', '적폐', '청산', '시즌', '라고']","尹 재구속, 김건희 특검, 내란 공범 수사… ‘적폐청산 시즌2’ 예고 이재명 더불어민주당 대표가 7일 내란 종식이 최우선 과제임을 천명하면서 민주당이 윤석열 전 대통령 부부와 국민의힘 인사들을 겨냥한 강력한 수사 드라이브를 걸 것으로 보인다 윤 전 대통령과 김건희 여사 등이 수사 기관을 오가는 모습이 생중계되는 상황에서 조기 대선을 치르겠다는 것이다 국민의힘 관계자는 이 대표와 민주당이 내건 내란 종식은 정치 보복과 사정 광풍으로 나라를 뒤집었던 문재인 정권 적폐 청산 시즌 2가 될 것이라고 말했다",14
"“민심은 순식간”… 8년 전 ‘진보1강’ 文, 보수 맹추격에 ‘진땀’",민심의 요동은 또다시 반복될 것인가 제21대 대통령선거가 54일 앞으로 다가온 가운데 정치권은 민심이 요동칠 가능성에 주목하고 있다 8년 전 박근혜 전 대통령 탄핵 이후 지금과 비슷한 상황에서 치러진 19대 대통령 선거에서도 민심은 수많은 후보를 오가며 요동치는 모습을 보였다 이번 대선도 비슷한 흐름이 재현될지 관심이 쏠린다 한쪽에서는 가능성이,2025-04-10 18:28:00,https://www.segye.com/newsView/20250410517476,세계일보,"['민심', '요동', '또다시', '반복', 'ㄴ가', '21', '대통령', '선거', '54', '다가오', '가운데', '정치', '민심', '요동치', '가능', '주목', '박근혜', '대통령', '탄핵', '이후', '지금', '비슷하', '상황', '치르', '19', '대통령', '선거', '민심', '수많', '후보', '오가', '요동치', '모습', '보이', '대선', '비슷하', '흐름', '재현', 'ㄹ지', '관심', '쏠리', 'ㄴ다', '한쪽', '가능']","“민심은 순식간”… 8년 전 ‘진보1강’ 文, 보수 맹추격에 ‘진땀’ 민심의 요동은 또다시 반복될 것인가 제21대 대통령선거가 54일 앞으로 다가온 가운데 정치권은 민심이 요동칠 가능성에 주목하고 있다 8년 전 박근혜 전 대통령 탄핵 이후 지금과 비슷한 상황에서 치러진 19대 대통령 선거에서도 민심은 수많은 후보를 오가며 요동치는 모습을 보였다 이번 대선도 비슷한 흐름이 재현될지 관심이 쏠린다 한쪽에서는 가능성이",14
중도층·尹心 사이… 반탄주자들 ‘미묘한 줄타기’ [6·3 장미대선 레이스],윤석열 전 대통령 탄핵을 반대했던 국민의힘 반탄 주자들도 중도층 공략에 시동을 걸었다 전문 분야와 정책을 앞세워 강성 보수 이미지를 희석하고 외연 확장을 꾀하려는 취지로 해석된다 한편으로는 여전히 윤 전 대통령과의 정치적 단절에 소극적인 태도를 취하고 있는 만큼 갈지자 행보라는 지적도 나온다 전날 대선 출마를 선언한 김문수 전 고용,2025-04-10 18:22:00,https://www.segye.com/newsView/20250410517525,세계일보,"['윤석열', '대통령', '탄핵', '반대', '국민', '반탄', '주자', '중도', '공략', '시동', '전문', '분야', '정책', '앞세우', '강성', '보수', '이미지', '희석', '외연', '확장', '꾀하', '려는', '취지', '해석', 'ㄴ다', '한편', '대통령', '정치', '단절', '소극', '태도', '취하', '갈지자', '행보', '라는', '지적', '나오', 'ㄴ다', '전날', '대선', '출마', '선언', '김문수', '고용']",중도층·尹心 사이… 반탄주자들 ‘미묘한 줄타기’ [6·3 장미대선 레이스] 윤석열 전 대통령 탄핵을 반대했던 국민의힘 반탄 주자들도 중도층 공략에 시동을 걸었다 전문 분야와 정책을 앞세워 강성 보수 이미지를 희석하고 외연 확장을 꾀하려는 취지로 해석된다 한편으로는 여전히 윤 전 대통령과의 정치적 단절에 소극적인 태도를 취하고 있는 만큼 갈지자 행보라는 지적도 나온다 전날 대선 출마를 선언한 김문수 전 고용,14
이게 가능해?…대통령선거에 ‘윤석열 재출마·김건희 출마’ 주장 확산,윤석열 전 대통령이 지난 4일 파면된 이후 다시 대통령선거에 출마하거나 김건희 여사가 대신 출마해야 한다는 주장이 보수 집회에서 나오고 있다 윤 전 대통령 재출마설은 김용현 전,2025-04-10 08:48:00,https://www.mk.co.kr/news/politics/11287643,매일경제,"['윤석열', '대통령', '지나', '파면', '이후', '다시', '대통령', '선거', '출마', '거나', '김건희', '여사', '대신', '출마', 'ㄴ다는', '주장', '보수', '집회', '나오', '대통령', '출마설', '김용현']",이게 가능해?…대통령선거에 ‘윤석열 재출마·김건희 출마’ 주장 확산 윤석열 전 대통령이 지난 4일 파면된 이후 다시 대통령선거에 출마하거나 김건희 여사가 대신 출마해야 한다는 주장이 보수 집회에서 나오고 있다 윤 전 대통령 재출마설은 김용현 전,14
