title,description,published,link,media,desc_tokens,text,topic
"전북도는 허위 계획, 여가부는 허위 보고… 잼버리 준비 모든 게 엉망이었다",2023년 8월 전북 새만금에서 열린 세계스카우트잼버리의 파행은 대회 조직위원회와 감독 기관인 여성가족부 대회를 유치한 전라북도의 부실무책임 행정이 겹쳐 일어난 사태인 것으로 감사원이 결론 내렸다,2025-04-10 05:00:00,https://www.chosun.com/politics/goverment/2025/04/10/G5ORR4MYYBAD5NNH7LIU5OHAPY/,조선닷컴,"['2023', '전북', '새만금', '열리', '세계', '스카우트', '잼버리', '파행', '대회', '조직', '위원회', '감독', '기관', '여성', '가족부', '대회', '유치하', '전라북도', '부실', '책임', '행정', '겹치', '일어나', '사태', '감사원', '결론', '내리']","전북도는 허위 계획, 여가부는 허위 보고… 잼버리 준비 모든 게 엉망이었다 2023년 8월 전북 새만금에서 열린 세계스카우트잼버리의 파행은 대회 조직위원회와 감독 기관인 여성가족부 대회를 유치한 전라북도의 부실무책임 행정이 겹쳐 일어난 사태인 것으로 감사원이 결론 내렸다",15
“화장실 청소가 뭐 그리 대수냐” 얼빠진 잼버리 조직위,온열질환자 속출과 위생 불량 논란이 빚어진 2023년 8월 새만금 세계스카우트 잼버리의 조기 파행에는 운영 주체였던 조직위원회와 주무 부처였던 여성가족부 대회를 유치한 전북도의 부실한 대처 등 총체적 부실이 있었던 것으로 드러났다 조직위는 폭염이 예상되는 8월에 나무가 거의 없는 야영장에서 행사를 하면서도 생수나 얼음을 부족하게 준비했고 대회 직전까지 화장실 등을 설치하지 못했는데도 부처에 제대로 알리지 않았다 여가부는 뒤늦게 이 사실을 알고도 국무회의에 시설 설치 완료라며 허위 보고 했다 전북도는 잼버리 야영장으로 적합하지 않은 부지를 충분한 검토 없이 선정했다는 게 감사원의 지적이다 감사원 야영장 부지 선정부터 소홀10일 감사보고서에 따르면 감사원은 전북도의 개최지 선정부터 문제가 있었다고 판단했다 잼버리 야영장이었던 새만금 갯벌은 지반 높이가 낮고 새만금호와 접해 있어 침수 위험이 컸다 그런데도 전북도의 담당자는 2015년 7월 현장을 육안으로만 둘,2025-04-10 20:27:00,https://www.donga.com/news/Politics/article/all/20250410/131391088/1,동아닷컴,"['온열', '질환자', '속출', '위생', '불량', '논란', '빚어지', '2023', '새만금', '세계', '스카우트', '잼버리', '조기', '파행', '운영', '주체', '조직', '위원회', '주무', '부처', '여성', '가족부', '대회', '유치하', '전북도', '부실', '대처', '총체', '부실', '드러나', '조직위', '폭염', '예상', '나무', '야영장', '행사', '면서', '생수', '얼음', '부족', '준비', '대회', '직전', '화장실', '설치', '못하', '는데', '부처', '제대로', '알리', '여가부', '뒤늦', '사실', '국무', '회의', '시설', '설치', '완료', '라며', '허위', '전북도', '잼버리', '야영장', '적합', '부지', '충분하', '검토', '없이', '선정', '다는', '감사원', '지적', '감사원', '야영장', '부지', '선정', '소홀', '10', '감사', '보고서', '따르', '감사원', '전북도', '개최지', '선정', '문제', '다고', '판단', '잼버리', '야영장', '새만금', '갯벌', '지반', '높이', '새만금호', '접하', '침수', '위험', '런데', '전북도', '담당자', '2015', '현장', '육안']",“화장실 청소가 뭐 그리 대수냐” 얼빠진 잼버리 조직위 온열질환자 속출과 위생 불량 논란이 빚어진 2023년 8월 새만금 세계스카우트 잼버리의 조기 파행에는 운영 주체였던 조직위원회와 주무 부처였던 여성가족부 대회를 유치한 전북도의 부실한 대처 등 총체적 부실이 있었던 것으로 드러났다 조직위는 폭염이 예상되는 8월에 나무가 거의 없는 야영장에서 행사를 하면서도 생수나 얼음을 부족하게 준비했고 대회 직전까지 화장실 등을 설치하지 못했는데도 부처에 제대로 알리지 않았다 여가부는 뒤늦게 이 사실을 알고도 국무회의에 시설 설치 완료라며 허위 보고 했다 전북도는 잼버리 야영장으로 적합하지 않은 부지를 충분한 검토 없이 선정했다는 게 감사원의 지적이다 감사원 야영장 부지 선정부터 소홀10일 감사보고서에 따르면 감사원은 전북도의 개최지 선정부터 문제가 있었다고 판단했다 잼버리 야영장이었던 새만금 갯벌은 지반 높이가 낮고 새만금호와 접해 있어 침수 위험이 컸다 그런데도 전북도의 담당자는 2015년 7월 현장을 육안으로만 둘,15
"“새만금 잼버리, 업무 처리 총체적 부실”…감사원, 4명 수사요청",2023년 8월 개최된 새만금 세계스카우트 잼버리가 실패로 끝난 데에는 업무 처리의 총체적 부실이 영향을 끼쳤다는 지적이 제기됐다 10일 감사원은 새만금 세계스카우트 잼버,2025-04-10 16:45:00,https://www.mk.co.kr/news/politics/11288286,매일경제,"['2023', '개최', '새만금', '세계', '스카우트', '잼버리', '실패', '끝나', '업무', '처리', '총체', '부실', '영향', '끼치', '다는', '지적', '제기', '10', '감사원', '새만금', '세계', '스카우트', '잼버']","“새만금 잼버리, 업무 처리 총체적 부실”…감사원, 4명 수사요청 2023년 8월 개최된 새만금 세계스카우트 잼버리가 실패로 끝난 데에는 업무 처리의 총체적 부실이 영향을 끼쳤다는 지적이 제기됐다 10일 감사원은 새만금 세계스카우트 잼버",15
"허위 보고·비전문가…“새만금 잼버리 파행, 총체적 부실 때문”",감사원 발표여가부 시설 설치 중인데 완료 거짓보고 퇴직자에 사무총장 맡기고 지원단엔 여가부 직원 0명 전북도는 개최 후보지 검토 때 개최 계획서 작성 등 소홀 감사원은 2023년 전북 새만금 세계스카우트잼버리가 파행된 원인은 조직위원회와 여성가족부 전북도의 업무처리 총체적 부실 때문이라고 결론 내렸다 특히 김현숙 전 여가부 ,2025-04-10 20:38:00,https://www.khan.co.kr/article/202504102038005/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['감사원', '발표', '여가부', '시설', '설치', 'ㄴ데', '완료', '거짓', '보고', '퇴직자', '사무총장', '맡기', '지원단', '여가부', '직원', '전북도', '개최', '후보지', '검토', '개최', '계획서', '작성', '소홀', '감사원', '2023', '전북', '새만금', '세계', '스카우트', '잼버리', '파행', '원인', '조직', '위원회', '여성', '가족부', '전북도', '업무', '처리', '총체', '부실', '때문', '라고', '결론', '내리', '특히', '김현숙', '여가부']","허위 보고·비전문가…“새만금 잼버리 파행, 총체적 부실 때문” 감사원 발표여가부 시설 설치 중인데 완료 거짓보고 퇴직자에 사무총장 맡기고 지원단엔 여가부 직원 0명 전북도는 개최 후보지 검토 때 개최 계획서 작성 등 소홀 감사원은 2023년 전북 새만금 세계스카우트잼버리가 파행된 원인은 조직위원회와 여성가족부 전북도의 업무처리 총체적 부실 때문이라고 결론 내렸다 특히 김현숙 전 여가부 ",15
"감사원 “‘잼버리 사태’ 여가부, 국무회의에 허위보고”…총체적 부실 판단",2023년 8월 전북 새만금 세계스카우트 잼버리 현장에서 철수하는 대원들 연합뉴스 자료사진 감사원은 2023년 전북 새만금 세계스카우트잼버리가 파행된 원인은 조직위원회와 여성가족부 전라북도의 업무처리 총체적 부실이라고 결론내렸다 특히 김현숙 전 여가부 장관이 잼버리 준비 과정에서 의료사무 시설과 화장실샤워장 등의 설치가 지연되고 있다는 보고를,2025-04-10 18:34:00,https://www.khan.co.kr/article/202504101834001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['2023', '전북', '새만금', '세계', '스카우트', '잼버리', '현장', '철수', '대원', '연합', '뉴스', '자료', '사진', '감사원', '2023', '전북', '새만금', '세계', '스카우트', '잼버리', '파행', '원인', '조직', '위원회', '여성', '가족부', '전라북도', '업무', '처리', '총체', '부실', '라고', '결론', '내리', '특히', '김현숙', '여가부', '장관', '잼버리', '준비', '과정', '의료', '사무', '시설', '화장실', '샤워장', '설치', '지연', '다는', '보고']","감사원 “‘잼버리 사태’ 여가부, 국무회의에 허위보고”…총체적 부실 판단 2023년 8월 전북 새만금 세계스카우트 잼버리 현장에서 철수하는 대원들 연합뉴스 자료사진 감사원은 2023년 전북 새만금 세계스카우트잼버리가 파행된 원인은 조직위원회와 여성가족부 전라북도의 업무처리 총체적 부실이라고 결론내렸다 특히 김현숙 전 여가부 장관이 잼버리 준비 과정에서 의료사무 시설과 화장실샤워장 등의 설치가 지연되고 있다는 보고를",15
"여가부 ""잼버리 관리·감독 부실 등 감사원 지적, 겸허히 수용"" [종합]",,2025-04-10 16:24:00,https://www.hankyung.com/article/202504103677i,한국경제,,"여가부 ""잼버리 관리·감독 부실 등 감사원 지적, 겸허히 수용"" [종합] ",15
"감사원 ""새만금 잼버리, 여가부 허위 보고 등 총체적 부실""",,2025-04-10 15:23:00,https://www.hankyung.com/article/2025041035097,한국경제,,"감사원 ""새만금 잼버리, 여가부 허위 보고 등 총체적 부실"" ",15
'새만금 잼버리' 부지선정 소홀·허위 보고까지…4명 수사의뢰,지난 2023년 8월에 전북 새만금에서 열린 세계스카우트 잼버리의 총체적 부실이 감사원 감사 결과 재확인됐습니다 대회를 유치,2025-04-10 17:09:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058025&plink=RSSLINK&cooper=RSSREADER,SBS,"['지나', '2023', '전북', '새만금', '열리', '세계', '스카우트', '잼버리', '총체', '부실', '감사원', '감사', '결과', '확인', '대회', '유치']",'새만금 잼버리' 부지선정 소홀·허위 보고까지…4명 수사의뢰 지난 2023년 8월에 전북 새만금에서 열린 세계스카우트 잼버리의 총체적 부실이 감사원 감사 결과 재확인됐습니다 대회를 유치,15
"감사원, ""새만금 잼버리, 업무 처리 총체적 부실로 실패""",9650 2023년 8월 새만금 세계스카우트 잼버리 대회 떠나는 영국 대원들2023년 새만금 세계스카우트 잼버리가 파행으,2025-04-10 16:04:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058023&plink=RSSLINK&cooper=RSSREADER,SBS,"['9650', '2023', '새만금', '세계', '스카우트', '잼버리', '대회', '떠나', '영국', '대원', '2023', '새만금', '세계', '스카우트', '잼버리', '파행']","감사원, ""새만금 잼버리, 업무 처리 총체적 부실로 실패"" 9650 2023년 8월 새만금 세계스카우트 잼버리 대회 떠나는 영국 대원들2023년 새만금 세계스카우트 잼버리가 파행으",15
'새만금 잼버리' 부지선정 소홀·허위 보고까지…4명 수사의뢰,지난 2023년 8월에 전북 새만금에서 열린 세계스카우트 잼버리의 총체적 부실이 감사원 감사 결과 재확인됐습니다 대회를 유치,2025-04-10 17:09:00,https://news.sbs.co.kr/news/endPage.do?news_id=N1008058025&plink=RSSLINK&cooper=RSSREADER,SBS,"['지나', '2023', '전북', '새만금', '열리', '세계', '스카우트', '잼버리', '총체', '부실', '감사원', '감사', '결과', '확인', '대회', '유치']",'새만금 잼버리' 부지선정 소홀·허위 보고까지…4명 수사의뢰 지난 2023년 8월에 전북 새만금에서 열린 세계스카우트 잼버리의 총체적 부실이 감사원 감사 결과 재확인됐습니다 대회를 유치,15
