title,description,published,link,media,desc_tokens,text,topic
"[단독] 이재명, 호남에 10조원 규모 ‘AI 시범도시’ 공약 추진 검토",대선 출마를 선언한 이재명 더불어민주당 전 대표가 광주 AI 시범도시 조성을 공약 중 하나로 검토 중인 것으로 10일 알려졌다 최근 재선거가 치러졌던 전남 담양군수 선거에서 패배한 뒤로 호남 민심 챙기기용 공약에 공을 들이는 모습이다,2025-04-10 07:21:00,https://www.chosun.com/politics/assembly/2025/04/10/2ORNLK5HJBEPNHX55BOVYFQFZI/,조선닷컴,"['대선', '출마', '선언', '이재명', '더불어민주당', '대표', '광주', 'AI', '시범', '도시', '조성', '공약', '검토', '10', '알려지', '최근', '선거', '치르', '전남', '담양군수', '선거', '패배', '호남', '민심', '챙기', '공약', '들이', '모습']","[단독] 이재명, 호남에 10조원 규모 ‘AI 시범도시’ 공약 추진 검토 대선 출마를 선언한 이재명 더불어민주당 전 대표가 광주 AI 시범도시 조성을 공약 중 하나로 검토 중인 것으로 10일 알려졌다 최근 재선거가 치러졌던 전남 담양군수 선거에서 패배한 뒤로 호남 민심 챙기기용 공약에 공을 들이는 모습이다",1
"이재명, 대선 출마 선언 “진짜 대한민국 만들겠다”",이재명 전 더불어민주당 대표가 10일 영상 메시지를 통해 진짜 대한민국을 만들겠다며 21대 대선 출마를 공식 선언했다 이 대표는 영상 내내 경제 성장과 양극화 해소를 위해 정부 역할이 중요하다는 점을 강조했다 그동안 자신이 주장해온 기본소득 정책에 대해선 언급하지 않았다,2025-04-10 00:59:00,https://www.chosun.com/politics/assembly/2025/04/10/JKUZXP7K2JBZBMH6YCCZOSVX5Q/,조선닷컴,"['이재명', '더불어민주당', '대표', '10', '영상', '메시지', '통하', '진짜', '대한민국', '만들', '다며', '21', '대선', '출마', '공식', '선언', '대표', '영상', '내내', '경제', '성장', '양극', '해소', '위하', '정부', '역할', '중요', '다는', '강조', '그동안', '주장', '기본', '소득', '정책', '대하', '아서', '언급']","이재명, 대선 출마 선언 “진짜 대한민국 만들겠다” 이재명 전 더불어민주당 대표가 10일 영상 메시지를 통해 진짜 대한민국을 만들겠다며 21대 대선 출마를 공식 선언했다 이 대표는 영상 내내 경제 성장과 양극화 해소를 위해 정부 역할이 중요하다는 점을 강조했다 그동안 자신이 주장해온 기본소득 정책에 대해선 언급하지 않았다",1
"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자”",유정복 인천시장이 9일 대선 출마를 선언하면서 거짓과 위선 선동으로 국민을 힘들게 하는 정치를 끝내고 진실과 정의 자유가 넘쳐 나는 새로운 대한민국을 만들겠다고 했다,2025-04-09 05:40:00,https://www.chosun.com/politics/politics_general/2025/04/09/ZSLIW2IDKFCOZCFWOHZD3FEMHA/,조선닷컴,"['유정복', '인천시장', '대선', '출마', '선언', '면서', '거짓', '위선', '선동', '국민', '힘들', '정치', '끝내', '진실', '정의', '자유', '넘치', '새롭', '대한민국', '만들', '다고']","유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자” 유정복 인천시장이 9일 대선 출마를 선언하면서 거짓과 위선 선동으로 국민을 힘들게 하는 정치를 끝내고 진실과 정의 자유가 넘쳐 나는 새로운 대한민국을 만들겠다고 했다",1
"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순",이재명 전 더불어민주당 대표가 9일 당 대표직을 내려놓고 대선 출마 수순에 들어갔다 이 전 대표는 이제 또 새로운 일을 시작해야 되겠다고 했다 이 전 대표는 우리가 겪는 이 어려움도 국민께서 과거의 역경을 이겨낸 위대한 DNA를 발휘해서 빠른 시일 이겨낼 것이라 본다며 그 역경에 함께하겠다고 했다,2025-04-09 01:17:00,https://www.chosun.com/politics/assembly/2025/04/09/LXN5NMHIFRAELKRK7ZPA4IQCGM/,조선닷컴,"['이재명', '더불어민주당', '대표', '대표직', '내려놓', '대선', '출마', '수순', '들어가', '대표', '이제', '새롭', '시작', '다고', '대표', '어려움', '국민', '께서', '과거', '역경', '이기', '위대하', 'DNA', '발휘', '아서', '빠르', '시일', '이기', 'ㄴ다며', '역경', '다고']","이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순 이재명 전 더불어민주당 대표가 9일 당 대표직을 내려놓고 대선 출마 수순에 들어갔다 이 전 대표는 이제 또 새로운 일을 시작해야 되겠다고 했다 이 전 대표는 우리가 겪는 이 어려움도 국민께서 과거의 역경을 이겨낸 위대한 DNA를 발휘해서 빠른 시일 이겨낼 것이라 본다며 그 역경에 함께하겠다고 했다",1
‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻?,안철수 국민의힘 의원이 8일 대통령 선거 출마 선언을 할 때 손가락에 여섯 글자가 적혀있는 장면이 포착돼 온라인에서 논란이 일었다,2025-04-08 05:57:00,https://www.chosun.com/politics/politics_general/2025/04/08/P4WOQKVPSJCMLL3HWDISI76H7U/,조선닷컴,"['안철수', '국민', '의원', '대통령', '선거', '출마', '선언', '손가락', '글자', '적히', '장면', '포착', '온라인', '논란']",‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻? 안철수 국민의힘 의원이 8일 대통령 선거 출마 선언을 할 때 손가락에 여섯 글자가 적혀있는 장면이 포착돼 온라인에서 논란이 일었다,1
"이정현 “6공화국 마지막 대선, 개헌 대통령 되겠다”",이정현 전 새누리당국민의힘 전신 대표가 8일 6공화국의 마지막 대통령 선거를 만들기 위해 이번 대선에 출마한다고 밝혔다,2025-04-08 01:44:00,https://www.chosun.com/politics/politics_general/2025/04/08/JBQWGLCPX5D3NNZYMZBE37XWZY/,조선닷컴,"['이정현', '새누리당', '국민', '전신', '대표', '공화국', '마지막', '대통령', '선거', '만들', '위하', '대선', '출마', 'ㄴ다고', '밝히']","이정현 “6공화국 마지막 대선, 개헌 대통령 되겠다” 이정현 전 새누리당국민의힘 전신 대표가 8일 6공화국의 마지막 대통령 선거를 만들기 위해 이번 대선에 출마한다고 밝혔다",1
"안철수, 대선 출마 선언 “시대교체, 국민통합 시대로”",국민의힘 안철수 의원이 8일 서울 광화문광장 이순신 동상 앞에서 기자회견을 열고 국민통합 시대교체 정직한 사람들의 시대로 나아가겠다며 21대 대통령 선거 출마 선언을 했다 이번이 네 번째 도전이다 그는 이재명 더불어민주당 대표를 넘어 승리할 수 있는 유일한 후보라며 이기겠다 대한민국을 혁신시키겠다 정치를 회복하겠다고 외쳤다,2025-04-08 02:02:00,https://www.chosun.com/politics/politics_general/2025/04/08/SKTS4LIJWFDAPMFTWNBLTHMQOE/,조선닷컴,"['국민', '안철수', '의원', '서울', '광화문광장', '이순신', '동상', '기자', '회견', '국민', '통합', '시대교체', '정직', '사람', '시대', '나아가', '다며', '21', '대통령', '선거', '출마', '선언', '도전', '이재명', '더불어민주당', '대표', '승리', '유일', '후보', '라며', '이기', '대한민국', '혁신', '시키', '정치', '회복', '다고', '외치']","안철수, 대선 출마 선언 “시대교체, 국민통합 시대로” 국민의힘 안철수 의원이 8일 서울 광화문광장 이순신 동상 앞에서 기자회견을 열고 국민통합 시대교체 정직한 사람들의 시대로 나아가겠다며 21대 대통령 선거 출마 선언을 했다 이번이 네 번째 도전이다 그는 이재명 더불어민주당 대표를 넘어 승리할 수 있는 유일한 후보라며 이기겠다 대한민국을 혁신시키겠다 정치를 회복하겠다고 외쳤다",1
이재명 싱크탱크 ‘성장과 통합’ 출범… 유종일·허민 공동대표,이번 대선에서 이재명 더불어민주당 대표를 지원하는 싱크탱크 역할을 할 성장과 통합이 출범한다 진보 성향 경제학자로 알려진 유종일 전 한국개발연구원KDI 국제정책대학원장이 대표를 맡는다,2025-04-07 09:47:00,https://www.chosun.com/politics/assembly/2025/04/07/A4JG5P4T6VBXHGTNQTX7IC4DCI/,조선닷컴,"['대선', '이재명', '더불어민주당', '대표', '지원', '싱크탱크', '역할', '성장', '통합', '출범', 'ㄴ다', '진보', '성향', '경제학자', '알려지', '유종일', '한국개발연구원', 'KDI', '국제', '정책', '대학원장', '대표', '는다']",이재명 싱크탱크 ‘성장과 통합’ 출범… 유종일·허민 공동대표 이번 대선에서 이재명 더불어민주당 대표를 지원하는 싱크탱크 역할을 할 성장과 통합이 출범한다 진보 성향 경제학자로 알려진 유종일 전 한국개발연구원KDI 국제정책대학원장이 대표를 맡는다,1
이재명 “경제 양극화로 사회 갈등…집권시 국가 차원 투자”,더불어민주당 이재명 전 대표는 10일 대선 출마를 공식 선언하면서 경제 성장과 국민 안전 실용 외교를 목표로 제시했다 이 전 대표는 현재 극심한 사회적 갈등의 핵심 원인은 경제적 양극화라고 지적하면서 정부 단위의 대규모 투자를 강조했다 이 전 대표는 민간 영역만으론 제대로 유지 발전되기 어려워 정부 영역의 역할이 중요한데 거의 3년 동안 정부는 경제를 방치해 뒀다며 집권 시 국가적 차원의 대규모 투자에 나서겠다고 했다 RampD 스타트업과 벤처 대규모 투자이 전 대표는 이날 공개한 대선 출마 영상에서 지금 우리 경제는 사면초가의 상태라고 했다 그는 첨단 과학기술에 대한 투자가 중요한 시대가 됐다 문제는 과학기술의 수준이 너무 높아져 개별 기업들이 감당할 수 없는 상황이 됐다고 했다 그러면서 정부 단위의 인력 양성 대대적인 기술 개발을 위한 연구개발 투자 스타트업이나 벤처에 대한 대규모 투자가 필요하다며 그렇게 하면 다시 또 살아날 수 있다,2025-04-10 21:08:00,https://www.donga.com/news/Politics/article/all/20250410/131391696/1,동아닷컴,"['더불어민주당', '이재명', '대표', '10', '대선', '출마', '공식', '선언', '면서', '경제', '성장', '국민', '안전', '실용', '외교', '목표', '제시', '대표', '현재', '극심하', '사회', '갈등', '핵심', '원인', '경제', '양극', '라고', '지적', '면서', '정부', '단위', '규모', '투자', '강조', '대표', '민간', '영역', '제대로', '유지', '발전', '어렵', '정부', '영역', '역할', '중요', 'ㄴ데', '정부', '경제', '방치', '다며', '집권', '국가', '차원', '규모', '투자', '나서', '다고', 'RampD', '스타트업', '벤처', '규모', '투자', '대표', '이날', '공개', '대선', '출마', '영상', '지금', '경제', '사면초가', '상태', '라고', '첨단', '과학', '기술', '대하', '투자', '중요', '시대', '문제', '과학', '기술', '수준', '너무', '개별', '기업', '감당', '상황', '다고', '그러', '면서', '정부', '단위', '인력', '양성', '대대적', '기술', '개발', '위하', '연구', '개발', '투자', '스타트업', '이나', '벤처', '대하', '규모', '투자', '필요', '다며', '그렇', '다시', '살아나']",이재명 “경제 양극화로 사회 갈등…집권시 국가 차원 투자” 더불어민주당 이재명 전 대표는 10일 대선 출마를 공식 선언하면서 경제 성장과 국민 안전 실용 외교를 목표로 제시했다 이 전 대표는 현재 극심한 사회적 갈등의 핵심 원인은 경제적 양극화라고 지적하면서 정부 단위의 대규모 투자를 강조했다 이 전 대표는 민간 영역만으론 제대로 유지 발전되기 어려워 정부 영역의 역할이 중요한데 거의 3년 동안 정부는 경제를 방치해 뒀다며 집권 시 국가적 차원의 대규모 투자에 나서겠다고 했다 RampD 스타트업과 벤처 대규모 투자이 전 대표는 이날 공개한 대선 출마 영상에서 지금 우리 경제는 사면초가의 상태라고 했다 그는 첨단 과학기술에 대한 투자가 중요한 시대가 됐다 문제는 과학기술의 수준이 너무 높아져 개별 기업들이 감당할 수 없는 상황이 됐다고 했다 그러면서 정부 단위의 인력 양성 대대적인 기술 개발을 위한 연구개발 투자 스타트업이나 벤처에 대한 대규모 투자가 필요하다며 그렇게 하면 다시 또 살아날 수 있다,1
이재명 “진짜 대한민국 만들고 싶다”…3번째 대선 도전,더불어민주당 이재명 전 대표가 10일 진짜 대한민국을 만들고 싶다며 위대한 대한국민의 훌륭한 도구 최고의 도구가 되겠다고 대선 출마를 공식 선언했다 이 전 대표의 대선 도전은 2017년 2022년에 이어 3번째다 이 전 대표는 이날 중앙선거관리위원회에 대선 예비후보자 등록을 마치고 본격적인 대선 레이스에 돌입했다이 전 대표는 이날 공개한 10분 분량의 영상에서 그냥 이름만 있는 대한민국이 아니라 진짜 대한민국을 만들고 싶다면서 새로운 국가 비전으로 한국이 세계를 선도하는 다양한 영역을 통칭하는 K이니셔티브를 제시했다 이 전 대표는 먹고사는 것조차 해결하지 못하던 시대에 김구 선생이 문화 강국을 얘기했다며 K컬처에 더해 촛불혁명 빛의 혁명을 통해 무혈의 평화혁명으로 현실 권력을 끌어내린 세계사에 없는 K민주주의를 보여줬다고 말했다 그러면서 규모는 작지만 소프트 파워 측면에서 세계를 여러 영역에서 선도하는 나라를 꼭 만들고 싶다고 강조했다,2025-04-10 14:59:00,https://www.donga.com/news/Politics/article/all/20250410/131388482/1,동아닷컴,"['더불어민주당', '이재명', '대표', '10', '진짜', '대한민국', '만들', '다며', '위대하', '대한국민', '훌륭하', '도구', '최고', '도구', '다고', '대선', '출마', '공식', '선언', '대표', '대선', '도전', '2017', '2022', '대표', '이날', '중앙', '선거', '관리', '위원회', '대선', '예비', '후보자', '등록', '본격', '대선', '레이스', '돌입', '대표', '이날', '공개', '10', '분량', '영상', '그냥', '이름', '대한민국', '진짜', '대한민국', '만들', '다면서', '새롭', '국가', '비전', '한국', '세계', '선도', '다양', '영역', '통칭', '이니셔티브', '제시', '대표', '먹고살', '해결', '못하', '시대', '김구', '선생', '문화', '강국', '얘기', '다며', '컬처', '촛불', '혁명', '혁명', '통하', '무혈', '평화', '혁명', '현실', '권력', '끌어내리', '세계사', '민주주의', '보이', '다고', '그러', '면서', '규모', '소프트', '파워', '측면', '세계', '여러', '영역', '선도', '나라', '만들', '다고', '강조']",이재명 “진짜 대한민국 만들고 싶다”…3번째 대선 도전 더불어민주당 이재명 전 대표가 10일 진짜 대한민국을 만들고 싶다며 위대한 대한국민의 훌륭한 도구 최고의 도구가 되겠다고 대선 출마를 공식 선언했다 이 전 대표의 대선 도전은 2017년 2022년에 이어 3번째다 이 전 대표는 이날 중앙선거관리위원회에 대선 예비후보자 등록을 마치고 본격적인 대선 레이스에 돌입했다이 전 대표는 이날 공개한 10분 분량의 영상에서 그냥 이름만 있는 대한민국이 아니라 진짜 대한민국을 만들고 싶다면서 새로운 국가 비전으로 한국이 세계를 선도하는 다양한 영역을 통칭하는 K이니셔티브를 제시했다 이 전 대표는 먹고사는 것조차 해결하지 못하던 시대에 김구 선생이 문화 강국을 얘기했다며 K컬처에 더해 촛불혁명 빛의 혁명을 통해 무혈의 평화혁명으로 현실 권력을 끌어내린 세계사에 없는 K민주주의를 보여줬다고 말했다 그러면서 규모는 작지만 소프트 파워 측면에서 세계를 여러 영역에서 선도하는 나라를 꼭 만들고 싶다고 강조했다,1
