title,description,published,link,media,desc_tokens,text,topic
"전한길 만난 尹 “나야 감옥가고 죽어도 상관없지만, 우리 국민들 어떡하나”",한국사 강사 전한길씨가 서울 한남동 관저에서 윤석열 전 대통령을 만났다고 10일 밝혔다 이철우 경북지사도 전날 대선 출마 선언 직후 관저에서 윤 전 대통령을 만났다,2025-04-10 08:27:00,https://www.chosun.com/politics/politics_general/2025/04/10/WJ3L7NMNPNFNREWDMDNQZ2QBVQ/,조선닷컴,"['한국사', '강사', '전한길', '서울', '한남동', '관저', '윤석열', '대통령', '만나', '다고', '10', '밝히', '이철우', '경북', '지사', '전날', '대선', '출마', '선언', '직후', '관저', '대통령', '만나']","전한길 만난 尹 “나야 감옥가고 죽어도 상관없지만, 우리 국민들 어떡하나” 한국사 강사 전한길씨가 서울 한남동 관저에서 윤석열 전 대통령을 만났다고 10일 밝혔다 이철우 경북지사도 전날 대선 출마 선언 직후 관저에서 윤 전 대통령을 만났다",4
"대선 출마 이철우 “尹 전 대통령, ‘사람 쓸 때 충성심이 가장 중요’ 당부”",대선 출마를 선언한 이철우 경북지사는 10일 페이스북을 통해 윤석열 전 대통령을 어제 저녁 한남동 관저에서 만났다며 윤 전 대통령이 이번 선거에서 우리 당이 승리해서 자유민주주의를 지켜야 한다며 최선을 다하겠다면서 저에게도 힘껏 노력해서 대통령에 당선되기를 바란다는 덕담을 했다고 전했다,2025-04-10 06:36:00,https://www.chosun.com/politics/politics_general/2025/04/10/XZRQJ7XHH5GXVA2MYVSQ3IISNE/,조선닷컴,"['대선', '출마', '선언', '이철우', '경북', '지사', '10', '페이스북', '통하', '윤석열', '대통령', '어제', '저녁', '한남동', '관저', '만나', '다며', '대통령', '선거', '승리', '아서', '자유', '민주주의', '지키', '어야', 'ㄴ다며', '최선', '다면서', '힘껏', '노력', '아서', '대통령', '당선', '바라', 'ㄴ다는', '덕담', '다고', '전하']","대선 출마 이철우 “尹 전 대통령, ‘사람 쓸 때 충성심이 가장 중요’ 당부” 대선 출마를 선언한 이철우 경북지사는 10일 페이스북을 통해 윤석열 전 대통령을 어제 저녁 한남동 관저에서 만났다며 윤 전 대통령이 이번 선거에서 우리 당이 승리해서 자유민주주의를 지켜야 한다며 최선을 다하겠다면서 저에게도 힘껏 노력해서 대통령에 당선되기를 바란다는 덕담을 했다고 전했다",4
전한길 “마음 안들어도 판결 존중… 동맹과 종북 중 뭘 택할지 계속 묻고 싸울 것”,지난 4일 문형배 헌법재판소장 권한대행이 피청구인 대통령 윤석열을 파면한다는 주문을 읽자 한국사 강사 전한길55씨는 자신의 유튜브 방송에서 두 손으로 얼굴을 감싸고 한동안 움직이지 못했다 이윽고 전씨는 저와 같은 뜻이었던 분들께 승복하기를 부탁드린다 그것이 바로 우리가 추구한 자유민주주의와 법치주의라고 했다 전씨는 6일 본지 인터뷰에서도 2030 세대에게 함부로 유혈 사태 운운해선 안 된다 그런 짓은 절대로 용서할 수 없다면서 지금은 헌법 테두리 안에서 보수 가치를 지켜나가는 저항에 나서야 할 때라고 했다,2025-04-06 16:11:00,https://www.chosun.com/politics/politics_general/2025/04/07/BDLNIPTJFBC5LPZ6JYN2NTEC2I/,조선닷컴,"['지나', '문형배', '헌법', '재판소장', '권한', '대행', '청구', '대통령', '윤석열', '파면', 'ㄴ다는', '주문', '한국사', '강사', '전한길55', '유튜브', '방송', '얼굴', '감싸', '한동안', '움직이', '못하', '이윽고', '승복', '부탁', '드리', 'ㄴ다', '그것', '추구', '자유', '민주주의', '법치주의', '라고', '본지', '인터뷰', '2030', '세대', '함부로', '유혈', '사태', '아서', 'ㄴ다', '그런', '절대로', '용서', '다면서', '지금', '헌법', '테두리', '보수', '가치', '지키', '나가', '저항', '나서', '어야', '라고']",전한길 “마음 안들어도 판결 존중… 동맹과 종북 중 뭘 택할지 계속 묻고 싸울 것” 지난 4일 문형배 헌법재판소장 권한대행이 피청구인 대통령 윤석열을 파면한다는 주문을 읽자 한국사 강사 전한길55씨는 자신의 유튜브 방송에서 두 손으로 얼굴을 감싸고 한동안 움직이지 못했다 이윽고 전씨는 저와 같은 뜻이었던 분들께 승복하기를 부탁드린다 그것이 바로 우리가 추구한 자유민주주의와 법치주의라고 했다 전씨는 6일 본지 인터뷰에서도 2030 세대에게 함부로 유혈 사태 운운해선 안 된다 그런 짓은 절대로 용서할 수 없다면서 지금은 헌법 테두리 안에서 보수 가치를 지켜나가는 저항에 나서야 할 때라고 했다,4
"尹, 관저에서 나경원과 차담…“나라 참 걱정...어려운 시기 역할 고맙다”",윤석열 전 대통령이 헌법재판소의 탄핵 인용 선고 이튿날인 5일 서울 한남동 관저를 찾은 나경원 국민의힘 의원을 만났다,2025-04-05 08:48:00,https://www.chosun.com/politics/politics_general/2025/04/05/HET4SIQUONHXROD733XDTJR37A/,조선닷컴,"['윤석열', '대통령', '헌법', '재판소', '탄핵', '인용', '선고', '이튿날', '서울', '한남동', '관저', '나경원', '국민', '의원', '만나']","尹, 관저에서 나경원과 차담…“나라 참 걱정...어려운 시기 역할 고맙다” 윤석열 전 대통령이 헌법재판소의 탄핵 인용 선고 이튿날인 5일 서울 한남동 관저를 찾은 나경원 국민의힘 의원을 만났다",4
전한길 “어제 尹 만나…본인 감옥 가도 상관없지만 청년에 미안하다고 해”,한국사 강사 전한길 씨가 한남동 관저를 찾아 이사를 앞둔 윤석열 전 대통령을 만났다10일 전 씨는 전한길 뉴스 홈페이지에 다음과 같은 글을 올렸다 전한길 뉴스는 전 씨가 1인 미디어 언론사의 취지로 만든 사이트다전 씨는 윤 전 대통령과 악수할 때 지켜드리지 못한 미안함 선고가 기각돼 직무에 복귀하셨으면 얼마나 좋았을까라는 생각이 들었다고 밝혔다윤 전 대통령은 전 씨에게 나야 감옥에 가거나 죽어도 상관없지만 국민과 청년 세대는 어떡하나라고 말했다이에 전 씨는 그분의 마음은 온통 국민과 국가뿐이었다 한참 침묵할 수밖에 없었다고 심경을 전했다이어 그는 헌법학자 허영 교수의 기고문에서 국가긴급권은 대통령만이 판단할 수 있는 고도의 통치 행위이며 이를 이유로 처벌되거나 파면된 사례는 없다는 내용을 인용했다그러면서 헌재는 비상계엄 선포의 원인과 결과는 외면하고 과정만 부각했다 위법한 증거불법에 근거해 대통령을 파면했다며 이는 세계 탄,2025-04-10 14:16:00,https://www.donga.com/news/Politics/article/all/20250410/131388196/2,동아닷컴,"['한국사', '강사', '전한길', '한남동', '관저', '이사', '앞두', '윤석열', '대통령', '만나', '10', '전한길', '뉴스', '홈페이지', '올리', '전한길', '뉴스', '미디어', '언론사', '취지', '만들', '사이트다전', '대통령', '악수', '지키', '드리', '못하', '미안', '선고', '기각', '직무', '복귀', '으면', '을까', '라는', '생각', '다고', '밝히', '대통령', '감옥', '거나', '어도', '상관없', '국민', '청년', '세대', '어떡하', '라고', '다이', '그분', '마음', '온통', '국민', '국가', '한참', '침묵', '밖에', '다고', '심경', '전하', '이어', '헌법학자', '허영', '교수', '기고문', '국가', '긴급', '대통령', '판단', '고도', '통치', '행위', '이유', '처벌', '거나', '파면', '사례', '다는', '내용', '인용', '그러', '면서', '헌재', '비상계엄', '선포', '원인', '결과', '외면', '과정', '부각', '위법', '증거', '불법', '근거', '대통령', '파면', '다며', '세계']",전한길 “어제 尹 만나…본인 감옥 가도 상관없지만 청년에 미안하다고 해” 한국사 강사 전한길 씨가 한남동 관저를 찾아 이사를 앞둔 윤석열 전 대통령을 만났다10일 전 씨는 전한길 뉴스 홈페이지에 다음과 같은 글을 올렸다 전한길 뉴스는 전 씨가 1인 미디어 언론사의 취지로 만든 사이트다전 씨는 윤 전 대통령과 악수할 때 지켜드리지 못한 미안함 선고가 기각돼 직무에 복귀하셨으면 얼마나 좋았을까라는 생각이 들었다고 밝혔다윤 전 대통령은 전 씨에게 나야 감옥에 가거나 죽어도 상관없지만 국민과 청년 세대는 어떡하나라고 말했다이에 전 씨는 그분의 마음은 온통 국민과 국가뿐이었다 한참 침묵할 수밖에 없었다고 심경을 전했다이어 그는 헌법학자 허영 교수의 기고문에서 국가긴급권은 대통령만이 판단할 수 있는 고도의 통치 행위이며 이를 이유로 처벌되거나 파면된 사례는 없다는 내용을 인용했다그러면서 헌재는 비상계엄 선포의 원인과 결과는 외면하고 과정만 부각했다 위법한 증거불법에 근거해 대통령을 파면했다며 이는 세계 탄,4
전한길 “26년간 해온 한국사 강의 그만둬야 하나 고민…계엄뒤 인생 바뀌어”,윤석열 전 대통령의 탄핵을 반대했던 한국사 강사 전한길 씨가 26년간 해왔던 역사 강의를 그만둬야 하나 고민하고 있다며 자신의 상황을 전했다전 씨는 9일 유튜브채널 전한길TV에서 제 운명이 지난해 123 비상계엄을 계기로 제 삶이 바뀌었다며 이같이 말했다전 씨는 정치 이야기를 하니까 성향이 다른 이들로부터 욕을 많이 먹고 있다며 친한 친구한테는 쓰레기라는 말을 듣고 아내한테는 자꾸 이럴 거면 이혼하자는 소리도 들리고 저를 존경한다고 했던 제자들은 실망했다고 하고 주변 사람들 연락도 다 끊겼다 친한 사람들도 저를 좀 조심스러워하더라고 토로했다이어 이전에는 방송에도 자주 나왔는데 가장 메인이었던 방송 한 곳에서도 잘렸다 넷플릭스 폭싹 속았수다에서도 잘렸다며 34개월 만에 삶이 바뀌었다고 했다전 씨는 계속해서 정치 활동에 나서는 이유에 대해 자유민주주의가 무너지고 있다며 2030세대들을 위해 목소리를 내줘야 한다고 밝혔다,2025-04-10 10:26:00,https://www.donga.com/news/Society/article/all/20250410/131386395/2,동아닷컴,"['윤석열', '대통령', '탄핵', '반대', '한국사', '강사', '전한길', '26', '역사', '강의', '그만두', '어야', '고민', '다며', '상황', '전하', '유튜브', '채널', '한길TV', '운명', '지난해', '123', '비상계엄', '계기', '바뀌', '다며', '정치', '이야기', '니까', '성향', '많이', '다며', '친하', '친구', '한테', '쓰레기', '라는', '아내', '한테', '자꾸', '이렇', '이혼', '자는', '소리', '들리', '존경', 'ㄴ다고', '제자', '실망', '다고', '주변', '사람', '연락', '끊기', '친하', '사람', '조심', '스럽', '더라고', '토로', '이전', '방송', '자주', '나오', '는데', '가장', '메인', '방송', '잘리', '넷플릭스', '폭싹', '수다', '잘리', '다며', '34', '개월', '바뀌', '다고', '계속', '아서', '정치', '활동', '나서', '이유', '대하', '자유', '민주주의', '무너지', '다며', '2030', '세대', '위하', '목소리', '내주', '어야', 'ㄴ다고', '밝히']",전한길 “26년간 해온 한국사 강의 그만둬야 하나 고민…계엄뒤 인생 바뀌어” 윤석열 전 대통령의 탄핵을 반대했던 한국사 강사 전한길 씨가 26년간 해왔던 역사 강의를 그만둬야 하나 고민하고 있다며 자신의 상황을 전했다전 씨는 9일 유튜브채널 전한길TV에서 제 운명이 지난해 123 비상계엄을 계기로 제 삶이 바뀌었다며 이같이 말했다전 씨는 정치 이야기를 하니까 성향이 다른 이들로부터 욕을 많이 먹고 있다며 친한 친구한테는 쓰레기라는 말을 듣고 아내한테는 자꾸 이럴 거면 이혼하자는 소리도 들리고 저를 존경한다고 했던 제자들은 실망했다고 하고 주변 사람들 연락도 다 끊겼다 친한 사람들도 저를 좀 조심스러워하더라고 토로했다이어 이전에는 방송에도 자주 나왔는데 가장 메인이었던 방송 한 곳에서도 잘렸다 넷플릭스 폭싹 속았수다에서도 잘렸다며 34개월 만에 삶이 바뀌었다고 했다전 씨는 계속해서 정치 활동에 나서는 이유에 대해 자유민주주의가 무너지고 있다며 2030세대들을 위해 목소리를 내줘야 한다고 밝혔다,4
尹 만난 전한길 “지켜드리지 못해 미안해 … 반드시 대선에서 승리할 것”,윤석열 전 대통령의 123 비상계엄을 공개 지지해 온 한국사 1타강사 전한길씨가 서울 용산구 한남동 관저를 찾아 윤 전 대통령을 만났다 전 씨는 10일 자신이 설립한 ,2025-04-10 14:48:00,https://www.mk.co.kr/news/politics/11288099,매일경제,"['윤석열', '대통령', '123', '비상계엄', '공개', '지지', '한국사', '강사', '전한길', '서울', '용산구', '한남동', '관저', '대통령', '만나', '10', '설립']",尹 만난 전한길 “지켜드리지 못해 미안해 … 반드시 대선에서 승리할 것” 윤석열 전 대통령의 123 비상계엄을 공개 지지해 온 한국사 1타강사 전한길씨가 서울 용산구 한남동 관저를 찾아 윤 전 대통령을 만났다 전 씨는 10일 자신이 설립한 ,4
"“쓰레기 소리 듣고, 아내는 이혼 요구, 주변사람 연락도 끊겨”…은퇴 고민 중이라는 전한길",윤석열 전 대통령과 비상 계엄을 옹호해 논란이 된 한국사 강사 전한길씨가 최근 넉달간 자신의 삶이 완전히 달라졌다며 당분간 강단에 복귀할 수 없을 것 같다고 고백했다 전씨는 지난,2025-04-10 13:33:00,https://www.mk.co.kr/news/politics/11287938,매일경제,"['윤석열', '대통령', '비상', '계엄', '옹호', '논란', '한국사', '강사', '전한길', '최근', '완전히', '달라지', '다며', '당분간', '강단', '복귀', '다고', '고백', '지나']","“쓰레기 소리 듣고, 아내는 이혼 요구, 주변사람 연락도 끊겨”…은퇴 고민 중이라는 전한길 윤석열 전 대통령과 비상 계엄을 옹호해 논란이 된 한국사 강사 전한길씨가 최근 넉달간 자신의 삶이 완전히 달라졌다며 당분간 강단에 복귀할 수 없을 것 같다고 고백했다 전씨는 지난",4
대선 출마 이철우 “尹 만났다…주변 인사들 배신에 깊이 상처받은 것으로 짐작”,제21대 대통령 선거 출마를 선언한 이철우 경북도지사는 10일 윤석열 전 대통령이 주변 인사들의 배신에 깊이 상처 받은 것으로 짐작된다고 밝혔다 그는 이날 자신의 사회관계,2025-04-10 08:08:00,https://www.mk.co.kr/news/politics/11287594,매일경제,"['21', '대통령', '선거', '출마', '선언', '이철우', '경북', '도지사', '10', '윤석열', '대통령', '주변', '인사', '배신', '깊이', '상처', '짐작', 'ㄴ다고', '밝히', '이날', '사회관계']",대선 출마 이철우 “尹 만났다…주변 인사들 배신에 깊이 상처받은 것으로 짐작” 제21대 대통령 선거 출마를 선언한 이철우 경북도지사는 10일 윤석열 전 대통령이 주변 인사들의 배신에 깊이 상처 받은 것으로 짐작된다고 밝혔다 그는 이날 자신의 사회관계,4
“사람에 충성하지 않는다”던 윤석열…“사람을 쓸 때 가장 중요한 건 충성심”,대선 출마 이철우 만나 조언 연일 정치 행보에 비판 나와 윤 11일 관저 퇴거 사저로 윤석열 전 대통령이 연일 정치적 메시지를 발신하고 있다 대선 국면에서 구 여권 대선 주자 등을 잇따라 만나며 전언 정치로 목소리 키우기에 나섰다 헌법수호 책무를 저버려 파면된 전직 대통령이 다시 헌법수호자를 뽑는 선거에 영향력을 행사하려는 것에 대한 ,2025-04-10 20:24:00,https://www.khan.co.kr/article/202504102024035/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['대선', '출마', '이철우', '만나', '조언', '연일', '정치', '행보', '비판', '나오', '11', '관저', '퇴거', '사저', '윤석열', '대통령', '정치', '메시지', '발신', '대선', '국면', '대선', '주자', '잇따르', '만나', '전언', '정치', '목소리', '키우', '나서', '헌법', '수호', '책무', '저버리', '파면', '전직', '대통령', '다시', '헌법', '수호자', '선거', '영향력', '행사', '려는', '대하']",“사람에 충성하지 않는다”던 윤석열…“사람을 쓸 때 가장 중요한 건 충성심” 대선 출마 이철우 만나 조언 연일 정치 행보에 비판 나와 윤 11일 관저 퇴거 사저로 윤석열 전 대통령이 연일 정치적 메시지를 발신하고 있다 대선 국면에서 구 여권 대선 주자 등을 잇따라 만나며 전언 정치로 목소리 키우기에 나섰다 헌법수호 책무를 저버려 파면된 전직 대통령이 다시 헌법수호자를 뽑는 선거에 영향력을 행사하려는 것에 대한 ,4
"이철우 “윤 전 대통령, 약주도 한 잔 안 하셔서 걱정”",윤 나경원 등 구 여권 인사 만나며 관저 정치 이철우엔 대통령 되면 충성심 봐라 조언 사람에 충성 안 한다 과거 발언과 배치 윤석열 전 대통령 대통령실 제공 윤석열 전 대통령이 연일 정치적 메시지를 발신하고 있다 제21대 대선 국면에서 구 여권 대선주자 등을 잇따라 만나며 전언 정치로 목소리 키우기에 나섰다 헌법수호 책무를 저버려 파면,2025-04-10 11:29:00,https://www.khan.co.kr/article/202504101129021/?utm_source=khan_rss&utm_medium=rss&utm_campaign=politic_news,경향닷컴,"['나경원', '여권', '인사', '만나', '관저', '정치', '이철우', '대통령', '충성심', '아라', '조언', '사람', '충성', 'ㄴ다', '과거', '발언', '배치', '윤석열', '대통령', '대통령실', '제공', '윤석열', '대통령', '연일', '정치', '메시지', '발신', '21', '대선', '국면', '대선', '주자', '잇따르', '만나', '전언', '정치', '목소리', '키우', '나서', '헌법', '수호', '책무', '저버리']","이철우 “윤 전 대통령, 약주도 한 잔 안 하셔서 걱정” 윤 나경원 등 구 여권 인사 만나며 관저 정치 이철우엔 대통령 되면 충성심 봐라 조언 사람에 충성 안 한다 과거 발언과 배치 윤석열 전 대통령 대통령실 제공 윤석열 전 대통령이 연일 정치적 메시지를 발신하고 있다 제21대 대선 국면에서 구 여권 대선주자 등을 잇따라 만나며 전언 정치로 목소리 키우기에 나섰다 헌법수호 책무를 저버려 파면",4
