title,description,published,link,media,desc_tokens,text,topic
"윤석열 전 대통령, 11일 오후 5시 관저 떠난다",윤석열 전 대통령이 오는 11일 오후 5시 서울 용산구 한남동 대통령 관저에서 퇴거한다,2025-04-10 08:07:00,https://www.chosun.com/politics/politics_general/2025/04/10/3OVD5P4UOFD37OE57RTI7ZEJZE/,조선닷컴,"['윤석열', '대통령', '11', '오후', '서울', '용산구', '한남동', '대통령', '관저', '퇴거', 'ㄴ다']","윤석열 전 대통령, 11일 오후 5시 관저 떠난다 윤석열 전 대통령이 오는 11일 오후 5시 서울 용산구 한남동 대통령 관저에서 퇴거한다",5
尹 “새로운 인생 또 시작”… 사저 정치 시동 거나,지난 4일 헌법재판소 결정으로 파면당한 윤석열 전 대통령은 주말에 서울 한남동 대통령 관저에 머물며 대통령실 참모 변호인단 일부 국민의힘 인사를 만났다 윤 전 대통령은 거처를 사저로 옮길 준비도 했다 윤 전 대통령은 이번 주 중후반쯤 관저를 나와 서울 서초동 사저로 이사할 것으로 알려졌다,2025-04-06 16:07:00,https://www.chosun.com/politics/politics_general/2025/04/07/VR5DOFPVWVHNXHPP3R6MZCWWRM/,조선닷컴,"['지나', '헌법', '재판소', '결정', '파면', '당하', '윤석열', '대통령', '주말', '서울', '한남동', '대통령', '관저', '머물', '대통령실', '참모', '변호인단', '일부', '국민', '인사', '만나', '대통령', '거처', '사저', '옮기', '준비', '대통령', '후반', '관저', '나오', '서울', '서초동', '사저', '이사', '알려지']",尹 “새로운 인생 또 시작”… 사저 정치 시동 거나 지난 4일 헌법재판소 결정으로 파면당한 윤석열 전 대통령은 주말에 서울 한남동 대통령 관저에 머물며 대통령실 참모 변호인단 일부 국민의힘 인사를 만났다 윤 전 대통령은 거처를 사저로 옮길 준비도 했다 윤 전 대통령은 이번 주 중후반쯤 관저를 나와 서울 서초동 사저로 이사할 것으로 알려졌다,5
尹 측 “형사 재판시 지하주차장으로 출입하게 해달라”,내란우두머리 혐의 첫 정식 공판을 앞둔 윤석열 전 대통령 측이 당일 지하 주차장을 통해 법원에 들어가게 해달라고 요청한 것으로 파악됐다10일 법원 등에 따르면 대통령 경호처는 최근 법원에 오는 14일 윤 대통령이 탑승한 차량이 곧바로 지하 주차장으로 진입하게 해달라고 요청했다법원은 이와 관련해 논의를 진행한 후 11일 조치 내용을 발표할 예정이다윤 대통령은 구속기소된 김용현 전 국방부 장관 등과 공모해 전시사변 또는 이에 준하는 국가비상사태의 징후 등이 없었는데도 위헌위법한 비상계엄을 선포하는 등 국헌 문란을 목적으로 폭동을 일으킨 혐의를 받는다이 과정에서 계엄군과 경찰을 동원해 국회를 봉쇄하고 비상계엄 해제 의결을 방해했으며 우원식 국회의장 이재명 더불어민주당 대표 한동훈 전 국민의힘 대표 등 주요 인사와 중앙선거관리위원회 직원을 체포구금하려 한 정황이 있다윤 대통령은 지난 2월 첫 공판준비기일에는 직접 출석했으나 두 번째 공판준비기일에는 모습을 드러내지 않았다,2025-04-10 21:15:00,https://www.donga.com/news/Society/article/all/20250410/131393749/1,동아닷컴,"['내란우두머리', '혐의', '정식', '공판', '앞두', '윤석열', '대통령', '당일', '지하', '주차장', '통하', '법원', '들어가', '라고', '요청', '파악', '10', '법원', '따르', '대통령', '경호처', '최근', '법원', '14', '대통령', '탑승', '차량', '곧바로', '지하', '주차장', '진입', '라고', '요청', '법원', '관련', '논의', '진행', '11', '조치', '내용', '발표', '예정', '대통령', '구속', '기소', '김용현', '국방부', '장관', '공모', '전시사변', '또는', '준하', '국가', '비상사태', '징후', '는데', '위헌', '위법', '비상계엄', '선포', '국헌', '문란', '목적', '폭동', '일으키', '혐의', '는다', '과정', '계엄군', '경찰', '동원', '국회', '봉쇄', '비상계엄', '해제', '의결', '방해', '으며', '우원식', '국회', '의장', '이재명', '더불어민주당', '대표', '한동훈', '국민의힘', '대표', '주요', '인사', '중앙', '선거', '관리', '위원회', '직원', '체포', '구금', '정황', '대통령', '지나', '공판', '준비', '기일', '직접', '출석', '으나', '공판', '준비', '기일', '모습', '드러내']",尹 측 “형사 재판시 지하주차장으로 출입하게 해달라” 내란우두머리 혐의 첫 정식 공판을 앞둔 윤석열 전 대통령 측이 당일 지하 주차장을 통해 법원에 들어가게 해달라고 요청한 것으로 파악됐다10일 법원 등에 따르면 대통령 경호처는 최근 법원에 오는 14일 윤 대통령이 탑승한 차량이 곧바로 지하 주차장으로 진입하게 해달라고 요청했다법원은 이와 관련해 논의를 진행한 후 11일 조치 내용을 발표할 예정이다윤 대통령은 구속기소된 김용현 전 국방부 장관 등과 공모해 전시사변 또는 이에 준하는 국가비상사태의 징후 등이 없었는데도 위헌위법한 비상계엄을 선포하는 등 국헌 문란을 목적으로 폭동을 일으킨 혐의를 받는다이 과정에서 계엄군과 경찰을 동원해 국회를 봉쇄하고 비상계엄 해제 의결을 방해했으며 우원식 국회의장 이재명 더불어민주당 대표 한동훈 전 국민의힘 대표 등 주요 인사와 중앙선거관리위원회 직원을 체포구금하려 한 정황이 있다윤 대통령은 지난 2월 첫 공판준비기일에는 직접 출석했으나 두 번째 공판준비기일에는 모습을 드러내지 않았다,5
"尹, 내일 오후 5시 서초동 사저로…경호팀 40명 구성",윤석열 전 대통령이 11일 오후 5시 서울 한남동 대통령 관저를 떠나 서초동 아크로비스타 사저로 이동할 예정이다 4일 헌법재판소의 파면 결정 이후 일주일 만이다 전직 대통령 경호인력이 구성된 가운데 서초동 사저로 이주를 마무리한 뒤 추후 수도권의 다른 거처를 물색할 것이라는 전망이 나온다 10일 대통령실에 따르면 윤 전 대통령과 김건희 여사는 11일 오후 관저에서 퇴거하고 대통령실 고위 참모진도 관저를 찾아 배웅할 것으로 전해졌다 일부 짐은 서초동 사저로 옮겨졌고 사저 점검 작업도 마쳤다고 한다 윤 전 대통령 내외가 관저에서 키우던 반려견 반려묘 11마리도 함께 이동할 계획이다 윤 전 대통령의 경호를 전담할 40여 명 규모의 전직 대통령 경호팀도 구성됐다 관저를 담당해 온 3급 경호부장이 경호팀장을 맡는 것으로 알려졌다 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 1회 연장할 수 있어 최장 10년까지 가능하,2025-04-10 21:00:00,https://www.donga.com/news/Politics/article/all/20250410/131390113/1,동아닷컴,"['윤석열', '대통령', '11', '오후', '서울', '한남동', '대통령', '관저', '떠나', '서초동', '아크로비스타', '사저', '이동', '예정', '헌법', '재판소', '파면', '결정', '이후', '주일', '전직', '대통령', '경호', '인력', '구성', '가운데', '서초동', '사저', '이주', '마무리', '추후', '수도', '거처', '물색', '라는', '전망', '나오', 'ㄴ다', '10', '대통령실', '따르', '대통령', '김건희', '여사', '11', '오후', '관저', '퇴거', '대통령실', '고위', '참모진', '관저', '배웅', '전하', '일부', '서초동', '사저', '옮기', '사저', '점검', '작업', '다고', 'ㄴ다', '대통령', '내외', '관저', '키우', '반려견', '반려묘', '11', '마리', '이동', '계획', '대통령', '경호', '전담', '40', '규모', '전직', '대통령', '경호', '구성', '관저', '담당', '경호', '부장', '경호', '팀장', '알려지', '대통령', '경호', '따르', '파면', '경호', '경비', '관련', '예우', '유지', 'ㄴ다', '경호', '기간', '단축', '연장', '최장', '10', '가능']","尹, 내일 오후 5시 서초동 사저로…경호팀 40명 구성 윤석열 전 대통령이 11일 오후 5시 서울 한남동 대통령 관저를 떠나 서초동 아크로비스타 사저로 이동할 예정이다 4일 헌법재판소의 파면 결정 이후 일주일 만이다 전직 대통령 경호인력이 구성된 가운데 서초동 사저로 이주를 마무리한 뒤 추후 수도권의 다른 거처를 물색할 것이라는 전망이 나온다 10일 대통령실에 따르면 윤 전 대통령과 김건희 여사는 11일 오후 관저에서 퇴거하고 대통령실 고위 참모진도 관저를 찾아 배웅할 것으로 전해졌다 일부 짐은 서초동 사저로 옮겨졌고 사저 점검 작업도 마쳤다고 한다 윤 전 대통령 내외가 관저에서 키우던 반려견 반려묘 11마리도 함께 이동할 계획이다 윤 전 대통령의 경호를 전담할 40여 명 규모의 전직 대통령 경호팀도 구성됐다 관저를 담당해 온 3급 경호부장이 경호팀장을 맡는 것으로 알려졌다 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 1회 연장할 수 있어 최장 10년까지 가능하",5
"尹, 내일 오후 5시 관저 떠나 서초동 사저로 이동",윤석열 전 대통령이 11일 한남동 관저를 떠나 서초동 아크로비스타 사저로 이동한다윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일11일 오후 5시 관저를 떠나 사저로 이동한다 대통령실 수석급 참모 등은 관저를 찾을 것으로 전해졌다고 밝혔다그러면서 이외에 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등은 정해진 바 없다고 부연했다윤 전 대통령은 현재 키우고 있는 11마리의 반려견과 반려묘를 모두 데리고 이동할 것으로 알려졌다경호의 어려움과 입주민들의 불편 등을 고려해 서초동 사저에 일정 기간 머물다 수도권의 단독주택 등으로 이동할 수도 있다는 전망도 나온다 한편 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 최장 10년까지도 가능하다,2025-04-10 17:16:00,https://www.donga.com/news/Politics/article/all/20250410/131390707/2,동아닷컴,"['윤석열', '대통령', '11', '한남동', '관저', '떠나', '서초동', '아크로비스타', '사저', '이동', '다윤', '대통령', '관계자', '10', '대통령', '내일', '11', '오후', '관저', '떠나', '사저', '이동', 'ㄴ다', '대통령실', '수석', '참모', '관저', '전하', '다고', '밝히', '그러', '면서', '이외', '별도', '메시지', '나오', 'ㄹ지', '차량', '내리', '인사', 'ㄹ지', '정하', '다고', '부연', '대통령', '현재', '키우', '11', '마리', '반려견', '반려', '데리', '이동', '알려지', '경호', '어려움', '입주민', '불편', '고려', '서초동', '사저', '일정', '기간', '머물', '수도', '단독', '주택', '이동', '다는', '전망', '나오', 'ㄴ다', '대통령', '경호', '따르', '파면', '경호', '경비', '관련', '예우', '유지', 'ㄴ다', '경호', '기간', '단축', '최장', '10', '가능']","尹, 내일 오후 5시 관저 떠나 서초동 사저로 이동 윤석열 전 대통령이 11일 한남동 관저를 떠나 서초동 아크로비스타 사저로 이동한다윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일11일 오후 5시 관저를 떠나 사저로 이동한다 대통령실 수석급 참모 등은 관저를 찾을 것으로 전해졌다고 밝혔다그러면서 이외에 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등은 정해진 바 없다고 부연했다윤 전 대통령은 현재 키우고 있는 11마리의 반려견과 반려묘를 모두 데리고 이동할 것으로 알려졌다경호의 어려움과 입주민들의 불편 등을 고려해 서초동 사저에 일정 기간 머물다 수도권의 단독주택 등으로 이동할 수도 있다는 전망도 나온다 한편 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 최장 10년까지도 가능하다",5
尹 내일 퇴거 앞두고…오늘 저녁 관저 앞 ‘맞불 집회’,윤석열 전 대통령이 이르면 11일 서울 용산구 한남동 대통령관저를 떠나 서초구 서초동 사저로 거처를 옮길 것으로 알려진 가운데 10일 오후 관저 앞에서는 대통령 지지자와 반대자들의 맞불 집회가 열릴 계획이다 다만 파면 전보다는 집회 규모가 대폭 줄어들 전망이다이날 오후 78시 윤 대통령 반대 측인 국민주권당은 관저 인근인 볼보빌딩 앞 인도에서 관저 퇴거 촉구 집회를 열 계획이다 이들은 3000명 규모 인원을 신고했지만 경찰은 비공식적으로 이들 실제 참가 인원이 10여 명 수준일 것으로 관측하고 있다 국민주권당은 전날에도 같은 장소에서 3000명 규모 집회를 신고한 뒤 12명이 모여 윤 전 대통령 부부가 하고 있는 것은 무단점거라고 비판했다이날 오후 8시엔 윤 대통령을 지지하는 대학생들이 모인 단체인 자유대학이 서울 지하철 6호선 이태원역 3번 출구 앞에서 모여 관저 인근 루터교회 앞까지 행진할 예정이다 이들은 2개 차로를 이용해 한강진역을 거쳐 1000명가량이 행진,2025-04-10 14:04:00,https://www.donga.com/news/Society/article/all/20250410/131387579/1,동아닷컴,"['윤석열', '대통령', '이르', '11', '서울', '용산구', '한남동', '대통령', '관저', '떠나', '서초구', '서초동', '사저', '거처', '옮기', '알려지', '가운데', '10', '오후', '관저', '대통령', '지지자', '반대자', '맞불', '집회', '열리', '계획', '보다', '집회', '규모', '대폭', '줄어들', '전망', '이날', '오후', '78', '대통령', '반대', '국민주권당', '관저', '인근', '볼보빌딩', '인도', '관저', '퇴거', '촉구', '집회', '계획', '3000', '규모', '인원', '신고', '경찰', '공식', '실제', '참가', '인원', '10', '수준', '관측', '국민주권당', '전날', '장소', '3000', '규모', '집회', '신고', '12', '모이', '대통령', '부부', '무단', '점거', '라고', '비판', '이날', '오후', '대통령', '지지', '대학', '모이', '단체', '자유대학', '서울', '지하철', '이태원역', '출구', '모이', '관저', '인근', '루터교회', '행진', '예정', '차로', '이용', '한강', '진역', '거치', '1000', '가량', '행진']",尹 내일 퇴거 앞두고…오늘 저녁 관저 앞 ‘맞불 집회’ 윤석열 전 대통령이 이르면 11일 서울 용산구 한남동 대통령관저를 떠나 서초구 서초동 사저로 거처를 옮길 것으로 알려진 가운데 10일 오후 관저 앞에서는 대통령 지지자와 반대자들의 맞불 집회가 열릴 계획이다 다만 파면 전보다는 집회 규모가 대폭 줄어들 전망이다이날 오후 78시 윤 대통령 반대 측인 국민주권당은 관저 인근인 볼보빌딩 앞 인도에서 관저 퇴거 촉구 집회를 열 계획이다 이들은 3000명 규모 인원을 신고했지만 경찰은 비공식적으로 이들 실제 참가 인원이 10여 명 수준일 것으로 관측하고 있다 국민주권당은 전날에도 같은 장소에서 3000명 규모 집회를 신고한 뒤 12명이 모여 윤 전 대통령 부부가 하고 있는 것은 무단점거라고 비판했다이날 오후 8시엔 윤 대통령을 지지하는 대학생들이 모인 단체인 자유대학이 서울 지하철 6호선 이태원역 3번 출구 앞에서 모여 관저 인근 루터교회 앞까지 행진할 예정이다 이들은 2개 차로를 이용해 한강진역을 거쳐 1000명가량이 행진,5
"尹, 이르면 11일 관저 퇴거…경호팀 40여명 규모 이미 편성",윤석열 전 대통령이 이르면 오는 11일 한남동 관저를 나와 서초동 사저로 거처를 옮길 전망이다 윤 전 대통령 측 관계자는 이날 사저로 가는 일정은 확정된 바 없다며 주말을 넘기지 않을 것이라는 입장에는 변함없다고 밝혔다 이 관계자는 일정이 확정되는 대로 별도로 알리겠다고 전했다 퇴거 당일 상황에 따라 시간 및 동선 등은 변경될 가능성이 있다 현재로서는 11일이 유력한 것으로 알려졌다 대통령경호처는 전날 관련 법률과 규정 등에 따라 윤 전 대통령 경호팀을 이미 편성했다며 규모는 역대 전직 대통령 수준으로 구성했다고 전했다 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 최장 10년까지도 가능하다 윤 전 대통령 경호 인력은 40명 안팎이 될 것으로 보인다 윤 전 대통령은 2022년 5월 취임 이후 6개월가량 서초동 사저에 머문 만큼 서초동 사저로 우선 거처를 옮기고 추후 수도권에 다른 장소를 물색할 것,2025-04-10 13:50:00,https://www.donga.com/news/Politics/article/all/20250410/131387703/1,동아닷컴,"['윤석열', '대통령', '이르', '11', '한남동', '관저', '나오', '서초동', '사저', '거처', '옮기', '전망', '대통령', '관계자', '사저', '일정', '확정', '다며', '주말', '넘기', '라는', '입장', '변함없', '다고', '밝히', '관계자', '일정', '확정', '대로', '별도', '알리', '다고', '전하', '퇴거', '당일', '상황', '따르', '동선', '변경', '가능', '현재', '로서', '11', '유력', '알려지', '대통령', '경호처', '전날', '관련', '법률', '규정', '따르', '대통령', '경호', '이미', '편성', '다며', '규모', '역대', '전직', '대통령', '수준', '구성', '다고', '전하', '대통령', '경호', '따르', '파면', '경호', '경비', '관련', '예우', '유지', 'ㄴ다', '경호', '기간', '단축', '최장', '10', '가능', '대통령', '경호', '인력', '40', '안팎', '보이', 'ㄴ다', '대통령', '2022', '취임', '이후', '개월', '가량', '서초동', '사저', '머물', '서초동', '사저', '거처', '옮기', '추후', '수도', '장소', '물색']","尹, 이르면 11일 관저 퇴거…경호팀 40여명 규모 이미 편성 윤석열 전 대통령이 이르면 오는 11일 한남동 관저를 나와 서초동 사저로 거처를 옮길 전망이다 윤 전 대통령 측 관계자는 이날 사저로 가는 일정은 확정된 바 없다며 주말을 넘기지 않을 것이라는 입장에는 변함없다고 밝혔다 이 관계자는 일정이 확정되는 대로 별도로 알리겠다고 전했다 퇴거 당일 상황에 따라 시간 및 동선 등은 변경될 가능성이 있다 현재로서는 11일이 유력한 것으로 알려졌다 대통령경호처는 전날 관련 법률과 규정 등에 따라 윤 전 대통령 경호팀을 이미 편성했다며 규모는 역대 전직 대통령 수준으로 구성했다고 전했다 대통령경호법에 따르면 파면되더라도 경호와 경비에 관련된 예우는 유지된다 경호 기간은 5년으로 단축되지만 최장 10년까지도 가능하다 윤 전 대통령 경호 인력은 40명 안팎이 될 것으로 보인다 윤 전 대통령은 2022년 5월 취임 이후 6개월가량 서초동 사저에 머문 만큼 서초동 사저로 우선 거처를 옮기고 추후 수도권에 다른 장소를 물색할 것",5
"尹, 내일 오후 5시 관저 퇴거…40명 규모 사저 경호팀 편성",윤석열 전 대통령이 11일 오후 5시 한남동 관저를 떠나 서초동 사저로 이주한다 윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일 오후 5시 관저를 떠나 사저로 이동한다고 밝혔다 이 관계자는 대통령실 수석비서관 이상 참모들은 윤 전 대통령의 퇴거 시간에 맞춰 관저를 방문할 것이라며 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등,2025-04-10 20:31:00,https://www.segye.com/newsView/20250410518454,세계일보,"['윤석열', '대통령', '11', '오후', '한남동', '관저', '떠나', '서초동', '사저', '이주', 'ㄴ다', '대통령', '관계자', '10', '대통령', '내일', '오후', '관저', '떠나', '사저', '이동', 'ㄴ다고', '밝히', '관계자', '대통령실', '수석', '비서관', '참모', '대통령', '퇴거', '맞추', '관저', '방문', '라며', '별도', '메시지', '나오', 'ㄹ지', '차량', '내리', '인사', 'ㄹ지']","尹, 내일 오후 5시 관저 퇴거…40명 규모 사저 경호팀 편성 윤석열 전 대통령이 11일 오후 5시 한남동 관저를 떠나 서초동 사저로 이주한다 윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일 오후 5시 관저를 떠나 사저로 이동한다고 밝혔다 이 관계자는 대통령실 수석비서관 이상 참모들은 윤 전 대통령의 퇴거 시간에 맞춰 관저를 방문할 것이라며 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등",5
"尹, 내일 오후 5시 대통령 관저 떠난다…반려동물 11마리도 함께 서초동으로",윤석열 전 대통령이 11일 오후 5시 서울 한남동 관저에서 서초동 사저로 거처를 옮긴다 10일 연합뉴스에 따르면 윤 전 대통령 측 관계자는 이날 윤 전 대통령은 내일 오후 5시,2025-04-10 18:50:00,https://www.mk.co.kr/news/politics/11288526,매일경제,"['윤석열', '대통령', '11', '오후', '서울', '한남동', '관저', '서초동', '사저', '거처', '옮기', 'ㄴ다', '10', '연합뉴스', '따르', '대통령', '관계자', '이날', '대통령', '내일', '오후']","尹, 내일 오후 5시 대통령 관저 떠난다…반려동물 11마리도 함께 서초동으로 윤석열 전 대통령이 11일 오후 5시 서울 한남동 관저에서 서초동 사저로 거처를 옮긴다 10일 연합뉴스에 따르면 윤 전 대통령 측 관계자는 이날 윤 전 대통령은 내일 오후 5시",5
"尹, 11일 관저 떠난다",윤석열 전 대통령이 11일 오후 5시께 한남동 관저를 떠나 서초동 사저로 옮길 예정이다 지난 4일 헌법재판소 파면 선고를 받은 지 일주일여 만이다 대통령실 수석급 참모들은 윤 ,2025-04-10 17:58:00,https://www.mk.co.kr/news/politics/11288473,매일경제,"['윤석열', '대통령', '11', '오후', '한남동', '관저', '떠나', '서초동', '사저', '옮기', '예정', '지나', '헌법', '재판소', '파면', '선고', '주일', '대통령실', '수석', '참모']","尹, 11일 관저 떠난다 윤석열 전 대통령이 11일 오후 5시께 한남동 관저를 떠나 서초동 사저로 옮길 예정이다 지난 4일 헌법재판소 파면 선고를 받은 지 일주일여 만이다 대통령실 수석급 참모들은 윤 ",5
