title,description,published,link,media,desc_tokens,text,topic
이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS],차기 대통령 적합도 조사에서 이재명 전 더불어민주당 대표가 32를 기록했고 김문수 전 고용노동부 장관이 12로 뒤를 이었다는 여론조사 결과가 10일 나왔다,2025-04-10 03:17:00,https://www.chosun.com/politics/politics_general/2025/04/10/C4W6WE4PZZHQNAEHGKUJ22RPWY/,조선닷컴,"['차기', '대통령', '적합', '조사', '이재명', '더불어민주당', '대표', '32', '기록', '김문수', '고용', '노동부', '장관', '12', '다는', '여론', '조사', '결과', '10', '나오']",이재명 32%·김문수 12%…정권 교체 48% vs 재창출 37% [NBS] 차기 대통령 적합도 조사에서 이재명 전 더불어민주당 대표가 32를 기록했고 김문수 전 고용노동부 장관이 12로 뒤를 이었다는 여론조사 결과가 10일 나왔다,6
‘유권자 18%’ 무당층 표심은 달랐다… 승부의 변수 되나,이재명 전 더불어민주당 대표가 최근 일부 여론조사에서 무당층부동층 표심에선 국민의힘 주요 대선 주자들에게 뒤진다는 결과가 나왔다 이 조사에서 이 전 대표는 국민의힘 주요 주자들과 가상 양자 대결에선 50가 넘는 지지도를 기록하며 앞섰다 다만 전체 응답자의 18에 이르는 무당층에선 오히려 상당수 국민의힘 주자들이 이 전 대표에게 앞선 것으로 나타났다 정치 전문가들은 63 조기 대선이 민주당국민의힘 후보의 양자 대결 구도로 전개될 가능성이 크다고 보고 있다 이 때문에 무당층부동층 표심을 어느 쪽이 잡느냐가 승부의 변수가 될 수 있다는 분석이 나온다,2025-04-09 16:12:00,https://www.chosun.com/politics/politics_general/2025/04/10/YZHZOCGJ5NCITCW262W6QNMCTI/,조선닷컴,"['이재명', '더불어민주당', '대표', '최근', '일부', '여론', '조사', '부동', '표심', '국민', '주요', '대선', '주자', '뒤지', 'ㄴ다는', '결과', '나오', '조사', '대표', '국민', '주요', '주자', '가상', '대결', '50', '지지도', '기록', '앞서', '전체', '응답자', '18', '이르', '무당', '상당수', '국민의힘', '주자', '대표', '앞서', '나타나', '정치', '전문가', '63', '조기', '대선', '민주당', '국민', '후보', '대결', '구도', '전개', '가능', '다고', '때문', '무당', '부동', '표심', '느냐', '승부', '변수', '다는', '분석', '나오', 'ㄴ다']",‘유권자 18%’ 무당층 표심은 달랐다… 승부의 변수 되나 이재명 전 더불어민주당 대표가 최근 일부 여론조사에서 무당층부동층 표심에선 국민의힘 주요 대선 주자들에게 뒤진다는 결과가 나왔다 이 조사에서 이 전 대표는 국민의힘 주요 주자들과 가상 양자 대결에선 50가 넘는 지지도를 기록하며 앞섰다 다만 전체 응답자의 18에 이르는 무당층에선 오히려 상당수 국민의힘 주자들이 이 전 대표에게 앞선 것으로 나타났다 정치 전문가들은 63 조기 대선이 민주당국민의힘 후보의 양자 대결 구도로 전개될 가능성이 크다고 보고 있다 이 때문에 무당층부동층 표심을 어느 쪽이 잡느냐가 승부의 변수가 될 수 있다는 분석이 나온다,6
계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영,윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,2025-04-09 16:08:00,https://www.chosun.com/politics/assembly/2025/04/10/23FSXXSRPRBN3P6MUNQU4PPPQA/,조선닷컴,"['윤석열', '대통령', '헌법', '재판소', '결정', '파면', '이후', '더불어민주당', '노조', '좌파', '진영', '중심', '국민', '비롯하', '보수', '진영', '내란', '세력', '규정', '공세', '거세']",계엄과 무관한 이슈까지… 尹정부 3년 모두 ‘내란’과 엮는 좌파진영 윤석열 대통령이 헌법재판소 결정으로 파면된 이후 더불어민주당과 노조 등 좌파 진영을 중심으로 국민의힘을 비롯한 보수 진영을 내란 세력으로 규정하는 공세가 거세지고 있다,6
대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치”,더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,2025-04-08 16:09:00,https://www.chosun.com/politics/assembly/2025/04/09/WNB2Y6XODFFSNHVQDKDBFF7XWE/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '남기', '기록물', '대통령', '기록물', '지정', '못하', '도록', '법안', '발의', '대통령', '국민', '겨냥', '공세', '민주당', '지나', '헌법', '재판소', '탄핵', '인용', '결정', '대통령', '대하', '추가', '수사', '구속', '촉구', '국민', '관련', '의혹', '규명', 'ㄴ다며', '연일', '맹공', '퍼붓', '국민', '향하', '아서', '대통령', '후보', '어서', 'ㄴ다고', '국민', '확정', '조기', '대선', '유리', '국면', '이끌', '위하', '민주당', '보수', '진영', '향하', '공포', '캠페인', '벌이', '다고']",대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치” 더불어민주당이 8일 윤석열 전 대통령이 남긴 기록물을 대통령기록물로 지정하지 못하도록 하는 법안을 발의하는 등 윤 전 대통령 측과 국민의힘을 겨냥한 공세를 이어갔다 민주당은 지난 4일 헌법재판소의 탄핵 인용 결정 후 윤 전 대통령에 대한 추가 수사와 재구속을 촉구하고 국민의힘 관련 의혹을 규명해야 한다며 연일 맹공을 퍼붓고 있다 국민의힘을 향해서는 대통령 후보를 내선 안 된다고도 했다 국민의힘은 6월 3일로 확정된 조기 대선을 유리한 국면으로 이끌어가기 위해 민주당이 보수 진영을 향해 공포 캠페인을 벌이고 있다고 했다,6
김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것”,김민석 더불어민주당 수석 최고위원은 8일 조기 대선이 치러진 뒤 차기 정부가 사용할 대통령 집무실과 관련 어느 정당이 집권하느냐를 떠나 장기적이고 지속적인 대통령실 자리가 용산이어야 한다는 것에 대부분 국민이 동의하지 않을 것이라고 했다,2025-04-08 02:03:00,https://www.chosun.com/politics/politics_general/2025/04/08/SR4XNLZ5SJD7NORBEC6AD4UG4E/,조선닷컴,"['김민석', '더불어민주당', '수석', '최고', '위원', '조기', '대선', '치르', '차기', '정부', '사용', '대통령', '집무실', '관련', '정당', '집권', '느냐', '떠나', '장기', '지속', '대통령실', '자리', '용산', '어야', 'ㄴ다는', '대부분', '국민', '동의', '라고']",김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것” 김민석 더불어민주당 수석 최고위원은 8일 조기 대선이 치러진 뒤 차기 정부가 사용할 대통령 집무실과 관련 어느 정당이 집권하느냐를 떠나 장기적이고 지속적인 대통령실 자리가 용산이어야 한다는 것에 대부분 국민이 동의하지 않을 것이라고 했다,6
"끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라”",더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다,2025-04-06 16:03:00,https://www.chosun.com/politics/assembly/2025/04/07/HRFICHXEZVD2DOS62QWHNJLCAI/,조선닷컴,"['더불어민주당', '윤석열', '대통령', '대하', '헌법', '재판소', '탄핵', '인용', '선고', '이후', '공세', '수위', '끌어올리', '국민', '해산', '윤석열', '구속', '주장', '는가', '내란', '특검법', '명태균', '특검법', '거부', '행사', '법안', '대하', '의결', '추진', '박근혜', '대통령', '탄핵', '국면', '적폐', '청산', '외치', '민주당', '내란', '척결', '명분', '윤석열', '정부', '관계자', '내란', '공범', '수사', 'ㄴ다고', '조기', '대선', '국면', '대통령', '국민', '향하', '민주당', '강공', '모드', '당분간', '이어지', '전망', '나오', 'ㄴ다']","끝을 보겠다는 민주당… “국힘 해산하고, 尹 재구속하라” 더불어민주당이 윤석열 전 대통령에 대한 헌법재판소의 탄핵 인용 선고 이후에 공세 수위를 오히려 더 끌어올리고 있다 국민의힘 해산 윤석열 재구속 등을 주장하는가 하면 내란 특검법과 명태균 특검법 등 거부권이 행사된 법안들에 대한 재의결도 추진하기로 했다 8년 전 박근혜 전 대통령 탄핵 국면에서 적폐 청산을 외쳤던 민주당은 이번엔 내란 척결을 명분으로 윤석열 정부 관계자들을 내란 공범으로 수사해야 한다고 하고 있다 조기 대선 국면에서 윤 전 대통령과 국민의힘을 향한 민주당의 강공 모드는 당분간 이어질 것이란 전망이 나온다",6
"내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수",윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다,2025-04-06 15:53:00,https://www.chosun.com/politics/politics_general/2025/04/07/SUE72WAQEJDDNBDJIMPHQ5EUUU/,조선닷컴,"['윤석열', '대통령', '파면', '여당', '지위', '국민', '주말', '중진', '의원', '간담회', '의원', '총회', '잇달', '정국', '수습', '방안', '논의', '조기', '대선', '60', '상황', '탄핵', '찬반', '둘러싸', '책임', '공방', '이어지', '대통령', '탄핵', '여파', '이어지', '탄핵', '반대', '전통', '지지', '이탈', '대통령', '정치', '영향력', '행사', '가능', '대선', '국면', '변수', '다는', '분석', '나오', 'ㄴ다', '국민', '관계자', '국민', '마주', '파도', '못하', '조기', '대선', '국면', '좌초', '가능', '다면서', '지도부', '주요', '대선', '주자', '대통령', '어떻', '행동', '느냐', '보수', '진영', '미래', '달리', '다고', '국민', '경선', '선거', '관리', '위원회', '발족', '조기', '대선', '체제', '들어가', 'ㄴ다']","내부 갈등, 영남 이탈, 尹 변수... 3각 파도 앞에 선 보수 윤석열 대통령 파면으로 여당 지위를 잃은 국민의힘은 주말인 6일 중진 의원 간담회 의원총회를 잇달아 열고 정국 수습 방안을 논의했다 조기 대선이 60일도 남지 않은 상황이지만 탄핵 찬반을 둘러싼 책임 공방이 이어지는 등 윤 대통령 탄핵 여파가 이어졌다 탄핵에 반대했던 전통적 지지층의 이탈 윤 전 대통령의 정치적 영향력 행사 가능성 등도 대선 국면에 변수가 될 수 있다는 분석이 나온다 국민의힘 관계자는 국민의힘이 마주한 3각 파도를 넘지 못하면 조기 대선 국면에서 좌초할 가능성이 있다면서 지도부와 주요 대선 주자는 물론 윤 전 대통령이 어떻게 행동하느냐에 보수 진영의 미래가 달렸다고 했다 국민의힘은 7일 경선 선거관리위원회를 발족하고 조기 대선 체제에 들어간다",6
정권 교체 48%·정권 재창출 37%…이재명 32%·김문수 12%[NBS],63대선에서 정권을 교체해야 한다는 응답이 48 정권을 재창출해야 한다는 응답이 37라는 여론조사 결과가 10일 나왔다 정당 지지도는 민주당이 34 국민의힘이 33로 오차범위 내였다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 이달 7일부터 3일간 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사휴대전화 가상번호를 이용한 전화면접 100 방식으로 실시 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조에선 이 같은 결과가 나왔다 스스로 중도층이라고 밝힌 사람 중에선 정권 교체 응답55이 정권 재창출 응답26보다 2배 이상으로 높았다차기 대통령 적합도는 더불어민주당 이재명 전 대표가 32로 가장 높았다 김문수 전 고용노동부 장관12 홍준표 대구시장7 오세훈 서울시장과 국민의힘 한동훈 전 대표는 각각 5였다 대선 후보들의 호감도 조사에서도 이 전 대표에게 호감이 간다고,2025-04-10 16:23:00,https://www.donga.com/news/Politics/article/all/20250410/131388930/1,동아닷컴,"['63', '대선', '정권', '교체', 'ㄴ다는', '응답', '48', '정권', '창출', 'ㄴ다는', '응답', '37', '라는', '여론', '조사', '결과', '10', '나오', '정당', '지지도', '민주당', '34', '국민', '33', '오차', '범위', '엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치', '이달', '전국', '18', '남녀', '1001', '대상', '실시', '정례', '전국', '지표', '조사', '휴대', '전화', '가상번호', '이용', '전화', '면접', '100', '방식', '실시', '자세하', '사항', '중앙', '선거', '여론', '조사', '심의', '위원회', '홈페이지', '참조', '결과', '나오', '스스로', '중도', '라고', '밝히', '사람', '정권', '교체', '응답', '55', '정권', '창출', '응답', '26', '보다', '차기', '대통령', '적합', '더불어민주당', '이재명', '대표', '32', '가장', '김문수', '고용', '노동부', '장관', '12', '홍준표', '대구시장', '오세훈', '서울시장', '국민의힘', '한동훈', '대표', '대선', '후보', '호감', '조사', '대표', '호감', 'ㄴ다고']",정권 교체 48%·정권 재창출 37%…이재명 32%·김문수 12%[NBS] 63대선에서 정권을 교체해야 한다는 응답이 48 정권을 재창출해야 한다는 응답이 37라는 여론조사 결과가 10일 나왔다 정당 지지도는 민주당이 34 국민의힘이 33로 오차범위 내였다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치가 이달 7일부터 3일간 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사휴대전화 가상번호를 이용한 전화면접 100 방식으로 실시 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조에선 이 같은 결과가 나왔다 스스로 중도층이라고 밝힌 사람 중에선 정권 교체 응답55이 정권 재창출 응답26보다 2배 이상으로 높았다차기 대통령 적합도는 더불어민주당 이재명 전 대표가 32로 가장 높았다 김문수 전 고용노동부 장관12 홍준표 대구시장7 오세훈 서울시장과 국민의힘 한동훈 전 대표는 각각 5였다 대선 후보들의 호감도 조사에서도 이 전 대표에게 호감이 간다고,6
이재명 32%·김문수 12%…정권 교체 48%·정권 재창출 37%[NBS],6월 3일 조기 대선이 열리는 가운데 차기 대통령감으로 가장 적합한 인물로 이재명 전 더불어민주당 대표가 32를 얻어 가장 앞섰다는 여론조사 결과가 10일 나왔다 김문수 전 고용노동부 장관은 12로 보수 진영에서 선두를 달렸다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치는 79일 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사NBS에서 이 같은 결과가 나왔다고 이날 밝혔다 이번 여론조사는 이달 4일 윤석열 전 대통령의 탄핵으로 조기 대선이 확정된 이후 처음으로 실시됐다홍준표 대구시장은 7를 기록하며 3위에 올랐다 오세훈 서울시장과 한동훈 전 국민의힘 대표는 각각 5였다 민주당 지지층에서는 이 전 대표 지지율이 73로 가장 높았고 국민의힘 지지층에서는 김 전 장관 29 홍 시장 16 오 시장 11 한 전 대표 11 순이었다대선후보 호감도도 이 전 대표가 35로 가장 높았다 김 전 장관이 23로 뒤를 이었으며,2025-04-10 11:31:00,https://www.donga.com/news/Politics/article/all/20250410/131387079/2,동아닷컴,"['조기', '대선', '열리', '가운데', '차기', '대통령감', '가장', '적합', '인물', '이재명', '더불어민주당', '대표', '32', '가장', '앞서', '다는', '여론', '조사', '결과', '10', '나오', '김문수', '고용', '노동부', '장관', '12', '보수', '진영', '선두', '달리', '엠브레인퍼블릭케이스탯리서치코리아리서치', '한국리서치', '79', '전국', '18', '남녀', '1001', '대상', '실시', '정례', '전국', '지표', '조사', 'NBS', '결과', '나오', '다고', '이날', '밝히', '여론', '조사', '이달', '윤석열', '대통령', '탄핵', '조기', '대선', '확정', '이후', '처음', '실시', '홍준표', '대구시장', '기록', '오르', '오세훈', '서울시장', '한동훈', '국민의힘', '대표', '민주당', '지지', '대표', '지지', '73', '가장', '국민', '지지', '장관', '29', '시장', '16', '시장', '11', '대표', '11', '대선', '후보', '호감', '대표', '35', '가장', '장관', '23', '으며']",이재명 32%·김문수 12%…정권 교체 48%·정권 재창출 37%[NBS] 6월 3일 조기 대선이 열리는 가운데 차기 대통령감으로 가장 적합한 인물로 이재명 전 더불어민주당 대표가 32를 얻어 가장 앞섰다는 여론조사 결과가 10일 나왔다 김문수 전 고용노동부 장관은 12로 보수 진영에서 선두를 달렸다엠브레인퍼블릭케이스탯리서치코리아리서치한국리서치는 79일 전국 만 18세 이상 남녀 1001명을 대상으로 실시한 정례 전국지표조사NBS에서 이 같은 결과가 나왔다고 이날 밝혔다 이번 여론조사는 이달 4일 윤석열 전 대통령의 탄핵으로 조기 대선이 확정된 이후 처음으로 실시됐다홍준표 대구시장은 7를 기록하며 3위에 올랐다 오세훈 서울시장과 한동훈 전 국민의힘 대표는 각각 5였다 민주당 지지층에서는 이 전 대표 지지율이 73로 가장 높았고 국민의힘 지지층에서는 김 전 장관 29 홍 시장 16 오 시장 11 한 전 대표 11 순이었다대선후보 호감도도 이 전 대표가 35로 가장 높았다 김 전 장관이 23로 뒤를 이었으며,6
"“민심은 순식간”… 8년 전 ‘진보1강’ 文, 보수 맹추격에 ‘진땀’",민심의 요동은 또다시 반복될 것인가 제21대 대통령선거가 54일 앞으로 다가온 가운데 정치권은 민심이 요동칠 가능성에 주목하고 있다 8년 전 박근혜 전 대통령 탄핵 이후 지금과 비슷한 상황에서 치러진 19대 대통령 선거에서도 민심은 수많은 후보를 오가며 요동치는 모습을 보였다 이번 대선도 비슷한 흐름이 재현될지 관심이 쏠린다 한쪽에서는 가능성이,2025-04-10 18:28:00,https://www.segye.com/newsView/20250410517476,세계일보,"['민심', '요동', '또다시', '반복', 'ㄴ가', '21', '대통령', '선거', '54', '다가오', '가운데', '정치', '민심', '요동치', '가능', '주목', '박근혜', '대통령', '탄핵', '이후', '지금', '비슷하', '상황', '치르', '19', '대통령', '선거', '민심', '수많', '후보', '오가', '요동치', '모습', '보이', '대선', '비슷하', '흐름', '재현', 'ㄹ지', '관심', '쏠리', 'ㄴ다', '한쪽', '가능']","“민심은 순식간”… 8년 전 ‘진보1강’ 文, 보수 맹추격에 ‘진땀’ 민심의 요동은 또다시 반복될 것인가 제21대 대통령선거가 54일 앞으로 다가온 가운데 정치권은 민심이 요동칠 가능성에 주목하고 있다 8년 전 박근혜 전 대통령 탄핵 이후 지금과 비슷한 상황에서 치러진 19대 대통령 선거에서도 민심은 수많은 후보를 오가며 요동치는 모습을 보였다 이번 대선도 비슷한 흐름이 재현될지 관심이 쏠린다 한쪽에서는 가능성이",6
