title,description,published,link,media,desc_tokens,text,topic
"국힘, 5대 개헌방향 발표…주호영 “이번 기회 놓치면 헌법 저주 못 피해”",국민의힘 개헌특별위원회 위원장인 주호영 의원이 10일 한 사람의 권력욕으로 나라 전체가 무너지는 일은 더는 반복할 수 없다며 이번에 헌법을 개정하지 못하면 누가 다음에 대통령이 되더라도 제왕적 대통령제의 저주 헌법의 저주를 피해 갈 수 없을 것이라고 말했다,2025-04-10 09:44:00,https://www.chosun.com/politics/politics_general/2025/04/10/UREK5F76ZVATDEV6GFAJFCA7HA/,조선닷컴,"['국민', '개헌', '특별', '위원회', '위원장', '주호영', '의원', '10', '사람', '권력욕', '나라', '전체', '무너지', '반복', '다며', '헌법', '개정', '못하', '대통령', '제왕', '대통령', '저주', '헌법', '저주', '피하', '라고']","국힘, 5대 개헌방향 발표…주호영 “이번 기회 놓치면 헌법 저주 못 피해” 국민의힘 개헌특별위원회 위원장인 주호영 의원이 10일 한 사람의 권력욕으로 나라 전체가 무너지는 일은 더는 반복할 수 없다며 이번에 헌법을 개정하지 못하면 누가 다음에 대통령이 되더라도 제왕적 대통령제의 저주 헌법의 저주를 피해 갈 수 없을 것이라고 말했다",9
새민주 “反이재명 개헌연정 제안... 국힘과 대화 안될 이유 없어”,새미래민주당 전병헌 대표는 10일 탄핵으로 물러난 대통령에 버금가는 정치적 책임을 이재명 더불어민주당 대표도 져야 한다며 이번 조기 대선에서 이재명 패배로 이어져야 한다고 했다,2025-04-10 06:09:00,https://www.chosun.com/politics/assembly/2025/04/10/PN5QKO6BNFE3RGD3LHUS3DSP3A/,조선닷컴,"['새미래민주당', '전병헌', '대표', '10', '탄핵', '물러나', '대통령', '버금가', '정치', '책임', '이재명', '더불어민주당', '대표', '어야', 'ㄴ다며', '조기', '대선', '이재명', '패배', '이어지', '어야', 'ㄴ다고']",새민주 “反이재명 개헌연정 제안... 국힘과 대화 안될 이유 없어” 새미래민주당 전병헌 대표는 10일 탄핵으로 물러난 대통령에 버금가는 정치적 책임을 이재명 더불어민주당 대표도 져야 한다며 이번 조기 대선에서 이재명 패배로 이어져야 한다고 했다,9
3일 만에 ‘개헌’ 접은 우원식,우원식 국회의장이 9일 개헌 논의는 대선 이후 이어가자고 했다 지난 6일 대선개헌 동시 투표를 공개 제안한 지 사흘 만에 철회한 것이다,2025-04-09 16:09:00,https://www.chosun.com/politics/politics_general/2025/04/10/SGNVQ3SJIZHP5NXJUVY5INWNEM/,조선닷컴,"['우원식', '국회', '의장', '개헌', '논의', '대선', '이후', '자고', '지나', '대선', '개헌', '동시', '투표', '공개', '제안', '사흘', '철회']",3일 만에 ‘개헌’ 접은 우원식 우원식 국회의장이 9일 개헌 논의는 대선 이후 이어가자고 했다 지난 6일 대선개헌 동시 투표를 공개 제안한 지 사흘 만에 철회한 것이다,9
"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의”",우원식 국회의장이 대선개헌 동시 투표 제안을 9일 철회했다 개헌에 대한 정당별 입장 차가 큰 만큼 관련 논의를 대선 뒤로 미루자는 것이다 우 의장은 이날 페이스북 글에서 국민적 공감대에 기초한 제 정당의 합의로 대선 이후 본격 논의를 이어가자면서 현 상황에서는 대선 동시투표 개헌이 사실상 어려워졌다고 판단한다고 밝혔다,2025-04-09 04:10:00,https://www.chosun.com/politics/assembly/2025/04/09/P2UGXYJBQ5EL3JCSQ2ONFZ7NQU/,조선닷컴,"['우원식', '국회', '의장', '대선', '개헌', '동시', '투표', '제안', '철회', '개헌', '대하', '정당', '입장', '관련', '논의', '대선', '미루', '자는', '의장', '이날', '페이스북', '국민', '공감대', '기초', '정당', '합의', '대선', '이후', '본격', '논의', '자면서', '상황', '대선', '동시', '투표', '개헌', '사실', '어렵', '다고', '판단', 'ㄴ다고', '밝히']","우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의” 우원식 국회의장이 대선개헌 동시 투표 제안을 9일 철회했다 개헌에 대한 정당별 입장 차가 큰 만큼 관련 논의를 대선 뒤로 미루자는 것이다 우 의장은 이날 페이스북 글에서 국민적 공감대에 기초한 제 정당의 합의로 대선 이후 본격 논의를 이어가자면서 현 상황에서는 대선 동시투표 개헌이 사실상 어려워졌다고 판단한다고 밝혔다",9
"우원식 “민주·국힘, 개헌투표 동의... 국민투표법 개정하자""",우원식 국회의장은 7일 국민의힘과 더불어민주당이 대선과 동시에 개헌 투표를 진행하는 것에 동의했다며 국민투표법 개정을 서두르자는 입장을 밝혔다,2025-04-07 04:19:00,https://www.chosun.com/politics/assembly/2025/04/07/6RK67RTYZBFJJBFR4QSUJI6MQ4/,조선닷컴,"['우원식', '국회', '의장', '국민', '더불어민주당', '대선', '동시', '개헌', '투표', '진행', '동의', '다며', '국민', '투표법', '개정', '서두르', '자는', '입장', '밝히']","우원식 “민주·국힘, 개헌투표 동의... 국민투표법 개정하자"" 우원식 국회의장은 7일 국민의힘과 더불어민주당이 대선과 동시에 개헌 투표를 진행하는 것에 동의했다며 국민투표법 개정을 서두르자는 입장을 밝혔다",9
우원식 공격하는 친명계 “개헌? 국회의장 놀이 중단하라”,우원식 국회의장의 대선개헌 국민투표 동시 실시 제안을 두고 더불어민주당 친명계 인사들은 지금 개헌을 말하는 사람에겐 꿍꿍이가 있다며 공격에 나섰다 이재명 대표가 7일 대선개헌 동시 투표에 사실상 반대 입장을 밝히면서 우 의장 등 개헌 찬성론자들을 향한 수박비명계를 비하해 부르는 말 몰이도 거세지고 있다,2025-04-07 11:03:00,https://www.chosun.com/politics/assembly/2025/04/07/HH4S574SDVF63AJP4ZOFXM4U2Y/,조선닷컴,"['우원식', '국회', '의장', '대선', '개헌', '국민', '투표', '동시', '실시', '제안', '더불어민주당', '인사', '지금', '개헌', '사람', '꿍꿍이', '다며', '공격', '나서', '이재명', '대표', '대선', '개헌', '동시', '투표', '사실', '반대', '입장', '밝히', '면서', '의장', '개헌', '찬성론자', '향하', '수박', '비명', '비하', '부르', '몰이', '거세']",우원식 공격하는 친명계 “개헌? 국회의장 놀이 중단하라” 우원식 국회의장의 대선개헌 국민투표 동시 실시 제안을 두고 더불어민주당 친명계 인사들은 지금 개헌을 말하는 사람에겐 꿍꿍이가 있다며 공격에 나섰다 이재명 대표가 7일 대선개헌 동시 투표에 사실상 반대 입장을 밝히면서 우 의장 등 개헌 찬성론자들을 향한 수박비명계를 비하해 부르는 말 몰이도 거세지고 있다,9
이재명 “개헌 필요하지만…지금은 내란종식이 먼저”,이재명 더불어민주당 대표는 7일 정치권에서 나오는 헌법 개정 요구와 관련해 개헌은 필요하지만 지금은 내란 종식이 먼저라고 했다,2025-04-07 01:49:00,https://www.chosun.com/politics/assembly/2025/04/07/N6H7TNCPLVBHHPRAFFYLNBDGUE/,조선닷컴,"['이재명', '더불어민주당', '대표', '정치', '나오', '헌법', '개정', '요구', '관련', '개헌', '필요', '지금', '내란', '종식', '먼저', '라고']",이재명 “개헌 필요하지만…지금은 내란종식이 먼저” 이재명 더불어민주당 대표는 7일 정치권에서 나오는 헌법 개정 요구와 관련해 개헌은 필요하지만 지금은 내란 종식이 먼저라고 했다,9
권영세 “개헌안 마련해 대선 때 국민투표 부치는 방안 추진”,국민의힘 권영세 비상대책위원장은 7일 국민의 뜻을 제대로 반영하는 개헌안을 마련해 대통령 선거일에 함께 국민투표에 부치는 방안을 추진하겠다고 밝혔다,2025-04-07 00:39:00,https://www.chosun.com/politics/2025/04/07/QMXLSAES5RFJ5AP5WHJNBWGQZE/,조선닷컴,"['국민', '권영세', '비상', '대책', '위원장', '국민', '제대로', '반영', '개헌안', '마련', '대통령', '선거일', '국민', '투표', '부치', '방안', '추진', '다고', '밝히']",권영세 “개헌안 마련해 대선 때 국민투표 부치는 방안 추진” 국민의힘 권영세 비상대책위원장은 7일 국민의 뜻을 제대로 반영하는 개헌안을 마련해 대통령 선거일에 함께 국민투표에 부치는 방안을 추진하겠다고 밝혔다,9
‘대선·개헌 동시 투표론’ 급부상,우원식 국회의장이 6일 이번 대통령 선거일에 개헌 국민투표를 동시에 시행할 것을 제안한다고 밝혔다 우 의장은 이날 국회에서 발표한 특별 담화에서 개헌은 지난 4개월 극심한 갈등과 혼란으로 온 국민이 겪은 고초를 대한민국 대전환의 기회로 바꿔내자는 시대적 요구라며 이같이 말했다,2025-04-06 15:55:00,https://www.chosun.com/politics/assembly/2025/04/07/C5QH2UWH2JBCJKDP7E7NJRWVGE/,조선닷컴,"['우원식', '국회', '의장', '대통령', '선거일', '개헌', '국민', '투표', '동시', '시행', '제안', 'ㄴ다고', '밝히', '의장', '이날', '국회', '발표', '특별', '담화', '개헌', '지나', '개월', '극심하', '갈등', '혼란', '국민', '고초', '대한민국', '전환', '기회', '바꾸', '자는', '시대', '요구', '라며']",‘대선·개헌 동시 투표론’ 급부상 우원식 국회의장이 6일 이번 대통령 선거일에 개헌 국민투표를 동시에 시행할 것을 제안한다고 밝혔다 우 의장은 이날 국회에서 발표한 특별 담화에서 개헌은 지난 4개월 극심한 갈등과 혼란으로 온 국민이 겪은 고초를 대한민국 대전환의 기회로 바꿔내자는 시대적 요구라며 이같이 말했다,9
친명계 “최우선 과제는 내란 완전 종식”,우원식 국회의장이 6일 대통령 선거일에 개헌 국민투표를 동시에 시행하자고 제안했지만 이재명 더불어민주당 대표는 따로 입장을 내지 않았다 이 대표는 과거 여러 차례 개헌 필요성을 말했다 2022년 대선에서는 대통령 4년 중임제가 포함된 개헌을 주요 공약에 넣었고 이후에도 같은 해 9월 국회 교섭단체 대표 연설과 이듬해 신년 기자회견에서 개헌을 제안했다 정치권에서는 차기 대통령 지지도 조사에서 1위인 이 대표의 선택이 개헌 성사 여부를 가를 키가 될 것으로 보고 있다 이 대표 측은 대표가 고심하고 있지 않겠나 늦지 않게 입장을 낼 것이라고 했다 이 대표를 제외한 민주당 친명계에서는 우 의장의 특별 담화 직후부터 개헌 반대 입장이 잇따라 나왔다 개헌 필요성엔 공감하지만 최우선 과제는 내란 종식이라는 것이다,2025-04-06 15:54:00,https://www.chosun.com/politics/assembly/2025/04/07/ERDZFDEHRVCNNBFWPMR3P3O2TU/,조선닷컴,"['우원식', '국회', '의장', '대통령', '선거일', '개헌', '국민', '투표', '동시', '시행', '자고', '제안', '이재명', '더불어민주당', '대표', '따로', '입장', '대표', '과거', '여러', '차례', '개헌', '필요', '2022', '대선', '대통령', '중임', '포함', '개헌', '주요', '공약', '이후', '국회', '교섭', '단체', '대표', '연설', '이듬해', '신년', '기자', '회견', '개헌', '제안', '정치', '차기', '대통령', '지지도', '조사', '대표', '선택', '개헌', '성사', '가르', '대표', '대표', '고심', '입장', '라고', '대표', '제외', '민주당', '의장', '특별', '담화', '직후', '개헌', '반대', '입장', '잇따르', '나오', '개헌', '필요', '공감', '과제', '내란', '종식', '라는']",친명계 “최우선 과제는 내란 완전 종식” 우원식 국회의장이 6일 대통령 선거일에 개헌 국민투표를 동시에 시행하자고 제안했지만 이재명 더불어민주당 대표는 따로 입장을 내지 않았다 이 대표는 과거 여러 차례 개헌 필요성을 말했다 2022년 대선에서는 대통령 4년 중임제가 포함된 개헌을 주요 공약에 넣었고 이후에도 같은 해 9월 국회 교섭단체 대표 연설과 이듬해 신년 기자회견에서 개헌을 제안했다 정치권에서는 차기 대통령 지지도 조사에서 1위인 이 대표의 선택이 개헌 성사 여부를 가를 키가 될 것으로 보고 있다 이 대표 측은 대표가 고심하고 있지 않겠나 늦지 않게 입장을 낼 것이라고 했다 이 대표를 제외한 민주당 친명계에서는 우 의장의 특별 담화 직후부터 개헌 반대 입장이 잇따라 나왔다 개헌 필요성엔 공감하지만 최우선 과제는 내란 종식이라는 것이다,9
